time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529584573477,1.170357,0.5579087,-0.7338287,1.174245,0.5854383,-0.7160906,1.176089,0.5955553,-0.6972985,1.184516,0.5757807,-0.6813639,1.165783,0.5716364,-0.6759071,1.159948,0.5629784,-0.6868162,1.189449,0.5623342,-0.6741639,1.167674,0.561203,-0.6697712,1.160372,0.5535616,-0.6834421,1.196211,0.5449715,-0.6698079,1.176153,0.5471203,-0.6618135,1.16516,0.5427676,-0.6735591,1.202811,0.5271764,-0.6675082,1.193204,0.5327885,-0.6514366,1.180178,0.5353467,-0.6504489,1.188727,0.5397848,-0.711713,0.03783714,
1529584573519,1.162925,0.5528938,-0.759286,1.162683,0.5837021,-0.74682,1.162442,0.5999607,-0.7319322,1.177205,0.5740843,-0.7084478,1.158631,0.5680703,-0.7042304,1.154861,0.557795,-0.7146733,1.182047,0.5610591,-0.7011727,1.160114,0.5572468,-0.6996422,1.15571,0.5476168,-0.7133563,1.187923,0.5443101,-0.6965514,1.167261,0.5433612,-0.6948154,1.161462,0.5362746,-0.7091313,1.195438,0.5289655,-0.6909803,1.181516,0.5345799,-0.6803394,1.169701,0.5339984,-0.6859542,1.183967,0.5369819,-0.734532,0.04618756,
1529584573554,1.155073,0.5487757,-0.7771791,1.15123,0.5806075,-0.7678576,1.148669,0.5996171,-0.7564898,1.170277,0.5739523,-0.7280201,1.151951,0.5675097,-0.7233926,1.148762,0.556119,-0.7328385,1.175337,0.5615355,-0.7202246,1.153466,0.5565906,-0.718545,1.149695,0.5450597,-0.7309284,1.18115,0.5449526,-0.7152232,1.16031,0.5423621,-0.7146622,1.155727,0.5330968,-0.7282035,1.187338,0.5306,-0.7093465,1.171921,0.5343389,-0.7044598,1.164297,0.5297449,-0.7143008,1.178213,0.5353473,-0.7513038,0.04951245,
1529584573598,1.143388,0.5451116,-0.7953686,1.137514,0.5770049,-0.7869691,1.133599,0.5969832,-0.7776608,1.159278,0.5729584,-0.7480279,1.141118,0.5665917,-0.7431794,1.137987,0.5550261,-0.7524704,1.164494,0.5611195,-0.7397398,1.142537,0.5560794,-0.737588,1.138491,0.5439216,-0.7492976,1.170342,0.5445741,-0.734324,1.149318,0.5415233,-0.7338168,1.144698,0.5315822,-0.7468823,1.175417,0.5304031,-0.7291931,1.159559,0.532563,-0.7268793,1.154172,0.5256872,-0.7370802,1.167681,0.5334857,-0.7696883,0.04913469,
1529584573637,1.130239,0.5403178,-0.8095438,1.122421,0.5709981,-0.7992113,1.117821,0.58856,-0.7863432,1.146199,0.5695865,-0.7635442,1.128726,0.5619575,-0.7580875,1.125949,0.5504774,-0.7675749,1.152702,0.558695,-0.7552515,1.131181,0.55241,-0.7517717,1.127115,0.5398557,-0.7630542,1.160018,0.5426764,-0.7498871,1.139124,0.53848,-0.7479028,1.133975,0.5281079,-0.760434,1.165725,0.5284399,-0.7456275,1.149765,0.5290114,-0.7432268,1.144959,0.5213668,-0.7532295,1.156569,0.5307396,-0.7853011,0.04322735,
1529584573665,1.125116,0.5392699,-0.81599,1.116558,0.5695287,-0.8053024,1.111873,0.5860019,-0.7913711,1.139802,0.569068,-0.7701021,1.122695,0.5606475,-0.7646215,1.120298,0.549204,-0.7742548,1.146897,0.5586864,-0.7617452,1.125654,0.5515982,-0.7579827,1.121875,0.5389206,-0.7692271,1.155014,0.5431061,-0.7563396,1.134242,0.5382065,-0.7538586,1.129064,0.5275931,-0.7661727,1.161203,0.5289174,-0.7523467,1.14517,0.5287507,-0.7498655,1.140558,0.5209067,-0.7598085,1.151662,0.5308695,-0.7919399,0.04144923,
1529584573690,1.119047,0.5393963,-0.8242625,1.110525,0.5695748,-0.813387,1.105919,0.5856644,-0.7990929,1.132519,0.5687226,-0.7777964,1.115489,0.5599784,-0.772607,1.113311,0.5487045,-0.7824869,1.139747,0.5584302,-0.7694095,1.118572,0.5510826,-0.7658729,1.114972,0.5386196,-0.777405,1.148088,0.5430123,-0.7640826,1.127342,0.5378991,-0.7616284,1.122242,0.5273459,-0.7740163,1.154384,0.5287623,-0.7603192,1.138249,0.5283513,-0.7579147,1.133672,0.520574,-0.7679191,1.145116,0.5310376,-0.7999844,0.04118781,
1529584573717,1.111493,0.5393971,-0.8338051,1.103369,0.5697318,-0.8229533,1.098836,0.5858944,-0.8087511,1.124001,0.567924,-0.786607,1.1068,0.5592591,-0.7818863,1.104679,0.5482559,-0.7920649,1.131004,0.5574937,-0.7781954,1.109716,0.5502945,-0.7751753,1.106227,0.5381408,-0.7870525,1.139159,0.5420346,-0.7728968,1.118335,0.5370905,-0.7708102,1.113358,0.5267348,-0.7833966,1.145287,0.527675,-0.7692197,1.129056,0.5274026,-0.7670258,1.124461,0.5198017,-0.7771478,1.136796,0.5305107,-0.8091111,0.04158405,
1529584573755,1.103816,0.5398027,-0.8419695,1.096134,0.5702697,-0.8309207,1.091567,0.58684,-0.817113,1.115612,0.5669228,-0.7936616,1.098143,0.5585436,-0.7894842,1.09594,0.547967,-0.8000709,1.122226,0.5561137,-0.785398,1.100774,0.5492647,-0.7830529,1.097337,0.5376336,-0.7954457,1.130005,0.5404028,-0.7803254,1.109093,0.5358093,-0.7788315,1.104264,0.5259832,-0.7918769,1.135837,0.5258926,-0.7768673,1.119505,0.5259252,-0.7749203,1.114828,0.5187429,-0.7852952,1.128214,0.5298073,-0.8168788,0.0426693,
1529584573784,1.096586,0.5394576,-0.847693,1.089399,0.5700285,-0.8364956,1.084854,0.5867644,-0.822843,1.108033,0.5660124,-0.7989489,1.090184,0.5582848,-0.795211,1.087796,0.5479101,-0.8059617,1.113989,0.5548999,-0.7907358,1.092317,0.5486709,-0.7890372,1.088996,0.5371326,-0.8015301,1.121123,0.5388596,-0.7855668,1.100114,0.5348693,-0.7847803,1.095549,0.525289,-0.7980807,1.126443,0.5241674,-0.7819775,1.110044,0.5247523,-0.7804327,1.105365,0.5178859,-0.7910035,1.120049,0.5286162,-0.8222179,0.04246517,
