time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529584548223,1.034252,0.4558229,-0.9317116,1.032766,0.4480194,-0.8990573,1.035017,0.4387498,-0.8792267,1.058178,0.4701067,-0.8735307,1.052015,0.4591205,-0.8533796,1.043176,0.4468459,-0.8505622,1.073208,0.4596765,-0.8756005,1.066136,0.4481581,-0.8512172,1.054842,0.4362289,-0.8440052,1.086222,0.4479634,-0.8855711,1.080422,0.4367588,-0.8625264,1.068968,0.4257199,-0.8549407,1.095241,0.4351455,-0.8977635,1.092577,0.4267986,-0.8796219,1.083023,0.419487,-0.872741,1.062389,0.4564085,-0.9266366,0.03088304,
1529584548265,0.9999477,0.429413,-0.9531841,0.9938943,0.4244954,-0.9205063,0.9936594,0.4168343,-0.8999032,1.016091,0.4466941,-0.8937777,1.007134,0.4354049,-0.8758718,0.998418,0.4228548,-0.8766624,1.030554,0.4362047,-0.893604,1.01847,0.4238017,-0.87306,1.005839,0.4112716,-0.8721009,1.045751,0.4249165,-0.9007506,1.035838,0.413683,-0.8801639,1.022771,0.4024307,-0.877544,1.05684,0.41211,-0.9106837,1.050958,0.404313,-0.8936455,1.039728,0.3971769,-0.8900529,1.027954,0.4305557,-0.9447016,0.02447502,
1529584548290,0.9857367,0.4137895,-0.9645964,0.9765396,0.408679,-0.9326573,0.9736355,0.4019825,-0.9117167,0.9973927,0.4300915,-0.9035749,0.9884347,0.417926,-0.8859675,0.9806227,0.4047735,-0.8867249,1.012613,0.4208086,-0.902578,1.000573,0.4073415,-0.8825812,0.9889903,0.3940171,-0.8823595,1.029351,0.4108922,-0.9088996,1.019783,0.3987622,-0.8885908,1.007609,0.386548,-0.8863212,1.041792,0.3987732,-0.9185577,1.035802,0.3899016,-0.9022537,1.024897,0.381906,-0.8998426,1.01337,0.416338,-0.9540424,0.02609978,
1529584548330,0.956859,0.3913293,-0.9870398,0.9438105,0.3883086,-0.9561407,0.9365473,0.3850006,-0.9352139,0.9624658,0.4119556,-0.9261122,0.9536843,0.4006911,-0.9066205,0.946774,0.3871036,-0.9033611,0.9785189,0.4046221,-0.9231641,0.9669645,0.3920846,-0.9011607,0.9566153,0.3780871,-0.8969932,0.9967254,0.3961892,-0.9275013,0.9879461,0.3853146,-0.9050648,0.9775349,0.3726799,-0.8981474,1.01078,0.384261,-0.9355607,1.004832,0.375428,-0.9188714,0.994903,0.3663717,-0.915367,0.983687,0.3969321,-0.9742198,0.03352026,
1529584548380,0.9324372,0.3755082,-1.00242,0.9169546,0.3730108,-0.9726126,0.9075302,0.3705714,-0.9524291,0.9336507,0.3996667,-0.942043,0.9239116,0.3897296,-0.922033,0.9169279,0.3765157,-0.9176399,0.9499136,0.393207,-0.937435,0.9377084,0.3825392,-0.9146129,0.9274127,0.3689664,-0.9094243,0.9684396,0.3845955,-0.9402655,0.959074,0.3753339,-0.9170234,0.9488156,0.3633496,-0.908999,0.9830161,0.3720652,-0.9469495,0.9764804,0.3636807,-0.9300312,0.9667128,0.3546078,-0.9260529,0.9582406,0.3826438,-0.9879277,0.03652315,
1529584548410,0.917185,0.3695541,-1.013894,0.9003083,0.3666497,-0.9848913,0.890004,0.3639224,-0.965178,0.9149135,0.3951723,-0.9542611,0.9039474,0.3849405,-0.9351212,0.896924,0.3715349,-0.9315945,0.9311022,0.3890862,-0.9485657,0.9176651,0.3783654,-0.9266276,0.9072089,0.3646058,-0.9223934,0.9495708,0.3801593,-0.9503386,0.9386322,0.3704379,-0.9280629,0.9278831,0.3581187,-0.9215196,0.9645611,0.3677841,-0.9559482,0.9569427,0.3593338,-0.9394093,0.9470021,0.3502783,-0.9358102,0.9422027,0.3777412,-0.9982352,0.03512392,
1529584548439,0.9008594,0.3637809,-1.023319,0.8831492,0.3595912,-0.9949778,0.8723354,0.3559713,-0.9756862,0.8961695,0.388553,-0.9636402,0.8841853,0.377549,-0.945513,0.8770273,0.3640205,-0.9427672,0.9121388,0.382313,-0.9574459,0.8975939,0.3708012,-0.9365884,0.8869181,0.3569295,-0.9331501,0.9305418,0.3731783,-0.9587386,0.9183674,0.3624469,-0.9375281,0.907294,0.3499067,-0.9319976,0.9457741,0.3609529,-0.9639798,0.9372993,0.3518059,-0.9481113,0.9272025,0.3427039,-0.9449978,0.9253283,0.3722137,-1.006669,0.03421203,
1529584548462,0.8927981,0.3616899,-1.028609,0.8744409,0.3563919,-1.000872,0.8632274,0.3520418,-0.9819665,0.8859112,0.3858366,-0.9691011,0.8731599,0.3741875,-0.9516883,0.8660306,0.3605747,-0.9490421,0.9019455,0.3797713,-0.9625095,0.8867458,0.3675334,-0.9423025,0.8760933,0.3535392,-0.9388505,0.9203736,0.3706645,-0.9635575,0.9073451,0.3587841,-0.9433792,0.8962885,0.3458838,-0.9385825,0.9360878,0.3589029,-0.9684571,0.9271083,0.3489867,-0.9531776,0.9170998,0.3396569,-0.9502384,0.9166554,0.3706244,-1.011235,0.03412748,
1529584548490,0.885722,0.361982,-1.033466,0.8667034,0.3558735,-1.006348,0.8550421,0.3510074,-0.9878392,0.8766396,0.3850281,-0.9739369,0.8635236,0.3727814,-0.9570813,0.8565139,0.3590453,-0.9545963,0.8925613,0.3791057,-0.9670317,0.87691,0.3660256,-0.9476172,0.8664148,0.3517662,-0.9445703,0.9109629,0.37025,-0.9678397,0.8971916,0.3573823,-0.9486897,0.8862213,0.3441299,-0.9445924,0.9270124,0.3589367,-0.9724522,0.9173425,0.3482722,-0.9580283,0.9073887,0.3386704,-0.9556862,0.9089168,0.3711696,-1.015293,0.03423253,
1529584548517,0.879612,0.3668818,-1.039613,0.8602831,0.3615919,-1.012557,0.8486323,0.3569905,-0.9939829,0.8698079,0.3900273,-0.9808532,0.8554132,0.377919,-0.9649747,0.8476949,0.3644381,-0.9631605,0.8849739,0.382906,-0.9737653,0.8676983,0.3697339,-0.9558415,0.8564411,0.3558301,-0.9539167,0.9025423,0.3729441,-0.9743286,0.886728,0.3598081,-0.9569859,0.8748721,0.346925,-0.9542682,0.917991,0.3611819,-0.9783781,0.9064286,0.3506734,-0.965261,0.8957425,0.3416457,-0.9640676,0.9025831,0.3747673,-1.021053,0.0317232,
1529584548553,0.875297,0.3706378,-1.044804,0.8558359,0.3658419,-1.017767,0.8443832,0.3613097,-0.9990623,0.8630675,0.3954196,-0.9877326,0.8478442,0.3834421,-0.9724095,0.839834,0.3701067,-0.9706537,0.8775282,0.3879423,-0.9801171,0.8590763,0.3746715,-0.9633301,0.8476009,0.3608854,-0.9619867,0.8945532,0.3776198,-0.9799736,0.8771688,0.3642781,-0.9642991,0.8649865,0.3514824,-0.9625377,0.9098005,0.366032,-0.9828529,0.8967031,0.3558776,-0.9709669,0.8857622,0.3470843,-0.9708288,0.8970127,0.3789215,-1.025949,0.03008539,
1529584548583,0.8730125,0.3717168,-1.047669,0.8538162,0.3678997,-1.020291,0.8426169,0.364013,-1.001291,0.8600799,0.3989885,-0.9920806,0.8448359,0.3875038,-0.9763471,0.8368795,0.3742182,-0.9739767,0.8744946,0.3918107,-0.9841388,0.8559973,0.378864,-0.9671016,0.8446499,0.3650146,-0.9653497,0.8913754,0.381583,-0.9836181,0.8737147,0.3684337,-0.9680939,0.8616226,0.3555284,-0.9662067,0.9066044,0.3702326,-0.985822,0.893077,0.3604575,-0.9741629,0.8822094,0.3515702,-0.9742665,0.8943719,0.3809316,-1.029188,0.02971754,
1529584548609,0.8714813,0.374001,-1.050616,0.8526216,0.3714304,-1.022871,0.8417524,0.3682731,-1.003549,0.8586803,0.4032153,-0.9961696,0.8433864,0.3923314,-0.9801211,0.8353528,0.3791565,-0.9775151,0.8728732,0.3960044,-0.9880687,0.8541989,0.3835518,-0.9709785,0.842851,0.3697408,-0.9693599,0.8894427,0.3855256,-0.9873248,0.8714007,0.3727369,-0.9720647,0.8592222,0.3598674,-0.9704107,0.9044638,0.3741832,-0.9890089,0.8905009,0.3649699,-0.9775637,0.879596,0.3561693,-0.978082,0.8926924,0.3835959,-1.032622,0.02893347,
1529584548637,0.8706797,0.3768189,-1.052069,0.8524548,0.3748883,-1.02387,0.8422107,0.3720297,-1.004169,0.8583037,0.407531,-0.9986763,0.8431066,0.3967596,-0.9824655,0.835155,0.3835704,-0.9796864,0.872457,0.4003953,-0.9905889,0.8538153,0.3879294,-0.9735464,0.8426181,0.3740073,-0.9720672,0.8889458,0.3899177,-0.9897228,0.8708538,0.3771404,-0.9745877,0.8587623,0.3641806,-0.9731261,0.9038433,0.3786733,-0.9911391,0.8897185,0.36967,-0.9797709,0.8788301,0.3608643,-0.9803956,0.8919249,0.3870448,-1.034715,0.02797101,
1529584548664,0.8704602,0.3815215,-1.054456,0.8532017,0.3798522,-1.025651,0.8437704,0.3770171,-1.00555,0.8596451,0.4123816,-1.001388,0.8445563,0.4012504,-0.9852829,0.8365837,0.3880286,-0.9825979,0.8738253,0.404994,-0.9936764,0.8552458,0.3921286,-0.9768727,0.8440123,0.3781874,-0.9756451,0.8902045,0.3944262,-0.9930726,0.8721435,0.3814842,-0.9780494,0.8599747,0.3685818,-0.9767742,0.9047971,0.3831546,-0.9947125,0.890567,0.3742388,-0.9833713,0.8795353,0.365585,-0.9839249,0.8921298,0.3915938,-1.037784,0.02645151,
1529584548690,0.8720317,0.3814549,-1.056372,0.8553946,0.3794387,-1.027219,0.8463066,0.3764963,-1.00697,0.8620658,0.4119409,-1.003043,0.8475329,0.4003325,-0.9867697,0.8398867,0.386918,-0.9840721,0.876547,0.4048086,-0.9956842,0.8585562,0.3915005,-0.9785683,0.8475684,0.377367,-0.9771237,0.8932061,0.3947,-0.9953369,0.8757855,0.381649,-0.9795645,0.8638112,0.3686604,-0.9776969,0.9079064,0.3835841,-0.9974045,0.8941656,0.3744935,-0.9855335,0.8832241,0.3657013,-0.9855461,0.8940367,0.3919307,-1.040207,0.02596441,
1529584548717,0.8740457,0.3867354,-1.060577,0.8577324,0.3835658,-1.03133,0.8485304,0.3800453,-1.011213,0.8652374,0.4141232,-1.005442,0.8509787,0.4017252,-0.9895079,0.8433064,0.3882308,-0.9874018,0.8797852,0.4066865,-0.9986839,0.8620256,0.3928021,-0.9816927,0.850907,0.3787584,-0.9804835,0.8966029,0.3967573,-0.9988944,0.8796384,0.383622,-0.98248,0.8675255,0.3708901,-0.9800221,0.9111719,0.3855566,-1.00192,0.8978523,0.376254,-0.9895967,0.8868387,0.3675761,-0.9890928,0.8964102,0.3960211,-1.044236,0.02571494,
1529584548753,0.8784671,0.3891778,-1.062281,0.8624008,0.3863054,-1.032852,0.8531965,0.3831743,-1.012669,0.8704944,0.4173767,-1.007285,0.8566443,0.4052148,-0.9907362,0.849095,0.3917499,-0.9879414,0.8853757,0.4103524,-1.000625,0.868167,0.3968382,-0.9826257,0.8571346,0.3828316,-0.9803174,0.9025091,0.4007295,-1.000891,0.8863264,0.3880735,-0.9832011,0.8744155,0.3754583,-0.9794319,0.917161,0.3894999,-1.004152,0.9044826,0.3803256,-0.9909713,0.8936101,0.371559,-0.9894837,0.9011914,0.3990207,-1.046444,0.02649147,
