time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529328540013,0.834061,0.9416665,-0.7709097,0.8135142,0.9651464,-0.7617415,0.8005344,0.9803977,-0.7532925,0.8441712,1.006456,-0.7568635,0.8362626,1.026883,-0.7463448,0.8256624,1.032802,-0.7373381,0.8544428,1.004389,-0.7419757,0.8440256,1.026598,-0.7291449,0.8306238,1.032952,-0.7201406,0.8649938,0.9941819,-0.7292518,0.8559124,1.015083,-0.7159749,0.8433424,1.022578,-0.7070305,0.8728387,0.9799345,-0.7170353,0.8679399,0.9950681,-0.7047917,0.8583623,1.00139,-0.6974176,0.8582615,0.9536078,-0.7560474,0.06026761,
1529328540045,0.839208,0.922124,-0.7955696,0.818755,0.9459052,-0.7870358,0.8058774,0.9612508,-0.7786403,0.8495606,0.9862027,-0.7791867,0.8409847,1.006117,-0.7684259,0.8299141,1.01115,-0.7595577,0.8599256,0.9837118,-0.7643077,0.8491503,1.005477,-0.7513096,0.8353271,1.010995,-0.7425482,0.8701512,0.9729245,-0.7514825,0.8604735,0.9930238,-0.7377372,0.8472004,0.9992062,-0.7290167,0.878041,0.9583695,-0.7396237,0.8728435,0.9729202,-0.7271683,0.8624008,0.9780891,-0.7202889,0.8634658,0.9332116,-0.7794346,0.05858218,
1529328540072,0.8444476,0.9008784,-0.8227335,0.8239139,0.924862,-0.815083,0.8110154,0.940176,-0.8067296,0.8549536,0.9643525,-0.8041558,0.8457863,0.9840958,-0.7935587,0.8343252,0.9889421,-0.7851027,0.8651649,0.9614497,-0.7890264,0.8541631,0.9831437,-0.776161,0.8400576,0.9885385,-0.7678414,0.874733,0.9500757,-0.7758964,0.8644739,0.9696271,-0.7619759,0.8506767,0.975106,-0.7537073,0.8819271,0.9351057,-0.7641007,0.8757368,0.9489007,-0.7515576,0.8644385,0.9530261,-0.7454537,0.8685601,0.9111861,-0.805012,0.05821689,
1529328540098,0.8474383,0.8867539,-0.8372517,0.8272279,0.911262,-0.830614,0.814648,0.926787,-0.8222662,0.8585013,0.9500285,-0.8185022,0.8489676,0.9698996,-0.8084767,0.8372923,0.9748251,-0.8003704,0.8687532,0.9470768,-0.8032097,0.8577135,0.9690274,-0.7908634,0.8434911,0.9745871,-0.7828757,0.8779442,0.9354899,-0.7897028,0.8674592,0.9549865,-0.7760087,0.8534201,0.9602857,-0.7680606,0.8846551,0.9204301,-0.7777252,0.878067,0.9341109,-0.7653394,0.86654,0.9381287,-0.7595575,0.8715177,0.8966036,-0.8186466,0.05744436,
1529328540125,0.848777,0.8726641,-0.8527346,0.8287455,0.8974153,-0.8467606,0.8164053,0.9128793,-0.8380759,0.8599275,0.9355406,-0.832755,0.84996,0.9552928,-0.822956,0.838048,0.9599875,-0.8150985,0.8701131,0.9323707,-0.817346,0.8587612,0.9542067,-0.8051626,0.8443277,0.9595228,-0.7974465,0.8790659,0.9204876,-0.8036947,0.8682052,0.9396839,-0.7899725,0.8539078,0.9445896,-0.7822868,0.8853882,0.9052334,-0.7917867,0.8782654,0.9186182,-0.779412,0.8664865,0.9223246,-0.7739522,0.8728217,0.8820179,-0.8331179,0.05670582,
1529328540152,0.8492328,0.8513104,-0.8753294,0.8292013,0.8758957,-0.8690867,0.817085,0.8908809,-0.8594374,0.8602052,0.913539,-0.8531839,0.8498511,0.9330052,-0.8431462,0.8378487,0.9374398,-0.8352879,0.8704947,0.9099308,-0.8378369,0.8587798,0.931331,-0.825243,0.8442327,0.9362196,-0.8174874,0.8795481,0.8975877,-0.8244052,0.8683616,0.9161549,-0.8101386,0.8539275,0.9204863,-0.8024098,0.8858464,0.8819876,-0.8129595,0.8783679,0.8948445,-0.8002132,0.8664875,0.898174,-0.7947564,0.8734547,0.8600679,-0.8549589,0.05640974,
1529328540179,0.8499693,0.8373557,-0.8884176,0.8298776,0.8617177,-0.881762,0.817808,0.8762816,-0.8714804,0.8606294,0.8989106,-0.8643308,0.8499576,0.9181359,-0.8539903,0.837918,0.9225689,-0.8461345,0.8709253,0.8948938,-0.849021,0.8589448,0.9159708,-0.8359892,0.8443868,0.9208102,-0.8281622,0.8800499,0.8821583,-0.8358182,0.8687196,0.9003079,-0.8210346,0.8543084,0.9045415,-0.8131684,0.8863538,0.8662267,-0.8247643,0.8788607,0.8787518,-0.8115324,0.8671449,0.8822036,-0.8057551,0.8741596,0.8455374,-0.8674185,0.05647426,
1529328540214,0.848819,0.8171442,-0.9089507,0.8290609,0.8415725,-0.9017492,0.81713,0.8558948,-0.8909666,0.8597177,0.877126,-0.8814651,0.8487741,0.8959427,-0.8705028,0.8366859,0.9002938,-0.8626191,0.8699641,0.872242,-0.8662791,0.8578418,0.8928271,-0.8524342,0.8433047,0.8976159,-0.8444862,0.8790415,0.8587417,-0.8535955,0.8677738,0.8763341,-0.8379612,0.8534673,0.8805664,-0.8298689,0.8851647,0.8421603,-0.8432616,0.8778671,0.8541681,-0.8292533,0.8664381,0.857815,-0.8230124,0.8729626,0.8238565,-0.8869972,0.0561897,
1529328540233,0.8460006,0.8038265,-0.9193683,0.8263643,0.8281969,-0.9116746,0.8144146,0.8422663,-0.9005861,0.8569044,0.8623111,-0.8889427,0.8456148,0.8805388,-0.8773384,0.8333859,0.8844481,-0.869439,0.8670466,0.8566961,-0.8739286,0.8546137,0.8766156,-0.8593641,0.8399659,0.8810031,-0.8514026,0.8761142,0.8425831,-0.8617532,0.8647447,0.8594997,-0.8454134,0.8504105,0.8634447,-0.8372415,0.8821028,0.8254885,-0.8521028,0.8747605,0.8368555,-0.8375402,0.8633494,0.8402889,-0.8311832,0.8700929,0.809294,-0.8966763,0.05576153,
1529328540258,0.8427931,0.7892348,-0.9334158,0.8227814,0.8131479,-0.9252367,0.810522,0.8267393,-0.9139026,0.8526354,0.8462837,-0.9000579,0.840793,0.8636882,-0.8877504,0.8284093,0.8669459,-0.8798024,0.8627796,0.8401244,-0.8852651,0.8497514,0.8590786,-0.8699229,0.8349509,0.8627815,-0.8619146,0.8721347,0.825606,-0.8736641,0.8604091,0.8415569,-0.8565937,0.8459883,0.8448933,-0.8483303,0.8783715,0.8081409,-0.8647431,0.8708423,0.8186532,-0.8496211,0.8593761,0.8215883,-0.8431675,0.8667348,0.7938973,-0.9100844,0.05567181,
