time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529328639887,1.031892,0.6805696,-0.8068573,1.016678,0.695149,-0.7826234,1.010731,0.7008475,-0.7626935,1.039726,0.7301954,-0.766206,1.031127,0.7374455,-0.7450358,1.02212,0.7328684,-0.7338163,1.053006,0.7244031,-0.7574219,1.041173,0.73246,-0.734205,1.02882,0.7279342,-0.7229423,1.067728,0.7122126,-0.7535589,1.058105,0.7204928,-0.7305824,1.0465,0.7185925,-0.7180839,1.07915,0.6972873,-0.7518504,1.073558,0.7045518,-0.7338988,1.064479,0.7047831,-0.7237644,1.058027,0.6875525,-0.7938319,0.04459754,
1529328639914,1.018958,0.6760256,-0.8393873,1.003241,0.6926078,-0.8170219,0.9972472,0.6994395,-0.7974955,1.024512,0.7274338,-0.8012373,1.014885,0.7349031,-0.7809373,1.005456,0.7294693,-0.7706784,1.037302,0.7225562,-0.7917622,1.024004,0.7309654,-0.7699775,1.0111,0.7253932,-0.7601081,1.05191,0.7109517,-0.786621,1.040673,0.7200358,-0.7649708,1.028126,0.7177129,-0.7536119,1.063699,0.696806,-0.7837121,1.056943,0.7053907,-0.7670569,1.046804,0.7054913,-0.758076,1.044411,0.6835036,-0.8253317,0.04108939,
1529328639941,1.009407,0.6706719,-0.8598788,0.9938009,0.6889344,-0.8389502,0.9879894,0.6966808,-0.8197467,1.014268,0.7232992,-0.8240119,1.003782,0.7307783,-0.8045315,0.9940387,0.7244982,-0.7953329,1.026565,0.7188128,-0.814039,1.012167,0.7273115,-0.7935047,0.9989194,0.7208726,-0.7848907,1.040943,0.7074768,-0.8079338,1.028637,0.7171209,-0.7874036,1.015402,0.7144579,-0.7770448,1.052561,0.6936172,-0.8040634,1.044886,0.7028464,-0.7885069,1.033923,0.7026008,-0.7806184,1.034294,0.6783053,-0.8454247,0.03750242,
1529328639967,0.9996737,0.6653276,-0.877811,0.9840876,0.6849955,-0.8582796,0.9780688,0.6935781,-0.8395119,1.00441,0.7183987,-0.8431857,0.9930513,0.7258437,-0.8244262,0.9828926,0.7192011,-0.8160492,1.016069,0.7139136,-0.8327299,1.000595,0.7222991,-0.8133582,0.987005,0.7152398,-0.8059823,1.030007,0.7025377,-0.825771,1.016601,0.7122556,-0.8062948,1.002686,0.7090399,-0.7971761,1.041111,0.6886593,-0.8210853,1.032396,0.6979024,-0.8064823,1.020671,0.6970229,-0.7998859,1.024174,0.6725821,-0.8625754,0.03507574,
1529328639994,0.9837052,0.6556712,-0.9029598,0.9676698,0.6756624,-0.8842629,0.961287,0.6842183,-0.865633,0.9877176,0.7086849,-0.8683382,0.9754543,0.7158563,-0.8502173,0.9649668,0.7088529,-0.8425921,0.9988273,0.7040442,-0.857445,0.9823385,0.7119327,-0.8390318,0.9685425,0.704255,-0.8327859,1.012327,0.6925125,-0.8498634,0.9976813,0.7014649,-0.8313256,0.9832617,0.6971109,-0.8237171,1.022924,0.6785185,-0.8446563,1.012879,0.686915,-0.8308591,1.000559,0.6847849,-0.8258642,1.007848,0.662667,-0.8867056,0.03393066,
1529328640027,0.9666235,0.6456738,-0.9280882,0.9499676,0.6656277,-0.9100192,0.9431756,0.6739274,-0.8914576,0.9701923,0.699047,-0.8937925,0.957058,0.7063604,-0.8764488,0.946236,0.6993124,-0.8693224,0.9808279,0.6941354,-0.8824128,0.9634657,0.7018894,-0.8649048,0.9494577,0.6939987,-0.8594265,0.99374,0.6822642,-0.8742174,0.9778429,0.690196,-0.8568195,0.9631804,0.6844556,-0.8510098,1.003682,0.6680046,-0.8685058,0.9921722,0.6751127,-0.8557557,0.9796619,0.6712987,-0.8529404,0.9905487,0.6526091,-0.9110114,0.03381908,
1529328640060,0.9489061,0.6367291,-0.9518094,0.9320061,0.6563222,-0.9335326,0.9249151,0.6641655,-0.914907,0.9520413,0.690062,-0.9178777,0.937874,0.6968101,-0.9014238,0.9268551,0.689135,-0.895343,0.9622569,0.6848122,-0.9061003,0.9440049,0.6922079,-0.8894755,0.9298143,0.6840577,-0.8849469,0.9745516,0.6725144,-0.8974431,0.9575993,0.6795723,-0.8810622,0.9428101,0.6729893,-0.876793,0.9839451,0.6579525,-0.8913704,0.971514,0.6643186,-0.8792732,0.9590105,0.6599646,-0.8777952,0.9724963,0.6434707,-0.9344319,0.03178032,
1529328640087,0.9363767,0.6311129,-0.9683137,0.9181334,0.6499584,-0.9505397,0.9100683,0.6572604,-0.9321159,0.9368235,0.6842161,-0.9339014,0.9215955,0.6902947,-0.9182568,0.9105733,0.68208,-0.9129567,0.9466791,0.6789863,-0.9216486,0.9274288,0.6857193,-0.9058307,0.9132612,0.6771812,-0.9020824,0.9586259,0.6666105,-0.9125434,0.9404849,0.6723674,-0.897203,0.9258938,0.6647518,-0.8943464,0.9679337,0.6520816,-0.9061862,0.9544044,0.657261,-0.8949388,0.942228,0.6519783,-0.894908,0.9591644,0.6382768,-0.9498996,0.0313583,
1529328640115,0.9202878,0.6246464,-0.9893103,0.900745,0.6430846,-0.9724533,0.8916492,0.6502321,-0.9544811,0.9182467,0.6776513,-0.9549034,0.9019934,0.6831838,-0.9401342,0.8909959,0.6745708,-0.9354235,0.9277399,0.6724721,-0.9421865,0.9074899,0.6786275,-0.9272152,0.8933053,0.6698575,-0.9240071,0.9394335,0.6601295,-0.9326024,0.9202507,0.6649245,-0.9182134,0.905807,0.656737,-0.9162452,0.9487165,0.6457102,-0.9258794,0.9342854,0.6500608,-0.9153399,0.9223754,0.6443304,-0.9161639,0.9424336,0.6322666,-0.9698913,0.03091915,
1529328640140,0.9117244,0.6214389,-1.002236,0.8908401,0.6396455,-0.9867975,0.8807337,0.646826,-0.9694206,0.9068042,0.6747509,-0.9686162,0.889659,0.6798927,-0.9547387,0.8787715,0.6709468,-0.9504237,0.9159049,0.6699272,-0.9553872,0.8947423,0.6755663,-0.9413751,0.8806989,0.6664394,-0.938636,0.9274818,0.657978,-0.945145,0.9074246,0.6621169,-0.9317183,0.8931949,0.6534392,-0.9303432,0.9368567,0.6439403,-0.9378488,0.9217106,0.6477499,-0.928103,0.910144,0.6415309,-0.9295595,0.932871,0.6298801,-0.9818013,0.03076598,
