time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529328560899,0.824203,0.9143193,-0.8068475,0.8002586,0.9322899,-0.7942669,0.7854387,0.9430536,-0.7826549,0.8255128,0.9756596,-0.7800314,0.8127761,0.9905125,-0.7660339,0.8004458,0.9909624,-0.7573605,0.8351016,0.9721177,-0.765722,0.8196142,0.9889632,-0.7502152,0.804525,0.9907364,-0.7418573,0.8452261,0.9599133,-0.7538805,0.829952,0.9738842,-0.7376691,0.8149859,0.9750709,-0.7297077,0.8529478,0.9444901,-0.7445358,0.840922,0.9532266,-0.7314944,0.8282023,0.953036,-0.7269614,0.8466439,0.9261419,-0.7884732,0.05621634,
1529328560927,0.8235095,0.8949677,-0.8246186,0.7988093,0.9127511,-0.8133055,0.7833915,0.9234239,-0.8024265,0.8228986,0.9560931,-0.7975351,0.8089987,0.9703318,-0.7841068,0.7963011,0.9700876,-0.7759944,0.8324246,0.9528235,-0.7829803,0.8159479,0.969105,-0.7681195,0.8004649,0.9700086,-0.7604561,0.8428397,0.9409691,-0.7707963,0.827149,0.9548083,-0.7550475,0.8119255,0.9556404,-0.747543,0.8509418,0.9257754,-0.7610754,0.8393131,0.9349519,-0.7479197,0.8266901,0.9352019,-0.7431341,0.8453683,0.9070342,-0.8052942,0.0551618,
1529328560952,0.8211187,0.8632451,-0.8515355,0.7953404,0.8803022,-0.8416589,0.7790949,0.8902926,-0.8313738,0.8165891,0.9229435,-0.8224306,0.8006343,0.935851,-0.8099854,0.7873181,0.9345315,-0.8030224,0.8254837,0.9195114,-0.8074416,0.8068641,0.934145,-0.7937424,0.7907224,0.9333529,-0.787609,0.8360435,0.9077138,-0.7948063,0.8188975,0.9203609,-0.7798426,0.8030999,0.9200242,-0.7735701,0.8444569,0.892543,-0.7849162,0.8324114,0.9013552,-0.7718867,0.8196406,0.9014866,-0.7674847,0.8416014,0.8750148,-0.8301058,0.05318366,
1529328560979,0.8186283,0.8437039,-0.8666676,0.7920671,0.8600357,-0.8577904,0.7752502,0.8693399,-0.8478203,0.8107809,0.9020806,-0.8361313,0.7934228,0.9138658,-0.8245153,0.7798145,0.9116718,-0.8183851,0.8192002,0.8984692,-0.8208709,0.7990129,0.9115191,-0.8081278,0.7826322,0.9092325,-0.8031688,0.8298978,0.8867384,-0.8079738,0.8114572,0.8979729,-0.793745,0.7953726,0.8961943,-0.7886536,0.8386245,0.8716605,-0.7980718,0.8257828,0.8796593,-0.7854531,0.8127877,0.8789513,-0.7819086,0.8378549,0.8552172,-0.8437518,0.05176144,
1529328561013,0.8128778,0.8111581,-0.8890072,0.7855587,0.8263475,-0.8805943,0.7683114,0.8346218,-0.8704931,0.8008251,0.8676785,-0.8574488,0.7818364,0.8774889,-0.8466446,0.7681773,0.8738477,-0.8413373,0.8089135,0.8639888,-0.8420198,0.7869208,0.8745142,-0.8302393,0.7705983,0.8702782,-0.8263947,0.8200225,0.8525734,-0.8289504,0.8000048,0.8615059,-0.8155457,0.7839001,0.857812,-0.8116612,0.8293579,0.8378224,-0.8190898,0.8152889,0.84419,-0.8071412,0.8021653,0.8420491,-0.8047294,0.8308668,0.8227159,-0.865045,0.04887486,
1529328561034,0.8075044,0.7909422,-0.900739,0.7797567,0.8053132,-0.8924242,0.7622859,0.8128327,-0.8821372,0.7929305,0.8459499,-0.8682919,0.7730754,0.8542471,-0.8578464,0.7595223,0.8495625,-0.8530831,0.8007963,0.8421159,-0.8528183,0.7778515,0.8508381,-0.8415437,0.7617289,0.8453452,-0.838441,0.8120556,0.8308256,-0.8397787,0.7911218,0.838093,-0.8269253,0.7751489,0.8331878,-0.8238785,0.8216428,0.8162553,-0.8300945,0.806723,0.8213847,-0.8187511,0.7936379,0.8182781,-0.8172321,0.8247765,0.8024114,-0.8761542,0.0469133,
1529328561059,0.8027956,0.7663007,-0.9180626,0.7742856,0.7789501,-0.9097623,0.7564381,0.7848849,-0.8991327,0.7844659,0.8187915,-0.8838215,0.7636936,0.8253504,-0.873943,0.7502651,0.819639,-0.8700111,0.791829,0.814301,-0.8682162,0.7678294,0.8205003,-0.8576746,0.7521373,0.8134514,-0.8557886,0.8029792,0.8028213,-0.8554689,0.7808005,0.8072578,-0.8437852,0.7653286,0.8004289,-0.8424265,0.8127417,0.788348,-0.8463014,0.7965041,0.7911692,-0.8364276,0.7838556,0.786374,-0.8369074,0.8186684,0.7772956,-0.8923924,0.04576045,
1529328561085,0.7967952,0.7385658,-0.9384167,0.767466,0.7493092,-0.930582,0.7492266,0.7535244,-0.919847,0.77423,0.7882354,-0.9027648,0.7526613,0.7929111,-0.8935669,0.7395506,0.7860646,-0.8905163,0.7810497,0.7830533,-0.8870758,0.7561557,0.7863466,-0.8775378,0.7412561,0.7775927,-0.8770218,0.7920988,0.771488,-0.8746943,0.768899,0.7725611,-0.8647799,0.7545593,0.7635738,-0.8655158,0.8020574,0.7573031,-0.8661119,0.7847484,0.7572922,-0.8586854,0.7735894,0.7504597,-0.8620495,0.8112518,0.7493145,-0.911576,0.04486403,
1529328561112,0.7935978,0.7206966,-0.95419,0.7638686,0.7300601,-0.9462249,0.7454535,0.7329547,-0.9353863,0.7683482,0.7673652,-0.9169298,0.7463312,0.7700575,-0.9084065,0.7338417,0.7618584,-0.9065244,0.7747741,0.761265,-0.9014222,0.7494486,0.7620821,-0.8929597,0.7354774,0.7520214,-0.8939798,0.7857411,0.7493747,-0.8895804,0.762156,0.747932,-0.8813069,0.7489779,0.737689,-0.8839527,0.7957963,0.7352973,-0.8817341,0.7781558,0.7335353,-0.8762076,0.7684987,0.7259085,-0.88156,0.8068197,0.7303425,-0.9266576,0.04246484,
1529328561139,0.7899518,0.7057515,-0.9660147,0.7601129,0.7144859,-0.9577838,0.7416748,0.7166811,-0.9468441,0.7633102,0.7507396,-0.9283611,0.7410963,0.7521133,-0.9205472,0.7292227,0.7429802,-0.9197282,0.7693006,0.7440401,-0.9130235,0.7437596,0.7435178,-0.905614,0.7304513,0.7328405,-0.9078437,0.779992,0.7319176,-0.9014568,0.7561973,0.7293423,-0.89451,0.7436924,0.7186958,-0.8984137,0.7899031,0.7179188,-0.893931,0.7720606,0.7156309,-0.8895831,0.763114,0.7079235,-0.8958616,0.8023269,0.7145965,-0.938284,0.03977399,
1529328561167,0.7848687,0.6812067,-0.9819822,0.7549811,0.689325,-0.9733558,0.7365626,0.6908388,-0.9622689,0.7572597,0.7244545,-0.9434259,0.7349715,0.7249326,-0.9358735,0.7234313,0.7153947,-0.9357733,0.7629638,0.7171299,-0.9283355,0.7372938,0.7157035,-0.9214131,0.7242785,0.7048868,-0.9244078,0.7734431,0.704661,-0.9172378,0.7495239,0.7011922,-0.9111587,0.7374209,0.6904466,-0.9159455,0.7832549,0.6906374,-0.9101864,0.7653094,0.6878344,-0.9067433,0.7569438,0.6801809,-0.9137773,0.796708,0.6892273,-0.9541143,0.03843749,
1529328561200,0.7800474,0.661834,-0.9996809,0.7500746,0.6691126,-0.9906172,0.7316573,0.6698771,-0.9794393,0.7516419,0.7029485,-0.9596805,0.7293023,0.7025354,-0.9521566,0.7179308,0.692801,-0.9525176,0.7573137,0.6949304,-0.9449466,0.7315651,0.6924545,-0.9382187,0.7187164,0.6815856,-0.9417186,0.767815,0.6821131,-0.9345384,0.743875,0.6775076,-0.9291496,0.7321771,0.6666639,-0.9346839,0.7777345,0.6680952,-0.9281374,0.7597871,0.6645321,-0.925511,0.7519929,0.6569628,-0.9332341,0.7915963,0.6689018,-0.9716266,0.03793017,
1529328561232,0.7752218,0.6479702,-1.015041,0.7453062,0.6549709,-1.005691,0.7270548,0.655328,-0.9942465,0.7462069,0.6876637,-0.9745481,0.7238435,0.6863885,-0.967049,0.7126573,0.6764197,-0.9676047,0.7518657,0.6791722,-0.9601023,0.7261328,0.6753483,-0.9537569,0.713725,0.6641169,-0.957709,0.7624062,0.6662544,-0.9502242,0.7386302,0.6601559,-0.9459294,0.7278244,0.6488784,-0.952352,0.7724675,0.6524959,-0.9441243,0.7546777,0.6479642,-0.9426471,0.7478623,0.6402977,-0.9511431,0.7866021,0.654587,-0.9869294,0.03690437,
1529328561259,0.7733936,0.6405765,-1.027049,0.7432512,0.6463953,-1.017609,0.7248639,0.6456667,-1.006398,0.742666,0.6768183,-0.9850177,0.7202082,0.6742479,-0.9781722,0.7093931,0.6639723,-0.979712,0.7481824,0.6674829,-0.9711052,0.7224479,0.6623189,-0.96579,0.710556,0.6509893,-0.9708919,0.7587857,0.6542785,-0.9618747,0.7350659,0.6472019,-0.958711,0.7247046,0.6361138,-0.9661518,0.7690119,0.6405045,-0.956376,0.7512336,0.6354859,-0.9556426,0.7446586,0.6282516,-0.9647012,0.7840127,0.6456316,-0.9985502,0.03586882,
1529328561286,0.770309,0.6287578,-1.042068,0.7399784,0.6337532,-1.032706,0.7215571,0.632472,-1.021618,0.7383826,0.6634874,-0.9999514,0.7159805,0.6598834,-0.9935413,0.7057049,0.6491429,-0.995492,0.7440658,0.6539422,-0.9861807,0.7185565,0.6474636,-0.9815006,0.7074115,0.6356707,-0.9871758,0.7549627,0.6408989,-0.977134,0.7316123,0.6326309,-0.9747722,0.722123,0.6212357,-0.9828659,0.765517,0.6274511,-0.9717152,0.7479756,0.6216871,-0.9715585,0.7419901,0.6144422,-0.9810006,0.7806972,0.6338041,-1.013504,0.03481096,
1529328561312,0.7696664,0.6233915,-1.049545,0.73915,0.6279937,-1.040473,0.7205722,0.6265424,-1.029684,0.7366642,0.6573871,-1.008291,0.7141998,0.6528983,-1.002766,0.7043918,0.6418062,-1.005194,0.7422742,0.6477593,-0.9945168,0.7168516,0.6403267,-0.9908592,0.7062436,0.628262,-0.997054,0.7531944,0.6348695,-0.9853588,0.7300172,0.6258554,-0.9839705,0.7210248,0.6143246,-0.9925025,0.7638205,0.6216639,-0.9796837,0.7462844,0.6155033,-0.9800363,0.740286,0.608274,-0.9895531,0.7795377,0.6284516,-1.020953,0.03308364,
1529328561340,0.7715322,0.6176594,-1.057951,0.740914,0.6219112,-1.049021,0.7222959,0.620128,-1.038383,0.7372133,0.6503297,-1.017858,0.7149101,0.6443821,-1.013641,0.7060907,0.632723,-1.017025,0.7425687,0.6407883,-1.004167,0.7173299,0.6323422,-1.001993,0.7075131,0.6200464,-1.009041,0.7533869,0.6281461,-0.9946589,0.7302021,0.6187181,-0.9941474,0.7213138,0.6072652,-1.002977,0.7639583,0.615077,-0.9886389,0.7462181,0.6087728,-0.9892119,0.7396303,0.6016709,-0.9985367,0.7807024,0.6225594,-1.029391,0.02962137,
1529328561366,0.7736449,0.6147475,-1.062539,0.7432267,0.6194452,-1.053283,0.7249061,0.6177492,-1.042195,0.7391168,0.6471521,-1.023971,0.7172899,0.6397433,-1.020636,0.7097417,0.6274424,-1.024643,0.7443374,0.6381414,-1.010243,0.7195456,0.6287222,-1.009143,0.7108576,0.6159809,-1.016799,0.7550604,0.6260678,-1.000113,0.7319318,0.6164118,-0.9999259,0.7232154,0.6048255,-1.008775,0.7655248,0.6132402,-0.9935455,0.7476315,0.6069549,-0.9939606,0.7406389,0.599791,-1.002973,0.7824802,0.6199656,-1.034403,0.02513947,
1529328561393,0.7753958,0.6122868,-1.066508,0.7452046,0.6172754,-1.056761,0.7271707,0.6155664,-1.045262,0.741381,0.6444844,-1.028214,0.7198688,0.636377,-1.025297,0.7129962,0.6238518,-1.029739,0.7465454,0.6356345,-1.014586,0.7219943,0.6258754,-1.013992,0.7138721,0.6130463,-1.022063,0.7571802,0.6237279,-1.004278,0.7340151,0.6141836,-1.00415,0.7252659,0.602682,-1.013074,0.7675232,0.6108986,-0.9976082,0.7494981,0.604843,-0.9978108,0.742205,0.5977922,-1.006677,0.7843742,0.617413,-1.038601,0.02259458,
1529328561429,0.7784507,0.6081791,-1.070856,0.7486824,0.6133074,-1.060047,0.731167,0.611352,-1.047862,0.7455971,0.6398856,-1.032239,0.7244334,0.6310524,-1.029689,0.7181841,0.6184667,-1.034755,0.7507288,0.6311175,-1.018826,0.7263294,0.6212316,-1.018568,0.7185678,0.6085546,-1.027144,0.7612488,0.6191368,-1.008633,0.7380077,0.6098585,-1.008493,0.7291362,0.5986459,-1.017635,0.7714261,0.6061743,-1.002067,0.7532212,0.6005292,-1.00186,0.7454581,0.5938033,-1.010571,0.7878464,0.6128895,-1.043335,0.01977251,
1529328561448,0.7790617,0.6086285,-1.071708,0.7493566,0.6134136,-1.060668,0.7320467,0.6109858,-1.048312,0.7459543,0.6395628,-1.032944,0.7249775,0.6303791,-1.030707,0.7191138,0.617792,-1.036157,0.7510289,0.6307055,-1.01968,0.7268252,0.6205777,-1.019845,0.7195002,0.6079484,-1.028824,0.7615309,0.6187065,-1.009559,0.7384002,0.6093202,-1.009739,0.7298139,0.5981829,-1.019208,0.7717144,0.6057481,-1.003074,0.7535443,0.6001009,-1.003003,0.7459265,0.5934626,-1.011887,0.7882987,0.6129997,-1.044212,0.01900816,
1529328561473,0.7812657,0.6080562,-1.075533,0.7516595,0.6123315,-1.064137,0.7346798,0.6092948,-1.051512,0.7481056,0.6381596,-1.036281,0.7272657,0.6286696,-1.034105,0.7215623,0.6161215,-1.039785,0.7532592,0.6291829,-1.023201,0.7292314,0.618772,-1.023528,0.7221867,0.6062101,-1.032787,0.7638553,0.6171187,-1.013317,0.7408971,0.6074595,-1.013723,0.7326243,0.5963813,-1.023499,0.7741462,0.6041495,-1.006994,0.7561138,0.5982912,-1.007073,0.7487767,0.5917498,-1.016233,0.7905763,0.612191,-1.048081,0.01887347,
