time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529328778865,1.083286,0.7425178,-0.7031779,1.066556,0.7550874,-0.6784617,1.058537,0.7618886,-0.6594826,1.084796,0.7957599,-0.6668391,1.076355,0.8011278,-0.6451339,1.069381,0.7946995,-0.6333629,1.099707,0.7935696,-0.6593393,1.088208,0.8000798,-0.6354553,1.077939,0.7937617,-0.6229896,1.11725,0.7848243,-0.6562233,1.108392,0.7920597,-0.6326983,1.098488,0.7883038,-0.6192149,1.131827,0.7722186,-0.6546305,1.127123,0.7785024,-0.6362182,1.119076,0.7769123,-0.6253732,1.108676,0.7561548,-0.6939858,0.04331737,
1529328778893,1.082785,0.7358776,-0.723361,1.06661,0.7502375,-0.699316,1.059071,0.7579417,-0.6804855,1.08653,0.788629,-0.6871351,1.07778,0.7940152,-0.6656737,1.070346,0.7873574,-0.6543878,1.101392,0.7858999,-0.6795431,1.089783,0.7928825,-0.6559392,1.079043,0.7867672,-0.6438154,1.1184,0.7762495,-0.6761645,1.109362,0.7837478,-0.6528597,1.098976,0.7801371,-0.6397347,1.132685,0.763456,-0.6745521,1.128293,0.7706225,-0.6564518,1.120029,0.7696409,-0.6457201,1.10882,0.7478042,-0.7137235,0.04090866,
1529328778920,1.081418,0.7307773,-0.7342993,1.065063,0.7463824,-0.7111944,1.057399,0.7549086,-0.6927772,1.085735,0.7839571,-0.6989698,1.076602,0.7897345,-0.6778396,1.068963,0.7830976,-0.6667283,1.100527,0.7812461,-0.6912823,1.088537,0.7887823,-0.6681338,1.077556,0.7827373,-0.6562495,1.117349,0.7713244,-0.687507,1.107865,0.7791771,-0.664581,1.097135,0.7755323,-0.6517935,1.131521,0.7585185,-0.6855665,1.126727,0.7660552,-0.667855,1.117973,0.7649196,-0.6575949,1.107828,0.7422396,-0.724418,0.04008616,
1529328778945,1.07943,0.7246173,-0.7517625,1.062862,0.7414719,-0.7297437,1.055137,0.7507163,-0.7117186,1.083995,0.777939,-0.7170944,1.074202,0.7836922,-0.6964196,1.06626,0.7766483,-0.6858733,1.098592,0.775202,-0.7091604,1.085871,0.7828611,-0.6866685,1.074502,0.7763983,-0.6754873,1.11514,0.7650716,-0.7048729,1.104846,0.7731243,-0.6825162,1.093551,0.7691976,-0.670388,1.128991,0.7521726,-0.7024477,1.123299,0.7598745,-0.685271,1.113794,0.7583152,-0.67583,1.105997,0.7354266,-0.7412188,0.03826438,
1529328778972,1.077855,0.7195089,-0.7643777,1.061213,0.7375858,-0.7434923,1.053665,0.7474221,-0.7257464,1.082326,0.7732227,-0.7307752,1.071864,0.7790523,-0.7106435,1.06361,0.7716556,-0.7006924,1.096566,0.7704371,-0.7224073,1.082994,0.7780838,-0.7007138,1.071242,0.771062,-0.690407,1.112752,0.7602611,-0.7174758,1.101463,0.7685811,-0.6958814,1.089554,0.7643903,-0.6845223,1.126135,0.7473201,-0.7143807,1.119289,0.7552488,-0.6979347,1.109054,0.753296,-0.689441,1.104355,0.7299156,-0.7532266,0.03624726,
1529328779007,1.074955,0.7114707,-0.7819338,1.058127,0.7302496,-0.7619242,1.050625,0.7402071,-0.7442764,1.078826,0.7653116,-0.7488759,1.067354,0.7710066,-0.7295356,1.058651,0.7630855,-0.7205235,1.092457,0.7622169,-0.7398148,1.077626,0.7694492,-0.7192107,1.065384,0.7616308,-0.710228,1.10814,0.751899,-0.734083,1.095446,0.760087,-0.713485,1.082754,0.7553101,-0.7033593,1.120885,0.738803,-0.7302519,1.112567,0.7466174,-0.7146717,1.101558,0.7440796,-0.7074481,1.101079,0.7213707,-0.7697265,0.0339416,
1529328779039,1.071379,0.7036526,-0.7969723,1.053883,0.7228729,-0.778055,1.046006,0.7328926,-0.7606587,1.074415,0.7574197,-0.7638555,1.062039,0.7627978,-0.7452307,1.053049,0.7543775,-0.7370503,1.087441,0.7540679,-0.754196,1.071456,0.7605886,-0.7346027,1.058979,0.7519171,-0.7268884,1.10279,0.7437539,-0.747799,1.088822,0.7513868,-0.7281547,1.075605,0.7456871,-0.7193791,1.115097,0.7305968,-0.7433871,1.10553,0.7379814,-0.7285933,1.094021,0.7346542,-0.7226552,1.097181,0.7132424,-0.7834919,0.0326887,
1529328779065,1.068744,0.6974701,-0.8086066,1.050875,0.7170175,-0.7904762,1.042864,0.7269698,-0.7731638,1.071099,0.7512909,-0.7757162,1.057946,0.7564178,-0.7578205,1.048781,0.7475373,-0.750434,1.083615,0.7477075,-0.7655277,1.066723,0.7537185,-0.7468785,1.054121,0.744419,-0.7402329,1.09863,0.7373517,-0.7585171,1.083671,0.7445683,-0.7397521,1.070122,0.7381775,-0.732145,1.110589,0.7241516,-0.753584,1.100172,0.7313054,-0.7394576,1.088382,0.727505,-0.7345154,1.094197,0.7068191,-0.7941663,0.03121983,
1529328779092,1.063354,0.6889613,-0.8233516,1.04493,0.7085553,-0.8060289,1.036893,0.7180727,-0.788592,1.063904,0.7428944,-0.7909387,1.049785,0.7473502,-0.7740554,1.040759,0.7375964,-0.767824,1.075786,0.7392257,-0.7801116,1.057753,0.744181,-0.7627572,1.045387,0.7337799,-0.7575769,1.090518,0.7291124,-0.7723438,1.074257,0.7354455,-0.7548203,1.060614,0.7278529,-0.7488209,1.10226,0.7161365,-0.7667832,1.090722,0.7228513,-0.7536067,1.078807,0.7182401,-0.7499566,1.088129,0.6984552,-0.8077955,0.02876506,
1529328779118,1.059358,0.6844885,-0.8334142,1.040392,0.7036788,-0.8163601,1.032112,0.712491,-0.7987386,1.058431,0.7374473,-0.7997268,1.043655,0.740837,-0.7835103,1.034844,0.7303079,-0.7784649,1.069857,0.7335622,-0.7885889,1.051096,0.7373945,-0.7721294,1.039011,0.726189,-0.7682896,1.084383,0.7234328,-0.7805033,1.067329,0.7287824,-0.763774,1.053765,0.7203025,-0.7591472,1.096024,0.7104666,-0.7747902,1.083905,0.7166824,-0.7620588,1.071985,0.7116121,-0.7593254,1.083497,0.6936436,-0.8166594,0.02712798,
