time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529328509284,0.7985478,0.529613,-0.8527852,0.7949978,0.5126516,-0.8261817,0.8011773,0.4990558,-0.8108699,0.7801227,0.5416797,-0.7926555,0.7721466,0.5297935,-0.7728013,0.7673011,0.5167867,-0.7663573,0.7962775,0.536942,-0.7864912,0.7866738,0.5217437,-0.765178,0.7795548,0.5068585,-0.7593018,0.8146051,0.5322,-0.7881486,0.8057723,0.5163443,-0.7699056,0.7982842,0.5012344,-0.7677467,0.8333781,0.5268227,-0.7929333,0.8301975,0.5162202,-0.7763414,0.824252,0.5052241,-0.7709677,0.8123932,0.5394914,-0.835614,0.05868009,
1529328509327,0.7965774,0.5363003,-0.8569198,0.7916845,0.5196678,-0.830122,0.7961801,0.5063133,-0.8139397,0.7777457,0.5492363,-0.7968356,0.7695676,0.5381129,-0.776661,0.764619,0.5253139,-0.769908,0.7939878,0.5446963,-0.7903169,0.784361,0.5303816,-0.7684844,0.7772017,0.5156828,-0.7622316,0.8126355,0.5405443,-0.7914071,0.804266,0.5265834,-0.7711129,0.7968179,0.5120203,-0.7661836,0.8303012,0.5339514,-0.7966419,0.8257918,0.5232391,-0.7806621,0.8191444,0.5121267,-0.7765746,0.8104447,0.5463911,-0.8395815,0.05741012,
1529328509365,0.7940515,0.5437228,-0.8632195,0.7874068,0.5274236,-0.8363963,0.7898636,0.5144011,-0.8194344,0.7749232,0.5580349,-0.8032215,0.7664263,0.5476552,-0.7828067,0.7613111,0.5350873,-0.7757605,0.7911505,0.5537518,-0.796325,0.781261,0.5404297,-0.7740374,0.7739466,0.5259953,-0.7673845,0.8100897,0.5498259,-0.7969723,0.8019322,0.5374173,-0.7754481,0.7945008,0.5234756,-0.7687913,0.8276415,0.5425389,-0.8021474,0.8230834,0.532235,-0.7860221,0.8163258,0.5211706,-0.7821947,0.8081894,0.5541652,-0.8455908,0.05612996,
1529328509413,0.7911952,0.5502297,-0.871143,0.7816728,0.534663,-0.8444852,0.7803757,0.5223778,-0.8267001,0.7729169,0.5668169,-0.8110278,0.7638752,0.5574268,-0.7903987,0.7583607,0.545209,-0.7830545,0.7892641,0.5625696,-0.8038699,0.7790442,0.5505283,-0.7810555,0.7713809,0.5365263,-0.773931,0.8084267,0.558365,-0.8043171,0.8004037,0.5473878,-0.7819608,0.7928101,0.5340396,-0.7743384,0.8259633,0.5504178,-0.809355,0.8219439,0.5411813,-0.7922179,0.8154731,0.5306414,-0.7866051,0.8063654,0.5609663,-0.8532255,0.05395241,
1529328509450,0.789704,0.5531421,-0.8804775,0.7773671,0.5389973,-0.8540194,0.7723366,0.5281666,-0.8358582,0.7717354,0.5727164,-0.8208954,0.7621833,0.5642734,-0.8001024,0.7564319,0.55239,-0.7924078,0.7880664,0.5688012,-0.8133551,0.7773887,0.5579638,-0.7901703,0.7694976,0.5443552,-0.7825699,0.8074106,0.5645592,-0.8133642,0.7992361,0.5549306,-0.7904452,0.7915144,0.5421103,-0.7820708,0.8253586,0.5561273,-0.8178858,0.8220546,0.547973,-0.7998681,0.8161483,0.5380985,-0.7925249,0.8056685,0.5648732,-0.8624263,0.05222714,
1529328509487,0.7872872,0.5558732,-0.8909308,0.7725428,0.5438241,-0.8645941,0.7649856,0.5346429,-0.8463715,0.7701217,0.5789111,-0.8323693,0.7597535,0.57139,-0.8115681,0.7534585,0.5600026,-0.8035262,0.7862726,0.5749173,-0.8245212,0.7746835,0.5652021,-0.8012387,0.7662106,0.5521457,-0.7932853,0.8056444,0.5701333,-0.824062,0.796842,0.5616775,-0.800854,0.7886314,0.5495683,-0.7918308,0.8233875,0.5608689,-0.8279927,0.8196955,0.5535239,-0.8095978,0.8135632,0.5443048,-0.8016028,0.8043352,0.5679175,-0.8729534,0.05110492,
1529328509527,0.7854911,0.5578563,-0.9025564,0.7680703,0.5489556,-0.8766112,0.758719,0.5416623,-0.8583896,0.7687359,0.583486,-0.8456013,0.7570491,0.5765585,-0.8252246,0.7498444,0.5657079,-0.8171294,0.7842981,0.5789751,-0.8371823,0.7710603,0.5701835,-0.8142671,0.7615414,0.5579633,-0.8060421,0.8035254,0.5734203,-0.8357597,0.7934405,0.5662761,-0.812441,0.7843438,0.5553806,-0.8026224,0.8208162,0.563335,-0.8386484,0.816119,0.5572347,-0.8199074,0.8094666,0.5491504,-0.8110565,0.8035443,0.5694338,-0.8844262,0.04857318,
1529328509563,0.7816458,0.561892,-0.9189193,0.7627204,0.554806,-0.893497,0.7527652,0.5485114,-0.8752528,0.7640291,0.5895176,-0.8637369,0.7514081,0.5822287,-0.8441123,0.7440774,0.5710624,-0.8365864,0.7790848,0.5854757,-0.8549019,0.7644072,0.5765314,-0.8330259,0.7545611,0.5640421,-0.8256397,0.7982135,0.5799981,-0.8525999,0.7865207,0.5727824,-0.830139,0.7768157,0.5616889,-0.8211451,0.8154681,0.5700946,-0.8544283,0.8090408,0.564225,-0.8362384,0.8014019,0.5560616,-0.8282917,0.8000863,0.574046,-0.9005674,0.04559739,
1529328509610,0.7796125,0.5582923,-0.9339772,0.7592818,0.5521842,-0.9094495,0.7488233,0.5463476,-0.8913668,0.7604989,0.5873362,-0.8804449,0.7469757,0.579487,-0.8617353,0.7396256,0.5678872,-0.8549576,0.7749789,0.5837867,-0.8711289,0.7589234,0.5745297,-0.8505001,0.7488989,0.5616512,-0.8441504,0.794041,0.5784895,-0.8678243,0.7808763,0.5711085,-0.8463504,0.7707301,0.5596541,-0.8384586,0.8114227,0.5688764,-0.8685432,0.8036427,0.5631934,-0.8509684,0.7952942,0.5548304,-0.8440895,0.7980096,0.5711606,-0.9151062,0.04329176,
1529328509647,0.7796752,0.5506573,-0.9457709,0.7575965,0.5473012,-0.922236,0.7456165,0.5434389,-0.9045481,0.7593676,0.5835429,-0.8956988,0.7445424,0.5760732,-0.8779114,0.7368575,0.5644733,-0.8715417,0.7731591,0.5804057,-0.8856269,0.7554383,0.571873,-0.8661668,0.7449466,0.5591053,-0.8603886,0.7917563,0.5749196,-0.880987,0.7766704,0.5683333,-0.8606433,0.7657915,0.557034,-0.8535951,0.8087987,0.5652491,-0.8800546,0.7991703,0.560686,-0.8631583,0.7899295,0.5527154,-0.8570529,0.7979772,0.5645205,-0.926989,0.04010724,
