time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529328435176,0.802493,1.019078,-0.6269153,0.7912617,1.017563,-0.5968338,0.7905471,1.01563,-0.575408,0.7828301,1.062128,-0.5830604,0.7721842,1.061694,-0.5606639,0.7668662,1.05495,-0.5478457,0.799252,1.064697,-0.5759687,0.7873988,1.064733,-0.5501436,0.7801179,1.057699,-0.5357348,0.8184221,1.060151,-0.5748329,0.8084177,1.055266,-0.5509121,0.8017244,1.044448,-0.5392241,0.8369572,1.054139,-0.575916,0.8308476,1.050852,-0.5570671,0.824737,1.042517,-0.5482005,0.818794,1.040434,-0.6173606,0.05353951,
1529328435216,0.8052876,1.017489,-0.6498399,0.7921319,1.01938,-0.6206569,0.7906562,1.019919,-0.5992372,0.7827832,1.065244,-0.6127907,0.7707196,1.067368,-0.5911713,0.7645146,1.062422,-0.5779204,0.7984502,1.068191,-0.6049058,0.7847242,1.070005,-0.5800837,0.7765166,1.064168,-0.5655812,0.8174746,1.063744,-0.6020263,0.8057379,1.060072,-0.57867,0.798445,1.049807,-0.5668557,0.8359653,1.057858,-0.6011372,0.828194,1.054913,-0.5830315,0.8214265,1.046342,-0.5748481,0.8210877,1.040061,-0.6416996,0.05426136,
1529328435248,0.8083047,1.013661,-0.6701065,0.7933227,1.01784,-0.6420863,0.7906876,1.019933,-0.6209031,0.7846797,1.063918,-0.6376173,0.7715762,1.067419,-0.6167941,0.7646523,1.063342,-0.6036013,0.7998335,1.067197,-0.6291062,0.7847625,1.070657,-0.6052225,0.7756398,1.066077,-0.5907708,0.8184545,1.061712,-0.624826,0.805334,1.057815,-0.6022687,0.7975036,1.047402,-0.5909265,0.8366764,1.055991,-0.6225374,0.8275583,1.052622,-0.605356,0.8202559,1.04351,-0.5982403,0.8240713,1.036563,-0.662612,0.05349296,
1529328435276,0.8097407,1.01073,-0.6869445,0.79489,1.016108,-0.6591244,0.7926347,1.018666,-0.6379806,0.7874662,1.061925,-0.6553069,0.774523,1.066422,-0.6344935,0.7673253,1.063292,-0.6211655,0.8025686,1.064849,-0.6466739,0.7876061,1.069398,-0.6228386,0.7782318,1.065836,-0.6082352,0.8205937,1.057334,-0.6421927,0.8071035,1.05173,-0.6203034,0.7992128,1.040327,-0.6099936,0.8384334,1.051675,-0.6396881,0.8286667,1.047254,-0.6233481,0.8211184,1.037404,-0.6175958,0.8259932,1.033034,-0.6796534,0.05398864,
1529328435307,0.8132252,1.004267,-0.7092923,0.7983042,1.011369,-0.681868,0.7958243,1.014987,-0.6608995,0.7923499,1.057004,-0.6795834,0.7796812,1.062651,-0.658845,0.7724729,1.060353,-0.6453537,0.8075564,1.059924,-0.6710511,0.7929409,1.065802,-0.6472607,0.783586,1.063229,-0.6324265,0.8251819,1.051305,-0.6663831,0.8117688,1.04482,-0.645094,0.8041791,1.032352,-0.6358136,0.8426156,1.045393,-0.6637642,0.8324603,1.040189,-0.6483436,0.825058,1.029461,-0.6443466,0.8300094,1.02621,-0.7027253,0.05333931,
1529328435335,0.814756,0.9989893,-0.7245229,0.7995036,1.007527,-0.6975939,0.7960546,1.012015,-0.6768785,0.7959391,1.05312,-0.696149,0.7832147,1.05954,-0.6757169,0.7758378,1.057452,-0.662312,0.8113738,1.055733,-0.6875955,0.7968835,1.062758,-0.6640808,0.7873572,1.060722,-0.6492889,0.8290206,1.047294,-0.6824496,0.8156151,1.043203,-0.6605748,0.8074043,1.031774,-0.6506692,0.8457061,1.039601,-0.6798096,0.8352586,1.034539,-0.6648977,0.8277899,1.023605,-0.662127,0.8325756,1.020414,-0.7184343,0.05182075,
1529328435361,0.8174375,0.9902018,-0.7474109,0.8013879,0.9997323,-0.72113,0.7963511,1.004863,-0.7008271,0.8008239,1.045282,-0.7194823,0.7878389,1.052001,-0.6994453,0.7801997,1.04949,-0.6863077,0.8164572,1.047395,-0.7107537,0.8018854,1.055155,-0.6876366,0.792021,1.053088,-0.6731071,0.8343801,1.039993,-0.7052784,0.8211588,1.041285,-0.6822338,0.8116344,1.034888,-0.6690694,0.8502504,1.030032,-0.7022796,0.8396491,1.026246,-0.6871276,0.8316197,1.015855,-0.6841521,0.8363528,1.010759,-0.7410526,0.04963121,
1529328435396,0.8204545,0.9784631,-0.7720219,0.8026462,0.9887922,-0.7470742,0.7951996,0.9946058,-0.7276396,0.8050611,1.034305,-0.7447817,0.7912163,1.041361,-0.7255413,0.7828907,1.038726,-0.712875,0.8206613,1.036037,-0.7354113,0.8054405,1.044596,-0.7130818,0.7948756,1.042742,-0.6990502,0.8391432,1.030251,-0.7295414,0.8265874,1.037291,-0.7068639,0.8167046,1.035332,-0.6927251,0.8544879,1.019042,-0.7252812,0.8444308,1.019893,-0.7081974,0.8352289,1.013293,-0.7006214,0.8402772,0.9983304,-0.7647168,0.04812594,
1529328435425,0.8254278,0.9639643,-0.7937832,0.8061892,0.9748888,-0.7700854,0.7968667,0.9813582,-0.7516291,0.8102103,1.020504,-0.7676212,0.7959135,1.028117,-0.7489269,0.7871745,1.025878,-0.736454,0.8256403,1.022252,-0.75783,0.8099982,1.031458,-0.7360817,0.7990398,1.029942,-0.7223163,0.8443776,1.017451,-0.7517663,0.8321015,1.027279,-0.7299336,0.8220817,1.027405,-0.7157609,0.8597468,1.006133,-0.746542,0.8506378,1.010251,-0.7289567,0.8416591,1.006877,-0.719228,0.8455724,0.9836903,-0.7858703,0.04802306,
1529328435454,0.8292192,0.9513688,-0.8130177,0.8088485,0.9627038,-0.7904392,0.7981682,0.9695942,-0.7728633,0.8141434,1.008285,-0.7875248,0.799419,1.016048,-0.7692589,0.7903379,1.013831,-0.7570305,0.8293403,1.009944,-0.7773021,0.8132252,1.01932,-0.7560211,0.8018835,1.017792,-0.742577,0.8481433,1.005571,-0.7709403,0.835775,1.016528,-0.7497657,0.8254542,1.017339,-0.7358367,0.8636992,0.9945546,-0.7651211,0.8554631,1.000987,-0.7476349,0.8469279,1.000117,-0.7369084,0.8495563,0.9710144,-0.804589,0.04763312,
