time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529062596868,1.044415,0.5197878,-0.8068421,1.038612,0.5215777,-0.7688836,1.037098,0.5203947,-0.7424276,1.073906,0.5582219,-0.7507594,1.067792,0.5530743,-0.7227889,1.059338,0.5404016,-0.7122531,1.092011,0.5483721,-0.7504109,1.085202,0.5438845,-0.7180225,1.073656,0.532164,-0.7044366,1.108536,0.5332306,-0.7580858,1.104965,0.5281638,-0.7270109,1.093992,0.5177554,-0.7124985,1.120591,0.5162158,-0.7678881,1.121157,0.5123044,-0.7441884,1.112093,0.5056127,-0.7320274,1.079658,0.5267963,-0.8022771,0.0424901,
1529062596910,1.034119,0.515532,-0.8440427,1.028518,0.5208094,-0.8063673,1.026794,0.522163,-0.7799232,1.067217,0.5540713,-0.7905972,1.060955,0.5504247,-0.7623627,1.052132,0.5386322,-0.7511138,1.08489,0.543335,-0.7903293,1.078115,0.5404772,-0.7577382,1.066213,0.5297949,-0.7436291,1.100426,0.5268761,-0.7977464,1.096746,0.5229533,-0.766531,1.085317,0.5134898,-0.751755,1.111067,0.5088332,-0.8070004,1.110861,0.505506,-0.7832716,1.101071,0.4995917,-0.7712559,1.070354,0.5201885,-0.8407081,0.04175196,
1529062596935,1.028525,0.5134379,-0.8605645,1.024567,0.5206996,-0.8230064,1.023797,0.5235378,-0.7966222,1.065011,0.5520337,-0.8099654,1.059361,0.5489646,-0.7816128,1.050606,0.5373627,-0.7701322,1.082481,0.5407615,-0.8102466,1.076666,0.5386115,-0.7774224,1.064996,0.5284101,-0.7627717,1.097277,0.5237361,-0.8179374,1.094537,0.5204909,-0.7865487,1.08339,0.5115956,-0.7712021,1.10692,0.5052496,-0.8271352,1.107204,0.5024447,-0.8033439,1.0976,0.4970609,-0.7909049,1.065252,0.5168389,-0.8591581,0.04014433,
1529062596962,1.021205,0.5085541,-0.885353,1.018227,0.5176913,-0.8481123,1.017936,0.5219186,-0.8218976,1.060212,0.5467857,-0.8368217,1.054619,0.5446415,-0.8084102,1.045624,0.5335088,-0.7966645,1.07728,0.5347123,-0.8372142,1.071732,0.5334961,-0.8042776,1.05994,0.5240246,-0.7892295,1.091265,0.5169753,-0.8447927,1.08876,0.514582,-0.8132877,1.077555,0.5064733,-0.7975279,1.099875,0.4979692,-0.8536617,1.100116,0.4958144,-0.8297633,1.090507,0.4911271,-0.8170133,1.058174,0.5101888,-0.8848905,0.03921349,
1529062597003,1.013932,0.5035495,-0.9038119,1.012128,0.5146902,-0.8670495,1.012732,0.5200201,-0.8410823,1.054788,0.5421725,-0.857545,1.048773,0.5409786,-0.8297082,1.038994,0.5295745,-0.819121,1.071123,0.5289568,-0.8575467,1.064882,0.5285516,-0.8250434,1.052084,0.5192767,-0.8107963,1.084285,0.5105985,-0.8645419,1.081035,0.5093482,-0.8332862,1.068821,0.5018482,-0.8180257,1.091996,0.4913233,-0.8726763,1.091682,0.4906534,-0.8487884,1.081501,0.486846,-0.8362122,1.050927,0.5035458,-0.9040273,0.0355425,
1529062597076,0.9994275,0.4927889,-0.9344277,1.000018,0.5041103,-0.8976831,1.00255,0.5089832,-0.8718157,1.043914,0.5293728,-0.8901622,1.038666,0.5276749,-0.8627763,1.028556,0.5156451,-0.8534288,1.059214,0.5150813,-0.8909398,1.053296,0.5137858,-0.8587201,1.040017,0.5040603,-0.8452824,1.071244,0.4965809,-0.8986486,1.068055,0.4948521,-0.8677102,1.055207,0.4871204,-0.853153,1.077832,0.4775959,-0.9072181,1.077597,0.4772867,-0.8834534,1.067125,0.473654,-0.8711016,1.036283,0.4910469,-0.9364089,0.03253914,
1529062597095,0.9952192,0.4923258,-0.9430316,0.9960216,0.5040708,-0.90643,0.9986641,0.509197,-0.880606,1.040703,0.5279217,-0.899016,1.035711,0.5264602,-0.8713444,1.025561,0.5149539,-0.8612775,1.055722,0.5134488,-0.899825,1.050078,0.5124373,-0.8674113,1.036889,0.5031976,-0.8535227,1.067294,0.4946709,-0.9074962,1.064228,0.4930612,-0.8764338,1.051483,0.4857095,-0.8615628,1.073406,0.4754682,-0.915979,1.073063,0.475051,-0.8921629,1.062573,0.4716395,-0.8797543,1.032218,0.4897738,-0.9451895,0.0336183,
1529062597122,0.9924514,0.4932133,-0.9508836,0.9926264,0.50539,-0.9144229,0.994856,0.5106956,-0.8885887,1.037748,0.5285347,-0.906278,1.03248,0.527624,-0.8784641,1.022142,0.5166793,-0.8679061,1.052586,0.5139034,-0.90666,1.046587,0.5134592,-0.874203,1.033221,0.5047364,-0.8601383,1.063968,0.4948837,-0.9139132,1.060427,0.4937038,-0.8828186,1.047465,0.4867616,-0.8679346,1.069885,0.475428,-0.9220581,1.068985,0.4751605,-0.8982366,1.058183,0.471995,-0.8860362,1.02956,0.4900154,-0.9522352,0.03475767,
1529062597149,0.9890705,0.4960354,-0.9568856,0.9884781,0.5088772,-0.9206686,0.9901575,0.5145294,-0.894857,1.034209,0.5310255,-0.9115511,1.028601,0.5309836,-0.8836338,1.017984,0.5207752,-0.8725823,1.048769,0.5161752,-0.9113747,1.042309,0.5166292,-0.8789585,1.02862,0.5085553,-0.8648313,1.059857,0.4967834,-0.9180727,1.055704,0.4962899,-0.8870207,1.042342,0.489871,-0.8722773,1.065501,0.4770136,-0.9257855,1.063994,0.4771219,-0.9020022,1.052786,0.4743178,-0.8901047,1.026233,0.4919289,-0.9571691,0.03618689,
1529062597175,0.9838755,0.5004,-0.9613183,0.9831854,0.5147824,-0.9256896,0.9847311,0.5215056,-0.9001144,1.029498,0.5363961,-0.9170311,1.023934,0.5378823,-0.8890581,1.013179,0.5285763,-0.8773502,1.043735,0.5212818,-0.9161299,1.037206,0.5233411,-0.8837638,1.023355,0.5161916,-0.8693074,1.054454,0.5014191,-0.9219443,1.050126,0.5023767,-0.890916,1.036577,0.4968332,-0.8760049,1.059734,0.481215,-0.9287956,1.058024,0.4823646,-0.9050454,1.04666,0.4802417,-0.8931683,1.021023,0.4954994,-0.9610746,0.03711461,
