time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529062288634,0.7427362,0.5144392,-0.8628103,0.716792,0.5148968,-0.8344402,0.701571,0.5123366,-0.812989,0.7375377,0.5474683,-0.7978433,0.7185814,0.5366107,-0.7806457,0.7097879,0.5206811,-0.7818889,0.752907,0.5376598,-0.7896424,0.7295498,0.5261686,-0.7700095,0.7152383,0.5105317,-0.7703297,0.77204,0.5245852,-0.7884991,0.7513044,0.5137184,-0.7681826,0.7357669,0.4998451,-0.767337,0.7881449,0.5101597,-0.7913954,0.7735569,0.5033445,-0.7739094,0.7595732,0.4946481,-0.772167,0.7715874,0.5218318,-0.8399692,0.03323198,
1529062288661,0.7408271,0.5198014,-0.8729795,0.7157699,0.5236817,-0.844071,0.7003334,0.5237921,-0.8225412,0.7414387,0.5526663,-0.8078146,0.7216801,0.5442445,-0.7898451,0.7109157,0.5295006,-0.7901905,0.7560904,0.5410938,-0.8000854,0.7321951,0.5324246,-0.7793225,0.7160497,0.518672,-0.7784197,0.7737683,0.5258964,-0.7996381,0.7527021,0.5173759,-0.7782647,0.7357042,0.5054416,-0.7761628,0.7879782,0.5097706,-0.8032166,0.7732595,0.5044636,-0.7851467,0.7585015,0.4973809,-0.7824808,0.7712756,0.5235673,-0.8510466,0.03451297,
1529062288688,0.7397131,0.5221487,-0.8805653,0.7160405,0.529044,-0.8510636,0.7013185,0.531226,-0.8291583,0.7444084,0.5571226,-0.8169315,0.7241356,0.5513232,-0.7984643,0.7121474,0.5375696,-0.7979501,0.758399,0.5443748,-0.8090082,0.7342775,0.5386432,-0.7873542,0.716966,0.5265175,-0.7853005,0.774757,0.5277473,-0.8084275,0.7535799,0.5219751,-0.7861022,0.7356575,0.5117902,-0.7827405,0.7873421,0.5103664,-0.8118382,0.7726018,0.5070964,-0.7932013,0.7573963,0.5014788,-0.7896385,0.7708278,0.5239841,-0.859627,0.03363713,
1529062288714,0.738636,0.5207189,-0.8947046,0.717499,0.5317425,-0.8645201,0.7044606,0.5363662,-0.8419904,0.7491076,0.5590352,-0.8341484,0.7285436,0.5570719,-0.8152794,0.7150845,0.5448234,-0.8137662,0.7617182,0.5447518,-0.8256872,0.7374816,0.5431706,-0.8034287,0.71885,0.5333699,-0.8003118,0.7759638,0.5263731,-0.8244408,0.7547401,0.524646,-0.8013887,0.7357689,0.5170599,-0.7967994,0.7861921,0.5075086,-0.8270674,0.7715549,0.5073881,-0.8080059,0.7558765,0.5039717,-0.8036721,0.7700455,0.5200922,-0.8750342,0.03132078,
1529062288754,0.7363794,0.5198418,-0.910352,0.7172631,0.534164,-0.8802199,0.7056253,0.5400643,-0.8574076,0.7509893,0.5594778,-0.8516361,0.730378,0.5608077,-0.8335575,0.7159721,0.5497885,-0.8328808,0.7611622,0.5435736,-0.8425312,0.7363864,0.545368,-0.821485,0.7167678,0.5374047,-0.819662,0.7730371,0.5239012,-0.8403103,0.7513156,0.5258272,-0.8181298,0.7313994,0.5205654,-0.8144874,0.7808778,0.5040674,-0.8420174,0.7661312,0.507096,-0.8234835,0.7500033,0.5058072,-0.8198136,0.7669474,0.5162412,-0.8906416,0.02834046,
1529062288784,0.7319888,0.5166908,-0.9234413,0.7163497,0.5347129,-0.8933181,0.7071288,0.5424662,-0.8700289,0.7524263,0.5575209,-0.8675165,0.7333773,0.5604465,-0.8487092,0.7187415,0.5499039,-0.8479271,0.7612527,0.5414268,-0.858428,0.7373365,0.5447537,-0.8377458,0.717814,0.5367573,-0.8371798,0.7716892,0.5212611,-0.8557056,0.7504302,0.5248903,-0.8342316,0.7303152,0.519964,-0.8320602,0.7781531,0.5012676,-0.8566043,0.7638087,0.5061702,-0.8387041,0.7474896,0.505502,-0.8362415,0.762862,0.5114516,-0.9049277,0.02605121,
1529062288820,0.7254888,0.5113912,-0.9350587,0.7135121,0.5329396,-0.905638,0.706722,0.5430262,-0.8823482,0.7521873,0.5500402,-0.8803616,0.7351264,0.5530995,-0.8599117,0.7201399,0.5431322,-0.8583109,0.7602825,0.5339181,-0.8721868,0.7376544,0.5371844,-0.85093,0.718351,0.528908,-0.8508788,0.7695228,0.5132725,-0.8700598,0.7487311,0.5165009,-0.8489949,0.7287686,0.5110765,-0.8484578,0.775044,0.4933732,-0.8710369,0.7606961,0.4982206,-0.8538178,0.7443211,0.4972117,-0.8531418,0.7573982,0.5036877,-0.9179399,0.027529,
1529062288846,0.7196823,0.5063329,-0.9465642,0.7076306,0.5292117,-0.9182713,0.7003279,0.5397961,-0.8953418,0.7457699,0.54097,-0.8885062,0.7282083,0.5443051,-0.8686044,0.7125086,0.5353545,-0.8681093,0.7520909,0.5244493,-0.8805535,0.7285674,0.5282326,-0.8608444,0.7091087,0.5207379,-0.8628662,0.7597494,0.5031438,-0.8785239,0.7377195,0.5065607,-0.8594211,0.7177945,0.5017658,-0.8616703,0.7640513,0.4830235,-0.8797091,0.7485393,0.4879215,-0.8640195,0.7322991,0.4874051,-0.8658623,0.7501163,0.4955835,-0.9272454,0.03016127,
1529062288873,0.7161462,0.5054444,-0.9535802,0.7031757,0.5272881,-0.9249114,0.6951826,0.536792,-0.9017398,0.7405106,0.5376933,-0.8931085,0.7226117,0.5403316,-0.873425,0.7068735,0.5314518,-0.873612,0.7465768,0.520936,-0.8856323,0.7226499,0.5240545,-0.8662971,0.7032415,0.5166906,-0.8690175,0.7542436,0.499555,-0.8842127,0.7318282,0.5022366,-0.8655697,0.7120624,0.4974729,-0.8686752,0.7586359,0.4794292,-0.8860686,0.7428051,0.483655,-0.8706125,0.7267154,0.4831426,-0.8731273,0.7459524,0.4937682,-0.9335386,0.03092522,
1529062288901,0.7132488,0.5014442,-0.9608473,0.6988821,0.5226402,-0.9323301,0.6899656,0.5317855,-0.9093727,0.735958,0.534826,-0.9000154,0.7177852,0.5377023,-0.88072,0.7021578,0.5286088,-0.8810213,0.7420385,0.5178903,-0.8922831,0.7177481,0.5209493,-0.8731928,0.6983426,0.5134729,-0.8758373,0.7501147,0.4966711,-0.8906338,0.7274706,0.499277,-0.8722044,0.7077494,0.494278,-0.8753428,0.7548051,0.4765427,-0.8924339,0.7387195,0.4806526,-0.8772333,0.7226588,0.4798661,-0.8799399,0.7430556,0.4904847,-0.9402491,0.0310249,
