time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529062640562,1.048819,0.7586862,-0.8173189,1.036107,0.7585295,-0.7811506,1.032117,0.7574811,-0.7549832,1.04706,0.8162121,-0.7644606,1.042899,0.8192058,-0.7358116,1.040572,0.8085206,-0.7210531,1.066503,0.8158559,-0.7601801,1.059972,0.8168063,-0.7273833,1.054365,0.8045532,-0.7110356,1.087998,0.8101057,-0.7636007,1.082859,0.8098048,-0.7323914,1.076733,0.7978975,-0.7163013,1.107911,0.7998071,-0.7690485,1.106192,0.7997029,-0.7448812,1.100235,0.7908198,-0.7323229,1.074607,0.7840552,-0.8092378,0.06186901,
1529062640590,1.035915,0.7631121,-0.8184299,1.021693,0.7648144,-0.7828819,1.016371,0.7651655,-0.7568818,1.031228,0.824067,-0.7691385,1.025693,0.8303221,-0.7411405,1.022527,0.8216444,-0.7252254,1.050672,0.8240357,-0.7636911,1.042944,0.8284379,-0.7313153,1.03662,0.8181703,-0.7139125,1.072255,0.8178786,-0.7655776,1.065933,0.8201955,-0.7346215,1.059164,0.8096808,-0.7178768,1.092682,0.807436,-0.7694956,1.090408,0.809375,-0.7454929,1.084072,0.8014451,-0.7325186,1.061075,0.7888585,-0.8103057,0.0650376,
1529062640617,1.025153,0.7664812,-0.8193924,1.009453,0.7696601,-0.7845929,1.00293,0.7711051,-0.7588786,1.018664,0.8292663,-0.7725557,1.011877,0.8370783,-0.7452602,1.008049,0.8292308,-0.7290879,1.038153,0.829728,-0.7664478,1.029355,0.8361572,-0.7347339,1.022427,0.8268262,-0.7170993,1.059868,0.8233557,-0.767232,1.052632,0.8272227,-0.7366981,1.045338,0.8172903,-0.7199029,1.080567,0.8128136,-0.7700713,1.07773,0.8159021,-0.7463571,1.070964,0.8083193,-0.7334369,1.050151,0.7924127,-0.8111896,0.06551553,
1529062640656,1.005894,0.7728841,-0.8233498,0.9870491,0.7791399,-0.7905656,0.9778332,0.7828015,-0.7659005,0.997505,0.8375539,-0.7802793,0.9882898,0.8458927,-0.7541064,0.9832189,0.8379649,-0.7383127,1.01676,0.8388112,-0.7734144,1.00534,0.8471222,-0.7432687,0.9969497,0.8382711,-0.7260848,1.039014,0.8320221,-0.7722278,1.030039,0.8376101,-0.7426798,1.021551,0.8280647,-0.7263246,1.059655,0.8209894,-0.7731476,1.055365,0.8253103,-0.7500826,1.047492,0.8180294,-0.7376295,1.031337,0.7984577,-0.8147261,0.06191196,
1529062640684,0.993167,0.776769,-0.8262408,0.974205,0.7842619,-0.7937613,0.9646487,0.7888486,-0.7693797,0.9852903,0.8414422,-0.7840439,0.9758228,0.8487641,-0.7578517,0.9709864,0.8399527,-0.7424451,1.004658,0.8431878,-0.7777467,0.9929454,0.8512506,-0.7478367,0.9846174,0.8419389,-0.730848,1.027307,0.8365104,-0.7766753,1.018535,0.8423274,-0.7472126,1.010159,0.8327349,-0.7308223,1.047936,0.8254399,-0.7776309,1.04379,0.8300259,-0.7546732,1.035932,0.8227785,-0.7421728,1.019046,0.8022036,-0.8183597,0.0581143,
1529062640710,0.9806459,0.7800375,-0.8294601,0.9604443,0.7891125,-0.7981099,0.9497679,0.7950034,-0.7744879,0.9708759,0.8453434,-0.7899742,0.9602269,0.8515865,-0.7641585,0.9556659,0.8419011,-0.7492025,0.9902685,0.8482156,-0.7839381,0.9773154,0.8559701,-0.7546734,0.9690566,0.8460484,-0.7380107,1.01348,0.8424115,-0.7824903,1.004004,0.8487855,-0.7534661,0.995653,0.8391563,-0.7371238,1.034364,0.8319042,-0.7828553,1.029583,0.8372115,-0.7602618,1.021621,0.8300213,-0.7478077,1.00644,0.8061321,-0.8224096,0.05360527,
1529062640736,0.9712691,0.7826058,-0.832706,0.9499012,0.793651,-0.8027747,0.9382249,0.8010831,-0.7800869,0.9595617,0.849059,-0.7972946,0.9477012,0.8546708,-0.7721105,0.9433481,0.8443712,-0.7575283,0.9787996,0.8526148,-0.7910895,0.9644184,0.860078,-0.7626183,0.9560513,0.8497504,-0.7462125,1.002318,0.8475564,-0.7888992,0.9916527,0.8544456,-0.7605278,0.9830188,0.8448248,-0.7443357,1.023303,0.8375108,-0.7882435,1.017434,0.8435524,-0.7661452,1.009107,0.8365352,-0.7538409,0.9968035,0.8093135,-0.8267757,0.04908153,
1529062640763,0.955326,0.7858275,-0.8408515,0.933525,0.798565,-0.8119446,0.9221034,0.8073546,-0.7896671,0.9401703,0.8530803,-0.8105278,0.9275962,0.8571553,-0.7861813,0.9247396,0.8450288,-0.7729309,0.9590923,0.8571937,-0.803856,0.9437194,0.8620692,-0.7762751,0.9365938,0.8489158,-0.7614663,0.9826497,0.8534247,-0.8010085,0.9704655,0.8588868,-0.7735159,0.9620963,0.8473121,-0.7585806,1.003667,0.8446562,-0.7994473,0.9959259,0.850485,-0.7781351,0.9872785,0.842461,-0.7667571,0.9798648,0.8134918,-0.8363618,0.04130856,
1529062640789,0.9468926,0.7862209,-0.8473598,0.9256988,0.8008844,-0.8189356,0.9156297,0.8110273,-0.7967108,0.9309964,0.8541441,-0.8211938,0.9186589,0.8571269,-0.7974854,0.9173858,0.8436158,-0.785704,0.9497963,0.8575604,-0.813999,0.9346257,0.8596701,-0.7869222,0.9292548,0.8439823,-0.7742645,0.9730958,0.8543838,-0.811035,0.9602725,0.8579558,-0.7841849,0.9525324,0.8443033,-0.7709118,0.9937482,0.8464335,-0.8092014,0.9846923,0.8517358,-0.7886087,0.975947,0.8426236,-0.7782454,0.9709742,0.8139898,-0.8447849,0.03444188,
1529062640828,0.9370556,0.7860299,-0.8532095,0.9162101,0.8038992,-0.8264594,0.9077539,0.8164172,-0.8050191,0.9222444,0.8550934,-0.8327682,0.9112197,0.8577753,-0.8093296,0.9119077,0.8435866,-0.7985904,0.9410871,0.8573334,-0.8255085,0.9276026,0.8564141,-0.7987511,0.925002,0.8385208,-0.7885728,0.9637799,0.8545778,-0.8230034,0.9514256,0.8547667,-0.7971629,0.9458959,0.8379383,-0.7870078,0.9838013,0.8476344,-0.8212981,0.9736499,0.850807,-0.8017737,0.9659098,0.838968,-0.7937028,0.9616539,0.8136653,-0.8536226,0.02822692,
