time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529062490212,1.031106,0.5388091,-0.7685711,1.018214,0.5320122,-0.7329867,1.01121,0.5261271,-0.7079852,1.044337,0.5722113,-0.7021912,1.037489,0.562705,-0.6749352,1.031518,0.5484489,-0.6642898,1.063939,0.5667398,-0.7004583,1.055803,0.5567651,-0.6688638,1.046914,0.5422907,-0.6557134,1.084214,0.5575386,-0.7076125,1.079182,0.5476699,-0.67725,1.070878,0.5341765,-0.6632383,1.10075,0.5447267,-0.7179944,1.09968,0.5362976,-0.6948221,1.092989,0.5262441,-0.6831838,1.063695,0.5527882,-0.756681,0.05310323,
1529062490250,1.016023,0.5377672,-0.7972926,1.002076,0.5319245,-0.7619616,0.9943177,0.5264634,-0.7370807,1.029742,0.5690346,-0.7306083,1.021095,0.5594059,-0.703733,1.013603,0.5457652,-0.6931945,1.048884,0.5619575,-0.7282565,1.038985,0.5519544,-0.6970956,1.028561,0.5381908,-0.6842716,1.068544,0.5512527,-0.7348121,1.061843,0.5413362,-0.7047532,1.052024,0.528457,-0.6911749,1.084567,0.5374932,-0.7447028,1.082704,0.529263,-0.7214909,1.075162,0.5198855,-0.7098202,1.049124,0.5487874,-0.7844423,0.05167684,
1529062490267,1.006715,0.5359561,-0.8140047,0.9925534,0.5301971,-0.7787551,0.9849123,0.5244847,-0.7539091,1.020771,0.5660639,-0.7470969,1.011489,0.5562717,-0.7204242,1.003403,0.5428483,-0.7100352,1.039546,0.5582545,-0.7445921,1.02885,0.5480384,-0.7137531,1.017739,0.5344523,-0.7013236,1.058853,0.5469155,-0.750993,1.051399,0.5368151,-0.7211417,1.040948,0.5241761,-0.7078078,1.074457,0.5327759,-0.7607647,1.071949,0.5244157,-0.7376652,1.063857,0.5152324,-0.7262093,1.039987,0.5457662,-0.8008186,0.05102988,
1529062490292,0.9978231,0.5343,-0.8311182,0.9833164,0.529163,-0.7959073,0.975291,0.5238178,-0.7711013,1.013291,0.5628946,-0.7641519,1.003236,0.5530976,-0.7377137,0.9944575,0.539938,-0.7275751,1.031777,0.5542659,-0.7617243,1.02041,0.5441581,-0.7310764,1.008614,0.5309699,-0.7188507,1.050624,0.542016,-0.768253,1.042619,0.5317668,-0.7386163,1.031472,0.5193689,-0.7256649,1.065595,0.527269,-0.7781762,1.062611,0.5186167,-0.7553162,1.05379,0.5095756,-0.7443303,1.031585,0.5422739,-0.8179405,0.05021695,
1529062490318,0.98961,0.5321025,-0.8442576,0.9745044,0.5278025,-0.8091781,0.9657925,0.5231215,-0.784464,1.006037,0.5595641,-0.7771863,0.9951924,0.5501116,-0.7509041,0.9857914,0.5372936,-0.7409176,1.024321,0.5502767,-0.7747395,1.012363,0.5406544,-0.7441325,1.000016,0.527985,-0.7319053,1.042849,0.5371889,-0.7813096,1.034449,0.5270618,-0.751752,1.022781,0.5150009,-0.7389747,1.057293,0.5218297,-0.7913365,1.053964,0.5129963,-0.7686539,1.044582,0.504145,-0.7580265,1.023815,0.5384609,-0.830982,0.04997095,
1529062490345,0.9765339,0.5289073,-0.8629162,0.9610646,0.5259734,-0.8278416,0.9518639,0.5223469,-0.8031249,0.99426,0.5560494,-0.7961775,0.9827983,0.547232,-0.7699684,0.972896,0.5346947,-0.7601737,1.012382,0.5463187,-0.7937641,0.999983,0.5375899,-0.7630966,0.9871562,0.5254279,-0.7508813,1.030627,0.5324295,-0.8003702,1.021998,0.5228307,-0.7707529,1.009883,0.5111681,-0.7580652,1.044508,0.5164332,-0.8104404,1.040928,0.5077851,-0.7877836,1.0311,0.4992521,-0.7773268,1.011302,0.5339424,-0.8499039,0.04939259,
1529062490373,0.9669219,0.5275091,-0.8755003,0.9513682,0.5256778,-0.8403859,0.9420564,0.5227913,-0.8156193,0.9853678,0.5548325,-0.809206,0.9734468,0.5465827,-0.7830337,0.9631846,0.5343281,-0.7732779,1.00332,0.5447498,-0.8067173,0.990535,0.5367335,-0.7760321,0.9773479,0.5249929,-0.7638025,1.021273,0.5302573,-0.8132112,1.012316,0.5211436,-0.7835554,0.99986,0.509868,-0.7708527,1.034689,0.5137635,-0.8231512,1.030694,0.5053394,-0.8005046,1.020511,0.4971217,-0.7901317,1.001897,0.5316703,-0.8626482,0.04870625,
1529062490388,0.9579746,0.5254523,-0.8862231,0.9425008,0.5241516,-0.8510481,0.9332268,0.5216324,-0.8262296,0.9767854,0.5530032,-0.8201997,0.9648129,0.5449744,-0.7940058,0.954488,0.5327698,-0.7842754,0.9947023,0.5428661,-0.817717,0.9818802,0.5351385,-0.7869959,0.9686161,0.5235031,-0.774763,1.012565,0.5281774,-0.8241923,1.003571,0.5192516,-0.7945056,0.9910378,0.5080793,-0.7817931,1.025827,0.5115311,-0.8340851,1.021727,0.5032131,-0.81143,1.011441,0.495094,-0.8010809,0.9930949,0.5293829,-0.8735477,0.04833458,
1529062490427,0.9438215,0.5236547,-0.9038169,0.9290038,0.522864,-0.8683498,0.9202598,0.5206032,-0.8433182,0.9631855,0.551183,-0.8382589,0.9514371,0.54323,-0.8118569,0.9412256,0.5312431,-0.8016881,0.9810336,0.5410758,-0.835914,0.9683834,0.5334623,-0.8050421,0.9552459,0.5219839,-0.7924943,0.9988161,0.5262457,-0.8424907,0.9900163,0.5173165,-0.8126964,0.9776729,0.5062636,-0.7996355,1.011846,0.5094989,-0.8524354,1.007723,0.5010877,-0.8297822,0.9975353,0.4930075,-0.8192657,0.978893,0.5274034,-0.8915952,0.04781048,
1529062490452,0.93479,0.522326,-0.9124032,0.9203893,0.5216451,-0.8767678,0.9120587,0.5193489,-0.8516029,0.954145,0.5503274,-0.8471259,0.9426073,0.5424932,-0.8205773,0.932533,0.5305613,-0.8102013,0.9720117,0.540344,-0.8447996,0.959512,0.532845,-0.8138356,0.9464908,0.5213711,-0.8011611,0.989803,0.5255494,-0.851361,0.9810832,0.5167099,-0.821509,0.9688405,0.5056618,-0.8083377,1.002847,0.5088277,-0.8612441,0.9987131,0.5005049,-0.8385481,0.9885864,0.4924309,-0.8279567,0.9697565,0.5263197,-0.9003854,0.04752901,
