time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529418486512,1.08029,0.4901251,-0.9408222,1.045322,0.478231,-0.9287031,1.021328,0.470209,-0.9205689,1.046757,0.5130537,-0.870351,1.026708,0.5069144,-0.8481132,1.014822,0.4970189,-0.8372124,1.068573,0.5131166,-0.8533331,1.055048,0.5127754,-0.8208458,1.045068,0.5073735,-0.8023275,1.089685,0.5068473,-0.8483413,1.078508,0.5057626,-0.8170832,1.069331,0.5000867,-0.798682,1.114065,0.4941798,-0.8485711,1.114506,0.4888451,-0.8239078,1.112422,0.4817027,-0.8086948,1.098033,0.5024163,-0.9047813,0.0878032,
1529418486552,1.071839,0.4883991,-0.9512407,1.035253,0.4784914,-0.9426364,1.009358,0.4741344,-0.9396315,1.035824,0.5109241,-0.881449,1.014996,0.5065622,-0.8594521,1.002193,0.4979639,-0.8484541,1.056334,0.5101137,-0.8640304,1.041122,0.5115417,-0.8323295,1.029884,0.5074109,-0.8141869,1.077095,0.5028406,-0.8581567,1.06451,0.5033334,-0.8274004,1.054321,0.499027,-0.809128,1.100893,0.4889964,-0.8574824,1.099802,0.4841343,-0.8327503,1.096683,0.4774134,-0.8175043,1.088016,0.4987384,-0.9141676,0.09451186,
1529418486579,1.062096,0.4811769,-0.9561614,1.025397,0.4710632,-0.9483809,0.9994214,0.4668136,-0.9462543,1.024765,0.5038197,-0.8868742,1.003853,0.5002925,-0.8647271,0.9908707,0.4925627,-0.8532512,1.044551,0.5030428,-0.8694227,1.028415,0.5047503,-0.8382291,1.016619,0.5006644,-0.820426,1.065411,0.495923,-0.8630707,1.052162,0.4966788,-0.8326238,1.041594,0.4925401,-0.8145061,1.089063,0.4822969,-0.8618814,1.08703,0.4777299,-0.8371844,1.083248,0.4710439,-0.8220702,1.07744,0.4916705,-0.9188317,0.0968799,
1529418486606,1.054099,0.4776464,-0.9593514,1.016954,0.4687226,-0.9522109,0.9908536,0.4652739,-0.9507146,1.016194,0.5021888,-0.8909569,0.9949626,0.4995604,-0.8690189,0.9817996,0.4921522,-0.857554,1.035455,0.5019054,-0.8734061,1.018268,0.5043569,-0.8429468,1.005679,0.5000262,-0.8257839,1.056225,0.4949906,-0.8665404,1.041899,0.4965664,-0.8367233,1.030479,0.4924407,-0.8191237,1.079912,0.4814788,-0.8644601,1.077045,0.4779289,-0.8397391,1.072441,0.4714707,-0.8247738,1.06921,0.4885497,-0.9218264,0.09738233,
1529418486631,1.047047,0.474209,-0.9625985,1.009554,0.4662485,-0.9561814,0.9833741,0.4635811,-0.9554235,1.008726,0.4990197,-0.8946207,0.9872333,0.4962279,-0.8729795,0.9739587,0.4887652,-0.8616519,1.027538,0.4987361,-0.8769441,1.009482,0.5005645,-0.8470389,0.9963813,0.4955086,-0.8304689,1.048285,0.4920899,-0.8698027,1.033139,0.4934582,-0.8404624,1.02114,0.4888684,-0.823378,1.071945,0.478812,-0.867263,1.068376,0.4755907,-0.8426232,1.063227,0.4692171,-0.8278016,1.062031,0.48522,-0.9248103,0.09754996,
1529418486666,1.037164,0.4705261,-0.9668182,0.9991689,0.4642745,-0.9615593,0.9728491,0.4626109,-0.9613745,0.9982,0.4943941,-0.8991826,0.9761344,0.4905033,-0.8784499,0.9626961,0.4820698,-0.8680161,1.016557,0.4937029,-0.8811419,0.9974097,0.4941246,-0.8519827,0.9836846,0.4878215,-0.8363867,1.037155,0.4871252,-0.8737286,1.020892,0.4875833,-0.8450743,1.008112,0.4820426,-0.8288655,1.060959,0.4738117,-0.8707702,1.056771,0.4701246,-0.8463675,1.050941,0.4631008,-0.8321273,1.051983,0.4805731,-0.9284301,0.09590371,
1529418486698,1.032053,0.4695743,-0.9710981,0.9937949,0.463773,-0.9673109,0.9673605,0.4611935,-0.9664346,0.9908701,0.4901302,-0.9038386,0.9679298,0.4850001,-0.8845382,0.9543201,0.4753237,-0.8755721,1.009018,0.4889029,-0.8849947,0.9891011,0.4880317,-0.8563831,0.9750271,0.4808478,-0.8415266,1.029405,0.4822059,-0.8772464,1.012293,0.4813169,-0.849129,0.9990522,0.4747254,-0.8337407,1.053374,0.4689056,-0.8740618,1.048666,0.4639842,-0.8500057,1.042476,0.4560094,-0.8364573,1.045861,0.47776,-0.9316916,0.09287466,
1529418486725,1.027994,0.4708764,-0.9734629,0.9896696,0.4648134,-0.9710224,0.9632453,0.461694,-0.9705248,0.9848674,0.4881135,-0.9063309,0.9617083,0.4826463,-0.8873664,0.9480013,0.4727629,-0.878843,1.002574,0.4861676,-0.8871704,0.9823508,0.4845597,-0.8587433,0.9681728,0.4772241,-0.8440484,1.022731,0.4791763,-0.8791983,1.005191,0.4771163,-0.8513874,0.9917858,0.4698132,-0.8364946,1.046843,0.4659958,-0.875975,1.041941,0.4600602,-0.8521852,1.035709,0.45141,-0.8390916,1.040606,0.4774073,-0.9333858,0.09359734,
1529418486752,1.025061,0.4741385,-0.9750482,0.9868712,0.4674928,-0.9719526,0.9604939,0.4642114,-0.9711681,0.9815028,0.489414,-0.907963,0.95841,0.4844456,-0.8886416,0.9443899,0.4753398,-0.8797016,0.9989749,0.486465,-0.8889832,0.9788741,0.4848781,-0.8603356,0.9647441,0.4782233,-0.8452309,1.018918,0.4791334,-0.8812147,1.001355,0.4772148,-0.8532581,0.9879829,0.4706768,-0.8379511,1.042787,0.4656919,-0.878309,1.037636,0.4596321,-0.854517,1.03145,0.4513254,-0.8411585,1.037161,0.4790166,-0.9353182,0.09353773,
1529418486778,1.021143,0.4771094,-0.9748156,0.9836206,0.4683099,-0.9697157,0.9580351,0.4620343,-0.9659623,0.9778834,0.4921625,-0.9075426,0.9550995,0.4874418,-0.8876974,0.941036,0.4789658,-0.8781453,0.9954572,0.4891478,-0.8887737,0.9758727,0.4881191,-0.8596741,0.9619943,0.4820927,-0.8440764,1.015358,0.4817262,-0.8812286,0.9982964,0.480612,-0.8528229,0.9852228,0.4749401,-0.8369285,1.039049,0.4679339,-0.8786418,1.034181,0.4621556,-0.8546544,1.028351,0.4543778,-0.8408005,1.033153,0.4818749,-0.9355253,0.09103549,
1529418486806,1.017513,0.4784002,-0.9738171,0.9800943,0.4697204,-0.9679073,0.9547111,0.4632114,-0.9632338,0.9749638,0.4971225,-0.906858,0.9524714,0.4936751,-0.8863865,0.9384561,0.4858667,-0.8762441,0.9925367,0.4945543,-0.8881785,0.9733123,0.4950671,-0.8588225,0.959528,0.4898997,-0.8428463,1.012332,0.4871055,-0.8804632,0.9955874,0.4874513,-0.8518619,0.9825723,0.4825708,-0.8356709,1.035841,0.4729625,-0.8774896,1.0313,0.4682669,-0.8531932,1.025626,0.4612041,-0.8388978,1.029754,0.4845778,-0.9348146,0.09134937,
1529418486840,1.012592,0.480957,-0.9719676,0.9752398,0.4733302,-0.9646721,0.9501222,0.4670746,-0.958474,0.971787,0.5041417,-0.9053283,0.9495734,0.502378,-0.8842375,0.9353864,0.4960104,-0.8733206,0.9890878,0.5008876,-0.8868406,0.9701023,0.5025702,-0.8573166,0.9563532,0.4985828,-0.8409435,1.008552,0.4926252,-0.8790306,0.9920385,0.4938658,-0.8502882,0.9790807,0.489943,-0.8337588,1.031378,0.4775696,-0.8758677,1.026875,0.4734152,-0.8514311,1.021232,0.4671146,-0.8367478,1.025437,0.4882141,-0.9334563,0.09113467,
