time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529418412051,0.8373599,0.5128913,-0.9634916,0.8009998,0.5168993,-0.9507957,0.778443,0.5168154,-0.9370165,0.796859,0.5506972,-0.9285657,0.7764312,0.5309645,-0.9251393,0.7742964,0.5127047,-0.9279859,0.8042685,0.5466698,-0.9119628,0.7789751,0.5260588,-0.9113836,0.7739861,0.5064548,-0.9181718,0.8183631,0.5395685,-0.8970762,0.7925789,0.5222653,-0.8956689,0.7842457,0.5043867,-0.9029322,0.8324674,0.5297808,-0.8859228,0.81113,0.5194213,-0.8844205,0.8023334,0.5074887,-0.8919451,0.847648,0.5298883,-0.9327502,0.01075381,
1529418412083,0.8393394,0.5218447,-0.986982,0.8026991,0.5328967,-0.9812645,0.7787412,0.5374703,-0.9712461,0.80145,0.5645211,-0.9580851,0.7810931,0.5456061,-0.9571817,0.7810874,0.5273062,-0.9600208,0.8063626,0.56031,-0.9411829,0.7822663,0.5403084,-0.9446467,0.7812283,0.5204241,-0.9520001,0.8173954,0.5523103,-0.9246515,0.7926478,0.5354284,-0.9282535,0.788303,0.5171549,-0.9374037,0.8283041,0.5422865,-0.9115233,0.8073838,0.5328475,-0.9148186,0.8017969,0.5206199,-0.9244741,0.8482358,0.5384222,-0.9546705,0.01532384,
1529418412110,0.8412799,0.5233819,-1.000867,0.8063132,0.5398945,-0.9995555,0.7825696,0.5484261,-0.9920835,0.8076881,0.5711343,-0.9762442,0.7868924,0.5538639,-0.9760559,0.787604,0.5354992,-0.9779807,0.8113646,0.5662063,-0.9593496,0.7887682,0.5466721,-0.9643885,0.790837,0.5266259,-0.9708662,0.8201712,0.5577217,-0.9419954,0.796962,0.5409936,-0.9481012,0.795691,0.5223565,-0.9574056,0.8285933,0.54796,-0.9281288,0.808865,0.5388774,-0.9343291,0.8059953,0.5258483,-0.9441226,0.8502077,0.5404406,-0.9683563,0.01978227,
1529418412136,0.8433079,0.5229605,-1.014196,0.8095118,0.54177,-1.015976,0.7859799,0.5521136,-1.010788,0.8113559,0.5731701,-0.9922041,0.7910703,0.5570041,-0.9930505,0.7935953,0.538893,-0.9948694,0.8142427,0.5667716,-0.975596,0.7947694,0.5468925,-0.9820573,0.8017945,0.5278775,-0.9875268,0.8214517,0.5579845,-0.957984,0.8020814,0.5404152,-0.9662992,0.8071113,0.5223673,-0.9750966,0.8282281,0.5486503,-0.9439385,0.8113021,0.5385928,-0.9522683,0.8135959,0.5246942,-0.9606754,0.851528,0.5402606,-0.9815093,0.02204968,
1529418412163,0.8467591,0.5203141,-1.035105,0.813316,0.5392113,-1.039881,0.7895912,0.5497044,-1.036448,0.8136877,0.5716238,-1.016224,0.7942883,0.5558121,-1.017861,0.7987738,0.5382068,-1.019289,0.8159556,0.5644042,-0.9997461,0.7993705,0.5438443,-1.006795,0.8099806,0.5262575,-1.010492,0.8220221,0.5559541,-0.981717,0.806291,0.5374334,-0.9909389,0.816085,0.5207366,-0.997878,0.8276377,0.5471742,-0.966935,0.8136041,0.5359528,-0.9762609,0.8202446,0.5227604,-0.9831061,0.8529978,0.5385132,-1.002079,0.02260467,
1529418412190,0.849193,0.5185279,-1.047704,0.8155305,0.536542,-1.052687,0.7916226,0.5458176,-1.047889,0.8140653,0.5679694,-1.029678,0.7966717,0.5509826,-1.031423,0.8038785,0.5344237,-1.032894,0.8163649,0.5611873,-1.01338,0.8014906,0.5396549,-1.02037,0.813694,0.52311,-1.023298,0.8223538,0.5532647,-0.9952097,0.8084537,0.5338343,-1.004449,0.8200774,0.5181122,-1.010536,0.8278843,0.5449943,-0.9801909,0.8153348,0.5328809,-0.9896066,0.8237779,0.5204105,-0.995598,0.8538969,0.5370491,-1.014749,0.0224693,
1529418412217,0.8527647,0.5145189,-1.064235,0.8188022,0.530601,-1.071181,0.7943612,0.5377942,-1.066079,0.8132942,0.559386,-1.046971,0.7990005,0.5401237,-1.049493,0.8091717,0.5252212,-1.050945,0.81493,0.5539507,-1.030725,0.8021995,0.5311164,-1.038271,0.8157895,0.5156043,-1.0405,0.8205956,0.5466403,-1.012273,0.8088305,0.5261024,-1.022031,0.8220662,0.5114484,-1.027382,0.825993,0.538874,-0.9969679,0.8151664,0.5257828,-1.006839,0.8252111,0.5142128,-1.012141,0.8540686,0.5329366,-1.03017,0.0246263,
1529418412250,0.8586918,0.504391,-1.073586,0.8259239,0.5207511,-1.084023,0.8010095,0.5275489,-1.08116,0.8164951,0.5457364,-1.055778,0.8041338,0.5254913,-1.060575,0.815574,0.5116262,-1.062643,0.8165708,0.5404261,-1.039878,0.8050956,0.5175035,-1.049632,0.8190963,0.5023475,-1.051824,0.8210131,0.532366,-1.021485,0.8106272,0.5119253,-1.033199,0.8245426,0.4978267,-1.038284,0.8253882,0.524032,-1.006184,0.815807,0.5111832,-1.017496,0.826647,0.5002358,-1.022505,0.8560411,0.5205433,-1.037234,0.02843488,
1529418412281,0.8586918,0.504391,-1.073586,0.8259239,0.5207511,-1.084023,0.8010095,0.5275489,-1.08116,0.8164951,0.5457364,-1.055778,0.8041338,0.5254913,-1.060575,0.815574,0.5116262,-1.062643,0.8165708,0.5404261,-1.039878,0.8050956,0.5175035,-1.049632,0.8190963,0.5023475,-1.051824,0.8210131,0.532366,-1.021485,0.8106272,0.5119253,-1.033199,0.8245426,0.4978267,-1.038284,0.8253882,0.524032,-1.006184,0.815807,0.5111832,-1.017496,0.826647,0.5002358,-1.022505,0.8560411,0.5205433,-1.037234,0.02843488,
1529418412294,0.8586918,0.504391,-1.073586,0.8259239,0.5207511,-1.084023,0.8010095,0.5275489,-1.08116,0.8164951,0.5457364,-1.055778,0.8041338,0.5254913,-1.060575,0.815574,0.5116262,-1.062643,0.8165708,0.5404261,-1.039878,0.8050956,0.5175035,-1.049632,0.8190963,0.5023475,-1.051824,0.8210131,0.532366,-1.021485,0.8106272,0.5119253,-1.033199,0.8245426,0.4978267,-1.038284,0.8253882,0.524032,-1.006184,0.815807,0.5111832,-1.017496,0.826647,0.5002358,-1.022505,0.8560411,0.5205433,-1.037234,0.02843488,
1529418412308,0.8586918,0.504391,-1.073586,0.8259239,0.5207511,-1.084023,0.8010095,0.5275489,-1.08116,0.8164951,0.5457364,-1.055778,0.8041338,0.5254913,-1.060575,0.815574,0.5116262,-1.062643,0.8165708,0.5404261,-1.039878,0.8050956,0.5175035,-1.049632,0.8190963,0.5023475,-1.051824,0.8210131,0.532366,-1.021485,0.8106272,0.5119253,-1.033199,0.8245426,0.4978267,-1.038284,0.8253882,0.524032,-1.006184,0.815807,0.5111832,-1.017496,0.826647,0.5002358,-1.022505,0.8560411,0.5205433,-1.037234,0.02843488,
1529418412335,0.8586918,0.504391,-1.073586,0.8259239,0.5207511,-1.084023,0.8010095,0.5275489,-1.08116,0.8164951,0.5457364,-1.055778,0.8041338,0.5254913,-1.060575,0.815574,0.5116262,-1.062643,0.8165708,0.5404261,-1.039878,0.8050956,0.5175035,-1.049632,0.8190963,0.5023475,-1.051824,0.8210131,0.532366,-1.021485,0.8106272,0.5119253,-1.033199,0.8245426,0.4978267,-1.038284,0.8253882,0.524032,-1.006184,0.815807,0.5111832,-1.017496,0.826647,0.5002358,-1.022505,0.8560411,0.5205433,-1.037234,0.02843488,
1529418412348,0.8586918,0.504391,-1.073586,0.8259239,0.5207511,-1.084023,0.8010095,0.5275489,-1.08116,0.8164951,0.5457364,-1.055778,0.8041338,0.5254913,-1.060575,0.815574,0.5116262,-1.062643,0.8165708,0.5404261,-1.039878,0.8050956,0.5175035,-1.049632,0.8190963,0.5023475,-1.051824,0.8210131,0.532366,-1.021485,0.8106272,0.5119253,-1.033199,0.8245426,0.4978267,-1.038284,0.8253882,0.524032,-1.006184,0.815807,0.5111832,-1.017496,0.826647,0.5002358,-1.022505,0.8560411,0.5205433,-1.037234,0.02843488,
1529418412361,0.8586918,0.504391,-1.073586,0.8259239,0.5207511,-1.084023,0.8010095,0.5275489,-1.08116,0.8164951,0.5457364,-1.055778,0.8041338,0.5254913,-1.060575,0.815574,0.5116262,-1.062643,0.8165708,0.5404261,-1.039878,0.8050956,0.5175035,-1.049632,0.8190963,0.5023475,-1.051824,0.8210131,0.532366,-1.021485,0.8106272,0.5119253,-1.033199,0.8245426,0.4978267,-1.038284,0.8253882,0.524032,-1.006184,0.815807,0.5111832,-1.017496,0.826647,0.5002358,-1.022505,0.8560411,0.5205433,-1.037234,0.02843488,
