time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529418589262,0.8707899,0.5179334,-1.060376,0.8426659,0.5277134,-1.042532,0.8259037,0.5252622,-1.025627,0.8542188,0.5476503,-1.003246,0.8295568,0.5450934,-0.9954722,0.817296,0.5346643,-1.000731,0.8589115,0.5310729,-0.9944329,0.8301635,0.5247198,-0.9914902,0.8177902,0.5147796,-1.002691,0.8675644,0.5123301,-0.9939862,0.8443904,0.5040118,-1.000594,0.8418298,0.496335,-1.017677,0.8759674,0.4973021,-0.9927854,0.8585636,0.4939265,-0.9987695,0.8591983,0.4904934,-1.013167,0.8876181,0.5127332,-1.031555,0.02796978,
1529418589301,0.8727129,0.5201148,-1.056157,0.8445709,0.5303338,-1.038527,0.827579,0.5284586,-1.021711,0.856445,0.5496911,-0.9989433,0.8316925,0.5471299,-0.9912603,0.8193721,0.5366636,-0.9963696,0.8612987,0.5330889,-0.9900781,0.8323323,0.5267675,-0.9868492,0.8192657,0.5168661,-0.9974597,0.8700206,0.5143441,-0.989712,0.8467206,0.505917,-0.9963036,0.8439335,0.4981244,-1.013305,0.8784358,0.4994813,-0.9886189,0.8611035,0.4960058,-0.9947275,0.8619046,0.4921742,-1.009023,0.8897825,0.5147243,-1.027201,0.02787182,
1529418589341,0.8772926,0.5251726,-1.04821,0.8491433,0.5358776,-1.030823,0.832038,0.5345998,-1.014033,0.8611955,0.5557402,-0.9915382,0.8363813,0.5533751,-0.9838969,0.8240527,0.5427973,-0.9887494,0.8661378,0.5392451,-0.9823487,0.8370132,0.5330563,-0.9788166,0.8234616,0.5230332,-0.9888142,0.8749073,0.5205896,-0.9815634,0.8514252,0.5120722,-0.9877857,0.8482879,0.5038208,-1.004524,0.8833303,0.5058334,-0.9803098,0.8659765,0.5022249,-0.9862643,0.8667091,0.49773,-1.000391,0.8945203,0.5202423,-1.019153,0.0277526,
1529418589380,0.8786238,0.5270687,-1.046112,0.8504961,0.5376824,-1.028624,0.8334023,0.5363256,-1.011831,0.8625613,0.5575246,-0.9893902,0.8377275,0.5552592,-0.9818078,0.8253918,0.5447235,-0.9867098,0.8674791,0.5409598,-0.9802205,0.8383263,0.5348876,-0.9766771,0.8246664,0.5249465,-0.9866444,0.8762054,0.5223116,-0.9794453,0.8525811,0.5139312,-0.9855353,0.8491917,0.5056679,-1.002226,0.8845993,0.5075158,-0.9782801,0.8671746,0.5039955,-0.9841442,0.8677486,0.4994427,-0.9982693,0.8958687,0.5219939,-1.017099,0.02767282,
1529418589392,0.8786238,0.5270687,-1.046112,0.8504961,0.5376824,-1.028624,0.8334023,0.5363256,-1.011831,0.8625613,0.5575246,-0.9893902,0.8377275,0.5552592,-0.9818078,0.8253918,0.5447235,-0.9867098,0.8674791,0.5409598,-0.9802205,0.8383263,0.5348876,-0.9766771,0.8246664,0.5249465,-0.9866444,0.8762054,0.5223116,-0.9794453,0.8525811,0.5139312,-0.9855353,0.8491917,0.5056679,-1.002226,0.8845993,0.5075158,-0.9782801,0.8671746,0.5039955,-0.9841442,0.8677486,0.4994427,-0.9982693,0.8958687,0.5219939,-1.017099,0.02767282,
1529418589447,0.8786238,0.5270687,-1.046112,0.8504961,0.5376824,-1.028624,0.8334023,0.5363256,-1.011831,0.8625613,0.5575246,-0.9893902,0.8377275,0.5552592,-0.9818078,0.8253918,0.5447235,-0.9867098,0.8674791,0.5409598,-0.9802205,0.8383263,0.5348876,-0.9766771,0.8246664,0.5249465,-0.9866444,0.8762054,0.5223116,-0.9794453,0.8525811,0.5139312,-0.9855353,0.8491917,0.5056679,-1.002226,0.8845993,0.5075158,-0.9782801,0.8671746,0.5039955,-0.9841442,0.8677486,0.4994427,-0.9982693,0.8958687,0.5219939,-1.017099,0.02767282,
1529418589480,0.8786238,0.5270687,-1.046112,0.8504961,0.5376824,-1.028624,0.8334023,0.5363256,-1.011831,0.8625613,0.5575246,-0.9893902,0.8377275,0.5552592,-0.9818078,0.8253918,0.5447235,-0.9867098,0.8674791,0.5409598,-0.9802205,0.8383263,0.5348876,-0.9766771,0.8246664,0.5249465,-0.9866444,0.8762054,0.5223116,-0.9794453,0.8525811,0.5139312,-0.9855353,0.8491917,0.5056679,-1.002226,0.8845993,0.5075158,-0.9782801,0.8671746,0.5039955,-0.9841442,0.8677486,0.4994427,-0.9982693,0.8958687,0.5219939,-1.017099,0.02767282,
1529418589512,0.8786238,0.5270687,-1.046112,0.8504961,0.5376824,-1.028624,0.8334023,0.5363256,-1.011831,0.8625613,0.5575246,-0.9893902,0.8377275,0.5552592,-0.9818078,0.8253918,0.5447235,-0.9867098,0.8674791,0.5409598,-0.9802205,0.8383263,0.5348876,-0.9766771,0.8246664,0.5249465,-0.9866444,0.8762054,0.5223116,-0.9794453,0.8525811,0.5139312,-0.9855353,0.8491917,0.5056679,-1.002226,0.8845993,0.5075158,-0.9782801,0.8671746,0.5039955,-0.9841442,0.8677486,0.4994427,-0.9982693,0.8958687,0.5219939,-1.017099,0.02767282,
1529418589526,0.8786238,0.5270687,-1.046112,0.8504961,0.5376824,-1.028624,0.8334023,0.5363256,-1.011831,0.8625613,0.5575246,-0.9893902,0.8377275,0.5552592,-0.9818078,0.8253918,0.5447235,-0.9867098,0.8674791,0.5409598,-0.9802205,0.8383263,0.5348876,-0.9766771,0.8246664,0.5249465,-0.9866444,0.8762054,0.5223116,-0.9794453,0.8525811,0.5139312,-0.9855353,0.8491917,0.5056679,-1.002226,0.8845993,0.5075158,-0.9782801,0.8671746,0.5039955,-0.9841442,0.8677486,0.4994427,-0.9982693,0.8958687,0.5219939,-1.017099,0.02767282,
1529418589553,0.8786238,0.5270687,-1.046112,0.8504961,0.5376824,-1.028624,0.8334023,0.5363256,-1.011831,0.8625613,0.5575246,-0.9893902,0.8377275,0.5552592,-0.9818078,0.8253918,0.5447235,-0.9867098,0.8674791,0.5409598,-0.9802205,0.8383263,0.5348876,-0.9766771,0.8246664,0.5249465,-0.9866444,0.8762054,0.5223116,-0.9794453,0.8525811,0.5139312,-0.9855353,0.8491917,0.5056679,-1.002226,0.8845993,0.5075158,-0.9782801,0.8671746,0.5039955,-0.9841442,0.8677486,0.4994427,-0.9982693,0.8958687,0.5219939,-1.017099,0.02767282,
