time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529418305332,0.9894021,0.5329546,-1.102023,0.9695356,0.5624292,-1.08635,0.9559129,0.5797862,-1.071886,0.9965824,0.5904582,-1.064344,0.9701877,0.598891,-1.056576,0.9531333,0.5917228,-1.055645,0.9975986,0.5750463,-1.04893,0.9662723,0.5755776,-1.046795,0.9519215,0.5626847,-1.055115,1.002671,0.5581246,-1.036991,0.972306,0.5603524,-1.035722,0.9576026,0.5502279,-1.045148,1.005825,0.5411358,-1.029153,0.9832935,0.5449278,-1.030869,0.9721011,0.5379621,-1.040651,1.012725,0.5353111,-1.074224,0.02034665,
1529418305359,0.9894021,0.5329546,-1.102023,0.9695356,0.5624292,-1.08635,0.9559129,0.5797862,-1.071886,0.9965824,0.5904582,-1.064344,0.9701877,0.598891,-1.056576,0.9531333,0.5917228,-1.055645,0.9975986,0.5750463,-1.04893,0.9662723,0.5755776,-1.046795,0.9519215,0.5626847,-1.055115,1.002671,0.5581246,-1.036991,0.972306,0.5603524,-1.035722,0.9576026,0.5502279,-1.045148,1.005825,0.5411358,-1.029153,0.9832935,0.5449278,-1.030869,0.9721011,0.5379621,-1.040651,1.012725,0.5353111,-1.074224,0.02034665,
1529418305386,0.9894021,0.5329546,-1.102023,0.9695356,0.5624292,-1.08635,0.9559129,0.5797862,-1.071886,0.9965824,0.5904582,-1.064344,0.9701877,0.598891,-1.056576,0.9531333,0.5917228,-1.055645,0.9975986,0.5750463,-1.04893,0.9662723,0.5755776,-1.046795,0.9519215,0.5626847,-1.055115,1.002671,0.5581246,-1.036991,0.972306,0.5603524,-1.035722,0.9576026,0.5502279,-1.045148,1.005825,0.5411358,-1.029153,0.9832935,0.5449278,-1.030869,0.9721011,0.5379621,-1.040651,1.012725,0.5353111,-1.074224,0.02034665,
1529418305412,0.9894021,0.5329546,-1.102023,0.9695356,0.5624292,-1.08635,0.9559129,0.5797862,-1.071886,0.9965824,0.5904582,-1.064344,0.9701877,0.598891,-1.056576,0.9531333,0.5917228,-1.055645,0.9975986,0.5750463,-1.04893,0.9662723,0.5755776,-1.046795,0.9519215,0.5626847,-1.055115,1.002671,0.5581246,-1.036991,0.972306,0.5603524,-1.035722,0.9576026,0.5502279,-1.045148,1.005825,0.5411358,-1.029153,0.9832935,0.5449278,-1.030869,0.9721011,0.5379621,-1.040651,1.012725,0.5353111,-1.074224,0.02034665,
1529418305447,0.9894021,0.5329546,-1.102023,0.9695356,0.5624292,-1.08635,0.9559129,0.5797862,-1.071886,0.9965824,0.5904582,-1.064344,0.9701877,0.598891,-1.056576,0.9531333,0.5917228,-1.055645,0.9975986,0.5750463,-1.04893,0.9662723,0.5755776,-1.046795,0.9519215,0.5626847,-1.055115,1.002671,0.5581246,-1.036991,0.972306,0.5603524,-1.035722,0.9576026,0.5502279,-1.045148,1.005825,0.5411358,-1.029153,0.9832935,0.5449278,-1.030869,0.9721011,0.5379621,-1.040651,1.012725,0.5353111,-1.074224,0.02034665,
1529418305479,0.9894021,0.5329546,-1.102023,0.9695356,0.5624292,-1.08635,0.9559129,0.5797862,-1.071886,0.9965824,0.5904582,-1.064344,0.9701877,0.598891,-1.056576,0.9531333,0.5917228,-1.055645,0.9975986,0.5750463,-1.04893,0.9662723,0.5755776,-1.046795,0.9519215,0.5626847,-1.055115,1.002671,0.5581246,-1.036991,0.972306,0.5603524,-1.035722,0.9576026,0.5502279,-1.045148,1.005825,0.5411358,-1.029153,0.9832935,0.5449278,-1.030869,0.9721011,0.5379621,-1.040651,1.012725,0.5353111,-1.074224,0.02034665,
1529418305505,0.9894021,0.5329546,-1.102023,0.9695356,0.5624292,-1.08635,0.9559129,0.5797862,-1.071886,0.9965824,0.5904582,-1.064344,0.9701877,0.598891,-1.056576,0.9531333,0.5917228,-1.055645,0.9975986,0.5750463,-1.04893,0.9662723,0.5755776,-1.046795,0.9519215,0.5626847,-1.055115,1.002671,0.5581246,-1.036991,0.972306,0.5603524,-1.035722,0.9576026,0.5502279,-1.045148,1.005825,0.5411358,-1.029153,0.9832935,0.5449278,-1.030869,0.9721011,0.5379621,-1.040651,1.012725,0.5353111,-1.074224,0.02034665,
1529418305532,0.9894021,0.5329546,-1.102023,0.9695356,0.5624292,-1.08635,0.9559129,0.5797862,-1.071886,0.9965824,0.5904582,-1.064344,0.9701877,0.598891,-1.056576,0.9531333,0.5917228,-1.055645,0.9975986,0.5750463,-1.04893,0.9662723,0.5755776,-1.046795,0.9519215,0.5626847,-1.055115,1.002671,0.5581246,-1.036991,0.972306,0.5603524,-1.035722,0.9576026,0.5502279,-1.045148,1.005825,0.5411358,-1.029153,0.9832935,0.5449278,-1.030869,0.9721011,0.5379621,-1.040651,1.012725,0.5353111,-1.074224,0.02034665,
1529418305559,0.9894021,0.5329546,-1.102023,0.9695356,0.5624292,-1.08635,0.9559129,0.5797862,-1.071886,0.9965824,0.5904582,-1.064344,0.9701877,0.598891,-1.056576,0.9531333,0.5917228,-1.055645,0.9975986,0.5750463,-1.04893,0.9662723,0.5755776,-1.046795,0.9519215,0.5626847,-1.055115,1.002671,0.5581246,-1.036991,0.972306,0.5603524,-1.035722,0.9576026,0.5502279,-1.045148,1.005825,0.5411358,-1.029153,0.9832935,0.5449278,-1.030869,0.9721011,0.5379621,-1.040651,1.012725,0.5353111,-1.074224,0.02034665,
1529418305585,0.9894021,0.5329546,-1.102023,0.9695356,0.5624292,-1.08635,0.9559129,0.5797862,-1.071886,0.9965824,0.5904582,-1.064344,0.9701877,0.598891,-1.056576,0.9531333,0.5917228,-1.055645,0.9975986,0.5750463,-1.04893,0.9662723,0.5755776,-1.046795,0.9519215,0.5626847,-1.055115,1.002671,0.5581246,-1.036991,0.972306,0.5603524,-1.035722,0.9576026,0.5502279,-1.045148,1.005825,0.5411358,-1.029153,0.9832935,0.5449278,-1.030869,0.9721011,0.5379621,-1.040651,1.012725,0.5353111,-1.074224,0.02034665,
1529418305612,0.9894021,0.5329546,-1.102023,0.9695356,0.5624292,-1.08635,0.9559129,0.5797862,-1.071886,0.9965824,0.5904582,-1.064344,0.9701877,0.598891,-1.056576,0.9531333,0.5917228,-1.055645,0.9975986,0.5750463,-1.04893,0.9662723,0.5755776,-1.046795,0.9519215,0.5626847,-1.055115,1.002671,0.5581246,-1.036991,0.972306,0.5603524,-1.035722,0.9576026,0.5502279,-1.045148,1.005825,0.5411358,-1.029153,0.9832935,0.5449278,-1.030869,0.9721011,0.5379621,-1.040651,1.012725,0.5353111,-1.074224,0.02034665,
