time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528905300350,1.049126,0.8860303,-0.9046077,1.045542,0.8834879,-0.8679597,1.044057,0.8765559,-0.8442268,1.103789,0.8907863,-0.8501437,1.117459,0.8866735,-0.8252188,1.122005,0.8824257,-0.8085729,1.110919,0.8728306,-0.8512132,1.122934,0.8687119,-0.8209034,1.125871,0.8651589,-0.8011141,1.110283,0.8524061,-0.8600464,1.1147,0.8451608,-0.8303572,1.111818,0.8401067,-0.8113002,1.103188,0.8340537,-0.8713512,1.096761,0.8278441,-0.8506042,1.084614,0.8265618,-0.8410059,1.080759,0.8705833,-0.9010578,0.08591589,
1528905300390,1.03316,0.8800619,-0.9109408,1.030509,0.8754084,-0.8743958,1.030054,0.8667798,-0.8512605,1.088218,0.8846239,-0.8570584,1.101406,0.8794138,-0.8321488,1.105245,0.8740177,-0.815678,1.096335,0.8672178,-0.8594574,1.107619,0.8615131,-0.8292365,1.109256,0.8564732,-0.809657,1.096878,0.8473143,-0.8697474,1.101126,0.8381302,-0.8406805,1.097607,0.8315343,-0.8222219,1.091617,0.8294483,-0.882116,1.086691,0.8214553,-0.8616132,1.07512,0.8187029,-0.8515897,1.06576,0.8663011,-0.9089797,0.08349966,
1528905300429,1.012923,0.8713176,-0.9207575,1.010364,0.8664255,-0.8841467,1.010453,0.8580484,-0.8609803,1.067496,0.8754987,-0.8664885,1.079583,0.8696344,-0.8411905,1.082654,0.863199,-0.82496,1.077526,0.8592918,-0.870782,1.087828,0.8520628,-0.8406047,1.088442,0.8453029,-0.821532,1.080371,0.8406063,-0.8831306,1.0849,0.8294591,-0.854798,1.081549,0.8209897,-0.8371085,1.077728,0.8233944,-0.8973033,1.074223,0.8130683,-0.8775803,1.063339,0.808084,-0.8675854,1.047295,0.8595058,-0.9203911,0.08085199,
1528905300457,1.002192,0.8709047,-0.9256616,0.9978619,0.8678294,-0.8889809,0.9967276,0.8608578,-0.8653975,1.054389,0.8734978,-0.8691397,1.064176,0.867685,-0.8428546,1.065751,0.861227,-0.8264302,1.064828,0.8572944,-0.8735999,1.072837,0.8497366,-0.8428291,1.071937,0.8427205,-0.8238681,1.068616,0.8390208,-0.886342,1.071771,0.8278082,-0.8578265,1.067623,0.8192523,-0.8403653,1.066799,0.8219664,-0.9010013,1.062575,0.811457,-0.8814788,1.051425,0.8062472,-0.8719041,1.037094,0.8580237,-0.9245392,0.07926386,
1528905300497,0.9804212,0.8676041,-0.9370851,0.9740702,0.8655795,-0.900589,0.9713378,0.8598139,-0.8767678,1.029185,0.8670989,-0.877782,1.035962,0.8607945,-0.8507141,1.035322,0.8538798,-0.8344361,1.040194,0.8507817,-0.882593,1.045735,0.842316,-0.8515425,1.043147,0.8347373,-0.8329635,1.045372,0.8331726,-0.8959289,1.048245,0.8216294,-0.8673977,1.044894,0.8129451,-0.8497557,1.044473,0.816408,-0.9112458,1.040689,0.8052171,-0.891797,1.030421,0.7991158,-0.8816544,1.015379,0.8533909,-0.9348886,0.07694945,
1528905300537,0.9665797,0.8650908,-0.9452552,0.957632,0.863144,-0.9093072,0.9528024,0.8577752,-0.8856648,1.010416,0.8628139,-0.8824651,1.014241,0.8569407,-0.8547372,1.011545,0.8505036,-0.8385043,1.021143,0.8456129,-0.8865527,1.024106,0.8374025,-0.8550607,1.019964,0.8303497,-0.836559,1.026739,0.8277749,-0.8994243,1.027686,0.8167809,-0.8705869,1.02271,0.8086323,-0.8531063,1.026242,0.8107024,-0.9146912,1.022406,0.7996879,-0.8948545,1.013271,0.7933733,-0.8836566,1.000246,0.8490317,-0.9405257,0.07568136,
1528905300577,0.9508817,0.8603293,-0.9573168,0.9384344,0.8577669,-0.9225265,0.931073,0.8518543,-0.899623,0.9884917,0.8588892,-0.8904514,0.9901128,0.8537011,-0.8623586,0.9858546,0.8480395,-0.8461957,0.9982884,0.8406581,-0.8927332,0.9989047,0.8333017,-0.8608604,0.9934578,0.827247,-0.8423333,1.003731,0.8222255,-0.904103,1.002393,0.8126711,-0.874768,0.9957772,0.8057575,-0.8573335,1.002873,0.8045501,-0.9185153,0.99725,0.7948025,-0.8982732,0.9872844,0.7895961,-0.8873127,0.9824312,0.8434222,-0.948532,0.07661631,
1528905300617,0.9357102,0.8580891,-0.9676713,0.9208357,0.8544884,-0.934016,0.9117898,0.8473965,-0.9120623,0.9688765,0.8580111,-0.8983355,0.9695341,0.8530747,-0.8701303,0.9647037,0.8480325,-0.8539122,0.9774109,0.8392187,-0.8990797,0.9768966,0.8327267,-0.8669885,0.9707994,0.8276296,-0.8483801,0.9820063,0.8203175,-0.9090987,0.9793769,0.8122959,-0.8793654,0.97207,0.8066975,-0.8617328,0.9805388,0.8021981,-0.9226283,0.9743024,0.7938126,-0.9017642,0.9645048,0.7895462,-0.8903093,0.9650378,0.8409362,-0.955898,0.07862392,
1528905300643,0.9290017,0.8581049,-0.9727424,0.9127377,0.8534244,-0.9398652,0.9029442,0.8457292,-0.9184369,0.9591608,0.8596615,-0.9019794,0.9591281,0.8546456,-0.8737683,0.9541256,0.8494691,-0.8576221,0.9683158,0.8411523,-0.9021975,0.9672083,0.8346497,-0.8700991,0.9610219,0.8294119,-0.8515409,0.9740031,0.8224961,-0.9118142,0.9712238,0.8146455,-0.8820106,0.9641297,0.8089733,-0.8642993,0.9734646,0.804297,-0.9251949,0.9670988,0.7959231,-0.9043341,0.9573074,0.7914045,-0.8929848,0.958172,0.8424034,-0.9594943,0.07957361,
1528905300669,0.9247516,0.8539777,-0.9791265,0.9077835,0.8495783,-0.946491,0.8977134,0.8426651,-0.9249282,0.9536499,0.8594937,-0.9078791,0.953168,0.8549495,-0.8796336,0.9479855,0.849569,-0.8636036,0.964502,0.8417447,-0.9075388,0.9632376,0.8356092,-0.875414,0.9569125,0.8300676,-0.8569927,0.9721308,0.8236164,-0.9165804,0.9697872,0.816281,-0.886633,0.9629117,0.8104206,-0.8689035,0.9737059,0.8052268,-0.9293858,0.9686029,0.7969903,-0.9081261,0.9595275,0.791915,-0.8964205,0.9550913,0.84095,-0.9649374,0.07959686,
