time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529318995819,1.13252,0.4253439,-0.8306656,1.127108,0.4075853,-0.7965679,1.126495,0.3939724,-0.7737691,1.145317,0.4396772,-0.7567286,1.146864,0.4243508,-0.7308778,1.145407,0.4086505,-0.7205034,1.164421,0.4349544,-0.75671,1.162906,0.4161815,-0.7282125,1.157789,0.3980726,-0.71771,1.184359,0.431735,-0.7657326,1.184752,0.4166365,-0.7367463,1.180773,0.401055,-0.7229253,1.198516,0.422867,-0.7794742,1.196661,0.4092886,-0.7589993,1.190176,0.3961317,-0.7511038,1.160987,0.437744,-0.8153566,0.05839834,
1529318995847,1.128888,0.4372055,-0.8211976,1.12318,0.4203959,-0.7866519,1.121799,0.4076332,-0.76337,1.142795,0.4524584,-0.7478089,1.14478,0.4373449,-0.721774,1.143551,0.4218999,-0.7109894,1.161782,0.447794,-0.7478562,1.160645,0.4294637,-0.7189127,1.155785,0.411709,-0.7077007,1.181802,0.4443463,-0.7570311,1.182869,0.4296433,-0.72777,1.17942,0.4145045,-0.7132806,1.195857,0.435644,-0.7705656,1.194872,0.4230004,-0.7492351,1.189334,0.4104525,-0.7396547,1.157664,0.449749,-0.8064131,0.05848417,
1529318995872,1.124393,0.4491835,-0.8149279,1.119135,0.4332696,-0.7798905,1.117895,0.4211811,-0.756232,1.13991,0.4653768,-0.7421341,1.14258,0.4506759,-0.7159404,1.14162,0.4352592,-0.7051797,1.159187,0.4610995,-0.7424161,1.159261,0.4436292,-0.7128823,1.154948,0.4261361,-0.7011803,1.178986,0.4572367,-0.7521036,1.181088,0.4427223,-0.722818,1.178152,0.427588,-0.7082357,1.19239,0.4479825,-0.765955,1.191298,0.4346127,-0.7452594,1.18533,0.4216052,-0.7365906,1.153624,0.4618125,-0.8009826,0.05802955,
1529318995913,1.120305,0.4655496,-0.8073459,1.116188,0.4504406,-0.7718222,1.115546,0.4389245,-0.74784,1.138945,0.4830372,-0.7354394,1.142717,0.4694223,-0.7087133,1.142239,0.4546501,-0.6970518,1.158165,0.478667,-0.7362715,1.15953,0.462647,-0.7058564,1.155807,0.4459378,-0.6928764,1.177165,0.4740158,-0.7466649,1.180038,0.4604923,-0.7168914,1.177598,0.4461185,-0.7014582,1.189909,0.464156,-0.7608823,1.188913,0.4510856,-0.7401345,1.182467,0.4381565,-0.7318466,1.150368,0.4778649,-0.7947683,0.05949152,
1529318995942,1.116997,0.4825605,-0.8028412,1.114243,0.4680016,-0.7669897,1.114985,0.456504,-0.7430084,1.139104,0.5001913,-0.7317151,1.144043,0.4876496,-0.7046816,1.143827,0.4732499,-0.6926214,1.15818,0.495377,-0.733194,1.160889,0.4807391,-0.7021667,1.157501,0.4646431,-0.6884351,1.176108,0.4897755,-0.7443109,1.17963,0.4771879,-0.7141536,1.177438,0.4634648,-0.6981178,1.187862,0.4789597,-0.7591166,1.186477,0.4657649,-0.738737,1.178931,0.4528484,-0.7317423,1.147744,0.4937235,-0.7915688,0.06042469,
1529318995966,1.112131,0.4955767,-0.8013843,1.109922,0.4818586,-0.7651913,1.111436,0.4706408,-0.7411289,1.135484,0.5146211,-0.7308277,1.141006,0.5034289,-0.7033014,1.141047,0.4896681,-0.6905282,1.154435,0.509563,-0.7324141,1.157714,0.4964223,-0.7007448,1.154608,0.4810836,-0.6861058,1.171987,0.5032884,-0.7436754,1.175763,0.4917547,-0.7131305,1.173678,0.4786406,-0.6965712,1.183236,0.4917325,-0.7584814,1.181535,0.4788816,-0.7380247,1.173579,0.4661354,-0.7312095,1.143123,0.5063663,-0.7907519,0.06163828,
1529318995992,1.108151,0.5125028,-0.8009238,1.106562,0.4996995,-0.7644053,1.109154,0.488734,-0.7403495,1.131743,0.5340189,-0.7309916,1.137851,0.5244461,-0.7029269,1.138368,0.511594,-0.689221,1.150621,0.5289358,-0.7324331,1.154417,0.5175228,-0.7000887,1.151831,0.5031727,-0.6843183,1.167919,0.5221863,-0.7435331,1.171766,0.5120045,-0.712496,1.169858,0.4997104,-0.6952779,1.179064,0.5100452,-0.7580482,1.177194,0.4978548,-0.7372355,1.169189,0.4852901,-0.7301069,1.139037,0.5235649,-0.7906889,0.06316767,
1529318996019,1.106931,0.520187,-0.8003345,1.106236,0.507361,-0.7637845,1.109598,0.4965248,-0.7397833,1.130321,0.5438219,-0.7308379,1.137011,0.5350317,-0.7025882,1.138291,0.5226995,-0.688428,1.149404,0.5393639,-0.7324986,1.153933,0.5284246,-0.7000445,1.152201,0.5143071,-0.6839033,1.166756,0.5332191,-0.7437177,1.171072,0.5234072,-0.7126317,1.169672,0.5111444,-0.6953445,1.178138,0.5209184,-0.7584377,1.176451,0.5081366,-0.7380828,1.168651,0.4951271,-0.7313949,1.137444,0.5329659,-0.79054,0.06438768,
1529318996046,1.103824,0.528402,-0.8005816,1.103459,0.5156395,-0.7639976,1.107284,0.5048679,-0.7400671,1.126717,0.5533962,-0.7313265,1.133404,0.5448779,-0.7029842,1.134874,0.5327097,-0.688683,1.145796,0.5491896,-0.7330156,1.150227,0.538294,-0.7005304,1.148641,0.5241764,-0.6843506,1.163401,0.5434495,-0.7442287,1.167828,0.5338719,-0.7130866,1.166629,0.5216711,-0.6957374,1.17487,0.531093,-0.7589332,1.173066,0.5181179,-0.7387904,1.165311,0.5049117,-0.7323449,1.134073,0.5421797,-0.7909559,0.0646274,
1529318996073,1.099656,0.5396521,-0.8016725,1.099291,0.5273839,-0.7648903,1.103067,0.5171016,-0.7407552,1.121748,0.566842,-0.732906,1.12818,0.5587806,-0.7043709,1.129692,0.5468595,-0.6898474,1.14096,0.5628483,-0.7345657,1.145192,0.5521334,-0.7020296,1.143605,0.5379738,-0.6858801,1.158939,0.5575243,-0.745657,1.163532,0.5485298,-0.7143958,1.162477,0.5364709,-0.6969483,1.170575,0.5447093,-0.7602304,1.168582,0.5314428,-0.7405926,1.160478,0.5180134,-0.7350854,1.129662,0.5545958,-0.7923093,0.06469984,
1529318996100,1.095183,0.5487105,-0.8020217,1.094556,0.5371552,-0.7650112,1.098155,0.5272719,-0.7406908,1.118101,0.5768819,-0.7338793,1.12458,0.5692042,-0.7052602,1.125999,0.5574977,-0.6905456,1.1372,0.5724475,-0.7355417,1.141366,0.5620137,-0.7029222,1.139593,0.5480375,-0.6866236,1.155055,0.566752,-0.7465794,1.15964,0.5582026,-0.7151852,1.158497,0.5464791,-0.6975121,1.166178,0.5531929,-0.7610685,1.163476,0.5398109,-0.741794,1.154744,0.5265131,-0.7369245,1.125512,0.5634273,-0.7930391,0.06483395,
1529318996140,1.085919,0.5629779,-0.8030285,1.084659,0.5520864,-0.7658478,1.088077,0.5423731,-0.7414598,1.10977,0.5921038,-0.7352709,1.116152,0.5854579,-0.7064081,1.117288,0.574204,-0.6913302,1.128785,0.5869061,-0.7367818,1.132836,0.5774324,-0.7038747,1.130746,0.563983,-0.6871824,1.146295,0.5803015,-0.7476431,1.150519,0.5724148,-0.7160305,1.149004,0.5611829,-0.6980566,1.156737,0.565382,-0.762133,1.153026,0.5516919,-0.7433029,1.143669,0.5386392,-0.7385486,1.116842,0.576859,-0.7941746,0.06617734,
1529318996167,1.079086,0.5689422,-0.8026603,1.077263,0.5587025,-0.7653357,1.080505,0.5492994,-0.7408143,1.102068,0.5991688,-0.7350316,1.10812,0.5931302,-0.706001,1.109022,0.5820904,-0.690755,1.121028,0.5938333,-0.7361211,1.124588,0.5849892,-0.7030054,1.122197,0.5718182,-0.6861328,1.13865,0.5869926,-0.7465788,1.142351,0.5797157,-0.7147675,1.140504,0.5688077,-0.6966255,1.149444,0.57178,-0.7606368,1.145697,0.5585024,-0.7414333,1.136423,0.5455732,-0.7361814,1.109933,0.582817,-0.7935389,0.06629042,
1529318996193,1.062992,0.5735644,-0.8078642,1.060529,0.5632133,-0.7706443,1.063717,0.5533602,-0.7463248,1.08624,0.6028094,-0.73985,1.091925,0.5965724,-0.7108158,1.092353,0.58542,-0.6956322,1.104897,0.5968863,-0.7406734,1.107775,0.5879852,-0.7075065,1.104796,0.5749379,-0.6906172,1.122385,0.5895101,-0.7509268,1.125381,0.5821241,-0.7190725,1.122919,0.5712613,-0.7009741,1.133092,0.574038,-0.7648793,1.129007,0.5609691,-0.7455062,1.11951,0.5483364,-0.7398929,1.094197,0.586293,-0.7982807,0.06646483,
1529318996219,1.050685,0.575738,-0.8105448,1.048505,0.5640008,-0.7737769,1.052385,0.5528256,-0.7501876,1.074759,0.6021869,-0.7416078,1.080418,0.5953193,-0.7126637,1.080754,0.5840337,-0.6975702,1.093395,0.5959226,-0.7427087,1.096499,0.5865375,-0.709595,1.093636,0.5735562,-0.6926371,1.110656,0.5883526,-0.7532996,1.113793,0.5801805,-0.7216215,1.111342,0.5690511,-0.7036838,1.120921,0.5728901,-0.7678581,1.116753,0.5592343,-0.748821,1.106997,0.5466955,-0.7436808,1.082154,0.5873721,-0.8006551,0.06743395,
1529318996246,1.036493,0.5765404,-0.8137788,1.034002,0.5641909,-0.7772751,1.038136,0.5524514,-0.7540517,1.059649,0.6021211,-0.7441679,1.064875,0.5950631,-0.7151253,1.06518,0.5839019,-0.6999115,1.078419,0.5960325,-0.7451866,1.081297,0.5865321,-0.711973,1.078638,0.5737852,-0.6947753,1.095737,0.5885854,-0.7557089,1.098396,0.5799484,-0.724063,1.095861,0.568701,-0.7061975,1.106161,0.5732965,-0.7705096,1.101516,0.559101,-0.7519422,1.091581,0.5464871,-0.747662,1.067949,0.5881807,-0.8033865,0.06820321,
