time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529319240399,0.9633287,0.4896595,-0.8335005,0.9325572,0.4999563,-0.8121004,0.9117134,0.505439,-0.7964967,0.9542948,0.5140244,-0.7619913,0.9302046,0.51199,-0.7454449,0.9138823,0.5031754,-0.7441036,0.9648837,0.5000267,-0.752178,0.9373219,0.4999815,-0.7330031,0.9172301,0.4930793,-0.7314873,0.9790934,0.4794355,-0.7498188,0.9549494,0.4762805,-0.7294092,0.9352081,0.4697842,-0.726775,0.9900068,0.4585102,-0.7534176,0.9730433,0.4540198,-0.7366896,0.9570752,0.4500147,-0.7343623,0.9871451,0.4817449,-0.8029953,0.05248685,
1529319240429,0.966929,0.4960259,-0.8408931,0.9364173,0.5060521,-0.8189974,0.9157504,0.511444,-0.8031249,0.9588277,0.519989,-0.769187,0.9349608,0.5176146,-0.7523855,0.9186987,0.5086917,-0.7509771,0.9695246,0.5059652,-0.7595896,0.9421899,0.5056003,-0.7401052,0.9221299,0.4986139,-0.7384168,0.9837351,0.4854955,-0.7575544,0.9597849,0.4821966,-0.7369543,0.9400652,0.475666,-0.7341661,0.9945397,0.4646727,-0.7614139,0.9776458,0.4601819,-0.7446206,0.9616807,0.4561914,-0.7422198,0.9911289,0.4880134,-0.8107625,0.05230355,
1529319240454,0.9686925,0.5063098,-0.8361788,0.9383848,0.5157458,-0.8137478,0.9179547,0.5205548,-0.7973981,0.9613471,0.5313133,-0.7647864,0.9377928,0.5287039,-0.7475839,0.9217077,0.5195228,-0.7458313,0.9724033,0.5175378,-0.7551441,0.9453976,0.5168464,-0.7352341,0.9254954,0.5095091,-0.7332045,0.9868855,0.4974146,-0.7531115,0.9632519,0.4940196,-0.7321475,0.9436742,0.4872329,-0.7289839,0.9978933,0.4767264,-0.756871,0.9812247,0.4722267,-0.7398317,0.9653513,0.4680418,-0.7371541,0.9934708,0.4993222,-0.8064268,0.05171359,
1529319240470,0.9692692,0.5090652,-0.8389399,0.9391886,0.5181237,-0.8160532,0.9189712,0.5226234,-0.7993598,0.9628137,0.5342495,-0.7675073,0.9396283,0.5313312,-0.7498239,0.9236843,0.5219772,-0.747687,0.9741881,0.520644,-0.7579892,0.9475706,0.5195916,-0.7375463,0.9278002,0.5120231,-0.7350671,0.9889199,0.5007614,-0.7561498,0.9656959,0.4971162,-0.7347346,0.9462663,0.4901184,-0.7311037,1.000112,0.4801948,-0.7600159,0.9837907,0.4754978,-0.7426662,0.9680332,0.4711148,-0.7396162,0.994653,0.5026585,-0.8095924,0.05189128,
1529319240493,0.9731658,0.5089849,-0.8481603,0.9436358,0.5174629,-0.8243518,0.9238647,0.5214345,-0.8070109,0.9682091,0.5337279,-0.7765468,0.9453256,0.530689,-0.7584102,0.92935,0.521448,-0.7559072,0.9797145,0.5198824,-0.7673634,0.95349,0.5185611,-0.7463481,0.933735,0.5110722,-0.7434007,0.994341,0.4999982,-0.7660565,0.9714697,0.4961585,-0.7442176,0.9520901,0.4892318,-0.7401226,1.005335,0.4794188,-0.7703611,0.9892657,0.4745176,-0.7527611,0.9735758,0.4701542,-0.7492975,0.9990712,0.502413,-0.8195146,0.05139731,
1529319240528,0.9778168,0.5182328,-0.8485756,0.949238,0.5272887,-0.8238426,0.9302754,0.5314002,-0.8056752,0.975373,0.546437,-0.7782786,0.9530312,0.5442445,-0.7592368,0.9370601,0.5353379,-0.7556027,0.9870771,0.5327611,-0.7688389,0.9615214,0.5322144,-0.74684,0.9418447,0.5250353,-0.7426895,1.001511,0.5129547,-0.7672188,0.9792142,0.5100385,-0.7445202,0.9599614,0.503473,-0.7392808,1.012192,0.4921334,-0.7709812,0.9965322,0.4879066,-0.7527267,0.9809899,0.4837879,-0.7483327,1.004626,0.5131709,-0.8207545,0.05068332,
1529319240546,0.9833176,0.5207611,-0.8503483,0.9556549,0.5299571,-0.824662,0.9375156,0.5337425,-0.8056373,0.982836,0.5506818,-0.7809238,0.9608071,0.5491239,-0.7613949,0.9447722,0.5405806,-0.7571764,0.9945306,0.5368416,-0.771446,0.9694033,0.5368278,-0.7488673,0.9497327,0.5300233,-0.7440619,1.008573,0.5169018,-0.7698417,0.9865735,0.5145705,-0.7466897,0.9673549,0.5084168,-0.7408165,1.018802,0.4958568,-0.77345,1.003303,0.4920294,-0.7548792,0.9878335,0.4882189,-0.7499343,1.010646,0.5162431,-0.8233185,0.04947601,
1529319240573,0.9960723,0.5197355,-0.8599658,0.9704396,0.5279309,-0.831961,0.9539952,0.5303978,-0.8112919,0.9998924,0.5485218,-0.7902918,0.9789674,0.5469628,-0.7695864,0.9630148,0.5386388,-0.7647463,1.011781,0.53405,-0.7817118,0.988016,0.533827,-0.7576864,0.9685209,0.5272713,-0.7519735,1.025238,0.5138276,-0.7814276,1.004385,0.5113044,-0.7571841,0.9853966,0.5054283,-0.7503744,1.034647,0.4926465,-0.7861054,1.019892,0.488574,-0.7668972,1.004663,0.4849628,-0.7611165,1.024443,0.5143992,-0.8348722,0.04812237,
1529319240600,1.002549,0.5261022,-0.8602252,0.9783096,0.534948,-0.8312321,0.9629878,0.5372396,-0.8097422,1.008949,0.5556843,-0.7911632,0.988544,0.5552301,-0.7699351,0.9724039,0.5475559,-0.7647922,1.020483,0.5407747,-0.7826178,0.9974564,0.5417525,-0.7579611,0.9778641,0.5359913,-0.7518796,1.03297,0.520057,-0.7824694,1.012654,0.518723,-0.7576737,0.9936149,0.5137362,-0.7503761,1.041268,0.4984605,-0.7871559,1.026756,0.4952751,-0.7675602,1.011547,0.4923897,-0.7613631,1.031066,0.5201174,-0.8359419,0.04707004,
1529319240626,1.010995,0.5270826,-0.8651773,0.9885243,0.5363514,-0.834952,0.974538,0.5384041,-0.8125873,1.020726,0.5570558,-0.7967182,1.001249,0.557514,-0.7746961,0.9850386,0.5504419,-0.769061,1.032024,0.5417188,-0.7883892,1.010206,0.5436987,-0.7627767,0.9906599,0.5387011,-0.7560194,1.043628,0.5206026,-0.7885493,1.024411,0.5203013,-0.7628642,1.005525,0.516165,-0.7547231,1.05086,0.4986733,-0.7933661,1.037135,0.4962433,-0.7731024,1.022123,0.494014,-0.7662202,1.039804,0.5204026,-0.8420557,0.04636496,
