time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529319338441,1.243586,0.498736,-0.8645905,1.25348,0.505111,-0.8277007,1.259738,0.5057238,-0.8018038,1.301015,0.4990746,-0.8208798,1.296164,0.5020256,-0.7929783,1.280994,0.5007035,-0.7821503,1.30455,0.4785941,-0.8211297,1.304235,0.4831949,-0.7872306,1.292672,0.4860588,-0.7691586,1.301309,0.4558119,-0.828001,1.303264,0.4569333,-0.7957441,1.293528,0.4597922,-0.7770954,1.291671,0.4363601,-0.835372,1.293638,0.4353716,-0.8108752,1.28643,0.4389038,-0.7960789,1.26917,0.4742814,-0.8660101,0.02938129,
1529319338469,1.228901,0.512267,-0.8618771,1.239359,0.5205246,-0.825513,1.246053,0.5230408,-0.7997683,1.287122,0.5102205,-0.8184134,1.283615,0.513956,-0.7902515,1.269086,0.5134611,-0.7785304,1.290382,0.4896013,-0.8186412,1.2923,0.4947931,-0.7847826,1.28205,0.4983363,-0.7661245,1.286352,0.4665835,-0.8253343,1.290724,0.4676336,-0.7931401,1.282833,0.4707274,-0.7737145,1.275747,0.4470499,-0.8324261,1.279383,0.4453358,-0.8080339,1.273576,0.4486049,-0.7926161,1.253562,0.4859241,-0.8629608,0.03276202,
1529319338497,1.219035,0.5181851,-0.8628136,1.227993,0.5294025,-0.8268377,1.233796,0.5342877,-0.8011937,1.276014,0.5191665,-0.8172226,1.271816,0.5241083,-0.7893542,1.256985,0.5236659,-0.7781389,1.279882,0.4987364,-0.8165161,1.280215,0.5055993,-0.7832068,1.268054,0.5095301,-0.7659955,1.276908,0.4751934,-0.8224132,1.280455,0.4777948,-0.7903591,1.271448,0.4815552,-0.7716167,1.267131,0.4549133,-0.8290461,1.270465,0.4541883,-0.8046528,1.263928,0.4579979,-0.7897271,1.244508,0.491823,-0.8617983,0.0343814,
1529319338535,1.191706,0.5376828,-0.8604788,1.199591,0.5518985,-0.8253318,1.204823,0.5589005,-0.8000497,1.248794,0.5426334,-0.8142849,1.244989,0.5484656,-0.7865297,1.230353,0.5477701,-0.775219,1.253521,0.5226167,-0.8128115,1.252984,0.5308001,-0.7802317,1.239374,0.5344925,-0.7642495,1.251735,0.4986822,-0.8178028,1.25459,0.5028204,-0.7861539,1.244109,0.5069011,-0.7683942,1.243026,0.4775833,-0.8237016,1.246141,0.478035,-0.7994387,1.238617,0.4823149,-0.7852221,1.21853,0.5120968,-0.8579,0.03731243,
1529319338561,1.177394,0.5478046,-0.8583112,1.184486,0.5627854,-0.8233213,1.189099,0.5701158,-0.7980183,1.233217,0.5535367,-0.8106626,1.228498,0.5599232,-0.7833806,1.213201,0.559338,-0.7731161,1.237555,0.5335418,-0.8085012,1.235379,0.5423885,-0.7764566,1.220435,0.5462918,-0.7618386,1.235914,0.5095332,-0.8129731,1.237438,0.5144843,-0.7815521,1.225788,0.5190958,-0.7646915,1.227142,0.4884491,-0.8185344,1.229051,0.4897818,-0.7943414,1.220367,0.4947685,-0.7811135,1.203963,0.5220806,-0.8543426,0.03629288,
1529319338603,1.149023,0.5614012,-0.8546647,1.150975,0.5792034,-0.8203416,1.152109,0.5884118,-0.7952454,1.19839,0.5736208,-0.8011458,1.190289,0.5808402,-0.7749345,1.173961,0.5796252,-0.7665588,1.203714,0.5542892,-0.7972373,1.196864,0.5644125,-0.7665349,1.179518,0.5676323,-0.7548091,1.204282,0.5299796,-0.8003004,1.201192,0.5365406,-0.7696193,1.186396,0.5410141,-0.7555196,1.19768,0.5081003,-0.8054483,1.196148,0.5109722,-0.78161,1.184844,0.5161796,-0.7707571,1.176636,0.5377749,-0.8458404,0.03711619,
1529319338629,1.138536,0.5636421,-0.8523777,1.137132,0.5827696,-0.8187662,1.136066,0.5928723,-0.7940063,1.183403,0.5807173,-0.7961546,1.173351,0.5878667,-0.770581,1.156677,0.5858226,-0.7630907,1.189671,0.5620171,-0.7912176,1.179958,0.5722007,-0.7615076,1.16144,0.5743129,-0.751475,1.19189,0.5378575,-0.7933565,1.185601,0.5449415,-0.7635673,1.168895,0.5485689,-0.7516001,1.187286,0.5155728,-0.7981119,1.183599,0.5192124,-0.7747673,1.170858,0.5240046,-0.7654613,1.166973,0.5422555,-0.8408377,0.03781909,
1529319338655,1.123762,0.5706925,-0.8442903,1.119663,0.5915558,-0.811976,1.116762,0.6026737,-0.787808,1.163877,0.5938352,-0.7867303,1.15193,0.6017529,-0.7623994,1.134814,0.5991913,-0.7563167,1.170253,0.5758461,-0.7800257,1.157541,0.5869076,-0.7521218,1.137883,0.5882807,-0.7444782,1.173603,0.5519626,-0.7802901,1.16434,0.5605215,-0.7518964,1.146201,0.5638728,-0.7422435,1.170384,0.529472,-0.7836958,1.164327,0.5347474,-0.7614139,1.150239,0.5395429,-0.7543262,1.152131,0.5517563,-0.8295496,0.03646548,
1529319338682,1.114645,0.5757196,-0.8378154,1.110486,0.5959406,-0.8051358,1.107594,0.6062047,-0.7805983,1.154405,0.6006505,-0.7809343,1.142403,0.6084852,-0.7566996,1.125292,0.6056788,-0.7508582,1.160505,0.5827624,-0.7739102,1.146825,0.5934141,-0.7466616,1.126762,0.5941011,-0.7401708,1.163647,0.5591229,-0.7738154,1.1526,0.5676025,-0.7463856,1.133585,0.5703816,-0.7384177,1.16091,0.5369042,-0.776886,1.15344,0.5427051,-0.7554909,1.138584,0.5473329,-0.7500139,1.143023,0.5580072,-0.8230906,0.03461166,
1529319338709,1.107283,0.5800562,-0.8305789,1.102812,0.5993435,-0.797401,1.099708,0.60856,-0.7725012,1.145388,0.6072337,-0.7743378,1.132202,0.6149218,-0.7509867,1.114838,0.6115478,-0.7464433,1.15123,0.589458,-0.7667568,1.135973,0.5999395,-0.7405631,1.115477,0.6001316,-0.7355137,1.154273,0.5660103,-0.766088,1.141242,0.5745931,-0.7398716,1.12151,0.5769906,-0.7337518,1.151983,0.5439922,-0.7686909,1.143151,0.5503107,-0.748144,1.127831,0.5548682,-0.744056,1.135341,0.5637653,-0.8156193,0.03027986,
1529319338746,1.08509,0.5898962,-0.8222946,1.079412,0.6073408,-0.7883356,1.076031,0.613951,-0.7627805,1.121092,0.6213928,-0.7672724,1.107013,0.6276205,-0.7443919,1.090031,0.6221697,-0.7407715,1.127986,0.6037997,-0.7595371,1.110961,0.6121426,-0.7339483,1.090326,0.6099869,-0.7300237,1.132509,0.5809612,-0.758876,1.1171,0.5879265,-0.7337491,1.096781,0.5880473,-0.7293292,1.132394,0.5593132,-0.7613246,1.121741,0.5651418,-0.7417528,1.105714,0.5680971,-0.739238,1.114675,0.5768993,-0.808021,0.02734841,
1529319338776,1.071599,0.5981805,-0.8190032,1.063133,0.6154902,-0.785531,1.058164,0.621974,-0.7602903,1.103824,0.6320187,-0.7627991,1.088485,0.6375323,-0.7407602,1.071888,0.6307229,-0.7380708,1.111486,0.6146477,-0.7547894,1.093044,0.6221035,-0.7296351,1.072487,0.6188591,-0.7258234,1.117422,0.5922521,-0.7540316,1.100712,0.5985177,-0.7292686,1.080372,0.5974985,-0.7249007,1.118979,0.5707322,-0.7564805,1.107488,0.5762013,-0.7370286,1.091335,0.5781629,-0.7344145,1.101702,0.5870361,-0.8036432,0.02754262,
1529319338802,1.050308,0.6124768,-0.8130438,1.038541,0.6299719,-0.7806553,1.031528,0.6367257,-0.7559845,1.077557,0.6492473,-0.7556886,1.060863,0.6545496,-0.7344505,1.044556,0.6469533,-0.7320938,1.085849,0.6324365,-0.7469383,1.065888,0.6395801,-0.7224822,1.045395,0.6355943,-0.7187151,1.093157,0.6104691,-0.7454624,1.075173,0.6165286,-0.7210685,1.054868,0.6148364,-0.7162941,1.096216,0.5890051,-0.7474376,1.083752,0.5942911,-0.7281865,1.067518,0.5955482,-0.7251843,1.080836,0.6032287,-0.7957909,0.02907069,
1529319338829,1.038607,0.623404,-0.8094667,1.023452,0.6399984,-0.7781088,1.014583,0.6452534,-0.7537919,1.060378,0.6623872,-0.7503777,1.042858,0.6675349,-0.7296643,1.026767,0.6595035,-0.7275698,1.068566,0.6457477,-0.7409284,1.046926,0.6517461,-0.7176698,1.026552,0.6465626,-0.7152359,1.076786,0.6242981,-0.7388952,1.056739,0.6291573,-0.7161019,1.036322,0.6259462,-0.7134284,1.081032,0.6031374,-0.7405689,1.066561,0.6076592,-0.7227371,1.050081,0.6076839,-0.7217015,1.068046,0.6161967,-0.7898936,0.03223518,
1529319338856,1.024542,0.6406084,-0.8001179,1.008151,0.6566849,-0.7691858,0.9990968,0.6607887,-0.7448565,1.044135,0.6818521,-0.7412268,1.026747,0.6868265,-0.7204148,1.011022,0.6782274,-0.7180433,1.052274,0.6651291,-0.7314775,1.029704,0.6692345,-0.7094581,1.00989,0.6620631,-0.7090375,1.061096,0.644145,-0.7292335,1.039423,0.6468338,-0.7089604,1.019604,0.6410912,-0.7103519,1.066565,0.6236172,-0.7305431,1.050653,0.6270938,-0.7147299,1.034565,0.625327,-0.7171929,1.054164,0.6351824,-0.7799606,0.03413609,
1529319338882,1.015685,0.6532201,-0.7920203,0.9996951,0.6694739,-0.7610627,0.9917458,0.6729677,-0.7364142,1.035518,0.6971655,-0.7352471,1.018458,0.7019268,-0.7143636,1.003293,0.6924807,-0.7116653,1.043813,0.6802967,-0.7253467,1.020822,0.6824831,-0.7044883,1.001944,0.6733223,-0.7058389,1.052995,0.6597464,-0.7230115,1.030425,0.6604879,-0.7048473,1.011734,0.6527572,-0.7089049,1.059409,0.6399633,-0.7237972,1.042564,0.6424415,-0.7100515,1.027624,0.638979,-0.7154459,1.046194,0.6495928,-0.7725955,0.03356489,
1529319338907,1.009027,0.6670281,-0.7860186,0.9920095,0.6835798,-0.7558587,0.9837542,0.6867602,-0.7313826,1.026729,0.7126,-0.7298148,1.009022,0.7173551,-0.7096957,0.9940897,0.7074365,-0.707483,1.034646,0.6956675,-0.7194268,1.010713,0.6969786,-0.7001587,0.9925572,0.686847,-0.703101,1.043841,0.6753569,-0.7166181,1.020229,0.675173,-0.7005562,1.002605,0.666425,-0.7066467,1.050711,0.6559747,-0.7167642,1.032966,0.6579486,-0.7048869,1.019242,0.6535545,-0.7122539,1.039216,0.6643592,-0.7656928,0.03324943,
