time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529319158691,1.151261,0.4348603,-0.8001295,1.159658,0.4201725,-0.765673,1.17068,0.4037913,-0.7494193,1.192679,0.4383497,-0.7477147,1.183266,0.4173715,-0.7376722,1.1716,0.4089129,-0.7484401,1.205593,0.4278018,-0.7565937,1.191171,0.406014,-0.7443036,1.174799,0.3983712,-0.7545694,1.217629,0.4180642,-0.772085,1.204755,0.397797,-0.7576151,1.186724,0.3899719,-0.76338,1.225347,0.4085394,-0.7880784,1.2171,0.3947568,-0.773714,1.201558,0.3902798,-0.7751284,1.186624,0.4369604,-0.8032603,0.00529493,
1529319158740,1.145533,0.446173,-0.7939043,1.153319,0.4331201,-0.7586855,1.164056,0.4173482,-0.7417066,1.187245,0.4489204,-0.7412133,1.17807,0.4283185,-0.7308841,1.166354,0.4201884,-0.7417381,1.200143,0.4382205,-0.7499059,1.185955,0.4168769,-0.7374964,1.169743,0.4097147,-0.74817,1.212063,0.4282441,-0.7653888,1.199182,0.4083847,-0.7510622,1.181241,0.401162,-0.7575041,1.219755,0.4186057,-0.7812893,1.21147,0.405101,-0.766952,1.196007,0.4009906,-0.7689638,1.181095,0.447219,-0.797031,0.003653931,
1529319158770,1.140917,0.4537729,-0.7888627,1.148176,0.4416115,-0.7531385,1.158107,0.4262956,-0.7351961,1.184327,0.4548534,-0.736607,1.175192,0.43471,-0.7253835,1.162933,0.4268155,-0.7356031,1.196446,0.4434281,-0.7456913,1.182023,0.4226136,-0.7327601,1.165466,0.4162471,-0.7430869,1.207525,0.4330165,-0.7613959,1.194279,0.4136559,-0.7467819,1.176179,0.4073647,-0.7531604,1.214469,0.4231929,-0.7773336,1.205873,0.410087,-0.7628144,1.190315,0.406455,-0.7647588,1.176702,0.4528388,-0.7926718,0.004870187,
1529319158797,1.127183,0.4713214,-0.7714335,1.135083,0.4605509,-0.7352547,1.144031,0.4460305,-0.715988,1.173966,0.4707684,-0.7207721,1.164546,0.4523991,-0.706821,1.150953,0.4445613,-0.715094,1.183536,0.4570671,-0.7304746,1.16792,0.4382813,-0.7156491,1.150172,0.4330708,-0.7245337,1.192405,0.4449413,-0.746233,1.17792,0.4277211,-0.7302501,1.15898,0.4231377,-0.7356277,1.197351,0.4339666,-0.7619048,1.187982,0.4225788,-0.7464429,1.172077,0.4203804,-0.7477627,1.162139,0.4666288,-0.7767729,0.007132588,
1529319158823,1.117541,0.4808295,-0.7650275,1.124939,0.4703999,-0.7286089,1.133274,0.4562523,-0.7086983,1.163741,0.4803773,-0.7136124,1.153918,0.4626368,-0.6989177,1.140384,0.4543895,-0.7068855,1.172485,0.4658358,-0.7235153,1.155773,0.4476508,-0.7089414,1.138176,0.4428113,-0.7182519,1.181096,0.4533474,-0.73897,1.16539,0.4368744,-0.7233863,1.146618,0.4329574,-0.7295768,1.186081,0.4422783,-0.7542274,1.175778,0.4316237,-0.7389316,1.159956,0.4297841,-0.7411095,1.152396,0.4752151,-0.7700553,0.007570462,
1529319158850,1.113365,0.4807836,-0.7686337,1.120336,0.4700585,-0.7321383,1.128332,0.4563547,-0.7116754,1.158795,0.4835165,-0.7152503,1.150002,0.4662803,-0.6988886,1.136913,0.4565734,-0.7057302,1.167484,0.4683957,-0.7251039,1.151099,0.4501202,-0.7101703,1.13386,0.4441953,-0.7195718,1.176653,0.4558901,-0.7402654,1.161149,0.4394672,-0.7246537,1.1427,0.4346835,-0.7313426,1.182436,0.4446786,-0.7553766,1.172446,0.4340815,-0.7398821,1.156762,0.431503,-0.7422438,1.148132,0.4764386,-0.7725707,0.01044182,
1529319158876,1.10653,0.4856896,-0.7688062,1.11438,0.4757568,-0.7323446,1.123284,0.4622777,-0.7120827,1.15181,0.4919446,-0.7160724,1.14321,0.4749211,-0.6992133,1.130426,0.4644544,-0.7056684,1.160968,0.4769847,-0.7253627,1.144953,0.4587769,-0.7096605,1.12796,0.4517001,-0.7187352,1.170322,0.4642172,-0.7400972,1.155048,0.4479766,-0.7238687,1.13681,0.4421343,-0.7303864,1.176379,0.4526146,-0.7547793,1.166459,0.4423825,-0.7388334,1.150845,0.4389825,-0.7409711,1.14136,0.4825138,-0.7728587,0.009843176,
1529319158904,1.094746,0.4905142,-0.7722766,1.103506,0.482597,-0.7356229,1.1146,0.4706612,-0.7155294,1.135719,0.503413,-0.7183671,1.128961,0.4848495,-0.7028528,1.118646,0.4727207,-0.7108986,1.148084,0.4908804,-0.7270935,1.134829,0.4702209,-0.7122924,1.12004,0.4603598,-0.7225742,1.160205,0.4799397,-0.7415372,1.147375,0.4612631,-0.7260592,1.130779,0.4523433,-0.7335503,1.168795,0.4697542,-0.7559526,1.160277,0.4579475,-0.7403382,1.145674,0.4517056,-0.7431771,1.129863,0.4924417,-0.7753082,0.006485418,
1529319158944,1.088136,0.4961853,-0.7765254,1.094862,0.4917433,-0.7388692,1.104992,0.4823505,-0.7168663,1.124665,0.5104265,-0.7205617,1.117966,0.4914567,-0.7051399,1.108802,0.478525,-0.7133237,1.138253,0.4987285,-0.7281637,1.125257,0.4774861,-0.7138487,1.111724,0.4666055,-0.7247812,1.151638,0.4882126,-0.7417303,1.138654,0.4689315,-0.727061,1.12312,0.4590254,-0.7355723,1.161543,0.478308,-0.7553822,1.152251,0.4660776,-0.7404563,1.138282,0.4591467,-0.744449,1.122961,0.4991407,-0.7774308,0.006457779,
1529319158970,1.082417,0.5030286,-0.7770381,1.088886,0.4996608,-0.7391787,1.097963,0.4907896,-0.7164266,1.120387,0.5148004,-0.7213961,1.112308,0.4968531,-0.705266,1.10193,0.484416,-0.7127786,1.132268,0.5014689,-0.7291701,1.117149,0.4816372,-0.7151324,1.102921,0.472132,-0.7264345,1.144248,0.4894065,-0.7427708,1.128869,0.4715355,-0.7289441,1.112771,0.4635765,-0.7383513,1.15311,0.4786142,-0.7560534,1.141891,0.4674477,-0.7417647,1.127548,0.4620217,-0.7466557,1.117252,0.5025258,-0.7780976,0.008346671,
1529319158996,1.072063,0.5090767,-0.7860235,1.078712,0.507319,-0.7480848,1.086928,0.498971,-0.7247477,1.110983,0.5155357,-0.7312163,1.100323,0.4985677,-0.715627,1.088432,0.4877613,-0.723555,1.121148,0.5012729,-0.7385898,1.103506,0.4837594,-0.7246825,1.08847,0.4760333,-0.7363109,1.131226,0.4873815,-0.7522117,1.11328,0.471922,-0.7390724,1.096641,0.4665013,-0.7493129,1.138485,0.4756114,-0.7651325,1.12536,0.4662743,-0.7512687,1.11075,0.4625949,-0.7569221,1.106376,0.5032757,-0.7872468,0.01137277,
1529319159023,1.062692,0.5142668,-0.7907093,1.069858,0.5100941,-0.7531459,1.078218,0.4995235,-0.7308415,1.102597,0.5180705,-0.7361785,1.091353,0.5014579,-0.7208198,1.078789,0.4914742,-0.7288563,1.112178,0.5034283,-0.743843,1.094129,0.4866484,-0.7298024,1.078396,0.4800136,-0.7412117,1.121208,0.4893624,-0.7578943,1.102868,0.4746242,-0.7446465,1.085805,0.4702097,-0.7546751,1.127584,0.4773271,-0.7712916,1.114258,0.4683558,-0.7574101,1.099334,0.4657322,-0.7628203,1.096615,0.5072124,-0.7924489,0.008310173,
1529319159050,1.053959,0.5182772,-0.7930828,1.06149,0.5128751,-0.7558055,1.070318,0.5014507,-0.7340983,1.093602,0.5200657,-0.7381464,1.082841,0.5026324,-0.7235175,1.070521,0.4927593,-0.7320548,1.103684,0.5061866,-0.7462486,1.086326,0.4885322,-0.7326754,1.070789,0.4817933,-0.7443241,1.113071,0.4927816,-0.7610551,1.095335,0.4770594,-0.7482967,1.07831,0.4726266,-0.7584167,1.119646,0.4816052,-0.7750311,1.106725,0.4717985,-0.7615775,1.091937,0.4689845,-0.7672934,1.087983,0.5115314,-0.7950863,0.008930716,
1529319159078,1.048808,0.5165859,-0.7939275,1.056226,0.5115396,-0.75665,1.066019,0.5005384,-0.735149,1.086777,0.5220954,-0.7385169,1.077309,0.5034676,-0.7250391,1.066359,0.4930192,-0.7347127,1.098576,0.5096579,-0.7462564,1.082826,0.490337,-0.7335212,1.068486,0.4824349,-0.7459628,1.109755,0.4974651,-0.7607495,1.093568,0.4800514,-0.748544,1.077391,0.4740694,-0.7592754,1.118079,0.4870042,-0.7745481,1.10633,0.4758475,-0.7611611,1.09189,0.4716233,-0.7669175,1.083392,0.5134649,-0.795219,0.007539538,
1529319159117,1.034934,0.5209414,-0.7966216,1.041757,0.5132998,-0.7597466,1.051863,0.5004712,-0.7396678,1.070969,0.5285074,-0.7404515,1.061462,0.5095069,-0.7283411,1.051226,0.4996651,-0.7393313,1.083661,0.5168464,-0.747584,1.068257,0.4971019,-0.7354519,1.05446,0.4890422,-0.7484259,1.09596,0.5053078,-0.7614963,1.080451,0.487401,-0.7491146,1.064589,0.4806345,-0.7598239,1.105166,0.494812,-0.7753195,1.094038,0.4831959,-0.7618479,1.079583,0.4787312,-0.767368,1.069589,0.5204506,-0.7969415,0.001081034,
1529319159143,1.029594,0.5206527,-0.7967955,1.035287,0.5128935,-0.7597185,1.045094,0.5002724,-0.7394184,1.063807,0.5307414,-0.740321,1.0542,0.5114071,-0.7288805,1.044773,0.5014378,-0.7404773,1.077231,0.5195057,-0.7468552,1.061889,0.4993635,-0.7352566,1.04872,0.4909385,-0.7486672,1.09048,0.508256,-0.7600602,1.075169,0.4900433,-0.7478943,1.059751,0.4828501,-0.7589279,1.100465,0.4977905,-0.7734084,1.089422,0.4859862,-0.7600318,1.075137,0.4811997,-0.7657169,1.064516,0.5220681,-0.7962648,0.001607084,
