time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529319171159,0.8611052,0.4756549,-0.8202336,0.8331435,0.4599452,-0.7982616,0.8141801,0.4490606,-0.7831032,0.8367661,0.4914393,-0.7480386,0.8248861,0.4770278,-0.7242813,0.8176659,0.4621198,-0.7151976,0.8520927,0.4853236,-0.738244,0.8353301,0.4669939,-0.7148117,0.8246439,0.4492989,-0.7087531,0.872932,0.4808819,-0.7355647,0.8569437,0.4664553,-0.7109249,0.8452787,0.4516931,-0.7009965,0.8922674,0.4731693,-0.7384115,0.8799598,0.4639415,-0.7187039,0.8696678,0.4538573,-0.7099032,0.8799229,0.4868108,-0.7898709,0.06923779,
1529319171185,0.8635045,0.4899276,-0.8094208,0.8353906,0.4761219,-0.7863821,0.8161615,0.4666731,-0.7706165,0.8396451,0.5102538,-0.7384073,0.8278613,0.497243,-0.7137801,0.8206217,0.4829913,-0.7036864,0.8549277,0.504671,-0.7283168,0.8381892,0.4877346,-0.7038332,0.8274499,0.4704677,-0.6966954,0.8756397,0.5003253,-0.7254348,0.8595645,0.4875125,-0.6999316,0.8478188,0.4735629,-0.6889547,0.8949871,0.4923625,-0.7277726,0.8827336,0.4844702,-0.7074344,0.8724583,0.4751092,-0.6978443,0.8825044,0.5027788,-0.7799658,0.06903496,
1529319171211,0.8673393,0.5024219,-0.8073844,0.8389417,0.4892411,-0.7843245,0.8194543,0.4802729,-0.7686014,0.8431869,0.5237867,-0.7368392,0.8311837,0.5112227,-0.712032,0.8237971,0.4972985,-0.7015736,0.8583496,0.5184107,-0.7265619,0.8413205,0.5019934,-0.7019184,0.830432,0.4849138,-0.6945494,0.8790271,0.513916,-0.7235271,0.8626859,0.5015086,-0.6979662,0.8508028,0.4878162,-0.6867986,0.8986009,0.5058144,-0.7255108,0.8864831,0.4981726,-0.7049822,0.87627,0.488962,-0.6951865,0.8863055,0.5156166,-0.777995,0.06929249,
1529319171227,0.8685451,0.5068204,-0.8051897,0.8402604,0.4938087,-0.7818974,0.8208324,0.4849687,-0.7660319,0.8444924,0.5292904,-0.7349018,0.8326457,0.5170834,-0.7098512,0.8253743,0.5032934,-0.699133,0.8597172,0.5242152,-0.7245646,0.8428651,0.5081533,-0.6995993,0.832111,0.4911067,-0.6919875,0.8804399,0.5198052,-0.7215379,0.8642704,0.5076372,-0.6957759,0.8525158,0.4939692,-0.6844492,0.9000756,0.5117638,-0.7234354,0.8881081,0.5042831,-0.7027718,0.877991,0.4950756,-0.6928799,0.8875381,0.5206498,-0.7760413,0.06951175,
1529319171251,0.8714514,0.5181396,-0.7988514,0.8433375,0.5057125,-0.7750382,0.8239061,0.4973619,-0.7589291,0.8478629,0.5427226,-0.7290089,0.8363034,0.5313743,-0.7034424,0.829206,0.5179209,-0.6921874,0.8632026,0.5381907,-0.7186125,0.8466408,0.5230536,-0.6929398,0.8360519,0.5061941,-0.6847336,0.8840246,0.5338526,-0.7156663,0.8681862,0.5223747,-0.6894267,0.856632,0.5088795,-0.6777047,0.9038546,0.5258046,-0.7174346,0.8923466,0.5187662,-0.6963812,0.8824697,0.5096523,-0.6861761,0.8906078,0.5329601,-0.7702619,0.07003725,
1529319171268,0.8741009,0.5211023,-0.8004453,0.8461421,0.5090511,-0.7762594,0.8267572,0.5009968,-0.7599539,0.8508133,0.5472557,-0.7309587,0.8393567,0.5365011,-0.7051421,0.8323526,0.523176,-0.6936846,0.8663197,0.5430817,-0.7205194,0.849978,0.5285553,-0.6944633,0.8395507,0.5117028,-0.6861104,0.887247,0.5387068,-0.7176453,0.8716983,0.5275578,-0.6911622,0.8603159,0.5139889,-0.6793839,0.9071825,0.5306029,-0.7193607,0.8959932,0.5236659,-0.6981499,0.8862541,0.5144025,-0.6879649,0.8934056,0.5366357,-0.7722707,0.07010592,
1529319171291,0.8771482,0.5287149,-0.796747,0.8482004,0.5181409,-0.7730384,0.8271272,0.5118626,-0.7581093,0.8543992,0.5571209,-0.7278155,0.8429127,0.547222,-0.7017688,0.8359059,0.5340277,-0.6901828,0.8701124,0.5533321,-0.7173111,0.8538947,0.5398338,-0.6907821,0.8435203,0.5230975,-0.6822326,0.8911355,0.5487115,-0.7145209,0.8758208,0.5381762,-0.6877584,0.8645244,0.524589,-0.675965,0.9111798,0.5402974,-0.7161537,0.9003505,0.5335338,-0.6947746,0.8907033,0.5240896,-0.6847028,0.8967843,0.5450399,-0.7691358,0.07198866,
1529319171327,0.8791362,0.5346852,-0.7989944,0.8502413,0.5246677,-0.7749794,0.8293265,0.5186535,-0.7597039,0.8571011,0.5642049,-0.7302729,0.8455207,0.5545545,-0.7042662,0.8385084,0.5412198,-0.692876,0.8730015,0.5606359,-0.7198396,0.8568009,0.5475981,-0.6931881,0.846444,0.5308511,-0.6847004,0.8941537,0.555812,-0.7171758,0.8789996,0.5454513,-0.6903514,0.867759,0.5316893,-0.6787521,0.9142916,0.5471374,-0.7188557,0.9037396,0.5402511,-0.6974521,0.8941407,0.5305136,-0.6876526,0.8992466,0.5513268,-0.7717466,0.0711302,
1529319171344,0.8808319,0.5404214,-0.8007454,0.8520712,0.5306433,-0.7764705,0.8313223,0.524731,-0.7609205,0.8594906,0.570363,-0.731972,0.8480179,0.5608431,-0.7058944,0.8410126,0.5475004,-0.6945237,0.8754512,0.5667433,-0.7216421,0.8593466,0.5538994,-0.6948684,0.8489535,0.5372027,-0.6863432,0.8965768,0.5617517,-0.7191324,0.8815112,0.5515202,-0.6922291,0.8702543,0.53778,-0.680635,0.9166082,0.55294,-0.7209423,0.9060702,0.5461502,-0.6995119,0.8964251,0.5364408,-0.6897414,0.901274,0.5570778,-0.7737057,0.0708582,
1529319171370,0.8818741,0.544704,-0.804558,0.8546051,0.5337943,-0.7790735,0.8358844,0.5263743,-0.7616909,0.8617444,0.573094,-0.7347476,0.8505534,0.5631768,-0.7087204,0.8436055,0.5495771,-0.6976572,0.8778578,0.5692335,-0.7247514,0.8620132,0.5562463,-0.6978952,0.851567,0.5395426,-0.6895016,0.8990507,0.5639588,-0.7227278,0.8843664,0.5534641,-0.6957325,0.8731718,0.5396004,-0.6842506,0.9189438,0.5549958,-0.7251429,0.9086747,0.5479646,-0.7036687,0.8990781,0.5381522,-0.6939675,0.9027492,0.5604616,-0.7775471,0.06854415,
1529319171384,0.8815764,0.5468005,-0.8054272,0.8544223,0.536009,-0.7797709,0.8357785,0.5286716,-0.7622724,0.8616297,0.5754194,-0.7356054,0.8503803,0.5657408,-0.7095609,0.8433465,0.5521163,-0.6986182,0.8777927,0.5714761,-0.725586,0.8619431,0.5588448,-0.6986135,0.8513869,0.5422313,-0.6902195,0.8989483,0.5659915,-0.7236149,0.8842738,0.5557549,-0.6965624,0.8729876,0.5419276,-0.6851518,0.9187629,0.5568298,-0.7260876,0.9085068,0.5499743,-0.7045748,0.8988298,0.540204,-0.6949283,0.9025106,0.5623558,-0.7784953,0.06825527,
