time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529414755102,0.8268663,0.6363863,-0.9943455,0.7938128,0.6401815,-0.976259,0.7734848,0.6378104,-0.960122,0.8018855,0.6728665,-0.9371276,0.7759058,0.6675566,-0.9280644,0.7643617,0.6541709,-0.9319326,0.8108002,0.6600795,-0.9236358,0.7807026,0.6531677,-0.9145948,0.765725,0.6402243,-0.9213653,0.8249063,0.6439201,-0.9161125,0.7969467,0.6365908,-0.9066598,0.7813638,0.6253034,-0.9138556,0.8375431,0.627138,-0.9135025,0.8164662,0.6225986,-0.9054525,0.8033942,0.6161177,-0.9126174,0.8444797,0.6400281,-0.9633045,0.03384586,
1529414755146,0.8285466,0.61209,-1.018608,0.7966683,0.6125974,-0.9982721,0.7780055,0.6072783,-0.9809983,0.8052761,0.6433669,-0.9575549,0.7801057,0.6365851,-0.9477319,0.769065,0.6230699,-0.9523475,0.8152106,0.6296669,-0.9456602,0.7859222,0.6209539,-0.9358763,0.771199,0.6080121,-0.9431562,0.8300879,0.6135307,-0.9402837,0.802941,0.6044571,-0.930607,0.7877297,0.5931302,-0.9385011,0.8432865,0.5971992,-0.939715,0.8227325,0.5914622,-0.9315996,0.8099362,0.585048,-0.9392748,0.8474861,0.6140491,-0.9884107,0.03391427,
1529414755169,0.8296907,0.6034387,-1.032133,0.798277,0.6025841,-1.011095,0.7800617,0.5964009,-0.9936032,0.807171,0.6323857,-0.9697858,0.782305,0.6246716,-0.9597505,0.7714009,0.6110337,-0.964462,0.8177304,0.618625,-0.9584797,0.7887926,0.6089696,-0.9482983,0.7740403,0.5959343,-0.9554423,0.8330739,0.6026668,-0.9539405,0.8063108,0.5926588,-0.9440147,0.7910886,0.5812078,-0.9518131,0.8466027,0.5866556,-0.9541853,0.8262988,0.580202,-0.9459436,0.8134402,0.5737025,-0.953516,0.8493462,0.6049786,-1.002313,0.03373929,
1529414755195,0.831212,0.5944437,-1.050464,0.7998425,0.5929471,-1.029313,0.7812322,0.5867134,-1.012156,0.8090703,0.6206203,-0.9870552,0.7842429,0.6121761,-0.9774922,0.7734177,0.5986551,-0.9828119,0.8198557,0.6067304,-0.976184,0.7909055,0.5968015,-0.965951,0.7758414,0.5841212,-0.9731432,0.8353775,0.5906665,-0.9722325,0.8086542,0.5804805,-0.9617661,0.7928457,0.5694011,-0.9690167,0.8489714,0.5746068,-0.9732127,0.8287978,0.5678824,-0.9642953,0.8152863,0.5616133,-0.9709944,0.8511169,0.5948697,-1.020818,0.03263092,
1529414755221,0.831393,0.5894928,-1.062193,0.8000119,0.5881698,-1.040994,0.7810587,0.5824884,-1.023937,0.8095489,0.6151711,-0.9987165,0.784789,0.6063057,-0.9892155,0.7740304,0.5926664,-0.994484,0.8206015,0.6016192,-0.9878025,0.7917044,0.5915889,-0.9772528,0.776483,0.578842,-0.9840608,0.8363647,0.5856934,-0.9838645,0.8097608,0.5754562,-0.972802,0.793676,0.5642996,-0.9793876,0.8501158,0.5696746,-0.9849429,0.8301013,0.5628366,-0.9754449,0.8162709,0.5564323,-0.9814123,0.8515977,0.5899045,-1.032645,0.0319443,
1529414755247,0.8316192,0.5854255,-1.072316,0.8002666,0.5842792,-1.051027,0.7810903,0.5789846,-1.034048,0.8099551,0.6109195,-1.008929,0.785099,0.602001,-0.9996359,0.7742824,0.5884154,-1.004986,0.820982,0.5974073,-0.9980131,0.7919557,0.5875553,-0.9874684,0.776539,0.5749524,-0.9941597,0.8367284,0.5813969,-0.9940587,0.8100423,0.5713725,-0.9827378,0.7936682,0.5603771,-0.9889454,0.8504156,0.5652471,-0.9952039,0.8303978,0.5585018,-0.985378,0.8162692,0.5521838,-0.990806,0.8518524,0.5856595,-1.042886,0.0313034,
1529414755275,0.8315735,0.5792638,-1.086366,0.8005616,0.5786543,-1.064534,0.7814885,0.573963,-1.047238,0.8106985,0.6059216,-1.023527,0.7858764,0.5970258,-1.014155,0.775118,0.5833284,-1.019355,0.8217869,0.5926348,-1.012479,0.7927391,0.5830291,-1.001654,0.7771773,0.5703892,-1.007984,0.8375329,0.5766597,-1.008334,0.8108404,0.5669999,-0.9964765,0.7941858,0.5560304,-1.002042,0.8511341,0.5603855,-1.009322,0.8311572,0.5539037,-0.9989761,0.8167309,0.5475771,-1.003672,0.8520911,0.5799477,-1.057325,0.03009505,
1529414755301,0.8306621,0.5756797,-1.094324,0.8002533,0.5756657,-1.071633,0.7814852,0.5716161,-1.053814,0.8113018,0.6030334,-1.031663,0.7866214,0.594062,-1.021758,0.7757281,0.5802559,-1.026445,0.8227321,0.5900582,-1.020629,0.7938496,0.5805888,-1.008937,0.7780069,0.5678897,-1.014454,0.8386148,0.5741856,-1.01661,0.8121291,0.5647255,-1.003787,0.7951463,0.553722,-1.008313,0.8522077,0.5578449,-1.017699,0.8324394,0.5514356,-1.006638,0.8177507,0.5450338,-1.010428,0.8519302,0.5767888,-1.065925,0.02927274,
1529414755329,0.8287166,0.5718095,-1.105821,0.7990008,0.5719097,-1.082228,0.7806842,0.5679426,-1.063913,0.810913,0.5985417,-1.042752,0.7862914,0.5895443,-1.032555,0.775179,0.5758603,-1.037117,0.8225391,0.5855085,-1.032019,0.7937551,0.576238,-1.019708,0.7775757,0.5637784,-1.024788,0.8383999,0.5694966,-1.028481,0.8120682,0.5602551,-1.014941,0.7947422,0.5495062,-1.018787,0.8518358,0.5529877,-1.030046,0.8322572,0.5466439,-1.018416,0.8173269,0.5404109,-1.021539,0.8505457,0.5724202,-1.078058,0.02847834,
1529414755365,0.8261935,0.568624,-1.116623,0.7972381,0.5687828,-1.092117,0.7795619,0.5647115,-1.073216,0.8096128,0.5954158,-1.053448,0.785109,0.5865366,-1.042876,0.7739038,0.5729066,-1.047303,0.8213837,0.5823953,-1.042905,0.7927481,0.573401,-1.030026,0.7763976,0.5610627,-1.034778,0.8372487,0.5663154,-1.039627,0.8111174,0.5574085,-1.025363,0.7935759,0.5468324,-1.028617,0.8505635,0.549652,-1.041463,0.8312137,0.5434932,-1.02922,0.8161237,0.5373712,-1.031717,0.8484613,0.5690545,-1.089451,0.02776094,
