time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529415242660,0.7222027,0.6889099,-0.9116699,0.6836706,0.6912625,-0.9091823,0.6610706,0.6885263,-0.89493,0.6645356,0.7368128,-0.8993342,0.6375476,0.7275562,-0.8961386,0.6320876,0.7099276,-0.8969631,0.6646271,0.7365429,-0.8803645,0.6347798,0.7250418,-0.8816764,0.6299644,0.7048479,-0.886256,0.6731924,0.7302016,-0.8597268,0.6447247,0.7184291,-0.8610482,0.6387297,0.6992455,-0.8672575,0.6832855,0.7215905,-0.8428265,0.6612206,0.7143614,-0.8449141,0.6568391,0.7002038,-0.8525873,0.7178859,0.7112958,-0.8834251,0.03608545,
1529415242702,0.7251234,0.6428746,-0.925947,0.687178,0.6398544,-0.9185438,0.6669759,0.6328894,-0.9022887,0.6627947,0.6749024,-0.9083393,0.6412667,0.6563145,-0.9055198,0.6423115,0.6379539,-0.9084343,0.6647013,0.672403,-0.8900119,0.6417122,0.6506851,-0.8923334,0.645159,0.6308527,-0.8992826,0.6757188,0.6666991,-0.871036,0.6546929,0.6454942,-0.8744569,0.6578264,0.6267523,-0.8834377,0.6876445,0.6602238,-0.8555341,0.6696586,0.6464541,-0.8592714,0.6708403,0.6327904,-0.8688678,0.7195655,0.6613858,-0.8973811,0.02591815,
1529415242742,0.7252165,0.607451,-0.9384577,0.6886157,0.6014582,-0.9263984,0.6709946,0.5924231,-0.9084336,0.6653084,0.6273879,-0.9158931,0.6536788,0.6026034,-0.9157653,0.6634501,0.5876811,-0.9214411,0.6700671,0.6240311,-0.898898,0.6578675,0.5966271,-0.9043955,0.6699896,0.5813589,-0.9135031,0.6821594,0.6207535,-0.8802736,0.6675453,0.5954735,-0.8855948,0.6753919,0.5794554,-0.8968476,0.6957202,0.6153755,-0.8659488,0.6817538,0.598155,-0.870887,0.6859252,0.5867492,-0.8824669,0.7211931,0.6236926,-0.9094339,0.01576715,
1529415242807,0.7302042,0.5783238,-0.9595722,0.6958574,0.5658066,-0.9453123,0.6808871,0.5538235,-0.9268352,0.6728011,0.5902309,-0.933538,0.6682828,0.5631799,-0.9355626,0.6817174,0.5512162,-0.9411235,0.6795694,0.5874048,-0.9166783,0.6733577,0.5576185,-0.9239749,0.6874226,0.5444968,-0.9338858,0.6929128,0.5854269,-0.8988845,0.6831254,0.5576484,-0.9057084,0.692274,0.5429308,-0.9182544,0.7078507,0.5816185,-0.885379,0.6966627,0.5620232,-0.8909838,0.7005749,0.5515593,-0.9037298,0.7268664,0.5948679,-0.9294844,0.01454797,
1529415242834,0.7393616,0.562387,-0.9763144,0.7037,0.5508662,-0.9648488,0.6867688,0.5391417,-0.9477447,0.6827606,0.5758595,-0.9487273,0.6776189,0.5490942,-0.9512074,0.6911697,0.5367511,-0.9557747,0.6891967,0.5729406,-0.9316303,0.6815339,0.5434666,-0.9391302,0.6951362,0.5292704,-0.9482626,0.7029563,0.5700254,-0.9139328,0.6927267,0.5427436,-0.9213923,0.7021351,0.5280879,-0.9338161,0.7176632,0.5657465,-0.9002866,0.7058136,0.5466664,-0.9061958,0.7097726,0.5361569,-0.9188335,0.7370822,0.5785969,-0.9440566,0.009463784,
1529415242887,0.7507687,0.5520706,-1.001292,0.7123385,0.5424532,-0.9994447,0.6894827,0.5325056,-0.9892412,0.6947951,0.5659354,-0.9690492,0.6910276,0.5397372,-0.9704527,0.7061578,0.5290729,-0.9738928,0.7015506,0.5637472,-0.9515493,0.6958041,0.5347522,-0.9579337,0.7114767,0.5226226,-0.9664933,0.7159157,0.5613406,-0.9349687,0.7092166,0.534472,-0.942649,0.7227435,0.5228911,-0.9540809,0.7301888,0.5581162,-0.9216504,0.7208356,0.5390947,-0.9286059,0.7287588,0.5299342,-0.9403142,0.7490118,0.5692573,-0.9643979,0.02292198,
1529415242927,0.7577099,0.5516299,-1.013064,0.7188834,0.5431703,-1.01575,0.694271,0.5339481,-1.009609,0.7004808,0.5647385,-0.9789549,0.6953926,0.5387547,-0.9808369,0.7099197,0.5273504,-0.9844947,0.7073365,0.5619142,-0.9614096,0.700604,0.5331327,-0.9682692,0.7157361,0.5204751,-0.9770401,0.7219608,0.5587797,-0.9449153,0.7151557,0.532247,-0.9532245,0.7287898,0.5211022,-0.9648343,0.7360616,0.555299,-0.9318478,0.7267752,0.5366023,-0.9393482,0.7352771,0.5276778,-0.9507416,0.7554433,0.567327,-0.9740361,0.03031732,
1529415242967,0.7627234,0.5499814,-1.020242,0.7239029,0.5415974,-1.021991,0.6993241,0.5323506,-1.015291,0.7054257,0.5632066,-0.985395,0.6992216,0.5371774,-0.9871954,0.7128431,0.524781,-0.9913325,0.7125123,0.5601606,-0.9680587,0.7046545,0.5312462,-0.9748162,0.7187334,0.5174785,-0.9838691,0.727285,0.5568538,-0.9516359,0.7193349,0.5301475,-0.9596925,0.7318332,0.5178121,-0.9715561,0.7416497,0.5531453,-0.9387277,0.7316909,0.5344754,-0.9459672,0.7393191,0.5249693,-0.9576033,0.7608649,0.5653095,-0.9812523,0.02853202,
1529415243013,0.7627234,0.5499814,-1.020242,0.7239029,0.5415974,-1.021991,0.6993241,0.5323506,-1.015291,0.7054257,0.5632066,-0.985395,0.6992216,0.5371774,-0.9871954,0.7128431,0.524781,-0.9913325,0.7125123,0.5601606,-0.9680587,0.7046545,0.5312462,-0.9748162,0.7187334,0.5174785,-0.9838691,0.727285,0.5568538,-0.9516359,0.7193349,0.5301475,-0.9596925,0.7318332,0.5178121,-0.9715561,0.7416497,0.5531453,-0.9387277,0.7316909,0.5344754,-0.9459672,0.7393191,0.5249693,-0.9576033,0.7608649,0.5653095,-0.9812523,0.02853202,
1529415243033,0.7627234,0.5499814,-1.020242,0.7239029,0.5415974,-1.021991,0.6993241,0.5323506,-1.015291,0.7054257,0.5632066,-0.985395,0.6992216,0.5371774,-0.9871954,0.7128431,0.524781,-0.9913325,0.7125123,0.5601606,-0.9680587,0.7046545,0.5312462,-0.9748162,0.7187334,0.5174785,-0.9838691,0.727285,0.5568538,-0.9516359,0.7193349,0.5301475,-0.9596925,0.7318332,0.5178121,-0.9715561,0.7416497,0.5531453,-0.9387277,0.7316909,0.5344754,-0.9459672,0.7393191,0.5249693,-0.9576033,0.7608649,0.5653095,-0.9812523,0.02853202,
1529415243072,0.7627234,0.5499814,-1.020242,0.7239029,0.5415974,-1.021991,0.6993241,0.5323506,-1.015291,0.7054257,0.5632066,-0.985395,0.6992216,0.5371774,-0.9871954,0.7128431,0.524781,-0.9913325,0.7125123,0.5601606,-0.9680587,0.7046545,0.5312462,-0.9748162,0.7187334,0.5174785,-0.9838691,0.727285,0.5568538,-0.9516359,0.7193349,0.5301475,-0.9596925,0.7318332,0.5178121,-0.9715561,0.7416497,0.5531453,-0.9387277,0.7316909,0.5344754,-0.9459672,0.7393191,0.5249693,-0.9576033,0.7608649,0.5653095,-0.9812523,0.02853202,
1529415243099,0.7627234,0.5499814,-1.020242,0.7239029,0.5415974,-1.021991,0.6993241,0.5323506,-1.015291,0.7054257,0.5632066,-0.985395,0.6992216,0.5371774,-0.9871954,0.7128431,0.524781,-0.9913325,0.7125123,0.5601606,-0.9680587,0.7046545,0.5312462,-0.9748162,0.7187334,0.5174785,-0.9838691,0.727285,0.5568538,-0.9516359,0.7193349,0.5301475,-0.9596925,0.7318332,0.5178121,-0.9715561,0.7416497,0.5531453,-0.9387277,0.7316909,0.5344754,-0.9459672,0.7393191,0.5249693,-0.9576033,0.7608649,0.5653095,-0.9812523,0.02853202,
1529415243126,0.7627234,0.5499814,-1.020242,0.7239029,0.5415974,-1.021991,0.6993241,0.5323506,-1.015291,0.7054257,0.5632066,-0.985395,0.6992216,0.5371774,-0.9871954,0.7128431,0.524781,-0.9913325,0.7125123,0.5601606,-0.9680587,0.7046545,0.5312462,-0.9748162,0.7187334,0.5174785,-0.9838691,0.727285,0.5568538,-0.9516359,0.7193349,0.5301475,-0.9596925,0.7318332,0.5178121,-0.9715561,0.7416497,0.5531453,-0.9387277,0.7316909,0.5344754,-0.9459672,0.7393191,0.5249693,-0.9576033,0.7608649,0.5653095,-0.9812523,0.02853202,
1529415243201,0.7627234,0.5499814,-1.020242,0.7239029,0.5415974,-1.021991,0.6993241,0.5323506,-1.015291,0.7054257,0.5632066,-0.985395,0.6992216,0.5371774,-0.9871954,0.7128431,0.524781,-0.9913325,0.7125123,0.5601606,-0.9680587,0.7046545,0.5312462,-0.9748162,0.7187334,0.5174785,-0.9838691,0.727285,0.5568538,-0.9516359,0.7193349,0.5301475,-0.9596925,0.7318332,0.5178121,-0.9715561,0.7416497,0.5531453,-0.9387277,0.7316909,0.5344754,-0.9459672,0.7393191,0.5249693,-0.9576033,0.7608649,0.5653095,-0.9812523,0.02853202,
1529415243219,0.7627234,0.5499814,-1.020242,0.7239029,0.5415974,-1.021991,0.6993241,0.5323506,-1.015291,0.7054257,0.5632066,-0.985395,0.6992216,0.5371774,-0.9871954,0.7128431,0.524781,-0.9913325,0.7125123,0.5601606,-0.9680587,0.7046545,0.5312462,-0.9748162,0.7187334,0.5174785,-0.9838691,0.727285,0.5568538,-0.9516359,0.7193349,0.5301475,-0.9596925,0.7318332,0.5178121,-0.9715561,0.7416497,0.5531453,-0.9387277,0.7316909,0.5344754,-0.9459672,0.7393191,0.5249693,-0.9576033,0.7608649,0.5653095,-0.9812523,0.02853202,
