time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529414882304,0.8319788,0.6702071,-0.909039,0.7936329,0.6705626,-0.897379,0.7685784,0.6675875,-0.8865643,0.7888941,0.7092084,-0.8621584,0.7586862,0.7021002,-0.8602293,0.743862,0.6902938,-0.8643946,0.7948309,0.6973815,-0.8441021,0.7603026,0.6898943,-0.8405508,0.7420632,0.6786188,-0.8464375,0.8075636,0.6808538,-0.8318334,0.7753683,0.6726233,-0.8266626,0.7568015,0.6623638,-0.8319769,0.8202195,0.6624192,-0.8253232,0.7961662,0.6550603,-0.8206688,0.7810399,0.6482434,-0.8257697,0.8401401,0.6779682,-0.8736385,0.04022396,
1529414882349,0.8297832,0.6294968,-0.9331614,0.7923192,0.625935,-0.9193329,0.7683313,0.6198349,-0.9075682,0.7887638,0.6592931,-0.8777297,0.7593653,0.6503469,-0.8747842,0.7455014,0.6381211,-0.8803564,0.7963565,0.6452243,-0.8622811,0.7626652,0.6356246,-0.857751,0.7449366,0.6242536,-0.8647208,0.8106344,0.6277167,-0.8532357,0.7794254,0.6174097,-0.8468751,0.7611628,0.607099,-0.85285,0.8245087,0.6090666,-0.8502396,0.8013861,0.6000761,-0.8441402,0.7861289,0.5933818,-0.8488396,0.8401129,0.6325318,-0.8975381,0.03995086,
1529414882390,0.8250681,0.5984161,-0.962164,0.787835,0.5935198,-0.948074,0.7640447,0.5863575,-0.9365748,0.7865512,0.6191063,-0.9005705,0.7577504,0.6089153,-0.8967712,0.7441165,0.5967814,-0.9029787,0.7955503,0.6040813,-0.887238,0.7624241,0.5933486,-0.8815027,0.7445944,0.5822229,-0.8885217,0.8111451,0.5862606,-0.8808098,0.7807481,0.5746218,-0.8730423,0.7623465,0.5643906,-0.8786274,0.8260418,0.5677047,-0.8807204,0.8038736,0.5572603,-0.8735671,0.788573,0.5504276,-0.8777784,0.8376948,0.5968347,-0.9263506,0.04042884,
1529414882411,0.822574,0.58732,-0.979448,0.7854435,0.5816886,-0.9653307,0.7617095,0.5741869,-0.9539242,0.784618,0.6053565,-0.9164633,0.7562537,0.5942518,-0.9122349,0.7429153,0.5817534,-0.9183815,0.7943697,0.5905951,-0.9035224,0.7616825,0.5789596,-0.8972385,0.7440985,0.5673832,-0.9041059,0.8107524,0.5731759,-0.8975995,0.780921,0.5606086,-0.8892788,0.7627825,0.5498668,-0.8947091,0.8263531,0.5550874,-0.8980321,0.804752,0.5439142,-0.8903578,0.789614,0.536635,-0.8943493,0.8360748,0.585259,-0.9436021,0.0409116,
1529414882439,0.8221117,0.5798798,-0.9976211,0.7843727,0.5753787,-0.984717,0.7597935,0.5690968,-0.9743525,0.7843095,0.5942459,-0.9327826,0.7562727,0.5828962,-0.9279712,0.7431767,0.5702223,-0.9341972,0.7945856,0.5798081,-0.920254,0.7621849,0.5681412,-0.9133723,0.7448778,0.5563623,-0.9203845,0.8116722,0.562502,-0.914831,0.7823337,0.5495532,-0.9060521,0.7646067,0.5384955,-0.9118824,0.8279294,0.544711,-0.9158352,0.8068402,0.5331583,-0.9077612,0.7919898,0.5256546,-0.9121299,0.8362491,0.5758106,-0.9612462,0.04347221,
1529414882466,0.8222694,0.5739169,-1.022871,0.7837967,0.5738858,-1.011356,0.7580377,0.5710278,-1.002212,0.7853794,0.5840796,-0.9555234,0.757052,0.5742842,-0.9498898,0.7433229,0.5624806,-0.956304,0.7953123,0.5691082,-0.9438429,0.7626244,0.5594321,-0.9362733,0.7448473,0.5487358,-0.943614,0.8120182,0.5507026,-0.9395343,0.7824969,0.5390147,-0.9305151,0.7645806,0.5288908,-0.9370967,0.8278385,0.5323188,-0.9416618,0.8066033,0.521559,-0.9335082,0.7916734,0.5149074,-0.9386415,0.8366697,0.5650721,-0.9860751,0.04896051,
1529414882492,0.8230264,0.5732446,-1.032822,0.7842656,0.5761111,-1.022785,0.7579716,0.5752634,-1.014781,0.7846799,0.5808735,-0.9652798,0.7559292,0.5724843,-0.9602811,0.7420148,0.561607,-0.9676549,0.7936674,0.5652107,-0.9540951,0.7605253,0.5573297,-0.9474138,0.7427148,0.5478227,-0.9559777,0.8094763,0.5457726,-0.9503095,0.7793586,0.5354921,-0.94231,0.7614396,0.5265585,-0.9502121,0.8245653,0.5268172,-0.9529487,0.8027151,0.5171309,-0.9455688,0.7878104,0.5115553,-0.951761,0.8359225,0.5608385,-0.9958673,0.05159469,
1529414882521,0.8260236,0.5694315,-1.048848,0.78729,0.5753626,-1.040122,0.7607098,0.576529,-1.033096,0.7859723,0.5747432,-0.9813682,0.7569091,0.5677622,-0.9770091,0.7429314,0.5578223,-0.9853567,0.7939962,0.5585102,-0.9706463,0.7605534,0.5525016,-0.964811,0.7428635,0.5442119,-0.9746054,0.8088475,0.5380957,-0.9673747,0.7782598,0.5293273,-0.9603601,0.7604899,0.5216362,-0.9695858,0.8231853,0.5185927,-0.9704942,0.800831,0.5100725,-0.9638585,0.7860964,0.5056323,-0.9711385,0.8372149,0.5535825,-1.01185,0.05426862,
1529414882556,0.8297561,0.5682892,-1.060815,0.7913845,0.5772576,-1.053307,0.7647427,0.5800862,-1.047059,0.7871008,0.5722364,-0.9941479,0.7577639,0.5666576,-0.9901676,0.7436681,0.5575966,-0.9991217,0.7941276,0.5557126,-0.9835339,0.7605166,0.5515939,-0.9782721,0.742982,0.5443907,-0.9889655,0.8080386,0.5344965,-0.9803083,0.777124,0.527301,-0.973817,0.7594716,0.5206732,-0.9838748,0.82169,0.5144597,-0.9835336,0.7990113,0.5071132,-0.9772834,0.7844871,0.5035686,-0.9853183,0.8384328,0.5496805,-1.023955,0.0569901,
1529414882574,0.8316438,0.5690592,-1.068578,0.7935876,0.5793623,-1.061258,0.7670243,0.5828894,-1.055057,0.7886363,0.5736756,-1.001938,0.7592389,0.5687687,-0.9978234,0.7450243,0.5599949,-1.006816,0.7952386,0.5571538,-0.9912958,0.7616196,0.5539495,-0.9860663,0.7440778,0.547111,-0.9969419,0.8086584,0.5356476,-0.9879556,0.7776442,0.5293301,-0.9814781,0.7599777,0.5231,-0.9917229,0.8218651,0.5153497,-0.9910714,0.7990496,0.5087661,-0.9847989,0.7845521,0.5055873,-0.9930179,0.8395916,0.5498135,-1.031603,0.05775263,
1529414882597,0.8346573,0.5693896,-1.080145,0.796707,0.5796572,-1.072379,0.7702253,0.582839,-1.065699,0.7924019,0.5739444,-1.012831,0.7632929,0.5683966,-1.008048,0.7492315,0.5592033,-1.016826,0.7993251,0.5578532,-1.002057,0.7659583,0.5542077,-0.9962052,0.7485033,0.5469208,-1.00689,0.8130586,0.5366845,-0.9985543,0.78234,0.5301532,-0.9914319,0.7647297,0.5235507,-1.001489,0.8264582,0.516591,-1.001514,0.803905,0.5100281,-0.994678,0.7894095,0.5065979,-1.002774,0.8430939,0.5506117,-1.043085,0.05820584,
1529414882613,0.8358151,0.5683196,-1.082218,0.7981674,0.5793241,-1.074145,0.7718104,0.582551,-1.067092,0.7938068,0.5736903,-1.014739,0.7646771,0.5686883,-1.009651,0.7504312,0.5597284,-1.018333,0.8004647,0.5574957,-1.003921,0.7671209,0.5544702,-0.9977323,0.749525,0.5474726,-1.008314,0.8137863,0.5360799,-1.000455,0.7830281,0.5301127,-0.9930818,0.7653103,0.5238054,-1.003068,0.8267791,0.5157454,-1.003429,0.8041686,0.5096114,-0.9964314,0.7896199,0.5064331,-1.004493,0.8438857,0.5493124,-1.045225,0.05792609,
1529414882638,0.8395272,0.5673254,-1.09088,0.8020958,0.5781934,-1.081781,0.7759506,0.5809964,-1.073879,0.7990991,0.5726107,-1.022426,0.7702195,0.5673094,-1.016586,0.7559519,0.5581299,-1.024976,0.8061479,0.5565989,-1.011657,0.7730534,0.5533417,-1.004593,0.7553588,0.5461128,-1.0148,0.8197238,0.5353757,-1.008356,0.7892561,0.5293103,-1.000084,0.7714046,0.5228202,-1.009643,0.8327929,0.5151509,-1.011497,0.810458,0.5090202,-1.003765,0.7957644,0.5057062,-1.011463,0.8485647,0.5484688,-1.054041,0.05756957,
1529414882665,0.8392547,0.5679935,-1.095308,0.8017088,0.5777158,-1.085447,0.7756611,0.5796338,-1.076982,0.7996961,0.5727317,-1.026479,0.771126,0.5665576,-1.020343,0.7571611,0.5569245,-1.028721,0.8072401,0.5569586,-1.015724,0.7743818,0.5528005,-1.008249,0.7568616,0.5450639,-1.018339,0.8213456,0.5361565,-1.012494,0.7911752,0.5294055,-1.00374,0.7734053,0.5224674,-1.01308,0.834797,0.5162573,-1.015736,0.812727,0.5096848,-1.007644,0.7980454,0.5060244,-1.015167,0.8492339,0.549708,-1.058673,0.05645427,
1529414882692,0.84027,0.5693333,-1.100003,0.8028999,0.5786681,-1.089132,0.7770784,0.580442,-1.079953,0.8021918,0.5745677,-1.030669,0.7738785,0.5678948,-1.024098,0.7600204,0.5579173,-1.032272,0.8101017,0.5590472,-1.019892,0.7774425,0.5544264,-1.011887,0.7599072,0.5463148,-1.021657,0.8244843,0.5385412,-1.016682,0.7945384,0.5315379,-1.007363,0.7766958,0.5242901,-1.016328,0.8380411,0.5187982,-1.01994,0.8161465,0.5121398,-1.011408,0.8013686,0.5082539,-1.01862,0.8512456,0.5517664,-1.063547,0.05542331,
1529414882719,0.841976,0.5710746,-1.10832,0.8047493,0.5794315,-1.096174,0.7792517,0.5808308,-1.086045,0.8064636,0.5772147,-1.037837,0.7788551,0.5693859,-1.030162,0.7654359,0.5584687,-1.037815,0.8153901,0.5623574,-1.026861,0.7833661,0.5564216,-1.017617,0.7660549,0.547176,-1.026725,0.8306986,0.5426631,-1.023533,0.8014848,0.534685,-1.012944,0.7837518,0.5264033,-1.021167,0.8449006,0.5233753,-1.026652,0.8236551,0.5160797,-1.017062,0.8088108,0.5113686,-1.023589,0.8550311,0.5552858,-1.071858,0.05492719,
1529414882745,0.8434161,0.5714233,-1.113533,0.8066776,0.5796489,-1.099919,0.7816432,0.580946,-1.088675,0.8108708,0.5782369,-1.04174,0.7838279,0.5698839,-1.032855,0.770436,0.558565,-1.039919,0.8204073,0.5636904,-1.030921,0.7889431,0.557148,-1.020437,0.771578,0.5473932,-1.028881,0.836023,0.5442995,-1.027998,0.8073479,0.5358448,-1.01647,0.7895564,0.5271108,-1.024117,0.8502812,0.5252924,-1.031354,0.8294132,0.5178468,-1.021224,0.8145309,0.5128751,-1.027476,0.8582001,0.5564938,-1.077371,0.05480544,
