time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529414811930,0.7189723,0.5513843,-1.026612,0.6882813,0.5363687,-1.01077,0.6739661,0.5206738,-0.9962999,0.6817061,0.5571687,-0.964256,0.6645304,0.5380669,-0.9583359,0.6637506,0.5237818,-0.9686913,0.6940212,0.5484998,-0.953873,0.6724496,0.5276021,-0.9504561,0.6689893,0.5126681,-0.9641357,0.7143054,0.540244,-0.947114,0.6934682,0.5205594,-0.9401829,0.6854829,0.5055795,-0.9513913,0.7342191,0.5305759,-0.946185,0.7187773,0.5161728,-0.9382647,0.7099008,0.5060002,-0.9470238,0.7332271,0.5547756,-0.9938644,0.0296015,
1529414811969,0.7219168,0.540832,-1.040688,0.6908841,0.5247546,-1.026316,0.6745352,0.5091057,-1.013486,0.682592,0.5434269,-0.9801381,0.6650506,0.5234481,-0.9760506,0.6637562,0.5090261,-0.9866284,0.6947154,0.5343167,-0.9697505,0.6725479,0.5126193,-0.9678457,0.6677697,0.4974141,-0.9812979,0.7147205,0.5257541,-0.9629042,0.6934243,0.5051746,-0.9576042,0.68468,0.49013,-0.9686435,0.7344638,0.5163418,-0.961743,0.7185464,0.5012739,-0.9550877,0.7093391,0.4910388,-0.9637597,0.734876,0.5430954,-1.007797,0.02893967,
1529414811985,0.7247116,0.5304836,-1.047697,0.6938571,0.5137767,-1.033538,0.6769636,0.4980818,-1.021267,0.685478,0.5311689,-0.9873613,0.6678766,0.5107694,-0.9838505,0.6661611,0.4963568,-0.9945253,0.6977357,0.5218507,-0.9771804,0.6753356,0.4997496,-0.9755001,0.6696169,0.4844523,-0.9886481,0.7177901,0.5131781,-0.970683,0.6964316,0.4921234,-0.9656262,0.6870613,0.4770209,-0.9762502,0.7375438,0.5038834,-0.9698384,0.7216452,0.4883705,-0.9633855,0.7120445,0.4780001,-0.9716231,0.7376047,0.5322105,-1.014992,0.02889275,
1529414812010,0.7290735,0.5197518,-1.052423,0.6987863,0.5019715,-1.038394,0.6825072,0.4854264,-1.026428,0.6891817,0.5178565,-0.9930305,0.6719853,0.4971222,-0.9908574,0.6709495,0.4836019,-1.002569,0.7013402,0.5082076,-0.9830263,0.679105,0.4858679,-0.982416,0.6736887,0.4713008,-0.9963567,0.7213241,0.4993413,-0.9767185,0.6999369,0.4779179,-0.9723519,0.6904567,0.4631834,-0.9833051,0.7409967,0.4901904,-0.9760435,0.7250273,0.4744034,-0.9699421,0.7152554,0.464158,-0.9781429,0.7414372,0.5201466,-1.020054,0.02657342,
1529414812037,0.7341559,0.5056623,-1.056154,0.7048486,0.486638,-1.041769,0.6898282,0.46917,-1.029554,0.6940463,0.5016773,-0.9978769,0.6781401,0.4800095,-0.9968776,0.678318,0.4671761,-1.009304,0.7063238,0.4924662,-0.9876843,0.6852628,0.4692007,-0.9880471,0.6810478,0.4550799,-1.002729,0.7264159,0.4843398,-0.9810748,0.7057757,0.4621143,-0.9770777,0.6969651,0.447344,-0.9884016,0.7462624,0.4757576,-0.9803925,0.7307837,0.459338,-0.9746003,0.7213855,0.4489279,-0.9829945,0.7460439,0.5062338,-1.024118,0.02337807,
1529414812065,0.7426729,0.4894723,-1.060352,0.7141204,0.4701151,-1.045024,0.700083,0.4522739,-1.032265,0.7035161,0.4839598,-1.003518,0.6892508,0.4617465,-1.005135,0.6913866,0.4505506,-1.018872,0.7157804,0.4749976,-0.9935731,0.6962941,0.4513943,-0.996853,0.694628,0.4390821,-1.013351,0.7358302,0.4674057,-0.986327,0.7156491,0.4448206,-0.9836303,0.707762,0.4307153,-0.9961887,0.7555734,0.4591089,-0.9857644,0.7401158,0.4425017,-0.9808282,0.7310377,0.4324678,-0.9899502,0.7548502,0.489928,-1.028828,0.01606119,
1529414812091,0.7517374,0.476449,-1.062065,0.7237086,0.456489,-1.046589,0.7102404,0.4382781,-1.033748,0.7130347,0.4694,-1.006143,0.6998429,0.4466313,-1.008998,0.7027369,0.4359863,-1.023076,0.725463,0.4606962,-0.9962086,0.7071171,0.4365044,-1.000808,0.7063341,0.4247437,-1.017817,0.7455239,0.4536325,-0.9886886,0.7261488,0.4304183,-0.9870708,0.7190772,0.4165945,-1.000393,0.7653434,0.4458315,-0.9880735,0.7502988,0.4287385,-0.9839319,0.7416869,0.4188623,-0.9936522,0.7639602,0.4769917,-1.030639,0.01324531,
1529414812117,0.7665856,0.4567337,-1.0643,0.7394688,0.4361809,-1.048022,0.7270727,0.4176088,-1.03473,0.7304812,0.4485008,-1.007668,0.7182544,0.4250843,-1.01102,0.7212114,0.414622,-1.025315,0.7434472,0.4402227,-0.9980773,0.7260355,0.4153038,-1.002988,0.7252626,0.4036947,-1.020184,0.7638434,0.4337644,-0.9909961,0.7455271,0.4098477,-0.9896999,0.7388735,0.3962249,-1.003452,0.7838129,0.4265572,-0.9909303,0.7695003,0.4088904,-0.9869739,0.7610608,0.3990965,-0.9969184,0.780008,0.457714,-1.033168,0.01148544,
1529414812144,0.776287,0.4483376,-1.065496,0.7496524,0.428031,-1.048199,0.7379052,0.4093796,-1.034518,0.7439601,0.4393674,-1.007106,0.7314116,0.4158632,-1.010449,0.7333649,0.4053603,-1.024946,0.7574551,0.4308647,-0.9983698,0.73974,0.4059739,-1.003047,0.7378792,0.3946036,-1.020373,0.7780954,0.4240494,-0.9928073,0.7599693,0.4001232,-0.9919286,0.7528843,0.3871979,-1.00617,0.7978746,0.4168112,-0.9938438,0.7836516,0.3991064,-0.9900789,0.7747793,0.3898697,-1.000181,0.7918957,0.4487,-1.034933,0.01133098,
1529414812179,0.7930926,0.4279783,-1.065583,0.7687864,0.4067096,-1.046051,0.7586014,0.3877621,-1.031518,0.7682359,0.4180757,-1.003943,0.7561356,0.393867,-1.006199,0.7563698,0.3831733,-1.020746,0.7829282,0.4098506,-0.9968655,0.7657375,0.3841386,-1.000031,0.7620119,0.3727808,-1.017107,0.8040899,0.4033185,-0.994361,0.7872446,0.3785532,-0.9933063,0.7793237,0.3661602,-1.00764,0.8236014,0.3967406,-0.9975369,0.810402,0.378385,-0.9938474,0.8009561,0.3697818,-1.003968,0.8121609,0.4290172,-1.036638,0.01191939,
1529414812197,0.8044482,0.4123554,-1.063553,0.7829942,0.3900897,-1.041873,0.7752547,0.3705869,-1.026666,0.7858385,0.4017929,-0.9996532,0.7737544,0.3772689,-1.000466,0.7722933,0.3659959,-1.014632,0.8015074,0.3936942,-0.9941547,0.7843357,0.367346,-0.9951159,0.7782644,0.3550276,-1.01102,0.8229096,0.38739,-0.9942816,0.8068016,0.3621953,-0.9921714,0.797671,0.3498066,-1.005862,0.8420807,0.3811692,-0.99958,0.829668,0.362452,-0.9953876,0.8194265,0.3540755,-1.004949,0.825928,0.4137868,-1.036718,0.01321666,
1529414812222,0.8161269,0.396442,-1.062888,0.7989153,0.3728292,-1.038978,0.7946509,0.3526004,-1.023594,0.8059214,0.3851683,-0.9970633,0.7941829,0.3605158,-0.9963644,0.7907756,0.3494245,-1.010329,0.8221848,0.3770028,-0.9941942,0.8054359,0.3504596,-0.9935528,0.7974678,0.3386149,-1.00892,0.8432363,0.3708597,-0.9975725,0.8277801,0.3455839,-0.994725,0.8172328,0.3340833,-1.008111,0.861518,0.3649025,-1.005508,0.8497746,0.3460835,-1.000928,0.8384587,0.3385519,-1.009935,0.8405858,0.3981364,-1.039144,0.01417974,
1529414812236,0.8222927,0.3882824,-1.063823,0.8076981,0.3640733,-1.038757,0.8052313,0.3436702,-1.023177,0.8170651,0.3777696,-0.9970986,0.8057982,0.3528631,-0.9951308,0.8013065,0.3414899,-1.008555,0.8336552,0.3698559,-0.9952314,0.8174798,0.3430546,-0.9927938,0.8084259,0.3309831,-1.007327,0.8543918,0.3639013,-1.000324,0.8396107,0.3384311,-0.9961021,0.8281915,0.3267451,-1.008583,0.8721017,0.3580726,-1.009627,0.861063,0.3391227,-1.004102,0.8491595,0.3314985,-1.012232,0.8480499,0.390825,-1.041852,0.01529576,
1529414812250,0.8319861,0.3765007,-1.065551,0.8210248,0.3519395,-1.038921,0.8198642,0.3316713,-1.02282,0.8357236,0.3663296,-0.998456,0.8244965,0.3411672,-0.994082,0.818081,0.3284024,-1.005529,0.8528856,0.3583645,-0.9991351,0.8372591,0.3308969,-0.9934478,0.8259301,0.3172415,-1.004874,0.8724766,0.3525498,-1.007431,0.8582997,0.3267006,-1.0012,0.8453298,0.3143135,-1.011405,0.8886787,0.3468874,-1.019206,0.878208,0.3277433,-1.01256,0.8653455,0.3198236,-1.018863,0.8600891,0.3795477,-1.047222,0.01768805,
1529414812265,0.8349721,0.3688986,-1.066687,0.826599,0.3453262,-1.038195,0.8265067,0.3261684,-1.020694,0.8461519,0.362131,-0.9993055,0.8369299,0.3367417,-0.9918938,0.8303423,0.3226315,-1.00148,0.8634305,0.3551714,-1.001558,0.8499507,0.3273183,-0.9927882,0.8386505,0.3121238,-1.002122,0.8825567,0.3500545,-1.011654,0.87052,0.3238383,-1.002921,0.8575923,0.310113,-1.011317,0.8978485,0.3448597,-1.024767,0.8890043,0.32559,-1.016385,0.8762116,0.3165709,-1.021253,0.8654627,0.3743266,-1.05127,0.01990947,
1529414812290,0.8409637,0.3583595,-1.070793,0.835686,0.3354449,-1.040991,0.8366587,0.3172866,-1.022335,0.8633916,0.3529041,-1.004612,0.8580731,0.3274117,-0.9939604,0.8518478,0.311894,-1.001197,0.8812643,0.3480208,-1.008716,0.8730508,0.3198056,-0.9945698,0.8627512,0.3022142,-0.9995147,0.8992135,0.3442772,-1.022015,0.8923873,0.3173367,-1.00929,0.8806926,0.3008641,-1.013573,0.9127888,0.3401465,-1.037756,0.9080595,0.320158,-1.027154,0.8964645,0.3086415,-1.028916,0.8741195,0.3660231,-1.059836,0.02658195,
1529414812317,0.8434404,0.3441613,-1.076347,0.8431818,0.3176861,-1.049031,0.8469858,0.2977391,-1.032415,0.8813412,0.3331572,-1.015105,0.8839413,0.3068933,-1.001415,0.8806664,0.2893182,-1.003667,0.8989799,0.3322235,-1.022263,0.9008019,0.3034523,-1.004164,0.8952125,0.2834618,-1.003378,0.9142617,0.3326567,-1.039226,0.9165537,0.3048626,-1.02442,0.9094081,0.285596,-1.02481,0.925055,0.3318848,-1.058873,0.9275913,0.3106171,-1.048456,0.9198412,0.2961122,-1.047825,0.878731,0.3541172,-1.070494,0.04507495,
1529414812353,0.8475031,0.3257205,-1.084605,0.8507717,0.2965924,-1.060454,0.8568383,0.2753999,-1.046159,0.8949103,0.3121993,-1.027834,0.904652,0.2876667,-1.012592,0.9070071,0.2695297,-1.010528,0.9126799,0.3156703,-1.036438,0.9243016,0.2890594,-1.017256,0.9263533,0.2685112,-1.012156,0.9262204,0.3209617,-1.054396,0.938912,0.2954753,-1.038576,0.940187,0.2749279,-1.035142,0.9351742,0.3246337,-1.075192,0.9456915,0.3053631,-1.065396,0.9438475,0.2889931,-1.063912,0.8834812,0.3388075,-1.08119,0.06181378,
1529414812372,0.8526515,0.2994208,-1.092623,0.8616479,0.2743619,-1.06533,0.8703376,0.2565171,-1.047694,0.9058448,0.2998705,-1.037852,0.9220036,0.2811304,-1.019846,0.9291922,0.264716,-1.015671,0.9226156,0.3069484,-1.048253,0.9423835,0.2870632,-1.027319,0.9509343,0.26892,-1.019882,0.933908,0.3146121,-1.067222,0.9548883,0.2962335,-1.049829,0.963153,0.2779353,-1.044082,0.9409819,0.3196482,-1.088953,0.9590983,0.3068556,-1.078095,0.9647076,0.2916989,-1.074208,0.8857136,0.318223,-1.092644,0.06750201,
1529414812396,0.8616968,0.2850739,-1.09526,0.8777786,0.2672172,-1.065861,0.8922405,0.2550118,-1.047358,0.9169528,0.3022693,-1.04647,0.9388489,0.2892473,-1.030313,0.9503122,0.2752677,-1.027648,0.9301137,0.3128301,-1.058551,0.9557852,0.2987899,-1.040184,0.9689305,0.283074,-1.034594,0.9377107,0.3222387,-1.079264,0.9645889,0.3100937,-1.06518,0.9770582,0.2945267,-1.061613,0.9411842,0.3285467,-1.100845,0.9630998,0.3216665,-1.091828,0.9744345,0.3101027,-1.08776,0.8888381,0.3123735,-1.099974,0.06458411,
1529414812423,0.871366,0.2738523,-1.099494,0.8892046,0.2600808,-1.069052,0.9057804,0.2518916,-1.050314,0.9209335,0.2989764,-1.050516,0.9443058,0.2866292,-1.036464,0.9574597,0.2738372,-1.036353,0.930836,0.3117799,-1.061592,0.9565648,0.2963707,-1.046412,0.9683122,0.2794576,-1.04763,0.9364701,0.3227808,-1.082124,0.9640386,0.3106622,-1.069007,0.9717346,0.2974419,-1.070724,0.9388774,0.330977,-1.102722,0.9592,0.3214658,-1.094992,0.9673754,0.3070123,-1.094456,0.8921854,0.3070168,-1.103618,0.05785568,
1529414812448,0.871366,0.2738523,-1.099494,0.8892046,0.2600808,-1.069052,0.9057804,0.2518916,-1.050314,0.9209335,0.2989764,-1.050516,0.9443058,0.2866292,-1.036464,0.9574597,0.2738372,-1.036353,0.930836,0.3117799,-1.061592,0.9565648,0.2963707,-1.046412,0.9683122,0.2794576,-1.04763,0.9364701,0.3227808,-1.082124,0.9640386,0.3106622,-1.069007,0.9717346,0.2974419,-1.070724,0.9388774,0.330977,-1.102722,0.9592,0.3214658,-1.094992,0.9673754,0.3070123,-1.094456,0.8921854,0.3070168,-1.103618,0.05785568,
1529414812461,0.871366,0.2738523,-1.099494,0.8892046,0.2600808,-1.069052,0.9057804,0.2518916,-1.050314,0.9209335,0.2989764,-1.050516,0.9443058,0.2866292,-1.036464,0.9574597,0.2738372,-1.036353,0.930836,0.3117799,-1.061592,0.9565648,0.2963707,-1.046412,0.9683122,0.2794576,-1.04763,0.9364701,0.3227808,-1.082124,0.9640386,0.3106622,-1.069007,0.9717346,0.2974419,-1.070724,0.9388774,0.330977,-1.102722,0.9592,0.3214658,-1.094992,0.9673754,0.3070123,-1.094456,0.8921854,0.3070168,-1.103618,0.05785568,
1529414812476,0.871366,0.2738523,-1.099494,0.8892046,0.2600808,-1.069052,0.9057804,0.2518916,-1.050314,0.9209335,0.2989764,-1.050516,0.9443058,0.2866292,-1.036464,0.9574597,0.2738372,-1.036353,0.930836,0.3117799,-1.061592,0.9565648,0.2963707,-1.046412,0.9683122,0.2794576,-1.04763,0.9364701,0.3227808,-1.082124,0.9640386,0.3106622,-1.069007,0.9717346,0.2974419,-1.070724,0.9388774,0.330977,-1.102722,0.9592,0.3214658,-1.094992,0.9673754,0.3070123,-1.094456,0.8921854,0.3070168,-1.103618,0.05785568,
1529414812490,0.871366,0.2738523,-1.099494,0.8892046,0.2600808,-1.069052,0.9057804,0.2518916,-1.050314,0.9209335,0.2989764,-1.050516,0.9443058,0.2866292,-1.036464,0.9574597,0.2738372,-1.036353,0.930836,0.3117799,-1.061592,0.9565648,0.2963707,-1.046412,0.9683122,0.2794576,-1.04763,0.9364701,0.3227808,-1.082124,0.9640386,0.3106622,-1.069007,0.9717346,0.2974419,-1.070724,0.9388774,0.330977,-1.102722,0.9592,0.3214658,-1.094992,0.9673754,0.3070123,-1.094456,0.8921854,0.3070168,-1.103618,0.05785568,
1529414812515,0.871366,0.2738523,-1.099494,0.8892046,0.2600808,-1.069052,0.9057804,0.2518916,-1.050314,0.9209335,0.2989764,-1.050516,0.9443058,0.2866292,-1.036464,0.9574597,0.2738372,-1.036353,0.930836,0.3117799,-1.061592,0.9565648,0.2963707,-1.046412,0.9683122,0.2794576,-1.04763,0.9364701,0.3227808,-1.082124,0.9640386,0.3106622,-1.069007,0.9717346,0.2974419,-1.070724,0.9388774,0.330977,-1.102722,0.9592,0.3214658,-1.094992,0.9673754,0.3070123,-1.094456,0.8921854,0.3070168,-1.103618,0.05785568,
1529414812529,0.871366,0.2738523,-1.099494,0.8892046,0.2600808,-1.069052,0.9057804,0.2518916,-1.050314,0.9209335,0.2989764,-1.050516,0.9443058,0.2866292,-1.036464,0.9574597,0.2738372,-1.036353,0.930836,0.3117799,-1.061592,0.9565648,0.2963707,-1.046412,0.9683122,0.2794576,-1.04763,0.9364701,0.3227808,-1.082124,0.9640386,0.3106622,-1.069007,0.9717346,0.2974419,-1.070724,0.9388774,0.330977,-1.102722,0.9592,0.3214658,-1.094992,0.9673754,0.3070123,-1.094456,0.8921854,0.3070168,-1.103618,0.05785568,
1529414812555,0.871366,0.2738523,-1.099494,0.8892046,0.2600808,-1.069052,0.9057804,0.2518916,-1.050314,0.9209335,0.2989764,-1.050516,0.9443058,0.2866292,-1.036464,0.9574597,0.2738372,-1.036353,0.930836,0.3117799,-1.061592,0.9565648,0.2963707,-1.046412,0.9683122,0.2794576,-1.04763,0.9364701,0.3227808,-1.082124,0.9640386,0.3106622,-1.069007,0.9717346,0.2974419,-1.070724,0.9388774,0.330977,-1.102722,0.9592,0.3214658,-1.094992,0.9673754,0.3070123,-1.094456,0.8921854,0.3070168,-1.103618,0.05785568,
1529414812582,0.871366,0.2738523,-1.099494,0.8892046,0.2600808,-1.069052,0.9057804,0.2518916,-1.050314,0.9209335,0.2989764,-1.050516,0.9443058,0.2866292,-1.036464,0.9574597,0.2738372,-1.036353,0.930836,0.3117799,-1.061592,0.9565648,0.2963707,-1.046412,0.9683122,0.2794576,-1.04763,0.9364701,0.3227808,-1.082124,0.9640386,0.3106622,-1.069007,0.9717346,0.2974419,-1.070724,0.9388774,0.330977,-1.102722,0.9592,0.3214658,-1.094992,0.9673754,0.3070123,-1.094456,0.8921854,0.3070168,-1.103618,0.05785568,
1529414812608,0.871366,0.2738523,-1.099494,0.8892046,0.2600808,-1.069052,0.9057804,0.2518916,-1.050314,0.9209335,0.2989764,-1.050516,0.9443058,0.2866292,-1.036464,0.9574597,0.2738372,-1.036353,0.930836,0.3117799,-1.061592,0.9565648,0.2963707,-1.046412,0.9683122,0.2794576,-1.04763,0.9364701,0.3227808,-1.082124,0.9640386,0.3106622,-1.069007,0.9717346,0.2974419,-1.070724,0.9388774,0.330977,-1.102722,0.9592,0.3214658,-1.094992,0.9673754,0.3070123,-1.094456,0.8921854,0.3070168,-1.103618,0.05785568,
