time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529415189740,0.8432332,0.5073262,-1.002043,0.8169347,0.4875291,-0.9806814,0.8102154,0.4690664,-0.962741,0.7971309,0.511108,-0.9479784,0.7837938,0.4866388,-0.9484863,0.7876925,0.4728713,-0.9606983,0.8094149,0.5039527,-0.9350088,0.7913721,0.4779916,-0.9380562,0.7926944,0.4633052,-0.9539647,0.829561,0.4981591,-0.9242535,0.8091167,0.4743496,-0.9211446,0.8029271,0.4576793,-0.9332056,0.8503067,0.489566,-0.920956,0.8343479,0.4721977,-0.9172062,0.8272035,0.4611267,-0.9279219,0.851994,0.5145252,-0.9693205,0.02293309,
1529415189779,0.846061,0.4992492,-1.015258,0.817624,0.480116,-0.9959683,0.8083153,0.4621317,-0.9785012,0.7988145,0.5047168,-0.9637175,0.7865301,0.4801514,-0.9664559,0.7925016,0.467402,-0.9788581,0.8103024,0.497612,-0.9502212,0.7930285,0.4715756,-0.9556373,0.7961525,0.4574372,-0.9717691,0.8295262,0.4917951,-0.9379669,0.8086003,0.468015,-0.936464,0.8026945,0.4512924,-0.9487236,0.8496587,0.4831363,-0.9334441,0.832937,0.4660597,-0.9308008,0.8259521,0.4548914,-0.9416159,0.854101,0.5071722,-0.9814169,0.01667264,
1529415189797,0.8470458,0.4966039,-1.017915,0.8175678,0.4777489,-0.9998811,0.8069785,0.4598238,-0.9829965,0.7993389,0.5021598,-0.9676083,0.7873035,0.4775769,-0.9716439,0.7938442,0.4650449,-0.9840297,0.810444,0.4947816,-0.9539684,0.7934289,0.4688461,-0.9608576,0.7971819,0.4550346,-0.9771661,0.829159,0.488695,-0.9410298,0.8079478,0.4650397,-0.9406251,0.8021882,0.4485705,-0.9532947,0.8489697,0.4798058,-0.9361141,0.8318714,0.4628964,-0.9342533,0.8249427,0.451924,-0.9453192,0.8547172,0.504315,-0.9835336,0.01417162,
1529415189820,0.8477426,0.4934872,-1.022228,0.817345,0.4745902,-1.005767,0.8054374,0.4564934,-0.9898291,0.8002349,0.4970041,-0.9722605,0.7886896,0.4721503,-0.9775553,0.7954307,0.4598285,-0.9901066,0.8112831,0.4892896,-0.9588324,0.7949652,0.4631659,-0.9672977,0.7991874,0.4499052,-0.9839771,0.8297575,0.4829146,-0.9457956,0.8090248,0.4587682,-0.9470181,0.8037843,0.4427272,-0.9604613,0.8493882,0.4741952,-0.9408097,0.8323909,0.4569546,-0.9401152,0.8256638,0.4462556,-0.951605,0.8554079,0.5001276,-0.9870971,0.0105515,
1529415189845,0.8482322,0.4892878,-1.028299,0.8163373,0.4706706,-1.014493,0.8028955,0.452323,-1.000133,0.8004107,0.4896587,-0.9784052,0.7888195,0.4648063,-0.9849552,0.7953803,0.4524798,-0.9976888,0.8113112,0.4814314,-0.9652441,0.7952335,0.4554924,-0.9753025,0.7996756,0.4426956,-0.992321,0.8296276,0.4743996,-0.9525275,0.8096682,0.4501476,-0.9564015,0.8058667,0.4351877,-0.9714371,0.8490699,0.4658008,-0.9473178,0.8322062,0.4485036,-0.9483176,0.8261199,0.4384488,-0.9607238,0.8559085,0.4937693,-0.9918756,0.007904137,
1529415189873,0.8486903,0.4869022,-1.03173,0.8155771,0.4693757,-1.019162,0.8005122,0.4515877,-1.005692,0.8010687,0.4857688,-0.9821424,0.7897431,0.4609225,-0.9895,0.7964376,0.448692,-1.00234,0.8119443,0.4772637,-0.9691348,0.7963688,0.4514173,-0.9802412,0.8012366,0.4390749,-0.9975036,0.8301535,0.4697971,-0.9569349,0.8111684,0.4455008,-0.9630024,0.8088426,0.4315537,-0.9792197,0.8492767,0.461348,-0.9515083,0.8326735,0.4441004,-0.9541098,0.8274329,0.4347425,-0.9673975,0.8564412,0.4901114,-0.9948938,0.006018534,
1529415189898,0.8489053,0.4853873,-1.034327,0.8154057,0.4680148,-1.022329,0.7996644,0.4502181,-1.009654,0.8021452,0.481441,-0.9849607,0.7915412,0.4567913,-0.9937953,0.7986654,0.4453309,-1.007179,0.8132447,0.4724474,-0.9723883,0.7983427,0.4468563,-0.9850171,0.803483,0.4355052,-1.002906,0.8315642,0.4645025,-0.9610905,0.8136261,0.4402635,-0.9694788,0.812403,0.4277278,-0.9868834,0.8505027,0.4561867,-0.9559703,0.8343564,0.4389882,-0.9603562,0.8298843,0.4307472,-0.9745912,0.857092,0.4868261,-0.9974725,0.00556817,
1529415189925,0.8486594,0.4836838,-1.037228,0.8171731,0.464436,-1.023465,0.8047932,0.444796,-1.010154,0.8038006,0.4759095,-0.9876691,0.7936775,0.4515561,-0.997903,0.8007816,0.4411173,-1.01212,0.8156046,0.4663749,-0.9759275,0.8010501,0.4411503,-0.9897885,0.8058617,0.4311551,-1.008545,0.8344871,0.4581276,-0.9661435,0.8169889,0.4338227,-0.9759399,0.81542,0.4223727,-0.9940369,0.853572,0.450039,-0.9622078,0.8378662,0.4328165,-0.9679128,0.8333479,0.4256151,-0.9827316,0.8579084,0.4833453,-1.00148,0.005787019,
1529415189952,0.8490187,0.483118,-1.03789,0.8190688,0.462682,-1.022717,0.8082327,0.4423242,-1.009099,0.8055884,0.4730547,-0.9874357,0.7952672,0.4486268,-0.9975435,0.8018175,0.438407,-1.012129,0.8181084,0.4634683,-0.9762603,0.8034186,0.4381089,-0.9898522,0.8075963,0.4285507,-1.00892,0.8376316,0.4554194,-0.9675254,0.8202856,0.4307537,-0.977107,0.8180541,0.419432,-0.9952257,0.8570544,0.4477087,-0.9645379,0.8416853,0.4301943,-0.9702645,0.8368407,0.4232665,-0.98513,0.8592793,0.4819988,-1.003013,0.008104218,
1529415189990,0.8507941,0.4813496,-1.03914,0.8227002,0.4592483,-1.023067,0.8136117,0.4379436,-1.009462,0.8074021,0.4687025,-0.9890339,0.7968696,0.4442553,-0.999202,0.8028919,0.4338723,-1.013981,0.8204989,0.4590052,-0.9781953,0.8057483,0.4334743,-0.9917294,0.8092124,0.4238535,-1.010998,0.84056,0.4511576,-0.9701141,0.8234862,0.4260842,-0.9796869,0.8207146,0.4146806,-0.9977376,0.8602945,0.4438978,-0.9677272,0.8453103,0.4260009,-0.9735803,0.8401495,0.41904,-0.9883813,0.8611122,0.4794904,-1.005205,0.01232535,
1529415190007,0.8512726,0.4815756,-1.039175,0.8234373,0.459632,-1.022658,0.814827,0.4382837,-1.008828,0.8075027,0.4694676,-0.9893252,0.7967205,0.4451526,-0.9994035,0.8026991,0.4346456,-1.014136,0.8205112,0.4596679,-0.97839,0.8054514,0.4342408,-0.9917592,0.8087562,0.4244091,-1.010978,0.84051,0.4516593,-0.9702901,0.823158,0.4267281,-0.9797305,0.820274,0.4152447,-0.9977142,0.8602117,0.4442045,-0.9679003,0.8450766,0.426442,-0.9737217,0.8398534,0.4194491,-0.9885054,0.86141,0.4796443,-1.005496,0.0137294,
