time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529414981585,1.201105,0.6055266,-0.6990023,1.179799,0.6092534,-0.6659402,1.17009,0.6017288,-0.6421564,1.197492,0.6265978,-0.6312709,1.175303,0.6147348,-0.6228538,1.167693,0.6025478,-0.6346848,1.207555,0.6106513,-0.62562,1.179543,0.5988098,-0.6193728,1.168438,0.58803,-0.6341968,1.22204,0.5927476,-0.6251704,1.194531,0.5826246,-0.6160253,1.178998,0.5740187,-0.6274873,1.233742,0.5762104,-0.6283846,1.212768,0.5716661,-0.6178713,1.198035,0.5674679,-0.6248182,1.227681,0.5995685,-0.6745397,0.007889125,
1529414981617,1.200504,0.5987704,-0.7218144,1.177247,0.6008236,-0.6897516,1.166065,0.5931931,-0.6665592,1.193286,0.6189736,-0.6534755,1.171303,0.6064353,-0.6455657,1.164358,0.5941739,-0.6576664,1.203848,0.6031061,-0.6475221,1.176022,0.5902081,-0.6415864,1.164986,0.5792282,-0.656398,1.218949,0.5856767,-0.647032,1.19167,0.5743015,-0.6386684,1.176656,0.5653257,-0.6505749,1.231284,0.5694305,-0.6503895,1.210179,0.5635905,-0.6408859,1.195953,0.5590953,-0.6486278,1.226231,0.5937539,-0.6963381,0.009107973,
1529414981641,1.202291,0.5923751,-0.7366446,1.177359,0.5942757,-0.7057166,1.164747,0.5873353,-0.6829827,1.192846,0.6137233,-0.6681261,1.170584,0.6013623,-0.6596676,1.163073,0.5885118,-0.6709222,1.203462,0.5978454,-0.6617466,1.175469,0.5847232,-0.6555641,1.163962,0.5731311,-0.6697204,1.218813,0.5805172,-0.6608248,1.191556,0.5687599,-0.6528224,1.176762,0.5593387,-0.6647662,1.231533,0.5642468,-0.663793,1.210348,0.5579196,-0.6547701,1.196346,0.553176,-0.6627928,1.227409,0.5883086,-0.7101718,0.01223283,
1529414981669,1.201533,0.5834259,-0.7598082,1.175395,0.5851097,-0.7298648,1.162309,0.5784829,-0.7072805,1.189105,0.6068221,-0.6923103,1.167484,0.5934029,-0.6839168,1.161142,0.5798195,-0.6949735,1.200324,0.59198,-0.6851044,1.173134,0.5774454,-0.6793894,1.163157,0.5647253,-0.6936923,1.216546,0.575556,-0.6832067,1.190071,0.5624211,-0.6764221,1.177156,0.5519049,-0.6895009,1.230349,0.5598835,-0.6850649,1.209377,0.5524929,-0.6768587,1.196296,0.5467855,-0.6857245,1.226234,0.581934,-0.7323825,0.01243419,
1529414981695,1.197261,0.5805253,-0.7776068,1.170728,0.5815099,-0.747987,1.157764,0.5745475,-0.7254698,1.183856,0.6035543,-0.7100987,1.16303,0.5891623,-0.7018375,1.157633,0.575403,-0.7131212,1.195597,0.5892564,-0.7029575,1.169377,0.573465,-0.6978317,1.160814,0.5604556,-0.7127047,1.212403,0.5735051,-0.7011324,1.186844,0.5591036,-0.6955971,1.175608,0.5483036,-0.7098693,1.226811,0.5584413,-0.7029048,1.20616,0.5500044,-0.6959627,1.194322,0.5439939,-0.7061818,1.222069,0.5802024,-0.74996,0.01237888,
1529414981734,1.187723,0.5765693,-0.8151051,1.159674,0.575954,-0.7868564,1.145593,0.5679808,-0.7653844,1.172053,0.5986028,-0.7466984,1.150333,0.5849674,-0.7385316,1.144331,0.5711609,-0.749437,1.18346,0.5835063,-0.7397237,1.156633,0.568105,-0.7352591,1.147805,0.555289,-0.7501866,1.200007,0.5673492,-0.7381772,1.174079,0.5530948,-0.7339667,1.163189,0.5426283,-0.7488141,1.214413,0.5519609,-0.740154,1.193447,0.5433562,-0.7345482,1.182034,0.5378207,-0.7455349,1.211775,0.5755748,-0.7863557,0.01631028,
1529414981771,1.182494,0.5734307,-0.8453828,1.151791,0.5719141,-0.819988,1.135165,0.5635388,-0.8005109,1.161459,0.5959984,-0.7771975,1.137296,0.5849179,-0.769358,1.129246,0.5714072,-0.7792474,1.171627,0.579688,-0.7690656,1.14247,0.5667415,-0.7642035,1.130963,0.554352,-0.7777157,1.187315,0.5625249,-0.7663857,1.159374,0.5504001,-0.7608551,1.145787,0.540157,-0.7736045,1.20109,0.5456203,-0.768284,1.179288,0.5379593,-0.7624312,1.166676,0.5329214,-0.7724284,1.203398,0.5709662,-0.8146888,0.02343259,
1529414981789,1.177483,0.5693447,-0.864239,1.145774,0.5676185,-0.8401763,1.128164,0.5589898,-0.8216018,1.153084,0.593942,-0.7976235,1.127571,0.5845799,-0.7906433,1.118532,0.5714895,-0.8003085,1.162151,0.5772904,-0.7882944,1.131708,0.5664687,-0.7835141,1.118821,0.5546482,-0.7963974,1.177082,0.5595073,-0.7842139,1.147937,0.5495715,-0.7773381,1.132508,0.5398879,-0.7883941,1.190152,0.5414565,-0.7855955,1.167853,0.534963,-0.7787968,1.153914,0.5301879,-0.7873115,1.196086,0.5665672,-0.8326666,0.02650302,
1529414981814,1.169841,0.5642656,-0.8863426,1.1378,0.5609076,-0.8631536,1.120067,0.5509691,-0.8451477,1.142188,0.5912091,-0.8215773,1.115746,0.5831308,-0.8152193,1.105999,0.5703737,-0.8246101,1.150541,0.574598,-0.8109549,1.119318,0.5654105,-0.8059112,1.105428,0.5540355,-0.8181535,1.165102,0.5565196,-0.8055029,1.135316,0.5483692,-0.7967535,1.118322,0.5392755,-0.8057634,1.177768,0.5376427,-0.8063383,1.155355,0.5319031,-0.7980453,1.140245,0.5272427,-0.8045645,1.186182,0.5622782,-0.8543487,0.03156329,
1529414981841,1.162027,0.5612227,-0.9029853,1.130088,0.5561974,-0.8800318,1.112794,0.5449793,-0.8623741,1.13346,0.5885411,-0.8382958,1.106699,0.5809771,-0.8318574,1.096423,0.5684872,-0.8410431,1.141811,0.5719062,-0.8272283,1.11035,0.5634368,-0.8213021,1.095601,0.5524244,-0.8328759,1.156464,0.5536921,-0.8215665,1.126788,0.5462186,-0.8113232,1.108939,0.5374832,-0.8190303,1.169117,0.5344853,-0.8225552,1.147051,0.5289015,-0.812802,1.131364,0.5242966,-0.8178509,1.177724,0.5595585,-0.8709955,0.03571618,
