time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528971938381,0.7756357,0.4376471,-0.9027446,0.7671111,0.4033329,-0.8802173,0.7682275,0.3776159,-0.8676299,0.8026933,0.4201892,-0.8207432,0.8098906,0.4021211,-0.7944509,0.8112445,0.3839449,-0.7853712,0.8276711,0.4186365,-0.8243538,0.8392358,0.3992376,-0.794533,0.8413988,0.3793746,-0.7824106,0.8481486,0.4186065,-0.8386453,0.8615909,0.4002465,-0.8112805,0.865523,0.3815995,-0.7982263,0.864584,0.4161727,-0.859409,0.8783586,0.4006626,-0.842353,0.8817992,0.3845728,-0.8343509,0.812566,0.4407291,-0.8829299,0.09304316,
1528971938457,0.7849814,0.443617,-0.9152491,0.7747097,0.4097546,-0.8926401,0.7745286,0.3841667,-0.8799424,0.812108,0.4272975,-0.8325382,0.8184544,0.4087529,-0.8066496,0.8185509,0.3901199,-0.7986307,0.8369247,0.4244249,-0.8363643,0.8473978,0.404128,-0.8070365,0.8479276,0.3836394,-0.7959589,0.8573508,0.4233042,-0.8508321,0.8699978,0.404191,-0.82377,0.8725623,0.3849576,-0.8113724,0.8735739,0.4199038,-0.8716735,0.886961,0.4039838,-0.8547092,0.8895708,0.3877615,-0.846788,0.822311,0.4461769,-0.8951802,0.09265526,
1528971938473,0.7868243,0.4447008,-0.9168332,0.7766755,0.4111022,-0.8938104,0.776898,0.3855985,-0.8810884,0.813713,0.4290715,-0.8340554,0.8194489,0.4101489,-0.808499,0.8188074,0.391273,-0.8011467,0.8385048,0.4258888,-0.8378894,0.8484507,0.405504,-0.8085572,0.8483267,0.3849474,-0.7975959,0.8590043,0.4243229,-0.8524762,0.8714509,0.4052514,-0.8253739,0.8735523,0.3859603,-0.813014,0.8751455,0.4204383,-0.8733819,0.8886315,0.4046934,-0.8563272,0.8911064,0.3885651,-0.8482404,0.8240281,0.4470873,-0.8969545,0.09043932,
1528971938512,0.7930307,0.4494603,-0.9220536,0.7830055,0.4156542,-0.8992767,0.7835406,0.3900517,-0.8869213,0.8187715,0.4338918,-0.83897,0.8240436,0.4148022,-0.8136815,0.8227341,0.3957309,-0.8072627,0.8435649,0.4301971,-0.8427175,0.852926,0.4093943,-0.8137676,0.8519265,0.388472,-0.8036849,0.8641073,0.4282377,-0.8571967,0.8759595,0.4086587,-0.8304286,0.877027,0.3888402,-0.8189429,0.8800634,0.4240921,-0.8778047,0.8927977,0.4080633,-0.8605973,0.8941966,0.3917186,-0.852828,0.8296743,0.4515308,-0.9018471,0.08895992,
1528971938568,0.8009005,0.4537646,-0.9270326,0.7926788,0.4199476,-0.9036646,0.7946383,0.3942663,-0.8916764,0.8267349,0.4379617,-0.844826,0.8312589,0.4179536,-0.8203387,0.8286929,0.3987262,-0.8149381,0.8512646,0.4333454,-0.8490906,0.8600786,0.4119,-0.8204829,0.8581959,0.3909912,-0.8103736,0.8714162,0.4305346,-0.8640644,0.882929,0.4104749,-0.8375593,0.8832603,0.3906298,-0.8260286,0.8863468,0.4256514,-0.8847129,0.8983806,0.4094049,-0.8672072,0.8990661,0.3932254,-0.85896,0.8368126,0.4549448,-0.9079918,0.08407369,
1528971938605,0.8056704,0.4537534,-0.9293101,0.7983164,0.4196062,-0.906161,0.8007869,0.3937506,-0.8946365,0.8315604,0.4368435,-0.8476779,0.8362063,0.4164801,-0.8235917,0.8333404,0.3972112,-0.8186892,0.8559799,0.4320536,-0.8521779,0.8650733,0.4104957,-0.823737,0.863052,0.3895895,-0.8137746,0.8759235,0.429105,-0.8673724,0.8877854,0.4090581,-0.8409803,0.8881787,0.389266,-0.8294079,0.8904828,0.4241613,-0.8881743,0.9027307,0.4079863,-0.8707195,0.9035238,0.3918797,-0.8623539,0.8411154,0.4542753,-0.9107273,0.08270247,
1528971938671,0.8130316,0.4550771,-0.9349029,0.8055723,0.4213969,-0.911009,0.8074352,0.3958319,-0.8986243,0.8391833,0.4391363,-0.8532344,0.8435742,0.4189979,-0.8290569,0.8404444,0.3997482,-0.8243126,0.8638715,0.4346903,-0.8577546,0.8732316,0.4139009,-0.8288913,0.8712538,0.3931817,-0.8186064,0.8837625,0.4315072,-0.8730885,0.8959253,0.4120886,-0.8464088,0.8964092,0.3924797,-0.8345702,0.8981835,0.4261841,-0.8939807,0.9104937,0.4102396,-0.8764739,0.911046,0.3941322,-0.8681371,0.8485585,0.455828,-0.9166095,0.08140747,
1528971938688,0.8169613,0.456626,-0.936976,0.8092433,0.4237583,-0.9119484,0.8106174,0.3987855,-0.8983264,0.8423748,0.4436004,-0.8545285,0.8464319,0.4240688,-0.8300024,0.843226,0.4048301,-0.8253332,0.867214,0.4394015,-0.8586329,0.8761019,0.4192871,-0.829364,0.8737023,0.3985814,-0.8192821,0.8872579,0.4360651,-0.873596,0.8987421,0.4171967,-0.8464415,0.8984948,0.3975515,-0.8347703,0.9020352,0.4303459,-0.8941411,0.913716,0.4147241,-0.8761636,0.9133378,0.398594,-0.867979,0.8523735,0.4584854,-0.9183313,0.08017389,
1528971938725,0.8219712,0.4596843,-0.9385878,0.8141892,0.4275385,-0.9126159,0.8150843,0.402934,-0.8982537,0.8487492,0.4477333,-0.8565475,0.8528284,0.4282444,-0.8319484,0.8494126,0.4090811,-0.8266091,0.8732677,0.4425444,-0.8611757,0.8820851,0.4219875,-0.8321083,0.8793739,0.401373,-0.821866,0.8927292,0.4384847,-0.8763965,0.9036348,0.4189447,-0.8495445,0.9027138,0.3992099,-0.8379451,0.9065291,0.4317726,-0.8969995,0.9167999,0.4150625,-0.879245,0.9151098,0.3988218,-0.8713529,0.8576792,0.4614125,-0.9207077,0.07968163,
1528971938766,0.8266846,0.4617464,-0.9402755,0.8187788,0.4294228,-0.9145271,0.8191617,0.4047253,-0.900205,0.8548844,0.448742,-0.8588195,0.8590732,0.428755,-0.8345598,0.8555151,0.4095837,-0.8292089,0.878906,0.4429027,-0.8639737,0.8873587,0.4213131,-0.8355079,0.8842692,0.400549,-0.8255739,0.8978142,0.4386495,-0.8795075,0.907995,0.4180322,-0.8531535,0.9064618,0.3980898,-0.8419229,0.9109235,0.4320353,-0.9001942,0.9201777,0.4146229,-0.8824881,0.9178073,0.3984047,-0.8746847,0.8627909,0.4629688,-0.9229667,0.07991011,
