time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528971802549,0.82068,0.7769359,-0.7894298,0.7890059,0.7883879,-0.7641888,0.7694772,0.7921208,-0.7433559,0.8207821,0.8254926,-0.7194011,0.8024504,0.8272943,-0.6933858,0.7865694,0.8183533,-0.6849943,0.8321633,0.8132601,-0.7068231,0.8078901,0.8158484,-0.6796676,0.7876081,0.8077659,-0.6723556,0.8473049,0.794935,-0.7017471,0.8251908,0.7978054,-0.6746203,0.8052411,0.7923006,-0.6652219,0.8578138,0.7727887,-0.7017271,0.8395985,0.7725959,-0.6827201,0.8225797,0.7679069,-0.6798022,0.8496393,0.7819926,-0.7581496,0.0662296,
1528971802576,0.8226209,0.7548405,-0.7979939,0.7919778,0.7642331,-0.7707343,0.7734637,0.7660524,-0.7488126,0.8234195,0.7993722,-0.7259832,0.8047775,0.7992108,-0.7002742,0.7888958,0.7893783,-0.6931067,0.8350435,0.7864834,-0.7143436,0.8106672,0.7873437,-0.6872832,0.7903795,0.7786562,-0.6808197,0.8499512,0.7676292,-0.7106537,0.8272946,0.7682912,-0.6841338,0.8070825,0.761583,-0.6762693,0.8605617,0.7456025,-0.7120098,0.8422309,0.7442247,-0.6932554,0.8251951,0.7393224,-0.6910582,0.8518668,0.7582164,-0.7674506,0.06233288,
1528971802636,0.8281634,0.6895373,-0.8229619,0.7996811,0.6934316,-0.7922172,0.7827016,0.690904,-0.76917,0.8312433,0.7207979,-0.7451406,0.8121361,0.7168012,-0.7202353,0.795936,0.7061503,-0.715345,0.8434767,0.7058043,-0.7362928,0.8195713,0.703043,-0.709061,0.7990957,0.6939615,-0.7039998,0.8575348,0.6853024,-0.7368904,0.8346468,0.6808864,-0.7115033,0.8139925,0.6727841,-0.7061461,0.8677577,0.6637599,-0.7425539,0.8495734,0.6591952,-0.7246399,0.8323674,0.6543611,-0.7242771,0.8578281,0.6871108,-0.7942345,0.05748676,
1528971802656,0.8291094,0.6667598,-0.8328117,0.8017755,0.6684972,-0.8008215,0.7854513,0.6645205,-0.7775056,0.8344966,0.6918927,-0.7532502,0.8154217,0.6862549,-0.7287204,0.7990503,0.6754409,-0.7245731,0.8470491,0.676044,-0.7458708,0.823692,0.6715885,-0.7184409,0.8031263,0.6624718,-0.7135567,0.8606343,0.6550294,-0.7486084,0.8380919,0.6484978,-0.7235101,0.8173766,0.6401206,-0.7190327,0.8703955,0.6339197,-0.7562609,0.8524383,0.6279653,-0.7388568,0.8351357,0.6234483,-0.7393236,0.8594697,0.6616677,-0.805444,0.05573185,
1528971802682,0.8298211,0.6470795,-0.8417863,0.8034196,0.6464722,-0.8089628,0.7876136,0.6411091,-0.7855381,0.8364861,0.6668161,-0.7610911,0.8176839,0.6593145,-0.7369758,0.8014051,0.6480598,-0.7336916,0.849429,0.6506346,-0.7549987,0.8266006,0.6442046,-0.7276554,0.8061234,0.6346142,-0.7232946,0.8630108,0.6296622,-0.759504,0.8409899,0.6210421,-0.7346371,0.8203902,0.6122086,-0.7306563,0.8728626,0.6092349,-0.7686927,0.8554611,0.6018662,-0.7514344,0.8382053,0.59739,-0.7522162,0.8606905,0.640237,-0.8156332,0.05409784,
1528971802722,0.8319386,0.617334,-0.8553929,0.8070108,0.6145389,-0.8215333,0.7921221,0.6077837,-0.7978637,0.8412538,0.6306931,-0.774105,0.8227491,0.6211166,-0.7507398,0.8064914,0.6094769,-0.7485515,0.8545321,0.6140558,-0.7697325,0.8322586,0.6052624,-0.7427952,0.8118007,0.5952175,-0.7390765,0.8679845,0.5932927,-0.7763886,0.8465444,0.5823097,-0.7521226,0.8259968,0.5731201,-0.7490406,0.8777686,0.5736341,-0.7873648,0.8611329,0.5645629,-0.7702419,0.8438674,0.5602316,-0.7709396,0.8637033,0.6084381,-0.8311918,0.05139098,
1528971802763,0.8345464,0.5851915,-0.8742524,0.8109272,0.5790108,-0.8399059,0.7969427,0.5696924,-0.8165945,0.8455667,0.589238,-0.7927371,0.8267894,0.5772454,-0.7711888,0.810312,0.56569,-0.7712988,0.8586797,0.5720567,-0.7905508,0.8363169,0.5606819,-0.7649392,0.8156171,0.5506798,-0.7628449,0.8718941,0.5517777,-0.7997177,0.8507143,0.5383956,-0.7767248,0.8299971,0.5294518,-0.7751653,0.8814695,0.5332053,-0.8128842,0.8657787,0.5221871,-0.7958401,0.8484687,0.5179473,-0.7956477,0.8664972,0.5731608,-0.8522957,0.04739683,
1528971802788,0.8359019,0.5706919,-0.8823368,0.8134169,0.5621405,-0.8477721,0.8004007,0.5508142,-0.824835,0.8484452,0.5701892,-0.8012055,0.8297304,0.5571915,-0.7802479,0.8131282,0.5458186,-0.7809175,0.8615994,0.5526398,-0.8003078,0.8396219,0.5398546,-0.7749466,0.8188951,0.5299019,-0.7729174,0.8745264,0.5328684,-0.8108805,0.8537443,0.5182741,-0.7883003,0.8329747,0.5094316,-0.7868738,0.8838544,0.5149913,-0.8252352,0.8687675,0.5029665,-0.8082943,0.8514602,0.4986958,-0.8075995,0.868094,0.557334,-0.8619606,0.0459967,
1528971802832,0.8382478,0.5467496,-0.9036279,0.816904,0.5351547,-0.8692565,0.8050226,0.5213748,-0.8471388,0.8514433,0.5408686,-0.8230821,0.8329113,0.5263608,-0.8033195,0.8165824,0.5149943,-0.8056321,0.8648566,0.5234443,-0.8236477,0.8431255,0.5087296,-0.7991788,0.8225632,0.4984493,-0.7980527,0.8781829,0.5047681,-0.8355976,0.8579575,0.4885305,-0.8136481,0.8373586,0.47932,-0.8125606,0.8879088,0.4880936,-0.8511617,0.8737407,0.4747369,-0.8343046,0.8566276,0.469783,-0.833007,0.8706606,0.5324838,-0.8848398,0.04355624,
1528971802855,0.8383307,0.5414974,-0.9134369,0.817121,0.5284238,-0.8795478,0.8055833,0.5133379,-0.8581735,0.8509446,0.5330172,-0.8330352,0.832352,0.5179944,-0.8140072,0.8161784,0.5068302,-0.8173931,0.8643405,0.5156093,-0.8341735,0.8424762,0.500177,-0.8103168,0.8219422,0.489889,-0.8098267,0.877806,0.4973722,-0.8466637,0.8574831,0.4804929,-0.82536,0.836894,0.4712777,-0.8248434,0.8877048,0.4812889,-0.8626977,0.8735749,0.4674346,-0.8461561,0.8565102,0.4622931,-0.8449185,0.8705117,0.5266579,-0.8950381,0.0426339,
1528971802882,0.8408847,0.5317481,-0.9288594,0.8193073,0.5166993,-0.8960476,0.8077155,0.5001378,-0.8759,0.8522769,0.5197583,-0.8487027,0.8331306,0.5043688,-0.8307483,0.8170447,0.4936778,-0.8353606,0.8655594,0.5022662,-0.8505898,0.843067,0.4862124,-0.8278034,0.8224322,0.4761912,-0.8282782,0.8792782,0.4845382,-0.8636822,0.8586143,0.4670968,-0.8432826,0.8379353,0.4580956,-0.8435066,0.8895049,0.469157,-0.8802806,0.8755095,0.4547496,-0.8640575,0.8584865,0.4494058,-0.8627636,0.8727201,0.5160121,-0.910803,0.04209759,
1528971802909,0.844474,0.5243043,-0.9370309,0.8225114,0.5085684,-0.9048187,0.8108032,0.4914535,-0.8852394,0.8548576,0.5117879,-0.856716,0.8354399,0.4964643,-0.8389684,0.8193412,0.4858435,-0.8437147,0.8680494,0.4941749,-0.8587053,0.8451691,0.4780621,-0.8363552,0.8245139,0.46816,-0.8372498,0.8818088,0.476563,-0.8718216,0.8606756,0.4591503,-0.8519825,0.8399348,0.4503397,-0.8527961,0.8922654,0.4613244,-0.8884021,0.8780046,0.4469168,-0.8724079,0.8609466,0.4416056,-0.8713219,0.8760153,0.5084471,-0.9186923,0.04276292,
1528971802934,0.8508399,0.5160719,-0.9470007,0.8286622,0.4997084,-0.915273,0.8170542,0.4819519,-0.8962927,0.8605944,0.5031447,-0.8665967,0.8409753,0.4878493,-0.8491315,0.8248978,0.4773792,-0.8542056,0.8736626,0.485491,-0.8686652,0.850439,0.4694137,-0.8467771,0.8297718,0.4597419,-0.8483298,0.8875225,0.4679989,-0.8817211,0.8661369,0.4507417,-0.8621901,0.845341,0.4421629,-0.8634877,0.8981898,0.4528375,-0.8982708,0.8839733,0.438493,-0.8822017,0.8669165,0.4331613,-0.8810857,0.8823823,0.5000492,-0.9285046,0.04305531,
1528971802962,0.8553526,0.5128594,-0.9507357,0.833312,0.4961227,-0.9191408,0.8220524,0.4778659,-0.9005134,0.8644375,0.5010133,-0.8701309,0.8445581,0.4861547,-0.8527834,0.8285181,0.4758731,-0.8582062,0.8772308,0.4831654,-0.8721135,0.8535345,0.4675319,-0.8505229,0.8328042,0.4581209,-0.8525119,0.8911391,0.4655832,-0.8848096,0.8694268,0.4488847,-0.8652684,0.8485503,0.4405624,-0.8667858,0.9018384,0.4501994,-0.9011302,0.8874544,0.4362928,-0.8848614,0.8703454,0.4311516,-0.8837937,0.8863175,0.4972038,-0.9319238,0.04284479,
1528971802989,0.8587033,0.5106803,-0.9539701,0.8373013,0.4938625,-0.9219931,0.8267829,0.4753595,-0.9032977,0.868632,0.500064,-0.8733824,0.8490228,0.4851482,-0.8563137,0.8333644,0.474868,-0.8625175,0.8814588,0.4823722,-0.8753647,0.8577734,0.4667217,-0.8541666,0.8372178,0.4572687,-0.8569896,0.895662,0.4649542,-0.8877884,0.8741521,0.4484242,-0.8681939,0.8533585,0.4400738,-0.8701081,0.9065737,0.4495676,-0.9038788,0.8925678,0.4358936,-0.8871903,0.8755158,0.430653,-0.8860363,0.8900255,0.4958068,-0.9352532,0.04131078,
1528971803033,0.8650776,0.5090505,-0.959753,0.8445669,0.4922972,-0.9271415,0.8347561,0.4739244,-0.9079788,0.8766102,0.4994613,-0.8793207,0.8576015,0.4842503,-0.8622116,0.8422798,0.4736635,-0.8686858,0.8896716,0.4820364,-0.8814785,0.8663589,0.4660155,-0.8606098,0.8461127,0.4562922,-0.8642336,0.904247,0.465005,-0.8938174,0.883225,0.4483362,-0.8741823,0.8626275,0.4397598,-0.8765501,0.9153658,0.4498028,-0.9098378,0.9018662,0.4361656,-0.892799,0.8849237,0.4306585,-0.8915644,0.8971418,0.4951125,-0.941459,0.0400076,
