time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528977104484,1.10866,0.4833799,-0.590274,1.100372,0.4698169,-0.560472,1.102557,0.4581258,-0.5403315,1.130836,0.5124942,-0.5283083,1.139186,0.5134775,-0.5016693,1.143989,0.5111206,-0.4853417,1.149384,0.5104306,-0.5295403,1.159176,0.5078472,-0.4994097,1.163991,0.5024304,-0.4811134,1.165434,0.5069169,-0.5389446,1.175063,0.5034913,-0.51078,1.179481,0.4971461,-0.4930912,1.179236,0.4971681,-0.5518742,1.189023,0.4903216,-0.5324128,1.194291,0.4839912,-0.5194408,1.138153,0.4995999,-0.5817975,0.08688463,
1528977104517,1.103509,0.4891811,-0.6025091,1.094424,0.4781482,-0.571774,1.09466,0.4686354,-0.5501672,1.125015,0.5234549,-0.5431539,1.133479,0.525224,-0.5166032,1.138398,0.5232725,-0.5002525,1.143403,0.5213796,-0.5442668,1.15298,0.5188639,-0.5140982,1.15758,0.5131642,-0.4958436,1.15909,0.5181292,-0.5532321,1.167747,0.5153382,-0.5247186,1.171541,0.5092078,-0.5068083,1.172972,0.5083679,-0.5652552,1.1814,0.5022792,-0.5449798,1.185209,0.4957657,-0.5316156,1.132728,0.507198,-0.595438,0.08596332,
1528977104545,1.091818,0.4935565,-0.6154997,1.081588,0.4824952,-0.5850604,1.07972,0.4730834,-0.5633441,1.113391,0.5257801,-0.5553048,1.121837,0.52633,-0.5287009,1.126685,0.5235798,-0.5124456,1.131446,0.5237958,-0.5562471,1.140529,0.5206574,-0.5259417,1.144895,0.5148766,-0.5076526,1.146852,0.5206032,-0.565055,1.154507,0.5172017,-0.5362873,1.157731,0.5108961,-0.5183247,1.160484,0.5102631,-0.5772157,1.167255,0.5022875,-0.5570343,1.169583,0.4942866,-0.5441495,1.12125,0.5110591,-0.6078971,0.08571016,
1528977104570,1.089312,0.4980449,-0.6310697,1.078598,0.4874301,-0.600559,1.07478,0.4786745,-0.5786596,1.111751,0.5295658,-0.5709388,1.120377,0.529897,-0.5444003,1.125317,0.5268755,-0.5282263,1.129429,0.5280288,-0.5720248,1.138246,0.5255512,-0.5415579,1.142496,0.5201846,-0.523127,1.144548,0.5245773,-0.5810407,1.151583,0.5211899,-0.552117,1.154389,0.5147642,-0.5341395,1.157532,0.5130786,-0.5936389,1.162161,0.5027158,-0.5741808,1.162094,0.4924836,-0.5627342,1.118926,0.5151954,-0.6237708,0.08614396,
1528977104611,1.080346,0.506969,-0.6510638,1.068989,0.497705,-0.620303,1.063366,0.4902266,-0.5982414,1.103199,0.5384676,-0.5913039,1.111542,0.5394716,-0.5646905,1.11625,0.536889,-0.5483714,1.120636,0.5368972,-0.5922576,1.128821,0.5359403,-0.5615175,1.132665,0.5315909,-0.542735,1.135586,0.532681,-0.6011717,1.14191,0.5306376,-0.5719079,1.144322,0.5253316,-0.5535176,1.147661,0.5194296,-0.6137387,1.14933,0.5074534,-0.5953283,1.145416,0.4953536,-0.5869777,1.110312,0.523015,-0.6440114,0.08637773,
1528977104638,1.074455,0.5140725,-0.6681179,1.063899,0.5054655,-0.6368822,1.058487,0.4985173,-0.6145694,1.097708,0.5449167,-0.6086158,1.106052,0.5464433,-0.5820266,1.11071,0.544198,-0.5656422,1.115151,0.5432044,-0.609647,1.123425,0.5433371,-0.5789025,1.127298,0.539741,-0.5599684,1.130074,0.5382779,-0.6186297,1.136635,0.5367953,-0.5893722,1.139119,0.5318723,-0.570894,1.14116,0.5238391,-0.6313736,1.141132,0.5108259,-0.6141542,1.134886,0.4982103,-0.6087021,1.10429,0.5289944,-0.6613863,0.08489887,
1528977104672,1.06357,0.5221148,-0.6874914,1.053597,0.514468,-0.6557998,1.048268,0.5083137,-0.6332347,1.088573,0.5537436,-0.6290919,1.097138,0.5563599,-0.6026673,1.10193,0.5546936,-0.5862552,1.106201,0.5516909,-0.6306963,1.115129,0.5525507,-0.6001772,1.119289,0.5491226,-0.5812837,1.120687,0.5461974,-0.6400349,1.127629,0.5448617,-0.6108978,1.130183,0.5397452,-0.5924928,1.130679,0.530786,-0.6532347,1.129265,0.5170094,-0.6373883,1.121353,0.5046079,-0.6347597,1.093752,0.5365953,-0.6819173,0.0850757,
1528977104691,1.060189,0.5238957,-0.6919765,1.050151,0.5164036,-0.6602641,1.044506,0.5104839,-0.6377058,1.085615,0.5558507,-0.6338185,1.094173,0.5587012,-0.6074203,1.098986,0.5571182,-0.5910088,1.103272,0.5538735,-0.6356152,1.112262,0.5547968,-0.6051344,1.11643,0.5512207,-0.586278,1.117634,0.5484837,-0.6450928,1.124554,0.5472566,-0.6159557,1.127115,0.5421447,-0.5975494,1.127666,0.5329741,-0.6584769,1.126254,0.5190736,-0.6428528,1.118239,0.5066925,-0.6406315,1.09054,0.5385702,-0.6867213,0.085577,
1528977104717,1.05117,0.5293581,-0.7119153,1.04084,0.5223061,-0.6801834,1.034432,0.5169414,-0.6576776,1.077999,0.5610384,-0.6541779,1.086722,0.5632833,-0.6277874,1.091611,0.561174,-0.6114624,1.095785,0.5587111,-0.6564391,1.105211,0.5581717,-0.6261202,1.109478,0.5533519,-0.607577,1.10984,0.5535181,-0.6662787,1.117054,0.5511736,-0.6372964,1.119751,0.5453048,-0.6191323,1.119589,0.5382618,-0.6801853,1.118227,0.5238901,-0.6649421,1.11009,0.5115538,-0.6628847,1.082016,0.5440546,-0.7073087,0.08580133,
1528977104744,1.045573,0.5307541,-0.7198046,1.034607,0.5239469,-0.6882308,1.026951,0.5191234,-0.6659889,1.072037,0.561689,-0.6616372,1.07991,0.5632288,-0.6349325,1.084209,0.560654,-0.6185111,1.090125,0.5588031,-0.6638768,1.099047,0.5568956,-0.6334911,1.102823,0.5511096,-0.6151233,1.104337,0.5535107,-0.6736921,1.111344,0.5501246,-0.6447594,1.113837,0.5437066,-0.6267475,1.11382,0.5383254,-0.6877451,1.111876,0.5235685,-0.6729597,1.103289,0.5114833,-0.6713592,1.076682,0.5450214,-0.7149308,0.08519044,
