time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528977348351,0.7740312,0.4139521,-0.8786069,0.7656504,0.3860889,-0.8565504,0.7690966,0.3650138,-0.8441807,0.7573116,0.3948101,-0.8132252,0.7510085,0.3706,-0.8067358,0.7495207,0.3607087,-0.8186444,0.7724116,0.3871905,-0.8130655,0.7617615,0.3626641,-0.8159631,0.7602711,0.3578324,-0.8342777,0.7954485,0.3859406,-0.8119692,0.7856967,0.3608152,-0.8067839,0.7790377,0.3494172,-0.8202746,0.8157229,0.3822031,-0.8210167,0.8091801,0.3628833,-0.8176031,0.8009639,0.3563436,-0.8283767,0.7918224,0.4152263,-0.8550087,0.03246311,
1528977348391,0.7761208,0.4114932,-0.8810437,0.7666773,0.3817239,-0.861975,0.768411,0.3599273,-0.8500519,0.7602907,0.390562,-0.8122858,0.7563147,0.3707405,-0.7914279,0.7539907,0.3547986,-0.7834544,0.7788233,0.3861447,-0.8063934,0.7729254,0.3607419,-0.7874957,0.7687918,0.3433702,-0.7910433,0.8022236,0.3859782,-0.8085601,0.8007479,0.3622354,-0.7892003,0.7973404,0.3427557,-0.7860848,0.8243884,0.3840181,-0.8184843,0.8280263,0.364536,-0.8069792,0.8250952,0.349249,-0.8081418,0.7938166,0.4129642,-0.8556284,0.0683336,
1528977348418,0.7774243,0.4111751,-0.8805751,0.7671822,0.3814604,-0.8618741,0.7683917,0.359673,-0.8498358,0.763093,0.3925328,-0.8097686,0.7596446,0.3765558,-0.7855381,0.7575818,0.3635417,-0.7732263,0.7831783,0.3898672,-0.8028229,0.780614,0.3707125,-0.7757998,0.7777283,0.3532082,-0.7678709,0.8066603,0.3893563,-0.8058231,0.8088651,0.3698362,-0.7815757,0.8084405,0.3524011,-0.7716513,0.8288713,0.3872973,-0.8163544,0.8363357,0.3704357,-0.8018796,0.8373361,0.3551383,-0.7981318,0.795973,0.4133245,-0.8546124,0.077465,
1528977348457,0.7782256,0.4129505,-0.8799986,0.7662557,0.3844067,-0.8605635,0.7662623,0.36295,-0.8478662,0.7661984,0.3984978,-0.8071367,0.7631335,0.3857688,-0.7810265,0.7611393,0.3743383,-0.7673173,0.7874203,0.3962592,-0.8003148,0.7870868,0.3820361,-0.770229,0.7858921,0.3689307,-0.7544308,0.8109839,0.3943524,-0.8042642,0.815787,0.3783104,-0.7777778,0.8173331,0.3634897,-0.7642102,0.832759,0.3911236,-0.8155777,0.8425767,0.3765328,-0.7997984,0.8461851,0.3626447,-0.7929057,0.7984036,0.4153318,-0.8541164,0.08151118,
1528977348509,0.787717,0.4102935,-0.8858986,0.7741022,0.3841879,-0.8642359,0.7734853,0.3642547,-0.849448,0.7748306,0.403841,-0.8118222,0.7718093,0.3925261,-0.7852155,0.7699215,0.3809647,-0.7716407,0.795602,0.4014363,-0.8045524,0.7946662,0.3876193,-0.7744617,0.7930787,0.3742003,-0.7589194,0.8191582,0.399339,-0.8077033,0.823233,0.3839622,-0.7808443,0.8242719,0.3692663,-0.7670074,0.8412668,0.3952044,-0.8181308,0.8507746,0.3811474,-0.8017278,0.8542877,0.3676249,-0.7939463,0.8078207,0.4156718,-0.8594735,0.07966118,
1528977348536,0.7913365,0.4110284,-0.8830453,0.7776121,0.386652,-0.8594964,0.7768233,0.3677405,-0.8434297,0.7790412,0.4096325,-0.8087677,0.7760257,0.3981415,-0.7824094,0.77397,0.3857359,-0.7696795,0.7996935,0.4064096,-0.801813,0.7983991,0.3917491,-0.7723115,0.7962111,0.377206,-0.7579526,0.822573,0.403679,-0.8049688,0.825237,0.3878752,-0.7783269,0.8249761,0.3726788,-0.7649993,0.8446652,0.3984863,-0.8152404,0.8531464,0.3840826,-0.7986663,0.8555209,0.3703423,-0.7908329,0.8116991,0.4178891,-0.8572867,0.07596747,
1528977348564,0.7976002,0.412999,-0.8801861,0.784669,0.3889888,-0.8558203,0.7844092,0.3704576,-0.8392925,0.7854204,0.4127609,-0.8062688,0.7823974,0.3998875,-0.7805392,0.780345,0.3870366,-0.7681904,0.805681,0.4094763,-0.7995399,0.8037694,0.3935179,-0.7706292,0.8013383,0.3788865,-0.7563468,0.8284948,0.4068434,-0.8027258,0.8303941,0.3899043,-0.7766463,0.8296843,0.3744061,-0.7636756,0.8505048,0.4017375,-0.8127986,0.8582241,0.3866436,-0.7963693,0.8601708,0.3728452,-0.7884948,0.8178083,0.4209505,-0.854836,0.07312248,
1528977348590,0.8015147,0.4158086,-0.8790847,0.7895396,0.3921276,-0.8539488,0.7900608,0.3739142,-0.837084,0.7900857,0.4161676,-0.8055583,0.7871229,0.4018316,-0.780581,0.785111,0.3885006,-0.7687011,0.8102015,0.4129528,-0.7992021,0.8080785,0.3957564,-0.7709059,0.8056458,0.3810506,-0.7566644,0.8327977,0.4103641,-0.80266,0.8340842,0.3921067,-0.7773982,0.8329788,0.3761238,-0.7650567,0.8546382,0.4054857,-0.8126825,0.8615957,0.3896006,-0.7966269,0.8630164,0.3756004,-0.7889835,0.821915,0.4245964,-0.8542919,0.07009628,
1528977348616,0.8052568,0.421165,-0.8785678,0.7934473,0.396982,-0.8538293,0.7939912,0.378267,-0.8375181,0.795602,0.4194724,-0.8050261,0.7927567,0.403826,-0.7807524,0.7906516,0.3902633,-0.7691174,0.8157959,0.4157082,-0.7992532,0.8139378,0.3975031,-0.7714418,0.8116757,0.3829114,-0.7570314,0.8382143,0.4127554,-0.8033251,0.8396912,0.3936168,-0.7785854,0.8386853,0.3776146,-0.7662646,0.8596702,0.4078333,-0.8138809,0.8667971,0.3914781,-0.79821,0.868649,0.377648,-0.7903109,0.8264659,0.4289397,-0.8540572,0.06952499,
1528977348644,0.8136738,0.4301071,-0.8821068,0.8026353,0.403617,-0.8594784,0.8040215,0.3836371,-0.8448282,0.8037626,0.4229692,-0.8086417,0.8013613,0.4068585,-0.7843875,0.7996705,0.3940991,-0.771766,0.8243011,0.4197152,-0.8027642,0.8236314,0.4017094,-0.7745709,0.8225178,0.38829,-0.7589142,0.846792,0.4173355,-0.8070861,0.849547,0.3980078,-0.7823884,0.8497427,0.3823908,-0.7695754,0.8683579,0.4135134,-0.818056,0.8766227,0.3970602,-0.8029133,0.8796605,0.3833553,-0.7951757,0.8345106,0.4367729,-0.8568094,0.07393563,
