time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529057539235,1.140519,0.5912246,-0.979248,1.126801,0.6207622,-0.9593233,1.115852,0.6355592,-0.9405002,1.15659,0.6283375,-0.9181275,1.135648,0.6385981,-0.9036945,1.118276,0.6341379,-0.9059413,1.155352,0.6118258,-0.9076631,1.128227,0.6210641,-0.8983444,1.110821,0.6152675,-0.9081151,1.155348,0.5898387,-0.9033026,1.128945,0.5968329,-0.8984605,1.114574,0.5916363,-0.9120148,1.155277,0.5702725,-0.9015014,1.136137,0.5781815,-0.8983357,1.126338,0.5760316,-0.9110037,1.160882,0.5773441,-0.949315,0.03467293,
1529057539262,1.12084,0.58025,-0.993975,1.100323,0.6085476,-0.9787163,1.08497,0.6228604,-0.9628208,1.123491,0.6224861,-0.934724,1.099036,0.6291307,-0.9242315,1.083122,0.6212721,-0.9281749,1.123294,0.6059524,-0.9239687,1.093635,0.6092606,-0.9203029,1.079734,0.599297,-0.9322119,1.126271,0.5845026,-0.9186448,1.099021,0.5852112,-0.9203229,1.08998,0.575942,-0.9361367,1.129287,0.5660135,-0.9153857,1.109407,0.5692796,-0.9179093,1.104814,0.5633628,-0.9321264,1.139791,0.5716077,-0.9606954,0.0347315,
1529057539288,1.100112,0.5634276,-1.010327,1.074169,0.5890189,-0.9989719,1.054598,0.6013947,-0.9862643,1.086598,0.6016667,-0.9519328,1.059003,0.6033498,-0.9483417,1.045426,0.5935146,-0.9559302,1.086786,0.5850928,-0.9417775,1.056054,0.5842348,-0.9453521,1.045012,0.5736271,-0.9598517,1.091151,0.5640213,-0.9365501,1.064225,0.5613984,-0.9449626,1.0586,0.5522139,-0.9625005,1.09538,0.546162,-0.9329783,1.075832,0.5471852,-0.940576,1.074473,0.5417143,-0.9556754,1.114022,0.5553079,-0.9739032,0.03265543,
1529057539315,1.085264,0.5496398,-1.021469,1.054887,0.5716255,-1.014032,1.03243,0.5820982,-1.004719,1.05879,0.5843115,-0.9666342,1.030386,0.5814506,-0.9669874,1.018239,0.5703113,-0.975433,1.060428,0.5684022,-0.9553032,1.029354,0.5635431,-0.9616086,1.018694,0.5525666,-0.9762994,1.067178,0.5483758,-0.9497597,1.041429,0.5418591,-0.9614144,1.03778,0.5320286,-0.9792175,1.073513,0.531038,-0.9457092,1.054312,0.5291598,-0.9561133,1.053392,0.5241557,-0.9716369,1.09525,0.5433031,-0.9836098,0.03461158,
1529057539352,1.063747,0.5407549,-1.031208,1.028095,0.5541722,-1.027352,1.002516,0.5584172,-1.021784,1.02063,0.561716,-0.9804472,0.9919806,0.5551179,-0.9856646,0.9789719,0.5452311,-0.9951675,1.023458,0.5447528,-0.9690742,0.9906269,0.5367762,-0.9766548,0.9743251,0.5285686,-0.9885225,1.032994,0.5257633,-0.9637467,1.003009,0.5170912,-0.9742161,0.9881593,0.5098577,-0.9879317,1.04246,0.5086914,-0.9612857,1.02222,0.5042348,-0.9731103,1.015533,0.5020678,-0.9885809,1.067874,0.5314814,-0.9935687,0.03790313,
1529057539370,1.047704,0.5406773,-1.033088,1.010674,0.5505983,-1.031725,0.9843453,0.5531104,-1.029248,0.997187,0.5515469,-0.9856893,0.9683966,0.5453196,-0.9934869,0.954054,0.5379692,-1.003551,0.9994396,0.5337677,-0.974463,0.9653687,0.5269651,-0.9806397,0.9465224,0.5212085,-0.9897661,1.009256,0.5144655,-0.9699102,0.9770864,0.5067809,-0.9759645,0.9575526,0.5014228,-0.9833362,1.019946,0.4964036,-0.9695618,0.9966753,0.490333,-0.977523,0.9832498,0.4874679,-0.9877194,1.048213,0.5268166,-0.9973712,0.04251108,
1529057539394,1.026679,0.5368165,-1.025462,0.9888119,0.5426865,-1.028056,0.9622419,0.5433968,-1.029232,0.9689335,0.5366127,-0.9838681,0.9405854,0.5299712,-0.9936158,0.9264226,0.5235584,-1.004451,0.9714357,0.5186514,-0.9730195,0.9375779,0.5115993,-0.9798954,0.9190987,0.5061517,-0.9897304,0.9826408,0.4992571,-0.9682198,0.9508868,0.4903456,-0.9735541,0.9324468,0.4844509,-0.9821689,0.995658,0.481168,-0.9693999,0.9724329,0.4724095,-0.9747591,0.9582522,0.4677588,-0.982473,1.024185,0.5182012,-0.9925246,0.04786092,
1529057539422,1.00585,0.517032,-1.019014,0.9685441,0.5227084,-1.026349,0.9424125,0.5243824,-1.031317,0.9422399,0.5084307,-0.98432,0.9147582,0.5017061,-0.9959341,0.9024076,0.4956697,-1.008781,0.9444914,0.490383,-0.9742247,0.9115893,0.4837427,-0.9836612,0.895991,0.4788517,-0.9974395,0.956433,0.4705263,-0.9692843,0.9257044,0.4611185,-0.97664,0.9100718,0.4556823,-0.9894615,0.9709876,0.4524063,-0.9704825,0.9485651,0.4422553,-0.9758474,0.935856,0.4377853,-0.9855535,1.000284,0.494171,-0.9885455,0.05415425,
1529057539446,0.9933363,0.5027691,-1.011801,0.9568518,0.5094081,-1.02198,0.9313488,0.5124205,-1.029103,0.9263226,0.492197,-0.9807391,0.8991514,0.4873684,-0.9928105,0.8885588,0.4824152,-1.007392,0.9281744,0.4736238,-0.9717364,0.8955992,0.4692422,-0.9818228,0.8821727,0.4660086,-0.9976953,0.9399507,0.4528978,-0.9669018,0.9093711,0.4449178,-0.9742429,0.8953724,0.441039,-0.9889212,0.9548455,0.4342902,-0.9684099,0.9323301,0.4245211,-0.972774,0.9202905,0.4210949,-0.98337,0.9854226,0.4772994,-0.9840161,0.05659221,
1529057539474,0.9786097,0.4893801,-1.009016,0.9425261,0.4962727,-1.020411,0.9173181,0.4996822,-1.028324,0.9104953,0.4816813,-0.9776881,0.883427,0.4774461,-0.9891959,0.8738461,0.472187,-1.004242,0.9119792,0.4634827,-0.968268,0.8800653,0.4601506,-0.9786657,0.8683805,0.45687,-0.9957889,0.9233048,0.4425439,-0.9624576,0.8931925,0.4356759,-0.9698713,0.8804686,0.4320511,-0.9858099,0.937853,0.4235535,-0.9627345,0.915126,0.4148444,-0.9659338,0.9035925,0.4119856,-0.9771625,0.9696406,0.4650611,-0.9806696,0.05679551,
1529057539501,0.9579088,0.479728,-1.010368,0.9213251,0.484482,-1.021381,0.8958104,0.4859549,-1.028949,0.8905411,0.4724525,-0.9770054,0.8638945,0.4673932,-0.9879338,0.8557352,0.4612042,-1.003341,0.8926736,0.4545305,-0.9666955,0.8605655,0.4503698,-0.9756065,0.8482911,0.4462465,-0.992262,0.9045937,0.4343285,-0.960122,0.874041,0.42713,-0.9652196,0.8596822,0.422626,-0.9797786,0.9195774,0.4156582,-0.9597973,0.8968536,0.4070143,-0.9610349,0.8846737,0.4035864,-0.9716183,0.9499936,0.4569814,-0.9811973,0.05361357,
1529057539538,0.9329636,0.484219,-1.019566,0.8951789,0.4822295,-1.02664,0.8691053,0.4790495,-1.031209,0.8708017,0.4742033,-0.977992,0.8452435,0.4638858,-0.9857889,0.8385441,0.4544426,-1.000171,0.8762769,0.4578128,-0.9665937,0.8452554,0.4474886,-0.9729407,0.8333862,0.4392954,-0.988481,0.8911887,0.4402718,-0.959428,0.8624138,0.4278395,-0.9628553,0.8493083,0.4196535,-0.9769304,0.908131,0.4243622,-0.9581608,0.8869373,0.4130888,-0.9583192,0.8754904,0.4073875,-0.9688815,0.930902,0.465669,-0.9870315,0.05002875,
1529057539568,0.9135052,0.4839077,-1.024064,0.8761833,0.4755001,-1.028153,0.8507398,0.4678681,-1.030652,0.8563576,0.4665637,-0.9789075,0.8314561,0.4524938,-0.9849726,0.8234661,0.4418555,-0.9980327,0.8647772,0.4506401,-0.968816,0.8357494,0.4352661,-0.9750284,0.8244517,0.4252852,-0.9902153,0.8821799,0.435374,-0.9629229,0.8554492,0.4183806,-0.9663454,0.8425702,0.4081611,-0.9795644,0.900897,0.4220259,-0.9628133,0.8815621,0.407588,-0.9637516,0.870469,0.4002961,-0.9739932,0.9162863,0.4661679,-0.9913355,0.04984486,
1529057539593,0.904027,0.4804984,-1.027331,0.8673389,0.4700658,-1.032104,0.8426426,0.4605405,-1.034904,0.8478838,0.459603,-0.9819434,0.8239644,0.4436048,-0.9876324,0.8166524,0.4321212,-1.000278,0.8573281,0.4445148,-0.9716909,0.8295718,0.4268592,-0.9779348,0.8192966,0.4158158,-0.9929916,0.8757964,0.4304754,-0.965675,0.8508973,0.4112759,-0.9699949,0.8399404,0.4002777,-0.9840629,0.8953691,0.4185257,-0.9654025,0.8775452,0.40259,-0.9676707,0.8679307,0.3949397,-0.9789953,0.9078599,0.4632231,-0.9938188,0.05178912,
1529057539621,0.8979784,0.4747164,-1.031422,0.8614875,0.4638088,-1.036601,0.8369709,0.4539276,-1.039707,0.8421078,0.4518481,-0.987032,0.8185742,0.4353527,-0.9934689,0.8114629,0.4239298,-1.006292,0.8517748,0.4367532,-0.976976,0.8243021,0.4184604,-0.9838212,0.8139322,0.407332,-0.998773,0.8704293,0.4229635,-0.9714811,0.8460451,0.4032219,-0.9771453,0.8354647,0.3922811,-0.9915638,0.8900709,0.4115374,-0.9711545,0.8725548,0.3954102,-0.9746377,0.8634574,0.3881171,-0.9865457,0.9019978,0.4568595,-0.9981353,0.05164414,
1529057539646,0.8979784,0.4747164,-1.031422,0.8614875,0.4638088,-1.036601,0.8369709,0.4539276,-1.039707,0.8421078,0.4518481,-0.987032,0.8185742,0.4353527,-0.9934689,0.8114629,0.4239298,-1.006292,0.8517748,0.4367532,-0.976976,0.8243021,0.4184604,-0.9838212,0.8139322,0.407332,-0.998773,0.8704293,0.4229635,-0.9714811,0.8460451,0.4032219,-0.9771453,0.8354647,0.3922811,-0.9915638,0.8900709,0.4115374,-0.9711545,0.8725548,0.3954102,-0.9746377,0.8634574,0.3881171,-0.9865457,0.9019978,0.4568595,-0.9981353,0.05164414,
1529057539659,0.8979784,0.4747164,-1.031422,0.8614875,0.4638088,-1.036601,0.8369709,0.4539276,-1.039707,0.8421078,0.4518481,-0.987032,0.8185742,0.4353527,-0.9934689,0.8114629,0.4239298,-1.006292,0.8517748,0.4367532,-0.976976,0.8243021,0.4184604,-0.9838212,0.8139322,0.407332,-0.998773,0.8704293,0.4229635,-0.9714811,0.8460451,0.4032219,-0.9771453,0.8354647,0.3922811,-0.9915638,0.8900709,0.4115374,-0.9711545,0.8725548,0.3954102,-0.9746377,0.8634574,0.3881171,-0.9865457,0.9019978,0.4568595,-0.9981353,0.05164414,
1529057539686,0.8979784,0.4747164,-1.031422,0.8614875,0.4638088,-1.036601,0.8369709,0.4539276,-1.039707,0.8421078,0.4518481,-0.987032,0.8185742,0.4353527,-0.9934689,0.8114629,0.4239298,-1.006292,0.8517748,0.4367532,-0.976976,0.8243021,0.4184604,-0.9838212,0.8139322,0.407332,-0.998773,0.8704293,0.4229635,-0.9714811,0.8460451,0.4032219,-0.9771453,0.8354647,0.3922811,-0.9915638,0.8900709,0.4115374,-0.9711545,0.8725548,0.3954102,-0.9746377,0.8634574,0.3881171,-0.9865457,0.9019978,0.4568595,-0.9981353,0.05164414,
1529057539698,0.8979784,0.4747164,-1.031422,0.8614875,0.4638088,-1.036601,0.8369709,0.4539276,-1.039707,0.8421078,0.4518481,-0.987032,0.8185742,0.4353527,-0.9934689,0.8114629,0.4239298,-1.006292,0.8517748,0.4367532,-0.976976,0.8243021,0.4184604,-0.9838212,0.8139322,0.407332,-0.998773,0.8704293,0.4229635,-0.9714811,0.8460451,0.4032219,-0.9771453,0.8354647,0.3922811,-0.9915638,0.8900709,0.4115374,-0.9711545,0.8725548,0.3954102,-0.9746377,0.8634574,0.3881171,-0.9865457,0.9019978,0.4568595,-0.9981353,0.05164414,
1529057539735,0.8979784,0.4747164,-1.031422,0.8614875,0.4638088,-1.036601,0.8369709,0.4539276,-1.039707,0.8421078,0.4518481,-0.987032,0.8185742,0.4353527,-0.9934689,0.8114629,0.4239298,-1.006292,0.8517748,0.4367532,-0.976976,0.8243021,0.4184604,-0.9838212,0.8139322,0.407332,-0.998773,0.8704293,0.4229635,-0.9714811,0.8460451,0.4032219,-0.9771453,0.8354647,0.3922811,-0.9915638,0.8900709,0.4115374,-0.9711545,0.8725548,0.3954102,-0.9746377,0.8634574,0.3881171,-0.9865457,0.9019978,0.4568595,-0.9981353,0.05164414,
1529057539752,0.8979784,0.4747164,-1.031422,0.8614875,0.4638088,-1.036601,0.8369709,0.4539276,-1.039707,0.8421078,0.4518481,-0.987032,0.8185742,0.4353527,-0.9934689,0.8114629,0.4239298,-1.006292,0.8517748,0.4367532,-0.976976,0.8243021,0.4184604,-0.9838212,0.8139322,0.407332,-0.998773,0.8704293,0.4229635,-0.9714811,0.8460451,0.4032219,-0.9771453,0.8354647,0.3922811,-0.9915638,0.8900709,0.4115374,-0.9711545,0.8725548,0.3954102,-0.9746377,0.8634574,0.3881171,-0.9865457,0.9019978,0.4568595,-0.9981353,0.05164414,
1529057539779,0.8979784,0.4747164,-1.031422,0.8614875,0.4638088,-1.036601,0.8369709,0.4539276,-1.039707,0.8421078,0.4518481,-0.987032,0.8185742,0.4353527,-0.9934689,0.8114629,0.4239298,-1.006292,0.8517748,0.4367532,-0.976976,0.8243021,0.4184604,-0.9838212,0.8139322,0.407332,-0.998773,0.8704293,0.4229635,-0.9714811,0.8460451,0.4032219,-0.9771453,0.8354647,0.3922811,-0.9915638,0.8900709,0.4115374,-0.9711545,0.8725548,0.3954102,-0.9746377,0.8634574,0.3881171,-0.9865457,0.9019978,0.4568595,-0.9981353,0.05164414,
