time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529577786238,1.094578,0.6117792,-0.9129212,1.086274,0.6320274,-0.8818353,1.089076,0.6414102,-0.8574328,1.115332,0.6464818,-0.8593725,1.11133,0.628853,-0.8395215,1.108147,0.6111111,-0.8421603,1.132652,0.6411909,-0.860076,1.12339,0.6208861,-0.8402491,1.116607,0.6021081,-0.8461483,1.151161,0.6327358,-0.8670591,1.140931,0.6141737,-0.8484811,1.131683,0.5966396,-0.8538944,1.166959,0.623827,-0.8743161,1.15797,0.6132422,-0.8575026,1.147733,0.6007294,-0.8597665,1.130809,0.6214187,-0.9063545,0.03892256,
1529577786265,1.091979,0.6168013,-0.9146389,1.08393,0.6369011,-0.8833886,1.087017,0.6460454,-0.8589606,1.113449,0.6517894,-0.8610081,1.109586,0.6346794,-0.8404701,1.106187,0.616901,-0.8423226,1.130774,0.6462669,-0.8618373,1.121643,0.6263193,-0.8414568,1.11456,0.6075121,-0.8468238,1.149139,0.6375388,-0.8690362,1.13902,0.6191621,-0.8501408,1.129552,0.6016905,-0.8552699,1.164771,0.6283975,-0.8764863,1.155869,0.6178423,-0.859648,1.145513,0.605471,-0.8619761,1.128354,0.6262894,-0.908329,0.03864892,
1529577786292,1.089444,0.6248293,-0.9181828,1.082268,0.6446718,-0.8865613,1.086054,0.6532551,-0.8620735,1.113159,0.6594625,-0.8642097,1.1095,0.6432413,-0.8425156,1.105409,0.6255074,-0.8428456,1.130325,0.6532638,-0.8653747,1.121269,0.6339697,-0.8440701,1.113335,0.6152901,-0.8485027,1.148317,0.6438076,-0.8730834,1.138275,0.6258144,-0.8535597,1.128,0.6086669,-0.8580365,1.16344,0.6341043,-0.8810071,1.154696,0.6236894,-0.864022,1.143847,0.6117682,-0.8662653,1.126214,0.6333314,-0.9123369,0.03891372,
1529577786328,1.089845,0.6318281,-0.9199506,1.083681,0.6519678,-0.8882861,1.08813,0.6604015,-0.8639004,1.116485,0.6672006,-0.8670808,1.112852,0.6521027,-0.8446114,1.107966,0.6345865,-0.844093,1.133369,0.6602051,-0.8684205,1.1242,0.6421295,-0.8461225,1.115301,0.6236482,-0.8495408,1.1508,0.6496899,-0.8763523,1.140645,0.6327242,-0.8560432,1.129495,0.6160001,-0.859833,1.165233,0.639114,-0.8844597,1.156522,0.6294621,-0.8671893,1.145189,0.6180651,-0.8693585,1.127269,0.6392149,-0.9151,0.03810778,
1529577786359,1.090842,0.6381276,-0.9219946,1.085351,0.6589453,-0.8905957,1.090022,0.6676373,-0.8663639,1.120374,0.6744642,-0.8707411,1.116533,0.6605217,-0.847672,1.110789,0.6432946,-0.8464601,1.136929,0.6666498,-0.8720374,1.127448,0.6500087,-0.8487805,1.117532,0.6318075,-0.8510655,1.153699,0.6549723,-0.879891,1.143212,0.6392874,-0.858812,1.131173,0.6230177,-0.8618239,1.167408,0.643452,-0.8878857,1.158567,0.6348234,-0.8703208,1.146763,0.6239486,-0.872344,1.129007,0.6442915,-0.918063,0.03768267,
1529577786384,1.090304,0.6417327,-0.9226825,1.084884,0.6632124,-0.8916713,1.089356,0.6724741,-0.8675935,1.120645,0.6797312,-0.8727695,1.116715,0.6669326,-0.8490105,1.110711,0.6498768,-0.8468508,1.137163,0.6717246,-0.8737589,1.127656,0.6564569,-0.8493516,1.117393,0.6382863,-0.8501224,1.153776,0.6594661,-0.8812367,1.143331,0.6449975,-0.8590581,1.130975,0.6287237,-0.8606544,1.167236,0.6473877,-0.8889174,1.158492,0.6397073,-0.8707976,1.146523,0.6288915,-0.8720301,1.128686,0.6476796,-0.9191726,0.03737592,
1529577786411,1.09063,0.6462731,-0.9251125,1.085489,0.6684735,-0.8945321,1.090027,0.6783284,-0.8706937,1.121246,0.6861207,-0.8769103,1.117279,0.6742753,-0.8526262,1.111174,0.6573497,-0.8496485,1.137736,0.6780067,-0.8776275,1.128201,0.6637843,-0.8525866,1.117815,0.6456618,-0.8525613,1.154221,0.6653453,-0.8846925,1.143729,0.6518019,-0.8619766,1.131284,0.6355425,-0.8629502,1.167559,0.6529218,-0.8919636,1.158795,0.6460078,-0.8735623,1.146809,0.6351774,-0.8743953,1.128973,0.6523008,-0.9221188,0.03647173,
1529577786437,1.089814,0.649062,-0.9265456,1.084927,0.6717889,-0.8962893,1.089566,0.6820979,-0.872656,1.120516,0.6904655,-0.8799645,1.116504,0.6793005,-0.8553433,1.110388,0.6624674,-0.8518145,1.136979,0.6822516,-0.8804926,1.127387,0.6686996,-0.8551302,1.116971,0.6505954,-0.854684,1.153366,0.6693263,-0.8872178,1.142766,0.6563706,-0.8642852,1.130313,0.6401045,-0.8650255,1.166634,0.6567085,-0.8941249,1.157765,0.650298,-0.8756507,1.145824,0.6394252,-0.8763912,1.1281,0.6553304,-0.9241351,0.03540132,
1529577786453,1.089166,0.6503567,-0.9272972,1.084303,0.6732811,-0.8971763,1.088946,0.6837794,-0.8736256,1.119942,0.6924888,-0.8814304,1.115961,0.6816623,-0.8566279,1.109865,0.6648756,-0.8527673,1.136438,0.6843126,-0.881874,1.126916,0.6711649,-0.8562237,1.1165,0.653065,-0.8553544,1.152827,0.6712997,-0.8884559,1.142302,0.6587018,-0.8652804,1.129849,0.6424161,-0.8656963,1.166089,0.6585956,-0.8952261,1.157301,0.6524896,-0.8765912,1.145363,0.6415938,-0.8770582,1.127462,0.6567599,-0.9251335,0.0350721,
1529577786478,1.085835,0.654369,-0.9296378,1.080834,0.6778197,-0.8999313,1.085254,0.688736,-0.8765187,1.115824,0.6977932,-0.884806,1.111274,0.6875888,-0.8598292,1.105114,0.6708921,-0.8556346,1.132457,0.6897616,-0.8847431,1.122536,0.6776149,-0.858616,1.112049,0.6595993,-0.8569473,1.149017,0.6765503,-0.8906692,1.138274,0.6649635,-0.8668969,1.125717,0.6487291,-0.8663709,1.162346,0.6636194,-0.8968909,1.153499,0.6584095,-0.8778277,1.14147,0.6475473,-0.8773386,1.123996,0.6608226,-0.9272903,0.03389634,
