time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529577830252,1.055936,0.5388625,-0.8747543,1.051854,0.5485678,-0.8380938,1.058501,0.5509958,-0.812937,1.075124,0.5650085,-0.8215596,1.074115,0.5416071,-0.8115212,1.072467,0.5278566,-0.8232423,1.092458,0.5610331,-0.8255806,1.085646,0.5345199,-0.8172636,1.079489,0.5213048,-0.8321576,1.110616,0.5564896,-0.8349004,1.101703,0.5323047,-0.8267376,1.092469,0.5201322,-0.8404538,1.125952,0.5514139,-0.8437351,1.116974,0.5353454,-0.8343709,1.107209,0.5267154,-0.8440952,1.089406,0.5534996,-0.8707693,0.02892553,
1529577830279,1.049388,0.5408251,-0.8749551,1.04483,0.5504402,-0.8383919,1.051251,0.5524185,-0.8131486,1.066289,0.5661836,-0.8212765,1.06431,0.5425301,-0.811623,1.062809,0.5287633,-0.8234097,1.083605,0.5619463,-0.8244876,1.075793,0.5353938,-0.8167678,1.070013,0.5222579,-0.8319267,1.102002,0.5570297,-0.8330159,1.092084,0.5328303,-0.8255376,1.0832,0.5208138,-0.8396415,1.117576,0.5515302,-0.8412346,1.107546,0.5355072,-0.8326876,1.097775,0.5274073,-0.8428926,1.082407,0.554874,-0.8696369,0.02825668,
1529577830313,1.038862,0.5427328,-0.8755056,1.033598,0.5492518,-0.8383198,1.039193,0.5487651,-0.8127998,1.052365,0.5657129,-0.8201617,1.048664,0.5417392,-0.8117497,1.047318,0.5284991,-0.8241632,1.069697,0.5609345,-0.8222476,1.060238,0.5345154,-0.8160595,1.05493,0.5222929,-0.8320777,1.088421,0.5554895,-0.8298286,1.07699,0.5314573,-0.8239067,1.068525,0.5204268,-0.838971,1.104172,0.5495337,-0.8374213,1.092854,0.5335706,-0.830262,1.083385,0.5262989,-0.8413355,1.071202,0.5559265,-0.8678992,0.02461418,
1529577830333,1.033787,0.5423918,-0.8770682,1.028175,0.5466643,-0.8395483,1.033287,0.5446266,-0.8139979,1.045676,0.5642836,-0.8208804,1.041204,0.5401819,-0.8131104,1.039859,0.5271963,-0.825804,1.062916,0.5591829,-0.8226008,1.052749,0.5328193,-0.8173565,1.047742,0.521095,-0.8338321,1.08178,0.5535148,-0.8298231,1.069692,0.5295889,-0.8248905,1.061452,0.519196,-0.8405071,1.097628,0.5473844,-0.837191,1.085744,0.5314714,-0.8308264,1.076355,0.5248117,-0.8423378,1.065747,0.5555974,-0.8685037,0.02205436,
1529577830359,1.027176,0.5408955,-0.876267,1.020539,0.5432976,-0.8387096,1.025046,0.5402557,-0.8131899,1.034221,0.5633364,-0.8197271,1.029719,0.5390394,-0.8124148,1.029446,0.5259923,-0.8251571,1.05157,0.5586846,-0.8203044,1.041628,0.5320187,-0.815672,1.038085,0.5199845,-0.8323154,1.071003,0.5534569,-0.8263344,1.05914,0.5291219,-0.8219688,1.052228,0.5181987,-0.8378557,1.087436,0.5476264,-0.8328307,1.075493,0.531313,-0.8270667,1.066902,0.5241398,-0.8388958,1.057418,0.5553129,-0.8659845,0.01913162,
1529577830398,1.01559,0.5421137,-0.8776665,1.009377,0.5406809,-0.8399804,1.014009,0.5346822,-0.8150239,1.021496,0.5608498,-0.8193287,1.01556,0.5365456,-0.813588,1.014584,0.5245228,-0.8272525,1.03862,0.5554574,-0.819557,1.027172,0.5291507,-0.8162456,1.023,0.5181392,-0.8334336,1.058074,0.5496303,-0.8254797,1.044911,0.5256259,-0.8221188,1.037241,0.515709,-0.8382973,1.074459,0.5433088,-0.8321635,1.061693,0.5271711,-0.8269739,1.05234,0.520978,-0.838757,1.045278,0.5550724,-0.8658842,0.01590856,
1529577830426,1.009921,0.5415533,-0.8781434,1.003376,0.5392616,-0.8405069,1.00757,0.5326828,-0.8156411,1.015591,0.5592899,-0.819002,1.00925,0.5351014,-0.8132546,1.008145,0.5231646,-0.826943,1.032743,0.5534732,-0.8194049,1.020948,0.5273854,-0.8165371,1.016629,0.5169356,-0.8340018,1.052128,0.5475284,-0.8253414,1.038705,0.5237168,-0.8223728,1.031042,0.5142574,-0.8388012,1.068559,0.5410789,-0.8320976,1.055655,0.5250449,-0.827104,1.046201,0.5192807,-0.8389912,1.039625,0.5538165,-0.8658611,0.01478714,
1529577830452,1.000153,0.5413233,-0.8780349,0.9922253,0.5396612,-0.8405995,0.9954848,0.5336653,-0.8154552,1.003964,0.5595605,-0.8186025,0.9978547,0.5353634,-0.8123686,0.9974683,0.5229716,-0.8256767,1.021336,0.5538263,-0.8187702,1.009999,0.527594,-0.8161327,1.006451,0.5170763,-0.8337271,1.04099,0.5482023,-0.8241526,1.027973,0.5242407,-0.8215166,1.021013,0.5146981,-0.8382157,1.057662,0.5421118,-0.8303481,1.044986,0.5259064,-0.8256294,1.036246,0.5198237,-0.8378856,1.02957,0.5538758,-0.8649684,0.0149254,
1529577830479,0.9931854,0.5436136,-0.8784801,0.9843072,0.5423695,-0.8412349,0.986811,0.536604,-0.8159415,0.9961444,0.56148,-0.8186847,0.9897877,0.5373457,-0.8122956,0.9896417,0.5247752,-0.8254272,1.01358,0.5554727,-0.8188257,1.002127,0.5292856,-0.8165987,0.9988651,0.5189542,-0.8343577,1.033272,0.5498016,-0.8239258,1.020144,0.52592,-0.8217894,1.013514,0.5166342,-0.8387652,1.050006,0.5437319,-0.8298055,1.03721,0.5275811,-0.8254646,1.028816,0.5216402,-0.8380139,1.022489,0.5557661,-0.8648347,0.01542442,
1529577830514,0.9837667,0.545824,-0.8796978,0.9729146,0.5471389,-0.8429745,0.973678,0.5428003,-0.8172524,0.9871622,0.5632795,-0.8196584,0.9800489,0.5394793,-0.813116,0.9798283,0.5268686,-0.8261877,1.004441,0.5567278,-0.8195363,0.9922243,0.5309125,-0.8172282,0.9889503,0.5205157,-0.8349451,1.024006,0.5504106,-0.8243415,1.010185,0.5269873,-0.8223104,1.003614,0.5178429,-0.8393964,1.040627,0.5438439,-0.8298464,1.02733,0.5281554,-0.825616,1.019114,0.5224015,-0.8383528,1.013977,0.5562401,-0.8653829,0.01927393,
1529577830545,0.9746696,0.54689,-0.8812449,0.9621311,0.5497922,-0.8450948,0.9613467,0.5466745,-0.819178,0.9776661,0.565102,-0.8212075,0.9703153,0.5415021,-0.8143396,0.9703879,0.5286651,-0.8271801,0.9949496,0.5582854,-0.8209291,0.9826049,0.5325918,-0.8187343,0.9797106,0.5221841,-0.836504,1.014491,0.5517794,-0.8253529,1.000546,0.5285649,-0.8236535,0.9944677,0.5195948,-0.8410029,1.03108,0.5451043,-0.8304075,1.017614,0.5296144,-0.826539,1.009981,0.5239232,-0.83964,1.005232,0.5569962,-0.8663623,0.02168214,
1529577830572,0.9682969,0.5475,-0.8818902,0.9552201,0.5510407,-0.8460383,0.9543716,0.5484488,-0.8200755,0.9710411,0.5653764,-0.8220121,0.964553,0.5414443,-0.8154908,0.9652115,0.528758,-0.8284849,0.9884925,0.5593112,-0.8215553,0.9769995,0.5331647,-0.8193759,0.9745589,0.5225447,-0.8370949,1.008187,0.5534565,-0.8259249,0.9949964,0.5297149,-0.8242172,0.9893788,0.5203165,-0.8415052,1.024987,0.5473242,-0.8308937,1.01199,0.5313587,-0.8270204,1.00466,0.5251908,-0.8400872,0.9988604,0.558154,-0.8668221,0.02399891,
