time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529577935215,0.8425516,0.6010671,-0.9013122,0.8185456,0.622574,-0.8816611,0.8065804,0.6326587,-0.8623336,0.8278754,0.6569355,-0.8647387,0.8074287,0.650655,-0.8506936,0.8012081,0.6348479,-0.84944,0.83996,0.6522033,-0.8496989,0.8154733,0.6443965,-0.8370696,0.8073447,0.626955,-0.8398786,0.857124,0.6442488,-0.8376244,0.8337675,0.6412207,-0.8239899,0.821557,0.6263064,-0.8255203,0.8732291,0.6323158,-0.8277336,0.8571012,0.6352677,-0.8149632,0.8447106,0.6267248,-0.8163814,0.8653688,0.61581,-0.878342,0.01413857,
1529577935242,0.8504019,0.6067706,-0.9099415,0.828001,0.6305681,-0.89174,0.818922,0.6407465,-0.8714513,0.8392845,0.6649341,-0.8769917,0.8201008,0.6585971,-0.8628415,0.8153961,0.6423163,-0.8624706,0.851298,0.6613982,-0.8622551,0.827743,0.6542301,-0.8495942,0.8208768,0.6363026,-0.8525149,0.8683916,0.6541438,-0.8499246,0.845541,0.6523703,-0.8362534,0.8339822,0.6371356,-0.8375475,0.8834842,0.6424072,-0.8398359,0.8671356,0.646,-0.8283159,0.8553622,0.6366693,-0.8300444,0.8746299,0.6223399,-0.8882407,0.009774902,
1529577935269,0.8567685,0.608382,-0.9146955,0.8348504,0.6324117,-0.8966881,0.8271285,0.6418182,-0.8758029,0.8462253,0.6668211,-0.8816447,0.8275477,0.6606132,-0.8672066,0.8230532,0.6443397,-0.8672739,0.858298,0.6638532,-0.8671138,0.8350969,0.6572771,-0.8540425,0.828311,0.639367,-0.8568848,0.8754317,0.6566189,-0.8549919,0.8528929,0.6552871,-0.8410892,0.8415114,0.639995,-0.8422238,0.8903465,0.6448219,-0.8450673,0.8740175,0.648632,-0.8336072,0.8622875,0.6391988,-0.8350717,0.8811881,0.6240497,-0.8930091,0.009783112,
1529577935295,0.8652883,0.6136435,-0.9205974,0.8446225,0.6381826,-0.9023415,0.8385025,0.6469073,-0.8808646,0.8568661,0.6714684,-0.8855975,0.8386794,0.6654025,-0.8705236,0.833636,0.6492455,-0.8707921,0.869276,0.6686469,-0.8715996,0.8464119,0.6628903,-0.8576633,0.8390288,0.6452382,-0.860327,0.8863384,0.6606987,-0.8603315,0.8642406,0.6595616,-0.8460788,0.8530754,0.6442322,-0.8473132,0.9013147,0.6484475,-0.8509142,0.8852854,0.652437,-0.8390417,0.8734986,0.6431336,-0.8402928,0.8904948,0.6283013,-0.8986973,0.01142825,
1529577935342,0.8761872,0.6202297,-0.9263567,0.8560491,0.6457843,-0.9092878,0.8505803,0.655032,-0.8879719,0.8680645,0.6771472,-0.8892604,0.8505257,0.6709464,-0.8734654,0.8455195,0.65475,-0.8734887,0.880874,0.6748008,-0.8759642,0.8586268,0.669085,-0.8613455,0.8515356,0.6512343,-0.8635672,0.8982816,0.6667162,-0.8653823,0.8767263,0.6650541,-0.8507986,0.866336,0.6492509,-0.8519982,0.9142408,0.6549001,-0.8563151,0.8987788,0.6593543,-0.8434997,0.8868728,0.6503125,-0.8438209,0.9017717,0.6343774,-0.9036906,0.01534453,
1529577935374,0.8850501,0.6244857,-0.9290227,0.8658861,0.6516166,-0.9133726,0.8607169,0.6619211,-0.8925104,0.8777251,0.6815394,-0.8909824,0.8603459,0.6763093,-0.8746704,0.8549108,0.6602889,-0.874196,0.8905883,0.6791012,-0.8780127,0.8684422,0.6742998,-0.8629522,0.8610026,0.6565355,-0.8645616,0.9080783,0.6705647,-0.8675488,0.8867847,0.6693643,-0.852689,0.8763245,0.6536282,-0.8536575,0.924428,0.6588155,-0.8585807,0.9095623,0.6643575,-0.8450991,0.8973061,0.6560198,-0.8445486,0.9105974,0.6377838,-0.9056524,0.01928193,
1529577935401,0.8910204,0.6276116,-0.9306408,0.8727163,0.6554967,-0.915104,0.8677572,0.6663525,-0.8944323,0.8844552,0.6841074,-0.8909223,0.8673508,0.6793629,-0.8742627,0.8617015,0.6634591,-0.8736991,0.8975523,0.6812601,-0.8782402,0.8756337,0.6769246,-0.8626981,0.8678353,0.6593251,-0.8641382,0.915188,0.6721075,-0.86817,0.8942541,0.6709713,-0.8528651,0.8836306,0.6553718,-0.8538845,0.9319851,0.6602118,-0.8596754,0.9178919,0.6663005,-0.8453642,0.9053714,0.6585796,-0.8441703,0.9167171,0.6398972,-0.9069858,0.02179245,
1529577935428,0.9020197,0.6296456,-0.9320552,0.884781,0.6594324,-0.918115,0.8791447,0.6724061,-0.8986716,0.8982568,0.6860367,-0.8902872,0.8810552,0.6828296,-0.8732679,0.8742243,0.6673954,-0.8722162,0.911348,0.6823214,-0.8777431,0.8893461,0.6797169,-0.8617607,0.8802499,0.662732,-0.8627817,0.9287369,0.671874,-0.867819,0.9080086,0.6721818,-0.8518875,0.8961931,0.6574884,-0.8525413,0.9454956,0.6590694,-0.8596584,0.9326906,0.6664758,-0.8445308,0.9195452,0.6601239,-0.8424716,0.9280496,0.6399432,-0.9073508,0.02737168,
1529577935454,0.9076003,0.6324527,-0.9317424,0.8914258,0.6632977,-0.9179736,0.8859171,0.6775496,-0.8993972,0.9081745,0.6883825,-0.8883688,0.89148,0.6860349,-0.8707963,0.883898,0.6709253,-0.8694268,0.921795,0.6839386,-0.8763333,0.9003296,0.682828,-0.859234,0.8899134,0.6665677,-0.859551,0.93914,0.6722558,-0.8672015,0.9192278,0.6738141,-0.8500364,0.9061987,0.6601017,-0.8498402,0.9555851,0.6583701,-0.8600538,0.9440225,0.6661482,-0.8443182,0.9306817,0.6603438,-0.8418748,0.9352214,0.6410126,-0.9074349,0.03076005,
1529577935482,0.9133952,0.6359996,-0.9324249,0.8975898,0.6668494,-0.9180064,0.8921944,0.6811668,-0.8994076,0.9154587,0.6911545,-0.8881177,0.8989925,0.6886816,-0.870362,0.8912201,0.6736379,-0.869158,0.9292505,0.68637,-0.8763542,0.9080375,0.6853422,-0.8588899,0.8972685,0.6692862,-0.8592294,0.9466172,0.6743093,-0.8676876,0.92704,0.6760228,-0.8500512,0.9136417,0.662636,-0.8496674,0.9629059,0.6600305,-0.8610848,0.9517289,0.6677446,-0.8450347,0.9383113,0.6621391,-0.8424026,0.9411745,0.643995,-0.90875,0.03118764,
1529577935515,0.9173119,0.6433206,-0.9326512,0.9028654,0.6741868,-0.9164099,0.8980383,0.6887503,-0.8977237,0.9257388,0.6947735,-0.8844085,0.9101242,0.6917473,-0.8656337,0.9013864,0.6771522,-0.8644693,0.939936,0.6881638,-0.8739179,0.9195776,0.6865816,-0.8549601,0.907493,0.6713167,-0.8552309,0.957294,0.6749891,-0.867372,0.9388927,0.6766779,-0.8478292,0.9241797,0.6645509,-0.8462793,0.9730589,0.6597084,-0.8630723,0.9632807,0.6670442,-0.8457961,0.9495549,0.6623663,-0.8418143,0.9480824,0.6479496,-0.9097036,0.03537768,
1529577935548,0.9230344,0.6483614,-0.9330282,0.9098078,0.6792944,-0.9160206,0.9059702,0.6934946,-0.8968571,0.9332603,0.6979302,-0.8834776,0.9178991,0.6942856,-0.8645085,0.9090577,0.6797218,-0.863589,0.9477382,0.6907963,-0.8734493,0.9276862,0.688788,-0.8538713,0.9151911,0.6738431,-0.854071,0.9651684,0.6774489,-0.8677105,0.9472961,0.6791478,-0.8472436,0.9320902,0.6676509,-0.8448137,0.9806771,0.6618516,-0.8642404,0.9713857,0.668866,-0.8465016,0.957634,0.6644315,-0.8420415,0.9543822,0.6517193,-0.910456,0.03613844,
1529577935574,0.9299358,0.6506966,-0.9324638,0.9181709,0.6821019,-0.9153259,0.9153239,0.6967124,-0.8961763,0.9430162,0.6995503,-0.8831664,0.9280941,0.6958312,-0.8637822,0.9190319,0.681408,-0.8627269,0.9577768,0.6920953,-0.8736008,0.9382586,0.690311,-0.8531941,0.9252434,0.6757836,-0.8528078,0.9750429,0.6783435,-0.8684612,0.9578348,0.680225,-0.8472242,0.942313,0.6692507,-0.844036,0.990283,0.6624778,-0.8655063,0.9816546,0.6694274,-0.8474053,0.9678994,0.6653131,-0.8424652,0.9621247,0.6531735,-0.9107776,0.03697073,
1529577935601,0.9339825,0.6510497,-0.9318345,0.9227927,0.6824654,-0.914499,0.9205251,0.6971551,-0.8952257,0.9484037,0.6997198,-0.8827347,0.9339477,0.6958753,-0.862977,0.9249443,0.6814388,-0.8617141,0.9635199,0.6922828,-0.8735267,0.9445601,0.6904849,-0.852475,0.9314325,0.6760598,-0.8515859,0.9808591,0.6784896,-0.8688648,0.9642121,0.6803197,-0.8470522,0.9487199,0.6694636,-0.8432896,0.9960753,0.6626022,-0.8662962,0.9877506,0.669282,-0.8480284,0.9740437,0.6650702,-0.8428298,0.96684,0.653455,-0.9108586,0.03727677,
1529577935629,0.9400793,0.6525904,-0.9317352,0.9297246,0.6840529,-0.914121,0.9281298,0.6986824,-0.8946676,0.956232,0.700653,-0.8826362,0.9420902,0.6966602,-0.86274,0.9330591,0.6822528,-0.8616338,0.9715035,0.6930199,-0.8737695,0.9529448,0.6912363,-0.852369,0.9396678,0.6769555,-0.8513659,0.9886677,0.67892,-0.8695366,0.9723938,0.6806704,-0.8474029,0.9568561,0.6699514,-0.843486,1.003597,0.6627824,-0.8672906,0.9954259,0.6691425,-0.8488938,0.9816751,0.6649486,-0.8436083,0.9734228,0.6544251,-0.9112976,0.03722178,
