time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529577790410,1.176182,0.6209019,-0.8992679,1.176316,0.6338435,-0.8627744,1.179523,0.6364779,-0.8369332,1.219508,0.6508975,-0.8470718,1.213914,0.6485773,-0.8205176,1.201488,0.6374887,-0.8137248,1.232753,0.6358789,-0.8462893,1.224592,0.6346595,-0.815364,1.208666,0.6256076,-0.8051321,1.243282,0.615775,-0.8528808,1.236749,0.6135203,-0.822989,1.221086,0.6064413,-0.8114734,1.248886,0.5963589,-0.8609939,1.245458,0.5957823,-0.8379305,1.232378,0.5926869,-0.8284653,1.21201,0.6139399,-0.895342,0.03197087,
1529577790439,1.174631,0.6270357,-0.9059167,1.17496,0.6424672,-0.8704668,1.178485,0.6465426,-0.8448328,1.219415,0.6584041,-0.8553311,1.215003,0.6577766,-0.8278857,1.203101,0.6477171,-0.818693,1.232639,0.6435339,-0.854094,1.2257,0.6441915,-0.8224982,1.210455,0.6362008,-0.8104081,1.242779,0.6229588,-0.8599092,1.236981,0.6220898,-0.8296118,1.221825,0.6157612,-0.8169516,1.248227,0.6030719,-0.8672361,1.245239,0.6033238,-0.84407,1.232373,0.6007095,-0.8341632,1.210844,0.6193119,-0.9017531,0.03592543,
1529577790464,1.172011,0.6307145,-0.9103338,1.172024,0.6485668,-0.8761311,1.175626,0.6539905,-0.8507533,1.21622,0.664524,-0.8607835,1.211992,0.6654352,-0.8329932,1.200468,0.6561634,-0.8224521,1.229426,0.6497955,-0.858666,1.222085,0.6516576,-0.8271964,1.206784,0.6439818,-0.8150107,1.239688,0.6290334,-0.8633473,1.233068,0.6291323,-0.8333263,1.217476,0.6229561,-0.8211902,1.245573,0.6089287,-0.8696135,1.242066,0.6100112,-0.8465974,1.228895,0.6076389,-0.8370833,1.208398,0.6231304,-0.9052194,0.03771996,
1529577790491,1.1698,0.6379604,-0.9161333,1.170059,0.6590288,-0.8839943,1.174452,0.6661882,-0.8591777,1.212753,0.6740389,-0.8679261,1.208219,0.6751813,-0.8401051,1.19694,0.6658332,-0.8292937,1.226031,0.6599194,-0.8651562,1.21737,0.6615984,-0.8343457,1.201659,0.6529921,-0.8234897,1.2369,0.6395014,-0.8688593,1.228734,0.6397052,-0.8395885,1.212402,0.6327808,-0.8290735,1.243812,0.6197821,-0.8741009,1.239415,0.6216098,-0.8514465,1.225771,0.6189944,-0.8427639,1.20643,0.6306672,-0.9100319,0.03740172,
1529577790525,1.165667,0.6484025,-0.9265497,1.167294,0.6736346,-0.8977857,1.172348,0.6835622,-0.8740174,1.209259,0.6826845,-0.8784158,1.20366,0.6840756,-0.850837,1.191401,0.6754013,-0.840462,1.222126,0.6687121,-0.8748158,1.212823,0.6718078,-0.844438,1.196317,0.664332,-0.833907,1.232476,0.6481327,-0.8772688,1.224468,0.6505767,-0.8480036,1.207847,0.6452475,-0.8371141,1.238642,0.6279632,-0.8812416,1.235111,0.6317151,-0.8584083,1.221923,0.6306623,-0.8487971,1.201591,0.6384299,-0.9181779,0.03944108,
1529577790557,1.160988,0.655884,-0.936843,1.163663,0.6849241,-0.9120051,1.168159,0.6980578,-0.8896563,1.207012,0.6882715,-0.8889216,1.199867,0.6931262,-0.8621274,1.185822,0.6872387,-0.8519768,1.217688,0.6733777,-0.8831568,1.207101,0.6809744,-0.8541448,1.189016,0.6767515,-0.8445103,1.225658,0.6515323,-0.8828318,1.21701,0.6584477,-0.8546607,1.199198,0.6565771,-0.8447059,1.229055,0.6302369,-0.8842711,1.225308,0.6369612,-0.8623537,1.211461,0.6386691,-0.853996,1.195308,0.6415288,-0.9243582,0.04299767,
1529577790584,1.161209,0.6587247,-0.9387213,1.163678,0.6894533,-0.9158128,1.167256,0.7048292,-0.8946934,1.20784,0.6922147,-0.8919522,1.199716,0.6995661,-0.8661846,1.184791,0.69515,-0.8565705,1.217175,0.6772324,-0.8846005,1.205555,0.6876579,-0.8571259,1.186692,0.6849585,-0.848559,1.223673,0.6549875,-0.8821682,1.213809,0.664444,-0.8555019,1.195152,0.6640354,-0.8470814,1.225967,0.6334526,-0.8817827,1.221541,0.6420228,-0.8609501,1.207119,0.6449451,-0.8541645,1.194683,0.6434798,-0.9241055,0.04306404,
1529577790599,1.160895,0.6605937,-0.9376562,1.163623,0.6917099,-0.9153865,1.167595,0.7072914,-0.8945011,1.208609,0.6950934,-0.8928948,1.200653,0.7025846,-0.8673034,1.185721,0.6979563,-0.8578219,1.217796,0.6802723,-0.8853986,1.205753,0.6904987,-0.8585392,1.186667,0.6869981,-0.850903,1.224228,0.6582181,-0.8826041,1.213401,0.6674605,-0.8570275,1.194148,0.6659918,-0.8504292,1.2268,0.6369685,-0.8817927,1.221768,0.645915,-0.8616827,1.206813,0.6483147,-0.8560612,1.194969,0.6457925,-0.9236092,0.04196505,
1529577790624,1.160517,0.6681234,-0.9390812,1.16383,0.7000421,-0.9184326,1.168082,0.7148877,-0.8972975,1.209402,0.7020026,-0.8944297,1.200742,0.7105255,-0.8700038,1.18489,0.7061933,-0.8623679,1.216709,0.6869959,-0.8858228,1.202908,0.6977732,-0.861253,1.183063,0.6937126,-0.8571493,1.220852,0.6647988,-0.8816803,1.206662,0.6738028,-0.8599666,1.18674,0.6706274,-0.8598739,1.222104,0.6441891,-0.8797508,1.213509,0.6535089,-0.8629477,1.197601,0.6539819,-0.8637521,1.1938,0.6520991,-0.9228769,0.03972658,
1529577790652,1.16468,0.6729014,-0.9428704,1.168674,0.7050656,-0.9230814,1.172738,0.7191207,-0.9015582,1.212453,0.7055544,-0.8963618,1.202081,0.7143807,-0.8735455,1.1854,0.7097787,-0.8688387,1.218567,0.6906209,-0.8869398,1.20348,0.7021754,-0.8643707,1.18347,0.6980928,-0.8631039,1.221143,0.6683816,-0.8818593,1.205673,0.6781038,-0.8623666,1.18609,0.6749675,-0.8652138,1.221161,0.6480541,-0.8792644,1.211425,0.6579267,-0.8643394,1.196067,0.6579814,-0.8679179,1.196167,0.6557232,-0.9240648,0.03630631,
