time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528894010818,0.8251735,0.9286034,-0.89494,0.808058,0.9229967,-0.8620848,0.796119,0.912289,-0.8450135,0.825739,0.9076282,-0.8271634,0.8038337,0.9039177,-0.8129737,0.7876452,0.9029329,-0.8152314,0.8319154,0.8849514,-0.8294848,0.8121855,0.8774642,-0.8068242,0.7943981,0.8757218,-0.7998072,0.8365827,0.8661698,-0.8423234,0.8213378,0.8565825,-0.818707,0.8065509,0.8528103,-0.8073226,0.8358998,0.8516634,-0.8592061,0.8243155,0.8436688,-0.8414984,0.8129199,0.8408424,-0.8319035,0.8405204,0.8994793,-0.8841501,0.03234681,
1528894010860,0.8263458,0.9302417,-0.8941842,0.8079917,0.9254425,-0.8618087,0.7949587,0.9154719,-0.8452026,0.8264627,0.909335,-0.8264469,0.8041934,0.9082181,-0.8149388,0.7893575,0.9090568,-0.8214876,0.8326737,0.8857819,-0.8280379,0.8153195,0.8792762,-0.8028895,0.7992075,0.8777038,-0.7921761,0.8354299,0.8669794,-0.8413789,0.821401,0.8586493,-0.8165956,0.8075554,0.8556509,-0.8036895,0.8338839,0.8521914,-0.8584619,0.824228,0.8442435,-0.8396059,0.8138881,0.8415929,-0.8288655,0.8403217,0.9001454,-0.8834785,0.02519773,
1528894010886,0.8259994,0.931915,-0.8944433,0.8074122,0.927048,-0.862191,0.7942404,0.9170789,-0.845738,0.8265026,0.9107113,-0.8268227,0.8043628,0.9100088,-0.8162762,0.7902247,0.9111215,-0.8241971,0.8331751,0.886938,-0.8282888,0.8169001,0.8802718,-0.8023733,0.8016539,0.8783422,-0.7903715,0.8356212,0.8682801,-0.841846,0.8224807,0.859905,-0.816554,0.8094287,0.8566549,-0.8028281,0.8340686,0.8533452,-0.8591008,0.8256799,0.8448019,-0.8398336,0.8164411,0.8413675,-0.8282719,0.8400669,0.9016697,-0.8839118,0.02270739,
1528894010925,0.8258128,0.9352639,-0.8966253,0.8067715,0.9308609,-0.8645309,0.7933911,0.9212572,-0.8480741,0.826669,0.9140539,-0.8288575,0.8047805,0.9136703,-0.8192112,0.7913452,0.9148369,-0.8283442,0.8340443,0.8901783,-0.8300111,0.8191229,0.8835211,-0.8031765,0.8052009,0.8811453,-0.7896141,0.8364594,0.8715476,-0.8436226,0.8246727,0.8632222,-0.8175814,0.8129312,0.8596038,-0.8027481,0.8353434,0.8560129,-0.8610821,0.8287743,0.8466371,-0.8414942,0.8206236,0.8424909,-0.8293793,0.8401994,0.904801,-0.8859627,0.02084881,
1528894010965,0.8277528,0.9391357,-0.8981156,0.8079994,0.9361248,-0.8662658,0.7938112,0.9276294,-0.849867,0.8273657,0.9178613,-0.8305348,0.8055704,0.9191925,-0.8221027,0.7933015,0.9212468,-0.8325621,0.833777,0.8932663,-0.8313386,0.8191718,0.8873663,-0.8040962,0.8056487,0.8856803,-0.7900401,0.8351093,0.8745491,-0.8449856,0.8236907,0.8668231,-0.8185991,0.812317,0.8637806,-0.8033444,0.8329301,0.8588991,-0.8626873,0.8266132,0.8493735,-0.8430988,0.8187819,0.845241,-0.8307403,0.8404571,0.9076803,-0.8873791,0.01845147,
1528894011015,0.8281332,0.9457796,-0.9028673,0.8078864,0.9440358,-0.8712105,0.793421,0.9366739,-0.8543454,0.8278012,0.9257126,-0.8351166,0.8060321,0.9274682,-0.8279766,0.7948384,0.9293668,-0.8395827,0.8344577,0.9008713,-0.8350031,0.8192903,0.8957562,-0.8081298,0.8045034,0.8951336,-0.795477,0.8365682,0.8811812,-0.8482559,0.8263259,0.8728939,-0.8216471,0.8150635,0.8697601,-0.8063643,0.833865,0.8648317,-0.8661563,0.8279879,0.8541819,-0.8471428,0.8197472,0.8497484,-0.8351899,0.8410422,0.9142108,-0.8913135,0.01653306,
1528894011045,0.8268831,0.9494591,-0.906023,0.8067257,0.9474231,-0.8742964,0.7927082,0.9398943,-0.8571268,0.8286372,0.930347,-0.8375751,0.8068637,0.9309094,-0.8295741,0.795013,0.9319724,-0.8405685,0.8358756,0.9063731,-0.8375241,0.8202831,0.9015002,-0.8108823,0.8051991,0.900641,-0.7985733,0.8390933,0.8864377,-0.8503942,0.828535,0.8784633,-0.8238688,0.8170785,0.8752177,-0.8087158,0.8373086,0.8697004,-0.8678886,0.8312672,0.8596179,-0.8487024,0.8227629,0.8553952,-0.8368056,0.8417952,0.9187273,-0.8939693,0.01849983,
1528894011071,0.826514,0.9520718,-0.9082115,0.806316,0.9506789,-0.8764527,0.7924061,0.9435908,-0.8590141,0.8295047,0.9341958,-0.839034,0.8077621,0.9344982,-0.8300385,0.7952566,0.9351259,-0.8402241,0.8364288,0.9107304,-0.8389394,0.8203425,0.9066824,-0.8124793,0.8049111,0.9061939,-0.8006198,0.8398326,0.890465,-0.8513857,0.8286834,0.8832098,-0.8249055,0.8168433,0.8803605,-0.8099704,0.8383092,0.8734543,-0.8683786,0.8316854,0.8642542,-0.8489932,0.8227119,0.8606687,-0.8372219,0.8423266,0.9217445,-0.8955182,0.02080484,
1528894011100,0.8282253,0.958792,-0.9123033,0.8076561,0.9585847,-0.8807318,0.7933626,0.9523977,-0.8632543,0.8309079,0.9409868,-0.8428524,0.8091379,0.942058,-0.8335745,0.7962727,0.9430275,-0.8433666,0.836697,0.9175608,-0.8428056,0.8199728,0.9146058,-0.8166092,0.8042427,0.9149622,-0.8051724,0.839457,0.8969781,-0.8551304,0.8276367,0.8903711,-0.8287443,0.8154234,0.8881291,-0.814027,0.8372211,0.8799827,-0.8720341,0.8295392,0.8713585,-0.8527701,0.8199899,0.8684064,-0.8412891,0.843347,0.9278543,-0.8993251,0.02217639,
1528894011125,0.829367,0.9627573,-0.9149446,0.8084207,0.963622,-0.8836027,0.7937984,0.9584146,-0.8660491,0.8316367,0.9448935,-0.8453461,0.8098328,0.946617,-0.8361555,0.7969682,0.9478896,-0.8459412,0.8367127,0.9213935,-0.8452474,0.8196677,0.9191366,-0.8191931,0.8038642,0.9200338,-0.8078782,0.8389446,0.9006521,-0.8575209,0.8267219,0.8944889,-0.8312009,0.8143634,0.8926404,-0.8165526,0.8361737,0.8836432,-0.8744484,0.827863,0.8752789,-0.8553296,0.8180522,0.8726217,-0.8439965,0.8438607,0.9312965,-0.9017236,0.0229162,
