time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528894536900,1.248057,0.8259434,-0.8623448,1.223987,0.8045899,-0.8430178,1.213485,0.7876829,-0.8299803,1.234214,0.8192246,-0.78486,1.224732,0.8080069,-0.7611473,1.218467,0.7991802,-0.7478626,1.254559,0.8106295,-0.7785864,1.245943,0.7947668,-0.752355,1.239778,0.783132,-0.7378125,1.271813,0.7983998,-0.7917933,1.258576,0.7747197,-0.7930789,1.25223,0.7641305,-0.807004,1.291608,0.7931174,-0.798524,1.280386,0.7755761,-0.7993098,1.272553,0.7692121,-0.810105,1.27272,0.8256054,-0.8320264,0.08306812,
1528894536939,1.247069,0.8259908,-0.8626503,1.222944,0.8048525,-0.8431153,1.212248,0.7881761,-0.82993,1.233079,0.8196325,-0.7852635,1.223772,0.8083842,-0.7614958,1.217623,0.7995359,-0.7481716,1.253222,0.8111497,-0.7789297,1.244472,0.7953265,-0.7527194,1.238232,0.7836984,-0.7382053,1.270602,0.7990208,-0.7916778,1.257387,0.7753167,-0.7924556,1.251082,0.7645568,-0.8062112,1.290442,0.7936348,-0.798524,1.279277,0.7760482,-0.7991519,1.271485,0.7696004,-0.8099071,1.271578,0.825868,-0.8323555,0.08271862,
1528894536967,1.24592,0.8257313,-0.8626716,1.221783,0.8047322,-0.8429626,1.210887,0.7882722,-0.8296503,1.232015,0.8195975,-0.7853109,1.222898,0.8082972,-0.761494,1.216883,0.7994046,-0.7481388,1.252127,0.8113066,-0.7789498,1.243458,0.7954377,-0.7527422,1.237277,0.783751,-0.7382514,1.269665,0.7993942,-0.7912881,1.256605,0.7755271,-0.7914245,1.250281,0.7644167,-0.8048468,1.289541,0.7940341,-0.798297,1.278537,0.7763188,-0.7987116,1.270775,0.7696764,-0.8093604,1.270419,0.8259128,-0.8324059,0.08248638,
1528894537014,1.244575,0.826399,-0.8622954,1.220419,0.8055496,-0.8424336,1.209368,0.7891672,-0.8291407,1.231561,0.819128,-0.7849814,1.222625,0.8075471,-0.7612321,1.216679,0.7984948,-0.7479542,1.25159,0.8105348,-0.7790124,1.242976,0.7943883,-0.7529566,1.236787,0.7825634,-0.7385826,1.268964,0.7987542,-0.7912688,1.255555,0.7749009,-0.7905992,1.24863,0.7634646,-0.8034215,1.288655,0.7931666,-0.7988795,1.277474,0.7755143,-0.7990689,1.269457,0.7688778,-0.8095223,1.269422,0.8257532,-0.8324591,0.08204691,
1528894537045,1.243448,0.827722,-0.8623766,1.219461,0.8070289,-0.8421639,1.208555,0.7906794,-0.8287136,1.23134,0.8202834,-0.7849836,1.222534,0.808724,-0.761177,1.216635,0.799666,-0.7478833,1.251462,0.8115429,-0.779278,1.243094,0.7954133,-0.7531313,1.237021,0.7836037,-0.7386961,1.268606,0.7996939,-0.7917354,1.254984,0.7757651,-0.7905227,1.247551,0.763876,-0.8027148,1.28814,0.7939935,-0.7996729,1.276838,0.7764153,-0.7997382,1.268634,0.7697998,-0.8100768,1.268692,0.826767,-0.8329266,0.08172869,
1528894537072,1.242709,0.8283152,-0.8629074,1.218831,0.8075792,-0.842619,1.208036,0.7911707,-0.8291538,1.230947,0.8204924,-0.7855282,1.222178,0.8088715,-0.7617357,1.216303,0.7998023,-0.7484387,1.251151,0.8117234,-0.779951,1.242911,0.7954851,-0.7538302,1.236915,0.7836272,-0.7394013,1.268254,0.7999486,-0.7925229,1.25464,0.7759809,-0.7912613,1.24705,0.7639322,-0.8032856,1.287745,0.7943071,-0.8005577,1.276451,0.7767261,-0.8005864,1.268197,0.7700955,-0.810886,1.268127,0.8271928,-0.8336117,0.08159523,
1528894537099,1.24231,0.8305655,-0.8634919,1.218636,0.8097956,-0.8430266,1.208081,0.7932842,-0.8295032,1.23107,0.8225965,-0.7860675,1.222318,0.8110361,-0.7622385,1.216436,0.8020199,-0.7489083,1.251351,0.8137181,-0.7806653,1.24323,0.7975144,-0.7544858,1.237285,0.7856859,-0.7400115,1.268191,0.8017489,-0.7938752,1.254414,0.7778497,-0.7932522,1.246681,0.7659003,-0.8054349,1.28765,0.796173,-0.8017449,1.276226,0.778722,-0.8019086,1.2679,0.7722666,-0.8122846,1.267945,0.829234,-0.834448,0.08149625,
1528894537125,1.241699,0.8319265,-0.8636834,1.218091,0.8112236,-0.8430948,1.207657,0.7946766,-0.8295293,1.23075,0.8240942,-0.786194,1.221866,0.812704,-0.7623331,1.215877,0.8037806,-0.7489883,1.251112,0.8150536,-0.7808809,1.243025,0.7990273,-0.7545797,1.237086,0.7873306,-0.7399952,1.267819,0.8028829,-0.7942289,1.253903,0.7790873,-0.7935368,1.245977,0.7671704,-0.8056626,1.287164,0.7972029,-0.80216,1.275622,0.7798594,-0.8021805,1.267214,0.7734948,-0.8125308,1.267499,0.8304164,-0.8347929,0.0814696,
1528894537153,1.24136,0.8330985,-0.8633376,1.21788,0.8123991,-0.8426109,1.207555,0.7958364,-0.8289781,1.230563,0.8255243,-0.7858066,1.221497,0.8143361,-0.7619188,1.215387,0.8055348,-0.7485478,1.251103,0.8164003,-0.78053,1.243113,0.8005158,-0.7541116,1.237236,0.7889317,-0.7394097,1.267717,0.8041055,-0.7940309,1.253744,0.7803022,-0.7932799,1.245664,0.7682527,-0.805235,1.28699,0.798426,-0.8019451,1.275395,0.7811825,-0.8019243,1.266991,0.7749334,-0.8123421,1.267267,0.8316106,-0.8345651,0.08139057,
1528894537179,1.240812,0.8350396,-0.8632684,1.21766,0.8141276,-0.8424035,1.207525,0.7974298,-0.8287744,1.230593,0.8268065,-0.7857946,1.221565,0.8155134,-0.761941,1.215463,0.8066663,-0.7485964,1.251249,0.8176371,-0.7807483,1.243433,0.8016796,-0.7543221,1.23765,0.7900731,-0.7395978,1.26766,0.8053069,-0.7947527,1.253568,0.7814902,-0.7942413,1.245338,0.7695363,-0.8061972,1.28678,0.7997544,-0.8027859,1.275037,0.7826292,-0.8029158,1.266623,0.7765796,-0.81343,1.266936,0.8332366,-0.8348431,0.08109769,
1528894537218,1.240512,0.8376125,-0.8627145,1.217728,0.8165689,-0.8416287,1.207947,0.7996831,-0.8279672,1.230516,0.8290105,-0.7853842,1.221272,0.8178205,-0.7615607,1.21502,0.8090938,-0.7482049,1.251386,0.8196252,-0.7804741,1.243734,0.8037481,-0.7539505,1.238039,0.7922425,-0.7391077,1.267254,0.8069831,-0.7955589,1.252823,0.7834834,-0.7964439,1.244703,0.7723451,-0.8092368,1.286226,0.8015231,-0.8032879,1.2741,0.784757,-0.8039315,1.265779,0.7792217,-0.8147913,1.266711,0.8353815,-0.8346611,0.0806263,
1528894537246,1.241144,0.8380485,-0.8628057,1.218613,0.8168362,-0.8416494,1.20909,0.7998368,-0.82794,1.231025,0.8299336,-0.7854409,1.221715,0.8188542,-0.7615889,1.215435,0.8102093,-0.7481934,1.251963,0.8205876,-0.7804773,1.244339,0.8047897,-0.7538957,1.238687,0.793363,-0.7389731,1.267761,0.8078322,-0.7960043,1.253409,0.7844979,-0.7978161,1.245644,0.7739397,-0.8112863,1.286781,0.8024656,-0.8033669,1.274665,0.7858728,-0.8043909,1.266555,0.7807766,-0.8156044,1.267278,0.8361382,-0.8347164,0.08066823,
1528894537273,1.240865,0.8391602,-0.8622065,1.218314,0.8182411,-0.8408021,1.208907,0.8013265,-0.8269286,1.230768,0.8322024,-0.7847109,1.221462,0.8214253,-0.7607186,1.215164,0.8129758,-0.7472064,1.251511,0.8226389,-0.7797164,1.243714,0.8071482,-0.7530004,1.237955,0.7959453,-0.7379494,1.267131,0.8094953,-0.795395,1.25264,0.7866011,-0.7977922,1.245148,0.7768531,-0.8119476,1.286111,0.8038318,-0.8025392,1.273834,0.7874868,-0.8036678,1.26573,0.7827586,-0.8150347,1.266943,0.8374093,-0.8341157,0.08081142,
1528894537299,1.240864,0.8390024,-0.8621755,1.218332,0.8182355,-0.8406236,1.20907,0.8013349,-0.826655,1.23069,0.8326592,-0.7846665,1.221451,0.8219168,-0.7606308,1.215191,0.8135045,-0.7470776,1.251207,0.8230074,-0.779641,1.243207,0.8075968,-0.7529368,1.23732,0.7964543,-0.7378917,1.266796,0.8097084,-0.7952827,1.252203,0.7869831,-0.7978491,1.244777,0.7774606,-0.8121819,1.285769,0.8038414,-0.8023472,1.273422,0.7876559,-0.8036234,1.265349,0.7832221,-0.8151251,1.26683,0.8373873,-0.8340586,0.08073492,
1528894537325,1.240834,0.8382488,-0.8621972,1.218523,0.8177392,-0.8401616,1.209414,0.801019,-0.8258883,1.231491,0.8326067,-0.784583,1.222665,0.8218623,-0.7603911,1.216668,0.8134757,-0.7467024,1.251973,0.8231038,-0.7796789,1.244237,0.807727,-0.7528793,1.238497,0.7965774,-0.7377838,1.267492,0.8097575,-0.7954237,1.253033,0.7870609,-0.7980267,1.245634,0.7776666,-0.8124711,1.286436,0.80387,-0.8025332,1.274151,0.7876369,-0.8037053,1.265948,0.7831819,-0.8151176,1.267068,0.8370181,-0.8343229,0.0804873,
1528894537352,1.240511,0.8390447,-0.8631668,1.218221,0.8188004,-0.8408561,1.20912,0.8022185,-0.8264291,1.231783,0.8335049,-0.7855405,1.223253,0.8225862,-0.7613198,1.217429,0.8140998,-0.7476189,1.252084,0.8239403,-0.7808154,1.244339,0.8083416,-0.7541519,1.238549,0.7970057,-0.7392191,1.267538,0.8106229,-0.7966088,1.253055,0.7880628,-0.7993289,1.245641,0.7789401,-0.8139316,1.286435,0.804631,-0.803781,1.274107,0.7883956,-0.8048763,1.265711,0.7839097,-0.8161597,1.266929,0.8377839,-0.8354905,0.08013285,
1528894537378,1.24018,0.8401977,-0.8638895,1.217733,0.8203119,-0.841401,1.208468,0.8039168,-0.826869,1.231887,0.8349316,-0.7861974,1.223497,0.8240664,-0.761905,1.217729,0.8155987,-0.7481701,1.251987,0.8251662,-0.7815908,1.244133,0.8095831,-0.7549561,1.238217,0.798211,-0.7401035,1.267246,0.8116633,-0.7975432,1.252564,0.789343,-0.8004683,1.245115,0.7805414,-0.8152428,1.286082,0.8054571,-0.8046854,1.27359,0.789309,-0.8057184,1.265021,0.7848575,-0.8168976,1.266745,0.8387435,-0.8363355,0.08009838,
1528894537417,1.239532,0.8427835,-0.864428,1.216812,0.823465,-0.8416989,1.207181,0.8073775,-0.8270528,1.231897,0.837564,-0.7866973,1.223564,0.8267554,-0.7623631,1.217768,0.8183033,-0.7486316,1.251686,0.8274557,-0.7822807,1.24357,0.8120446,-0.7556314,1.237395,0.8007321,-0.7408433,1.26654,0.8135805,-0.7985233,1.251344,0.7916501,-0.8015652,1.243656,0.7831627,-0.816403,1.285239,0.8069612,-0.8057252,1.272389,0.7910123,-0.8066024,1.263483,0.7865458,-0.8175552,1.266312,0.8407045,-0.8371518,0.07988339,
1528894537446,1.239484,0.8448321,-0.8651976,1.216706,0.8261027,-0.8420147,1.206824,0.8103759,-0.8271301,1.232995,0.8396344,-0.7874292,1.224851,0.8288629,-0.7630152,1.219118,0.8204289,-0.7492479,1.252648,0.8292403,-0.7833107,1.244603,0.8138881,-0.7566131,1.238373,0.8025695,-0.7418569,1.267044,0.8150783,-0.7999696,1.251441,0.7933924,-0.8030336,1.243361,0.7850742,-0.8177859,1.285533,0.8081675,-0.8073281,1.272401,0.7923916,-0.8080617,1.263137,0.7879657,-0.8187788,1.266643,0.8422592,-0.8383909,0.07948489,
1528894537472,1.237963,0.8481376,-0.8648634,1.215359,0.8297195,-0.8412545,1.205404,0.8141979,-0.8261829,1.232845,0.8425974,-0.7870678,1.224892,0.8318558,-0.7625774,1.219233,0.8234569,-0.7487588,1.252519,0.8319353,-0.7833635,1.244743,0.8165515,-0.7566084,1.238599,0.8052026,-0.7418417,1.266394,0.8176212,-0.8006278,1.250478,0.7962241,-0.8039001,1.2421,0.7882767,-0.8187106,1.284687,0.8105596,-0.8081676,1.271329,0.7949117,-0.8087325,1.261691,0.7904561,-0.8191657,1.265638,0.8450134,-0.8386484,0.07919265,
1528894537498,1.237474,0.85136,-0.8650798,1.215142,0.8332435,-0.8410008,1.205302,0.8178563,-0.8257029,1.233632,0.8454752,-0.7872984,1.225854,0.8348986,-0.7626765,1.220297,0.8266666,-0.748713,1.253381,0.8344444,-0.784072,1.245987,0.8189262,-0.7572672,1.240188,0.8077093,-0.7422471,1.266786,0.820114,-0.802376,1.250683,0.7990333,-0.8066404,1.242198,0.7917289,-0.8217701,1.284853,0.813083,-0.8098962,1.271247,0.7977533,-0.8109863,1.261468,0.7937876,-0.8215548,1.265614,0.8478118,-0.8394533,0.07892994,
1528894537525,1.236926,0.854355,-0.8648955,1.214926,0.8369027,-0.8400412,1.205236,0.821842,-0.8243245,1.23441,0.8489699,-0.7871504,1.226836,0.8387909,-0.762298,1.221366,0.8308319,-0.7481403,1.253984,0.837381,-0.7843882,1.246775,0.8219907,-0.7574406,1.241235,0.811115,-0.7420611,1.266737,0.8228309,-0.803756,1.250242,0.802411,-0.8091195,1.241766,0.7960725,-0.8246993,1.284336,0.815617,-0.8113403,1.270214,0.801128,-0.8133765,1.260633,0.7984126,-0.8245048,1.265486,0.8503569,-0.8399589,0.07839015,
1528894537552,1.235958,0.8598692,-0.8653278,1.213986,0.8430777,-0.8399999,1.204278,0.8283498,-0.823985,1.234112,0.8552631,-0.7875628,1.226611,0.8454289,-0.7625504,1.221153,0.8376792,-0.7482719,1.253482,0.8433896,-0.7849134,1.246201,0.8283091,-0.7578075,1.240623,0.8176711,-0.742274,1.26586,0.8285193,-0.8045477,1.249065,0.8084711,-0.8101035,1.240563,0.802456,-0.8258055,1.283227,0.8210343,-0.8121492,1.268805,0.8069295,-0.8143334,1.259273,0.8046179,-0.8255822,1.264587,0.8554925,-0.8407349,0.07812971,
