time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528894120234,0.8389522,1.362463,-0.5125642,0.8243401,1.381869,-0.4839142,0.8177985,1.390064,-0.4625816,0.851106,1.417767,-0.4621414,0.8481968,1.433934,-0.4395776,0.8451605,1.442666,-0.4251263,0.8524888,1.390782,-0.4571398,0.8269154,1.381005,-0.4407635,0.8124678,1.371422,-0.4357595,0.8677371,1.376314,-0.4532579,0.8487806,1.362798,-0.4516098,0.8472237,1.351585,-0.4658022,0.8802116,1.362324,-0.4505308,0.863752,1.355166,-0.4488714,0.8611571,1.347485,-0.460736,0.8674132,1.36762,-0.4932663,0.07013258,
1528894120261,0.8410287,1.360656,-0.5154104,0.8266287,1.380482,-0.4869285,0.820098,1.388949,-0.4656998,0.8537501,1.415169,-0.4643664,0.8510007,1.43121,-0.4416926,0.8480263,1.439853,-0.4271769,0.8548021,1.388435,-0.4593731,0.8290991,1.379347,-0.4428025,0.8143947,1.370161,-0.4374897,0.8698761,1.373475,-0.4557223,0.8507515,1.360228,-0.4541489,0.8490609,1.349166,-0.4684336,0.8821466,1.359364,-0.4531298,0.8656505,1.352376,-0.4514803,0.8630987,1.344605,-0.4632953,0.869502,1.365031,-0.4958293,0.06967931,
1528894120288,0.8427902,1.359917,-0.521125,0.8283457,1.38023,-0.4929912,0.8216318,1.389083,-0.4719747,0.856209,1.413986,-0.4696949,0.8538383,1.430089,-0.4470209,0.8510386,1.438757,-0.4324905,0.856703,1.387382,-0.4646438,0.8307939,1.378917,-0.4480645,0.8158108,1.370118,-0.4425226,0.8715872,1.372101,-0.4609587,0.8521883,1.359172,-0.4593279,0.850186,1.348062,-0.4735576,0.8836135,1.357808,-0.4584433,0.8669765,1.35101,-0.4567824,0.864285,1.343051,-0.4684595,0.8712843,1.36367,-0.5011847,0.06993786,
1528894120318,0.84425,1.358004,-0.5260463,0.8294176,1.379381,-0.4989038,0.8222618,1.389116,-0.4784204,0.8581474,1.412904,-0.4753741,0.8560151,1.42966,-0.4531713,0.8531818,1.438637,-0.4388385,0.8578954,1.386242,-0.4697526,0.8315886,1.378474,-0.4534636,0.8161724,1.370188,-0.4475384,0.8726439,1.371006,-0.4653124,0.8529503,1.358518,-0.4633575,0.8506246,1.347009,-0.4772585,0.8844168,1.356591,-0.4624779,0.8676296,1.350097,-0.4606533,0.864759,1.341654,-0.4719783,0.8726862,1.36163,-0.5055828,0.07053486,
1528894120341,0.8458798,1.356339,-0.5314561,0.8309281,1.378481,-0.5049943,0.8235016,1.388769,-0.4848706,0.8602856,1.411358,-0.480936,0.8583061,1.428441,-0.4589792,0.8554357,1.437592,-0.4447647,0.8591727,1.3847,-0.4750381,0.8323923,1.377697,-0.4591768,0.8166845,1.369819,-0.4534384,0.8735375,1.369197,-0.4701489,0.8534958,1.357184,-0.4683507,0.8510432,1.345558,-0.4821415,0.8849143,1.354575,-0.4670436,0.8679438,1.348434,-0.4654022,0.865067,1.339765,-0.4765644,0.8740755,1.359421,-0.5103712,0.07079519,
1528894120369,0.8484056,1.352454,-0.54142,0.833754,1.375506,-0.5155962,0.8262215,1.386228,-0.4957348,0.8646123,1.406469,-0.4901601,0.8629903,1.42386,-0.4684238,0.8601844,1.433259,-0.4543591,0.8619013,1.379465,-0.4841428,0.8344963,1.373572,-0.4689056,0.8182447,1.366481,-0.4636759,0.8750443,1.363155,-0.4792845,0.8543614,1.352059,-0.4784513,0.8519175,1.340716,-0.4924539,0.885492,1.347955,-0.4758779,0.868176,1.342598,-0.4750333,0.8653529,1.334211,-0.4864166,0.8762321,1.353733,-0.5192765,0.07125575,
1528894120402,0.8524224,1.347793,-0.5534245,0.8371078,1.372278,-0.5294186,0.8287094,1.383628,-0.5102751,0.8712609,1.401901,-0.5021489,0.8701282,1.420833,-0.4817281,0.8672303,1.431277,-0.4684417,0.871411,1.380392,-0.4879757,0.8521752,1.386399,-0.4628353,0.8380235,1.38733,-0.4500005,0.8770293,1.357377,-0.4886138,0.8545069,1.348933,-0.4880186,0.8500617,1.338567,-0.5021287,0.885922,1.341408,-0.4840519,0.868016,1.338559,-0.483372,0.8636624,1.331614,-0.4953701,0.8795974,1.347035,-0.5290467,0.07419126,
1528894120435,0.8583866,1.343555,-0.5681362,0.843544,1.370758,-0.5470502,0.8345114,1.383651,-0.5292082,0.8812273,1.396803,-0.5165437,0.8816568,1.416921,-0.4973383,0.8790184,1.428336,-0.4848283,0.8846749,1.379211,-0.4986845,0.8777409,1.394335,-0.4713938,0.8710384,1.402647,-0.4551502,0.8788649,1.352676,-0.4998067,0.854583,1.348607,-0.499521,0.84752,1.339035,-0.5132281,0.8850715,1.335497,-0.4935381,0.8669939,1.336173,-0.4929895,0.8609835,1.330861,-0.5053154,0.8833394,1.33996,-0.540571,0.07711816,
1528894120453,0.8608142,1.339768,-0.5732042,0.8462231,1.367446,-0.5526032,0.8370941,1.380631,-0.5350077,0.8847108,1.392191,-0.5209754,0.8855981,1.412319,-0.5018117,0.8831024,1.423833,-0.4893635,0.8889591,1.375023,-0.502905,0.8851628,1.391293,-0.4756371,0.8808265,1.400755,-0.459058,0.8803988,1.348436,-0.5038404,0.8557886,1.345677,-0.5033846,0.8477914,1.336452,-0.5169065,0.885829,1.330795,-0.497436,0.8677504,1.332373,-0.4967567,0.8611804,1.327655,-0.5090951,0.8851292,1.335264,-0.5449095,0.07788848,
1528894120474,0.8651803,1.330531,-0.5847301,0.8512173,1.359119,-0.56508,0.842038,1.372801,-0.5478784,0.8910177,1.381559,-0.5315759,0.8925093,1.401938,-0.5127517,0.8900972,1.413766,-0.5005932,0.8963749,1.364781,-0.5135069,0.8942463,1.382104,-0.4871395,0.8889078,1.392125,-0.4711149,0.8838388,1.338867,-0.5130836,0.8595761,1.338685,-0.5120574,0.8507067,1.33012,-0.5255849,0.8873911,1.320242,-0.5071731,0.8695388,1.323292,-0.5064728,0.8624878,1.319316,-0.5188574,0.8884388,1.324466,-0.5551815,0.0788905,
