time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528894394694,0.8266711,0.7994916,-0.866631,0.7997712,0.7838796,-0.8454922,0.7858227,0.7695837,-0.8325667,0.808124,0.7751619,-0.7976806,0.7953851,0.7589763,-0.7788358,0.7870461,0.7482084,-0.7683869,0.8200992,0.76108,-0.8156847,0.8098605,0.750891,-0.8349109,0.8179606,0.7578855,-0.8500075,0.8391917,0.7519566,-0.8185223,0.8280267,0.744043,-0.8365229,0.8339704,0.752617,-0.8514424,0.8557993,0.7442262,-0.8231673,0.8441724,0.7389225,-0.8351126,0.8474528,0.746434,-0.8469719,0.8482316,0.7843119,-0.8422077,0.06765687,
1528894394722,0.8329213,0.8012998,-0.8714021,0.8058023,0.7859828,-0.8503287,0.7916655,0.7718847,-0.8373802,0.8143129,0.7771348,-0.802341,0.8015115,0.7610126,-0.7834868,0.7931253,0.7502559,-0.7730658,0.8263811,0.7630056,-0.8203076,0.81623,0.7527316,-0.8395809,0.8243517,0.7596197,-0.8547515,0.845482,0.7538863,-0.8230429,0.8343672,0.7458838,-0.841102,0.8403164,0.7543684,-0.8560723,0.8621058,0.7461479,-0.8276154,0.8505133,0.7408108,-0.8396268,0.8537809,0.7482867,-0.8515229,0.8545306,0.7861071,-0.8468052,0.06786954,
1528894394749,0.8443611,0.8035266,-0.8757157,0.8177516,0.7881528,-0.8540272,0.8038586,0.7740589,-0.8408126,0.8274121,0.7789721,-0.8063675,0.8150351,0.7628751,-0.7872072,0.8068824,0.7521653,-0.7765551,0.8388984,0.7648348,-0.8248476,0.8281525,0.7548764,-0.8439269,0.8358818,0.7620115,-0.859153,0.8578436,0.7555826,-0.8281565,0.8461544,0.7478727,-0.8459352,0.8516738,0.7566018,-0.8609174,0.874282,0.7477552,-0.8332595,0.8622978,0.7426451,-0.8449483,0.8651903,0.7503712,-0.8567725,0.866471,0.7880186,-0.8518705,0.06795211,
1528894394777,0.8501296,0.8029141,-0.8796925,0.8238462,0.7873822,-0.8577124,0.8101568,0.7732537,-0.8443201,0.83418,0.778255,-0.8101202,0.8221485,0.7621064,-0.7907836,0.8142067,0.751359,-0.7800109,0.8456702,0.7641707,-0.8287361,0.8348188,0.754087,-0.847711,0.8422481,0.761338,-0.8630285,0.8646797,0.7551214,-0.8322375,0.852872,0.7472894,-0.8498985,0.8580668,0.7561255,-0.8649354,0.8811388,0.747471,-0.8375053,0.8690721,0.7422366,-0.849075,0.8716969,0.7500346,-0.8609138,0.8726763,0.7876233,-0.8560607,0.06805475,
1528894394810,0.8604894,0.8008453,-0.8839133,0.8346024,0.7853426,-0.8614412,0.8210426,0.7712393,-0.8478845,0.8462911,0.7751505,-0.8143179,0.834655,0.7587981,-0.7949119,0.826902,0.7479422,-0.7841102,0.8569999,0.7612708,-0.8336172,0.8454937,0.7517628,-0.8525088,0.8525994,0.7592599,-0.8678598,0.8757528,0.7520053,-0.8378384,0.8633533,0.7447662,-0.85533,0.8682371,0.7539121,-0.8702956,0.8919073,0.7442145,-0.843708,0.8794453,0.7394282,-0.8550528,0.8818524,0.7474614,-0.8667834,0.8835094,0.7848147,-0.8612163,0.06814871,
1528894394842,0.8711313,0.7962302,-0.8884474,0.8456241,0.7804254,-0.865747,0.8322809,0.7661908,-0.8521072,0.8580234,0.7700385,-0.8188401,0.8467129,0.7534275,-0.7994638,0.8391347,0.742405,-0.7887073,0.8685215,0.7563472,-0.8383595,0.8567412,0.7469532,-0.8571566,0.863494,0.7546542,-0.8725749,0.8872393,0.7471737,-0.8429309,0.8746148,0.7400835,-0.8602832,0.8791948,0.7494822,-0.8751953,0.9033024,0.7394868,-0.8490602,0.8907132,0.7347624,-0.8602425,0.8929465,0.7429272,-0.8719212,0.8945168,0.7801682,-0.8661788,0.06806084,
1528894394869,0.8841418,0.7918013,-0.8938936,0.8593946,0.7750612,-0.8710299,0.8466042,0.7602706,-0.8574482,0.8730087,0.764023,-0.8245542,0.8623603,0.7467886,-0.8053495,0.8551629,0.7353851,-0.7947291,0.8832718,0.7509574,-0.8446474,0.8712674,0.7418536,-0.8634382,0.8775932,0.7499888,-0.8788575,0.9019946,0.7421432,-0.849799,0.889114,0.7352858,-0.8670522,0.8932623,0.7450918,-0.8818314,0.9179938,0.7348223,-0.8564037,0.9052559,0.7301592,-0.8674279,0.9072053,0.7385414,-0.8790057,0.9082816,0.7757199,-0.8724292,0.06801637,
1528894394922,0.8984146,0.7887365,-0.9049816,0.8745542,0.770613,-0.8822502,0.8625775,0.7549762,-0.8688936,0.8886318,0.7598757,-0.8358868,0.8786432,0.7421119,-0.8168151,0.8718475,0.7303488,-0.806325,0.8992121,0.7474036,-0.8563603,0.8874213,0.7382362,-0.8752692,0.8933779,0.7468147,-0.8906177,0.9181477,0.7392716,-0.8617133,0.9053785,0.7322491,-0.879017,0.9091127,0.7423686,-0.8936931,0.9343085,0.7325675,-0.8684871,0.9216677,0.727632,-0.8795099,0.9233286,0.7361597,-0.8910263,0.9231507,0.7732608,-0.8839105,0.06787694,
1528894394962,0.9116715,0.7843515,-0.9146817,0.8888699,0.7653729,-0.8915573,0.8776566,0.7493099,-0.8780482,0.9041668,0.7547492,-0.8456188,0.8950999,0.7366201,-0.8264315,0.8888634,0.7246093,-0.8158746,0.9147127,0.7426784,-0.8664117,0.9027963,0.7332834,-0.885114,0.9081098,0.7421733,-0.9005362,0.9337621,0.7351624,-0.8721777,0.9208315,0.727816,-0.8892171,0.9239258,0.7381171,-0.9039094,0.9500041,0.7289808,-0.8793319,0.9372814,0.7237034,-0.890049,0.9383826,0.7324065,-0.9014977,0.9372919,0.7695201,-0.8942454,0.06783263,
1528894394996,0.9225491,0.7805184,-0.9204421,0.900172,0.76153,-0.8969107,0.8891675,0.7454466,-0.8832602,0.9166207,0.7503064,-0.8514494,0.9079071,0.7321627,-0.832114,0.901844,0.7201471,-0.8214622,0.9265627,0.7382989,-0.8726745,0.9141099,0.7291405,-0.8911511,0.9190993,0.7381227,-0.9066192,0.9454116,0.7307131,-0.8789654,0.9319948,0.7235637,-0.8957117,0.9347836,0.7339394,-0.9104078,0.9614484,0.7244881,-0.886586,0.9484222,0.7193589,-0.8969746,0.949267,0.7281685,-0.9083603,0.9485978,0.7652431,-0.9008461,0.06796876,
1528894395029,0.9307974,0.7778047,-0.926814,0.9090203,0.7582405,-0.9031974,0.8984938,0.7418146,-0.8895861,0.9259349,0.7470527,-0.8579854,0.9177005,0.7287165,-0.8386201,0.9119444,0.7165915,-0.8279217,0.935838,0.7352955,-0.8793941,0.9233512,0.726067,-0.8977802,0.9280971,0.7352427,-0.9131887,0.9547428,0.7280444,-0.8859147,0.9412717,0.7207705,-0.9025564,0.9437805,0.7312561,-0.9172146,0.9708181,0.7221161,-0.893749,0.9577713,0.7168459,-0.9040219,0.9583689,0.7257608,-0.915332,0.9571993,0.7628067,-0.9076045,0.06796782,
