time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528894079313,1.20674,0.8852462,-0.8620774,1.213812,0.8817207,-0.8254504,1.220138,0.873654,-0.8039901,1.269328,0.8976294,-0.8166809,1.285435,0.8974283,-0.7940713,1.292576,0.8949831,-0.7787195,1.281184,0.8798013,-0.8232458,1.299038,0.8767438,-0.7971587,1.307032,0.8732091,-0.7796235,1.276548,0.8575438,-0.8336327,1.270799,0.846495,-0.8094741,1.256025,0.8391466,-0.7998439,1.2771,0.8401402,-0.8477221,1.274472,0.8313673,-0.8283213,1.263557,0.827672,-0.8188871,1.241946,0.8745098,-0.8666111,0.07962977,
1528894079355,1.20452,0.8873289,-0.8626305,1.211641,0.8843533,-0.8259603,1.217975,0.8766043,-0.8043897,1.267248,0.90027,-0.8175542,1.283289,0.9003229,-0.7949429,1.290137,0.8978788,-0.7794665,1.279046,0.8823195,-0.823859,1.296883,0.8796504,-0.7977418,1.304675,0.8762922,-0.7800889,1.274479,0.8598057,-0.8339113,1.268836,0.8491109,-0.8097286,1.253869,0.8420219,-0.8002374,1.274934,0.8421494,-0.8477595,1.272537,0.8335662,-0.8282624,1.261705,0.8300099,-0.8186809,1.239668,0.8764295,-0.8670408,0.07925289,
1528894079393,1.2037,0.8892825,-0.8636929,1.211184,0.8868018,-0.8270624,1.217544,0.8792923,-0.8054084,1.266694,0.9015237,-0.8190631,1.282737,0.9015822,-0.7964423,1.289595,0.8993219,-0.780937,1.27795,0.8830912,-0.8249971,1.295637,0.8803881,-0.7987881,1.303221,0.8771138,-0.781032,1.273129,0.8606018,-0.8346023,1.267871,0.8506229,-0.8099365,1.253222,0.844026,-0.7995496,1.272979,0.8426454,-0.8480195,1.270995,0.8345605,-0.8281697,1.260524,0.8313391,-0.8180983,1.238327,0.8773801,-0.8679506,0.07868583,
1528894079434,1.203813,0.8902447,-0.8653345,1.211696,0.8883717,-0.8287547,1.218105,0.8811526,-0.8070155,1.267149,0.9016029,-0.8212253,1.283211,0.9015065,-0.7986283,1.289955,0.8992433,-0.783075,1.277833,0.8826838,-0.8267881,1.295413,0.8797902,-0.8005439,1.302761,0.8764917,-0.7826967,1.273157,0.860391,-0.835966,1.268588,0.8512334,-0.8111045,1.253815,0.8453151,-0.8005333,1.271757,0.842079,-0.8488553,1.269733,0.8345827,-0.8288354,1.259123,0.8319614,-0.8187708,1.237838,0.8772897,-0.8693968,0.07786413,
1528894079474,1.20272,0.8909848,-0.8674365,1.211373,0.889388,-0.8310252,1.21826,0.882256,-0.8094112,1.266428,0.9024764,-0.8241971,1.282498,0.9022762,-0.8016278,1.289126,0.899877,-0.7860501,1.277075,0.8835747,-0.8298733,1.294718,0.880631,-0.8036958,1.301938,0.8772432,-0.7858236,1.27321,0.8615547,-0.8391122,1.27025,0.8526424,-0.813841,1.255899,0.8467635,-0.8030013,1.27107,0.8430439,-0.8517915,1.269544,0.8357111,-0.8317037,1.25909,0.8331163,-0.8214858,1.236633,0.8779916,-0.8719875,0.07667036,
1528894079501,1.201552,0.8914794,-0.8701187,1.210762,0.890383,-0.8338259,1.218051,0.8834416,-0.8123032,1.265336,0.9034333,-0.8274227,1.281251,0.903218,-0.8047671,1.287649,0.9007051,-0.7891176,1.276109,0.8846627,-0.8331722,1.293684,0.8818406,-0.8069532,1.300696,0.8784428,-0.7890121,1.273091,0.8628546,-0.8425186,1.271676,0.8541774,-0.8167832,1.257879,0.8482803,-0.8057855,1.270538,0.8441282,-0.8549968,1.269459,0.8369307,-0.8348411,1.259183,0.834269,-0.8244737,1.23543,0.8785955,-0.8749449,0.07536197,
1528894079527,1.201733,0.8921919,-0.873572,1.211248,0.8913584,-0.8373595,1.218677,0.8843826,-0.8159198,1.265439,0.9036714,-0.8309499,1.281218,0.9031987,-0.8081997,1.287491,0.9005798,-0.7925181,1.276083,0.8849168,-0.8366269,1.293511,0.8820519,-0.8103269,1.300291,0.8786347,-0.7923086,1.273658,0.8633466,-0.8460246,1.274181,0.8550602,-0.8195653,1.261485,0.8493682,-0.8079402,1.270239,0.8442932,-0.8581971,1.269211,0.8372304,-0.8379861,1.259004,0.8346977,-0.8274994,1.23532,0.8789455,-0.8783081,0.07446709,
1528894079554,1.200719,0.8939983,-0.8761914,1.210727,0.8941453,-0.840104,1.218232,0.8875567,-0.8185935,1.264395,0.904559,-0.8338158,1.279887,0.9039737,-0.8108827,1.285793,0.9014107,-0.795056,1.274452,0.8854284,-0.8389336,1.29149,0.8826888,-0.8123869,1.297809,0.8794913,-0.7941682,1.272655,0.8639883,-0.8481312,1.277297,0.8568157,-0.8205012,1.267869,0.8517789,-0.8067338,1.267479,0.8444336,-0.8592975,1.266366,0.8380467,-0.8388357,1.256236,0.8361076,-0.8281276,1.2336,0.8794782,-0.8804806,0.07287288,
1528894079591,1.197785,0.8945373,-0.8800787,1.208128,0.8956738,-0.8441181,1.215864,0.8894512,-0.8226138,1.260929,0.9052927,-0.8374938,1.275881,0.9047599,-0.8142204,1.281238,0.9021573,-0.7982218,1.271083,0.8862437,-0.8424211,1.287586,0.8837731,-0.8155406,1.293366,0.8807042,-0.7971282,1.270526,0.864976,-0.8519059,1.280359,0.858905,-0.824386,1.279536,0.8539826,-0.8063099,1.264245,0.8450459,-0.8623983,1.262632,0.8390201,-0.8419625,1.252142,0.8373237,-0.8315145,1.230504,0.8796867,-0.8840826,0.07092363,
1528894079620,1.194687,0.8961387,-0.8831874,1.205239,0.8976133,-0.8473171,1.213053,0.8914332,-0.8258421,1.257484,0.9066411,-0.840378,1.271996,0.906086,-0.8168477,1.276889,0.9034357,-0.8007193,1.267561,0.887498,-0.8451799,1.283641,0.8850468,-0.8180644,1.288991,0.8819981,-0.7995233,1.26748,0.8662845,-0.854818,1.278469,0.8605791,-0.8275794,1.280178,0.8560308,-0.8091747,1.260466,0.8462555,-0.8649158,1.258423,0.8404961,-0.8445036,1.247663,0.839049,-0.8342696,1.227163,0.8809143,-0.8869689,0.0696435,
1528894079647,1.186698,0.8984245,-0.8862996,1.19716,0.9001137,-0.8504343,1.204838,0.8938457,-0.8289543,1.248749,0.9084681,-0.8426931,1.262471,0.907839,-0.8187206,1.266621,0.905118,-0.8024085,1.25868,0.8891422,-0.8472576,1.273889,0.8865905,-0.8196867,1.278436,0.8835014,-0.800944,1.259091,0.8679949,-0.8570693,1.270258,0.8624922,-0.8298839,1.272954,0.8581945,-0.811361,1.251337,0.8479171,-0.866834,1.248545,0.8424809,-0.846516,1.237339,0.8413827,-0.8366857,1.218876,0.8827288,-0.8895639,0.06818344,
1528894079673,1.181511,0.8981082,-0.8880381,1.191833,0.9001535,-0.852154,1.199552,0.8940848,-0.8306375,1.242591,0.909766,-0.8438549,1.255227,0.9094833,-0.8193473,1.258343,0.9067252,-0.8028307,1.252852,0.8904866,-0.8481745,1.266826,0.8882138,-0.8199947,1.27015,0.8851151,-0.8010197,1.254371,0.8695529,-0.8581874,1.265042,0.864647,-0.8308246,1.266746,0.8605314,-0.8121418,1.247219,0.849158,-0.8678076,1.244778,0.8439169,-0.8474417,1.233678,0.8426094,-0.8374774,1.213934,0.8830593,-0.8909851,0.06625272,
1528894079700,1.172608,0.8971598,-0.8923297,1.182493,0.8995728,-0.8563545,1.189943,0.8937035,-0.8346828,1.232342,0.9094926,-0.8470181,1.243242,0.909321,-0.821797,1.244584,0.9063312,-0.8051175,1.24253,0.8900059,-0.8508514,1.254456,0.8877551,-0.8218312,1.255832,0.8845541,-0.8026611,1.244738,0.8691132,-0.8608794,1.253831,0.8644732,-0.8330939,1.253263,0.8603948,-0.8143864,1.238145,0.8486238,-0.8704535,1.236039,0.8435843,-0.849773,1.225519,0.8421209,-0.8391879,1.20501,0.8821439,-0.8945763,0.06339723,
1528894079727,1.16485,0.8966758,-0.8960622,1.174115,0.8990868,-0.8599194,1.181202,0.8932718,-0.8381029,1.223203,0.909725,-0.8494738,1.232727,0.9096189,-0.8238059,1.232638,0.9063714,-0.8071647,1.233244,0.8901008,-0.8528481,1.243086,0.8877438,-0.8231796,1.24244,0.8843032,-0.8040538,1.236,0.8692685,-0.8628656,1.243376,0.8647193,-0.8347045,1.240794,0.8605975,-0.8162436,1.230124,0.8488165,-0.8726113,1.227902,0.843939,-0.8517872,1.21759,0.8423473,-0.840989,1.197285,0.8819541,-0.897598,0.061437,
1528894079755,1.150897,0.8949337,-0.9003687,1.158823,0.8969092,-0.8638642,1.165176,0.8909776,-0.8418455,1.20664,0.9093739,-0.851329,1.214349,0.9092813,-0.8251674,1.21262,0.9056512,-0.80874,1.216813,0.8898342,-0.8541664,1.224016,0.8873887,-0.8238798,1.221017,0.8835945,-0.8050976,1.220579,0.8692111,-0.8641786,1.225837,0.864827,-0.8356419,1.221269,0.8605987,-0.8176435,1.2159,0.8487243,-0.8743001,1.213232,0.8438908,-0.8533894,1.203091,0.8419302,-0.8424083,1.18353,0.881147,-0.9006599,0.05968396,
1528894079792,1.135928,0.8922015,-0.9056203,1.142115,0.8933324,-0.8687269,1.147748,0.8871246,-0.8465785,1.188706,0.9080702,-0.8537624,1.195062,0.9078266,-0.8272939,1.192537,0.9036386,-0.8111146,1.199851,0.8890375,-0.8566885,1.205364,0.886115,-0.8261683,1.201063,0.8815089,-0.8078741,1.204945,0.8689404,-0.8671077,1.208389,0.864031,-0.8384894,1.202131,0.8589679,-0.8213258,1.202178,0.8484436,-0.8781804,1.199149,0.842774,-0.8574998,1.188873,0.8399071,-0.8468443,1.169186,0.8801312,-0.9048901,0.05946787,
1528894079820,1.126716,0.8909085,-0.9085054,1.132206,0.8917388,-0.8714894,1.137563,0.8855281,-0.8492525,1.178283,0.9071443,-0.855533,1.184161,0.9066989,-0.8289642,1.181439,0.9022176,-0.8128948,1.189849,0.8884369,-0.8585505,1.194778,0.8852413,-0.8279589,1.190204,0.8802768,-0.8098279,1.19534,0.8686166,-0.8691366,1.197804,0.8633647,-0.8405036,1.190776,0.8578606,-0.8238463,1.193474,0.848196,-0.8806816,1.190075,0.8421135,-0.8601769,1.179533,0.8388808,-0.8499353,1.160258,0.8795414,-0.9074029,0.05937632,
1528894079847,1.109781,0.8882238,-0.9117121,1.113653,0.8887882,-0.8744565,1.118089,0.8827374,-0.8519493,1.15882,0.9045686,-0.8564059,1.163818,0.9042661,-0.829547,1.161212,0.9000676,-0.8133173,1.170998,0.8860365,-0.8592924,1.175138,0.8826644,-0.8285212,1.170601,0.877594,-0.8103636,1.17707,0.8664162,-0.8699303,1.178572,0.8608117,-0.8411921,1.171397,0.8550107,-0.8246785,1.176244,0.8460534,-0.8819544,1.172211,0.8394247,-0.8617365,1.161299,0.8358231,-0.8520546,1.143518,0.8773809,-0.9094506,0.06043495,
1528894079874,1.097764,0.8861648,-0.9126972,1.100704,0.8861763,-0.875322,1.104612,0.8802031,-0.852661,1.145616,0.9025869,-0.8562496,1.150028,0.9020227,-0.8293177,1.14702,0.8974341,-0.8132862,1.158304,0.8843613,-0.8592926,1.162208,0.8807382,-0.8284721,1.157834,0.8754432,-0.8103223,1.164768,0.8648565,-0.8701863,1.165756,0.8586117,-0.8415184,1.158662,0.8523567,-0.8250625,1.165061,0.84472,-0.8826936,1.161587,0.8374102,-0.8624473,1.151454,0.8331144,-0.8521287,1.131814,0.8759912,-0.9100645,0.06037927,
1528894079900,1.080515,0.8835822,-0.9143291,1.081716,0.8829858,-0.8768193,1.084502,0.8771437,-0.8539215,1.126604,0.898946,-0.8559451,1.130064,0.8979242,-0.8288671,1.126596,0.8930064,-0.8130342,1.139773,0.8809009,-0.859135,1.143013,0.8766504,-0.8282719,1.13849,0.8709782,-0.810263,1.146637,0.8615059,-0.8703799,1.146814,0.8542283,-0.8418787,1.139591,0.8473936,-0.8256693,1.148109,0.8417634,-0.8835105,1.145013,0.8335441,-0.8634126,1.135634,0.8285048,-0.8526348,1.114932,0.8736407,-0.9109362,0.06078919,
1528894079926,1.068873,0.8810402,-0.9149396,1.068552,0.8805518,-0.8773683,1.070396,0.8753291,-0.8541956,1.112857,0.8978087,-0.8552196,1.115226,0.8967394,-0.828063,1.111125,0.8915203,-0.8124909,1.126731,0.8802525,-0.858052,1.128996,0.876097,-0.8271124,1.123897,0.870228,-0.8093317,1.134298,0.8608372,-0.8691214,1.133215,0.8531815,-0.8408014,1.125115,0.8459041,-0.8252283,1.137358,0.8413532,-0.8822398,1.13454,0.8329535,-0.8621119,1.125645,0.8274652,-0.8511059,1.103691,0.8721979,-0.9105512,0.06050066,
1528894079953,1.052965,0.8789363,-0.9170525,1.050709,0.8782359,-0.8795311,1.051329,0.8731631,-0.8562443,1.094464,0.8959063,-0.8554671,1.095755,0.8946669,-0.8282236,1.091203,0.8893645,-0.8127905,1.108733,0.8786033,-0.8578473,1.109879,0.8743017,-0.8268565,1.104235,0.8682873,-0.8092856,1.116635,0.8590126,-0.8687519,1.11383,0.8506309,-0.8408055,1.104604,0.8428906,-0.8261362,1.121031,0.8399131,-0.8818491,1.11798,0.8312066,-0.861814,1.109151,0.825416,-0.8509125,1.087973,0.8705954,-0.9113089,0.06116128,
1528894079990,1.03754,0.8771911,-0.9183903,1.033606,0.8764447,-0.8809894,1.033115,0.8716515,-0.8576238,1.077156,0.8943341,-0.8553478,1.077971,0.8931776,-0.8280337,1.073392,0.8880192,-0.8125414,1.091781,0.8772296,-0.8573374,1.092427,0.8729311,-0.8263119,1.086649,0.8668864,-0.8087862,1.099473,0.8572689,-0.8681326,1.094771,0.848014,-0.8408062,1.084262,0.8397744,-0.8273742,1.105054,0.8386629,-0.8811156,1.101263,0.8297168,-0.8613778,1.091872,0.8237716,-0.8510485,1.072614,0.869187,-0.9114566,0.06263046,
1528894080021,1.022386,0.8772886,-0.9199595,1.017488,0.876125,-0.882681,1.016309,0.8711275,-0.859376,1.061267,0.8928795,-0.8558906,1.061926,0.8914466,-0.8285286,1.057445,0.8863986,-0.812946,1.075763,0.8755945,-0.8578795,1.076236,0.8708706,-0.8268635,1.070564,0.8647818,-0.8092971,1.082942,0.8554873,-0.8688877,1.077097,0.8455222,-0.8420647,1.065877,0.8370842,-0.8293673,1.088703,0.8371816,-0.8820223,1.084179,0.8278956,-0.8626295,1.07424,0.8219489,-0.8528515,1.057345,0.868777,-0.9124617,0.06388418,
1528894080047,1.012319,0.8761011,-0.9212009,1.006807,0.8742645,-0.8840014,1.005119,0.8692566,-0.8607158,1.050365,0.8908857,-0.8563441,1.051158,0.8891645,-0.8289109,1.047194,0.8842012,-0.8131334,1.065246,0.873866,-0.8585422,1.066106,0.8687338,-0.8275093,1.061168,0.8625488,-0.8097228,1.072289,0.8536553,-0.8700157,1.065909,0.8425195,-0.843713,1.054608,0.8335178,-0.831484,1.078676,0.8360262,-0.8833825,1.073754,0.8261622,-0.8644413,1.06348,0.8199097,-0.8552187,1.047358,0.8678505,-0.9134521,0.06525175,
1528894080073,1.004074,0.8750702,-0.9215926,0.9979166,0.8736107,-0.884465,0.9957076,0.868974,-0.8611411,1.041645,0.8895622,-0.8562848,1.042459,0.8882744,-0.8287605,1.038779,0.8838584,-0.8127349,1.056514,0.8723138,-0.8582935,1.057551,0.8674366,-0.827166,1.05304,0.8616197,-0.8091199,1.062944,0.8516701,-0.8697617,1.055632,0.8402429,-0.8438354,1.043834,0.8312608,-0.8320637,1.069422,0.8341699,-0.8829601,1.063687,0.8243313,-0.8643378,1.052716,0.8183434,-0.8558056,1.039001,0.8663297,-0.9133848,0.06648165,
