Scene,Start,End,Grasp
mediumclamp_x+,1528900190613,1528900198935,1528900197165
spoon_z-,1528900199647,1528900205137,1528900203507
gelatinbox_y-,1528900206366,1528900211349,1528900209511
foambrick_y+,1528900212046,1528900217361,1528900215219
mug_x-,1528900218033,1528900222351,1528900220882
hammer_x-,1528900223167,1528900227305,1528900225835
hammer_x+,1528900228074,1528900232127,1528900230673
mustardbottle_y+,1528900232917,1528900237097,1528900235513
pottedmeatcan_z+,1528900237782,1528900243054,1528900240446
sponge_y+,1528900243967,1528900253499,1528900250964
crackerbox_y-,1528900254382,1528900259268,1528900257299
hammer_y+,1528900259928,1528900265388,1528900263058
spoon_y-,1528900266156,1528900271123,1528900269139
banana_y+,1528900271795,1528900276124,1528900274472
mustardbottle_z-,1528900276896,1528900281123,1528900279849
spoon_x-,1528900281784,1528900286376,1528900284604
lego_z-,1528900287086,1528900293109,1528900292032
pottedmeatcan_y-,1528900293808,1528900299632,1528900297899
mustardbottle_x-,1528900300530,1528900304484,1528900303061
lego_z+,1528900305131,1528900309004,1528900307619
spoon_x+,1528900309649,1528900313696,1528900312288
gelatinbox_y+,1528900314449,1528900317926,1528900316582
mustardbottle_x+,1528900318624,1528900321791,1528900320380
largemarker_y+,1528900322487,1528900326593,1528900324554
bleachcleanser_y-,1528900327664,1528900332126,1528900330302
sponge_y-,1528900332690,1528900339965,1528900338553
foambrick_y-,1528900340624,1528900344590,1528900343061
sponge_x+,1528900345298,1528900349404,1528900347833
gelatinbox_x+,1528900350051,1528900353604,1528900352250
hammer_y-,1528900354199,1528900358404,1528900356973
pottedmeatcan_x-,1528900359051,1528900362617,1528900361355
spoon_y+,1528900363264,1528900367033,1528900365111
orange_x+,1528900367798,1528900371045,1528900369757
bleachcleanser_z+,1528900371700,1528900375565,1528900374034
banana_x-,1528900376210,1528900379739,1528900378299
largemarker_z+,1528900380384,1528900384178,1528900382513
crackerbox_y+,1528900384838,1528900388580,1528900387053
scissors_z+,1528900389425,1528900393059,1528900391276
gelatinbox_z+,1528900392898,1528900396992,1528900395810
banana_z+,1528900399118,1528900402726,1528900401569
mug_y+,1528900403888,1528900407645,1528900405796
sponge_z+,1528900408639,1528900411927,1528900410568
largemarker_x+,1528900412665,1528900415569,1528900414515
banana_y-,1528900416640,1528900420472,1528900419143
mediumclamp_y+,1528900421199,1528900424910,1528900423382
foambrick_x-,1528900425788,1528900429167,1528900427885
scissors_z-,1528900429812,1528900433298,1528900432196
largemarker_x-,1528900434412,1528900437592,1528900436301
foambrick_z-,1528900438303,1528900441754,1528900440743
scissors_y+,1528900442690,1528900446379,1528900444651
sponge_z-,1528900447173,1528900450914,1528900449732
mug_y-,1528900451612,1528900455511,1528900454235
scissors_y-,1528900456413,1528900460207,1528900458701
bleachcleanser_x-,1528900473186,1528900476636,1528900475238
crackerbox_x-,1528900477360,1528900481653,1528900480064
sponge_x-,1528900482399,1528900486807,1528900485689
pottedmeatcan_x+,1528900487533,1528900491542,1528900490024
orange_y-,1528900492534,1528900497222,1528900495734
banana_z-,1528900498628,1528900504353,1528900503385
mug_z+,1528900505083,1528900509755,1528900507945
gelatinbox_x-,1528900510814,1528900520435,1528900519210
mediumclamp_y-,1528900537467,1528900541463,1528900540122
foambrick_x+,1528900542176,1528900545329,1528900544129
pottedmeatcan_y+,1528900546015,1528900549767,1528900548055
mug_x+,1528900550516,1528900553653,1528900552266
lego_x-,1528900554202,1528900557355,1528900556214
mediumclamp_x-,1528900558002,1528900561265,1528900560103
bleachcleanser_x+,1528900561855,1528900565132,1528900563918
mustardbottle_z+,1528900565962,1528900569052,1528900567774
mug_z-,1528900569762,1528900572545,1528900571693
pottedmeatcan_z-,1528900573294,1528900576116,1528900575159
crackerbox_z-,1528900576841,1528900581196,1528900579866
bleachcleanser_z-,1528900581843,1528900585264,1528900584068
lego_y+,1528900585962,1528900589398,1528900587973
orange_x-,1528900590163,1528900593224,1528900591945
scissors_x+,1528900593790,1528900596878,1528900595733
spoon_z+,1528900597506,1528900600584,1528900599414
orange_y+,1528900601245,1528900604398,1528900603013
largemaker_y-,1528900605306,1528900609465,1528900608014
lego_x+,1528900610123,1528900613303,1528900612056
lego_y-,1528900613925,1528900617385,1528900616241
banana_x+,1528900618003,1528900621452,1528900619737
crackerbox_z+,1528900622163,1528900625573,1528900624492
hammer_z-,1528900626272,1528900629664,1528900628616
mediumclamp_z+,1528900630565,1528900633759,1528900632627
bleachcleanser_y+,1528900634577,1528900637867,1528900636561
mustardbottle_y-,1528900638659,1528900642425,1528900641041
mediumclamp_z-,1528900643138,1528900646599,1528900645520
orange_z+,1528900647339,1528900650466,1528900649256
foambrick_z+,1528900651231,1528900654239,1528900653001
hammer_z+,1528900654858,1528900658198,1528900656896
scissors_x-,1528900659058,1528900662839,1528900661429
gelatinbox_z-,1528900663523,1528900666865,1528900665762
crackerbox_x+,1528900667552,1528900671226,1528900670001
largemaker_z-,1528900671859,1528900675346,1528900674362
orange_z-,1528900676046,1528900679509,1528900678472
