time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528900667577,1.078363,0.8869442,-0.9500146,1.070649,0.884937,-0.9124562,1.069869,0.8791816,-0.8883321,1.114949,0.9158404,-0.8889945,1.110762,0.9070374,-0.8631141,1.102636,0.894603,-0.8537965,1.13163,0.9042632,-0.8903472,1.12491,0.8951541,-0.8607724,1.1134,0.883023,-0.8496273,1.147051,0.889016,-0.9001213,1.142212,0.8795854,-0.8722264,1.130584,0.8683785,-0.860909,1.157339,0.8720211,-0.9118015,1.155609,0.8646184,-0.8901758,1.146343,0.8573887,-0.8797681,1.117746,0.890717,-0.9437813,0.05004228,
1528900667617,1.06867,0.891436,-0.9546494,1.059953,0.8890872,-0.9173298,1.058662,0.8831379,-0.8932849,1.104463,0.9197997,-0.8923734,1.100531,0.9110378,-0.8663936,1.09276,0.8984612,-0.8570381,1.121708,0.9088037,-0.8937583,1.11561,0.8997998,-0.8639911,1.104584,0.8874707,-0.852621,1.1378,0.8939631,-0.9037512,1.133972,0.8844783,-0.8756751,1.123008,0.8729892,-0.8640188,1.148801,0.8771969,-0.9158282,1.148388,0.8695209,-0.894194,1.139827,0.8618972,-0.8835516,1.108261,0.8955973,-0.9477807,0.05207053,
1528900667644,1.063859,0.8941797,-0.9585813,1.053622,0.891669,-0.9216383,1.05109,0.8860155,-0.8975712,1.098365,0.9223841,-0.8949344,1.094438,0.9137601,-0.8688881,1.086956,0.9010458,-0.8595427,1.116139,0.91202,-0.896185,1.110311,0.9032317,-0.8662873,1.099657,0.8907109,-0.8548272,1.133024,0.8976684,-0.9061992,1.129881,0.8883106,-0.8779774,1.119452,0.8765633,-0.8661416,1.14478,0.881138,-0.9185029,1.145174,0.8733354,-0.896944,1.136994,0.8653319,-0.8863472,1.103659,0.8987731,-0.950753,0.0543916,
1528900667681,1.056525,0.900158,-0.9631783,1.044766,0.8975722,-0.9267123,1.04151,0.8918548,-0.9027567,1.089383,0.9292893,-0.8983681,1.085672,0.9213111,-0.8719227,1.078738,0.9088597,-0.8617882,1.107753,0.9195359,-0.899229,1.102421,0.9113086,-0.8689551,1.092415,0.8988887,-0.8567909,1.125524,0.9057026,-0.9089639,1.12328,0.896836,-0.8803977,1.113673,0.8850542,-0.8679165,1.138359,0.8891993,-0.9212868,1.139987,0.8813186,-0.8998153,1.132542,0.8729749,-0.8889616,1.096515,0.9057212,-0.9542372,0.05790965,
1528900667725,1.050891,0.9052738,-0.9672124,1.036572,0.9036061,-0.9316097,1.031342,0.8986207,-0.9077979,1.080748,0.9358697,-0.9006882,1.076621,0.9298143,-0.8736961,1.069474,0.9183657,-0.8625528,1.099083,0.9257126,-0.9001918,1.093182,0.9191446,-0.8695621,1.082896,0.9075925,-0.8567634,1.117358,0.9115696,-0.9086152,1.114929,0.9043784,-0.8794882,1.105406,0.8934922,-0.8661191,1.131017,0.8944018,-0.9200493,1.133227,0.8874015,-0.8982778,1.126259,0.8794535,-0.8868123,1.090326,0.9103556,-0.955675,0.06237827,
1528900667764,1.04449,0.9125307,-0.9694216,1.031285,0.9116347,-0.9333447,1.026388,0.9074813,-0.9092474,1.077049,0.9445813,-0.904575,1.074233,0.9395632,-0.8771635,1.067641,0.9287134,-0.8650675,1.095522,0.9343038,-0.9044991,1.09136,0.9288583,-0.8733248,1.081835,0.9179521,-0.859375,1.113399,0.9199622,-0.9132971,1.112789,0.9140227,-0.8837059,1.104357,0.9039159,-0.8689724,1.126516,0.9022261,-0.9249228,1.130088,0.8957963,-0.9031514,1.123964,0.8881755,-0.8909537,1.084192,0.9176573,-0.9592987,0.06406649,
1528900667790,1.040844,0.9173105,-0.9709195,1.027806,0.9157387,-0.9348086,1.02301,0.9110281,-0.9108039,1.074258,0.9478941,-0.9055063,1.071704,0.9429655,-0.8780755,1.065064,0.9321942,-0.865951,1.092709,0.9371988,-0.9057115,1.089024,0.9316318,-0.8745338,1.079507,0.9207366,-0.8605983,1.110307,0.9227226,-0.914904,1.1102,0.9166207,-0.8853602,1.101864,0.9065053,-0.8706038,1.123099,0.9048833,-0.9270104,1.127213,0.8981853,-0.90541,1.121379,0.8904848,-0.8931251,1.080633,0.9216862,-0.9608586,0.06502523,
1528900667817,1.036616,0.9215118,-0.9730273,1.02391,0.9196156,-0.9368354,1.019486,0.9145344,-0.9128393,1.070175,0.9521221,-0.9074836,1.067876,0.9476157,-0.8800462,1.061224,0.9368378,-0.8679879,1.088674,0.9412639,-0.9077539,1.0853,0.9359077,-0.8765978,1.075737,0.9249272,-0.8628383,1.106063,0.9267645,-0.9170294,1.105993,0.9208167,-0.8875322,1.0975,0.9106308,-0.8729637,1.118699,0.908854,-0.9291984,1.122666,0.9022121,-0.9076009,1.116598,0.8944818,-0.8954709,1.076332,0.9256928,-0.9629837,0.06520043,
1528900667843,1.033662,0.924688,-0.9751984,1.020867,0.9228901,-0.939034,1.016326,0.9178191,-0.9150561,1.066661,0.9558311,-0.9095901,1.063969,0.9518564,-0.8821789,1.056897,0.9412934,-0.8701844,1.084924,0.9445883,-0.9094738,1.081035,0.9397919,-0.8783557,1.070992,0.9291059,-0.8647248,1.102061,0.9297372,-0.9183317,1.101341,0.924392,-0.8887804,1.092311,0.9145623,-0.8743082,1.114572,0.9114451,-0.930114,1.118134,0.9052585,-0.9083164,1.111766,0.8978739,-0.8961319,1.073004,0.9284804,-0.9647092,0.06488877,
1528900667870,1.02624,0.9317273,-0.9801785,1.013919,0.9286427,-0.9439746,1.010054,0.9222251,-0.9202517,1.059044,0.9617198,-0.9139202,1.055939,0.9578122,-0.8865899,1.048384,0.947343,-0.8748457,1.077225,0.9498452,-0.9137987,1.073284,0.9450355,-0.8826855,1.062968,0.9345871,-0.869088,1.093803,0.9346777,-0.922706,1.092736,0.9292948,-0.8931721,1.083333,0.9196571,-0.8788296,1.105827,0.9162191,-0.934595,1.109004,0.9099827,-0.9127439,1.102324,0.9027419,-0.9006616,1.065156,0.9347853,-0.9694073,0.06451198,
