time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528900651257,1.10975,0.8495293,-0.8588626,1.097073,0.8476039,-0.8225673,1.091307,0.8430725,-0.7986848,1.139211,0.8725343,-0.7924646,1.129457,0.8636866,-0.7683269,1.11884,0.8515063,-0.761515,1.156532,0.8600426,-0.7921869,1.145847,0.8516162,-0.7637291,1.13219,0.8403245,-0.7541704,1.172986,0.8441126,-0.8008531,1.166362,0.835593,-0.7729617,1.153673,0.825435,-0.7617584,1.183507,0.8261074,-0.8124838,1.180854,0.8184108,-0.7912352,1.170481,0.8115111,-0.7817707,1.148003,0.8493643,-0.847886,0.04701874,
1528900651311,1.092219,0.8438104,-0.8883692,1.078428,0.8414257,-0.8524973,1.071635,0.8367156,-0.8289088,1.121491,0.8626047,-0.8203342,1.111221,0.8533095,-0.7966203,1.100154,0.8412186,-0.7904553,1.138382,0.8495334,-0.8204012,1.127041,0.8403959,-0.7924791,1.112873,0.829125,-0.7837041,1.154592,0.8335361,-0.8295498,1.147463,0.8242316,-0.8020654,1.134337,0.8140182,-0.7914718,1.164874,0.8156921,-0.8418851,1.162047,0.807264,-0.8209283,1.151525,0.8002536,-0.811729,1.13045,0.8414975,-0.8767343,0.04808602,
1528900651336,1.084576,0.8421627,-0.8957557,1.071018,0.8393107,-0.8598278,1.064196,0.8343349,-0.8362911,1.115896,0.8575283,-0.8274546,1.106109,0.8479578,-0.8036066,1.094918,0.8360601,-0.7973096,1.132424,0.8440682,-0.8283171,1.121635,0.8345476,-0.8003124,1.107411,0.8234241,-0.7914807,1.147971,0.8278599,-0.8383936,1.141262,0.817874,-0.81108,1.128064,0.8076446,-0.80063,1.157541,0.8101282,-0.8516027,1.155021,0.8010247,-0.8309227,1.144465,0.7939584,-0.821835,1.123043,0.8380172,-0.8848171,0.04966265,
1528900651376,1.06896,0.8409796,-0.9113127,1.055438,0.837274,-0.8754593,1.048693,0.8314259,-0.8521217,1.100805,0.8534502,-0.8425477,1.090849,0.843703,-0.8188502,1.079256,0.8320892,-0.8127798,1.11679,0.8394068,-0.8437943,1.105809,0.8296299,-0.8159531,1.091227,0.8188337,-0.8073167,1.131751,0.8229405,-0.8543253,1.124881,0.8125921,-0.8271796,1.11141,0.8026059,-0.8168463,1.140685,0.805232,-0.8680348,1.138061,0.7957604,-0.8475271,1.127378,0.7888322,-0.8384854,1.10716,0.83518,-0.9004919,0.04982288,
1528900651417,1.052593,0.8390275,-0.925679,1.03776,0.8338141,-0.8905461,1.030244,0.8267796,-0.8677956,1.081724,0.8487327,-0.8551367,1.070895,0.8385363,-0.8320197,1.05895,0.8269495,-0.8266319,1.097591,0.8345313,-0.8562551,1.085661,0.82422,-0.828979,1.070709,0.813423,-0.8210101,1.112795,0.8182651,-0.8667958,1.105082,0.807358,-0.8400806,1.091262,0.7972723,-0.8303196,1.122061,0.8008651,-0.8808333,1.11887,0.7908659,-0.8606558,1.107927,0.7837542,-0.8520868,1.090093,0.8323705,-0.913536,0.05018434,
1528900651443,1.041259,0.8411574,-0.9330391,1.025078,0.8350149,-0.8986621,1.016845,0.8272765,-0.8764067,1.06705,0.8504132,-0.8610716,1.055438,0.8399115,-0.8384759,1.043457,0.8281144,-0.833656,1.083209,0.8364941,-0.8616759,1.070385,0.8258438,-0.8349248,1.055317,0.8147726,-0.8275796,1.099146,0.8206441,-0.8717599,1.090618,0.8094985,-0.8453833,1.076628,0.7991294,-0.836182,1.109293,0.8035223,-0.8856449,1.105544,0.7933282,-0.8656579,1.09443,0.7859383,-0.8575613,1.07834,0.8349168,-0.9193613,0.050364,
1528900651471,1.032977,0.8429209,-0.9401888,1.015585,0.8364451,-0.9064836,1.006805,0.8283501,-0.8845899,1.055384,0.8534023,-0.8672242,1.043061,0.8429326,-0.8450067,1.031142,0.8309306,-0.8405851,1.071917,0.8398755,-0.8669977,1.058285,0.8293056,-0.8406379,1.043171,0.817991,-0.8337821,1.088583,0.8243021,-0.8762708,1.079226,0.8133203,-0.8501254,1.065085,0.8027474,-0.8414133,1.099699,0.8072789,-0.8895731,1.095381,0.7972603,-0.8696262,1.084105,0.7897047,-0.8619207,1.069404,0.8376541,-0.9248621,0.05035237,
1528900651508,1.024519,0.8460429,-0.9467118,1.005147,0.8390299,-0.9142435,0.9954171,0.8303487,-0.893012,1.041615,0.856873,-0.8723345,1.028265,0.8460923,-0.8507977,1.016437,0.8338171,-0.8468757,1.058494,0.8438932,-0.8709366,1.043607,0.8330508,-0.8453419,1.028448,0.8213657,-0.8392402,1.076118,0.8287182,-0.8790835,1.06541,0.8174409,-0.8535955,1.051043,0.806458,-0.8457909,1.088631,0.8120437,-0.891589,1.083416,0.8018844,-0.8719193,1.071958,0.7939735,-0.8648506,1.059887,0.8416305,-0.9289088,0.05081747,
1528900651536,1.018525,0.8483479,-0.9502187,0.9974693,0.8411448,-0.9188685,0.9868129,0.8322507,-0.8981849,1.031615,0.8595644,-0.8749207,1.017586,0.8486853,-0.8537597,1.005818,0.8362975,-0.8499579,1.048626,0.8469296,-0.8725625,1.032867,0.8359838,-0.847469,1.017702,0.8241029,-0.8417554,1.066853,0.831961,-0.8797565,1.055167,0.8204979,-0.8547597,1.04068,0.8092598,-0.8475379,1.080342,0.8154588,-0.8915387,1.074465,0.8051516,-0.8721099,1.062906,0.7969912,-0.8654841,1.053094,0.8445079,-0.9304583,0.05199446,
1528900651563,1.016956,0.8532265,-0.9540985,0.9952501,0.8461892,-0.9231868,0.9843805,0.8371409,-0.9027121,1.028803,0.8652225,-0.8785642,1.014534,0.8546589,-0.8572872,1.002652,0.8424696,-0.8531125,1.045616,0.8524502,-0.8757616,1.02949,0.8417705,-0.8506898,1.014227,0.8300736,-0.8447978,1.063831,0.8373199,-0.8824415,1.051722,0.8261136,-0.8574521,1.037143,0.815042,-0.8501039,1.077476,0.8205932,-0.8937842,1.071353,0.8103998,-0.8743017,1.059804,0.8023092,-0.8675448,1.051058,0.8494853,-0.9335349,0.0531259,
1528900651590,1.014602,0.8562971,-0.9537236,0.9939638,0.8486809,-0.9222329,0.9840454,0.8392369,-0.9014743,1.028229,0.8693913,-0.8787078,1.014781,0.8585094,-0.8569565,1.003314,0.8461211,-0.8521534,1.045368,0.8569862,-0.8762455,1.030162,0.8459267,-0.8506696,1.015383,0.8339374,-0.8441041,1.06378,0.8422652,-0.8832392,1.052662,0.8308408,-0.8578334,1.038614,0.8194889,-0.8498652,1.077528,0.8257049,-0.8948073,1.072294,0.8153319,-0.8751176,1.061244,0.806971,-0.8678399,1.04929,0.8537545,-0.9340259,0.05339688,
1528900651616,1.013571,0.8602107,-0.9519828,0.9940766,0.8527749,-0.9197399,0.9848759,0.843267,-0.8986913,1.029978,0.8726802,-0.8775252,1.017017,0.8619049,-0.8554525,1.005363,0.8497791,-0.8504344,1.046708,0.8596821,-0.8756989,1.031994,0.8486924,-0.8498171,1.017072,0.8370467,-0.8429363,1.064515,0.8446304,-0.8832636,1.054077,0.8334625,-0.8574001,1.040097,0.8225362,-0.8487078,1.077374,0.8277724,-0.8952954,1.072698,0.8175711,-0.8753264,1.061852,0.8095112,-0.8674041,1.048661,0.8567576,-0.9335281,0.05282845,
