time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528900601280,1.055403,0.8472589,-0.8823086,1.043837,0.8475354,-0.845594,1.038672,0.844516,-0.8213249,1.074324,0.8710793,-0.8237621,1.057121,0.8545463,-0.8121213,1.047193,0.8411294,-0.8175889,1.088694,0.8583254,-0.8214445,1.066384,0.8427649,-0.8075478,1.051354,0.830534,-0.8128793,1.102859,0.842464,-0.8270736,1.080868,0.8287674,-0.8141236,1.064547,0.8187436,-0.8190277,1.113483,0.8272931,-0.8340994,1.095868,0.819734,-0.8234297,1.081442,0.8147731,-0.8273345,1.091077,0.8490209,-0.8700151,0.009901304,
1528900601323,1.044989,0.8404036,-0.9106615,1.03233,0.8400492,-0.8743123,1.026659,0.8367916,-0.8501824,1.060482,0.8652334,-0.8526394,1.043935,0.8469471,-0.8425571,1.035118,0.8328709,-0.8485731,1.075571,0.8537483,-0.8495682,1.053671,0.8363953,-0.8368679,1.03957,0.8232182,-0.8426427,1.090866,0.8389543,-0.8546076,1.069131,0.8236169,-0.8426858,1.053538,0.8125381,-0.8478712,1.102609,0.8246449,-0.8611159,1.08486,0.815876,-0.8513938,1.070864,0.8099781,-0.8556883,1.080374,0.8446673,-0.8974257,0.009460771,
1528900601348,1.039735,0.8392999,-0.9244864,1.02635,0.839276,-0.8884012,1.020229,0.8363019,-0.8643351,1.053392,0.8648879,-0.8674338,1.036754,0.8459091,-0.8584086,1.028351,0.8315712,-0.8645639,1.068523,0.8539202,-0.8635879,1.046307,0.8360966,-0.8515708,1.032389,0.8225799,-0.8572004,1.084033,0.8393943,-0.8680195,1.061878,0.8236858,-0.856673,1.046445,0.8121883,-0.8615845,1.096023,0.8252871,-0.8739903,1.077741,0.81629,-0.8650172,1.063888,0.8099792,-0.8693196,1.074636,0.8444896,-0.9106064,0.009402139,
1528900601392,1.028301,0.8364593,-0.9461317,1.013908,0.836105,-0.9104778,1.007679,0.8325645,-0.8865475,1.041066,0.8597779,-0.8886033,1.025572,0.839331,-0.8813038,1.018447,0.8251035,-0.8889979,1.056577,0.8497695,-0.8848633,1.035252,0.830241,-0.8745505,1.022556,0.8162955,-0.8817509,1.072859,0.8363202,-0.8895402,1.051405,0.8190345,-0.8796923,1.037016,0.8070331,-0.8861378,1.085675,0.8230603,-0.8957473,1.06772,0.8127995,-0.8876478,1.054463,0.8060933,-0.8929208,1.063445,0.8422108,-0.9316646,0.01332768,
1528900601428,1.022817,0.838068,-0.9598535,1.007017,0.8376682,-0.924808,0.9998425,0.8339068,-0.901187,1.034741,0.8592948,-0.9013252,1.018715,0.8390381,-0.8952879,1.011684,0.8254813,-0.9041032,1.049871,0.8489593,-0.897326,1.027908,0.8297136,-0.8882574,1.015251,0.8163109,-0.8964708,1.066046,0.8353248,-0.9017448,1.044047,0.8183822,-0.8928412,1.029642,0.8068885,-0.9001094,1.078806,0.8218594,-0.9078945,1.060527,0.811837,-0.9002772,1.047273,0.8056408,-0.9060477,1.057924,0.8423135,-0.9441189,0.01482253,
1528900601470,1.016143,0.839693,-0.973263,0.9998387,0.8400737,-0.9384446,0.9922603,0.8369777,-0.9148391,1.027467,0.8624361,-0.9149356,1.011599,0.8422195,-0.9082648,1.004914,0.8283689,-0.9167531,1.042714,0.8523873,-0.9106006,1.020894,0.8331915,-0.9009242,1.008424,0.8193241,-0.9086211,1.059289,0.8389642,-0.9142883,1.037582,0.8221708,-0.9043398,1.023235,0.8101775,-0.9108591,1.072249,0.8253254,-0.9201975,1.05419,0.8152901,-0.9118915,1.040916,0.8087213,-0.9171235,1.051189,0.84461,-0.9572896,0.01542403,
1528900601510,1.009923,0.8439033,-0.9828278,0.9942871,0.8441214,-0.9477009,0.9870517,0.8410395,-0.9239672,1.022238,0.8664796,-0.9242386,1.006524,0.8463216,-0.9167008,0.999523,0.8323461,-0.9246573,1.037696,0.8564175,-0.9203046,1.016228,0.8371996,-0.9097881,1.003551,0.8232671,-0.9169664,1.054349,0.8430604,-0.9243709,1.03307,0.8261959,-0.9134382,1.018466,0.8140998,-0.9191495,1.067229,0.8293826,-0.9307562,1.049509,0.8191717,-0.9217496,1.036005,0.8125858,-0.9263096,1.045137,0.8489597,-0.9675173,0.01521796,
1528900601549,1.002395,0.8532417,-0.9855278,0.9881069,0.8526492,-0.9498528,0.9817138,0.8489164,-0.9259558,1.017988,0.8729573,-0.926248,1.002214,0.8529888,-0.9183275,0.994556,0.8393267,-0.9261987,1.033509,0.8622763,-0.923566,1.012233,0.8431089,-0.9125582,0.9988793,0.8297132,-0.9195101,1.049644,0.8487042,-0.9290825,1.0286,0.8317798,-0.9178253,1.013458,0.8202293,-0.9232917,1.061973,0.835034,-0.9366256,1.044556,0.8247443,-0.9271595,1.030686,0.8187196,-0.9313381,1.038629,0.8565297,-0.9715151,0.01602947,
1528900601575,0.990473,0.860171,-0.9905702,0.9762142,0.8591973,-0.954901,0.969925,0.8550996,-0.9310381,1.006674,0.8789892,-0.9303468,0.9910699,0.8592443,-0.9219018,0.9832754,0.8457215,-0.9297837,1.022224,0.8680135,-0.9282501,1.001222,0.8487832,-0.9172974,0.9879595,0.8356627,-0.9247624,1.038354,0.8544841,-0.9341656,1.017579,0.8374251,-0.9230348,1.002487,0.8261282,-0.9289992,1.050715,0.840927,-0.9419963,1.033601,0.8304778,-0.9323631,1.01973,0.8246273,-0.936665,1.026629,0.8630425,-0.9765673,0.01636319,
1528900601602,0.9796776,0.8638585,-0.9934481,0.9651996,0.8621542,-0.9579024,0.9588546,0.8575596,-0.9341478,0.9955008,0.8823603,-0.9322286,0.9801923,0.8627059,-0.9232937,0.9725173,0.8490747,-0.9310454,1.011216,0.8713283,-0.9304471,0.9905841,0.8518841,-0.9194527,0.977594,0.8387218,-0.9271858,1.027599,0.8580134,-0.9365287,1.007218,0.8406683,-0.9254404,0.9923735,0.8293346,-0.9317849,1.040272,0.8446742,-0.9444773,1.023575,0.8339062,-0.9345947,1.009806,0.8278979,-0.9388944,1.015975,0.8669327,-0.9792245,0.01637946,
1528900601628,0.9730238,0.8655057,-0.9950245,0.9576361,0.8638753,-0.9598418,0.9505864,0.8595151,-0.9362384,0.9874159,0.8844463,-0.9329996,0.9723057,0.8648925,-0.9237758,0.9649688,0.8510619,-0.9314642,1.003348,0.8735852,-0.9309356,0.9829842,0.8540745,-0.91986,0.9704183,0.8406776,-0.9277899,1.020134,0.860472,-0.9366915,1.000066,0.8430057,-0.9255974,0.9855964,0.8314273,-0.9322702,1.03331,0.847261,-0.9443556,1.016975,0.8363264,-0.934279,1.003413,0.8300214,-0.9387269,1.009098,0.868952,-0.9800131,0.01735226,
1528900601655,0.9592001,0.8720611,-0.9977595,0.9421324,0.8697935,-0.9633591,0.9336358,0.8652598,-0.9402621,0.9713658,0.8893887,-0.9335972,0.9557655,0.870425,-0.9241436,0.9483851,0.85664,-0.9317888,0.9872868,0.8780437,-0.9314271,0.9666212,0.8588454,-0.9206564,0.9542269,0.8456887,-0.9290805,1.004294,0.8648362,-0.9370259,0.9840792,0.8475168,-0.9262529,0.9697599,0.836135,-0.9334415,1.017793,0.8516192,-0.9446898,1.001562,0.8406426,-0.9346693,0.9881135,0.834376,-0.9394038,0.9947217,0.8745207,-0.9811888,0.01906931,
1528900601691,0.9469391,0.8764657,-0.9981236,0.928362,0.8741968,-0.9644711,0.9184873,0.870225,-0.9418026,0.9565223,0.8958763,-0.9325978,0.9410653,0.8776052,-0.9213393,0.9337349,0.8630633,-0.9274555,0.9728838,0.8847017,-0.9299295,0.952644,0.8656458,-0.91778,0.9405335,0.8516098,-0.9250695,0.9906046,0.8717898,-0.9348987,0.9709946,0.8543974,-0.9229808,0.9570352,0.8421074,-0.929297,1.004875,0.8587298,-0.9421175,0.9892691,0.8475733,-0.9312938,0.9760935,0.8404657,-0.9355191,0.9818245,0.8802212,-0.980313,0.02212731,
1528900601722,0.9347559,0.8789587,-0.9984496,0.9148788,0.8776828,-0.9654725,0.9038879,0.8747587,-0.9431519,0.941846,0.9027472,-0.9329724,0.9261612,0.8856728,-0.9194428,0.9183546,0.8704408,-0.9229269,0.9585367,0.8919839,-0.9291018,0.9383861,0.8739064,-0.9144888,0.9259717,0.8589498,-0.9191189,0.9766722,0.879023,-0.9330055,0.9573106,0.8623025,-0.9190876,0.9433706,0.8490837,-0.9233102,0.9914476,0.8656781,-0.9393148,0.9761339,0.8549048,-0.9273697,0.9630544,0.8470235,-0.9304085,0.9688488,0.8845741,-0.9796772,0.02523849,
1528900601748,0.9259397,0.8793568,-0.9967582,0.9063497,0.8783293,-0.9635897,0.8953792,0.875893,-0.9411871,0.9335076,0.9053887,-0.9316584,0.9186724,0.8886021,-0.9163548,0.910761,0.8730405,-0.9178733,0.9508013,0.8954167,-0.9276307,0.9318017,0.8775657,-0.9107112,0.9193358,0.8620472,-0.9129457,0.9692948,0.8828844,-0.9316169,0.9511072,0.8661952,-0.9155395,0.9372401,0.8522648,-0.9172865,0.9844174,0.8696537,-0.9380115,0.970077,0.8586475,-0.9247811,0.9570922,0.8501338,-0.9262575,0.9601674,0.8867195,-0.978655,0.02807617,
1528900601775,0.9139544,0.8815901,-0.9908915,0.8940551,0.8803856,-0.9579021,0.8826623,0.8780501,-0.935683,0.9223677,0.9074285,-0.9249996,0.9079826,0.8910859,-0.9081427,0.8994294,0.8756992,-0.9075564,0.9398634,0.8977765,-0.9209552,0.9215961,0.8805273,-0.9019887,0.9087087,0.8650706,-0.9016553,0.9583864,0.8852484,-0.9252577,0.9410254,0.8688828,-0.9074003,0.92703,0.8548546,-0.9067537,0.9735457,0.8717928,-0.9320798,0.9599942,0.8606071,-0.9178724,0.9469963,0.8518885,-0.9178548,0.948465,0.8890862,-0.9727913,0.03282934,
1528900601802,0.9070425,0.8831187,-0.9903533,0.8863817,0.8817447,-0.957842,0.8743309,0.8793546,-0.9359756,0.9167495,0.9068952,-0.9228617,0.9023572,0.8912432,-0.904891,0.8930872,0.8763625,-0.9026634,0.9342304,0.8968956,-0.9190412,0.9162729,0.8804147,-0.8985704,0.902884,0.8654777,-0.8960331,0.9525536,0.8840436,-0.9238389,0.9356616,0.8681554,-0.9046932,0.9214675,0.8544586,-0.9021984,0.9673886,0.8701394,-0.9314038,0.9543117,0.8588417,-0.9165932,0.9412677,0.8501772,-0.9153702,0.9421003,0.8890125,-0.9717708,0.03834647,
