time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528900345315,0.8732395,0.9287018,-0.8822552,0.8446951,0.9273394,-0.8564953,0.8278828,0.923812,-0.8382338,0.868232,0.9549835,-0.8091053,0.8513632,0.9480033,-0.7877107,0.8391789,0.9369579,-0.7814254,0.8839537,0.9441941,-0.8002927,0.8642125,0.9375938,-0.7759379,0.8485538,0.9269034,-0.769078,0.9029081,0.9291995,-0.8000135,0.8865108,0.9220793,-0.7754703,0.8713814,0.9121636,-0.7673756,0.9189019,0.9117222,-0.8045657,0.9091278,0.9047965,-0.7848708,0.8969958,0.8974095,-0.7781923,0.901695,0.9308825,-0.854206,0.05939371,
1528900345342,0.8766539,0.9370109,-0.8836275,0.8475313,0.9361254,-0.8584775,0.8301404,0.9332036,-0.8406436,0.8703498,0.9645171,-0.8109021,0.8532912,0.9579107,-0.7895747,0.8411741,0.946824,-0.783278,0.8861967,0.9542388,-0.801648,0.8663055,0.948164,-0.7773268,0.8507013,0.9374365,-0.7704685,0.9054118,0.939378,-0.8008467,0.8889264,0.932596,-0.7763121,0.8738468,0.9225917,-0.7682803,0.9217672,0.9219698,-0.8048918,0.9120051,0.9152614,-0.7851541,0.8999048,0.9077796,-0.7785544,0.9047812,0.9399374,-0.8551401,0.05998396,
1528900345358,0.880923,0.9379795,-0.8880761,0.8513535,0.9374824,-0.8634171,0.8334869,0.9350992,-0.845962,0.8737727,0.9667971,-0.8158097,0.8566259,0.9604709,-0.7945157,0.844623,0.9492877,-0.7882262,0.8897381,0.957043,-0.8062232,0.8697568,0.9514143,-0.7819365,0.8542331,0.9405937,-0.7751184,0.9091914,0.9423243,-0.8049847,0.8926687,0.9358311,-0.7804556,0.8776526,0.9257042,-0.7725095,0.9258232,0.9249901,-0.8085952,0.9160445,0.918475,-0.7888498,0.9039502,0.9108931,-0.7823844,0.9089243,0.9417917,-0.8593235,0.06048757,
1528900345382,0.8860103,0.9426457,-0.8888586,0.855847,0.9431907,-0.864902,0.8373417,0.9418051,-0.8480028,0.878249,0.9732662,-0.8171864,0.8608626,0.9677746,-0.7959051,0.8487949,0.9567577,-0.7895242,0.8942419,0.9639257,-0.8071849,0.8740872,0.9593955,-0.7828767,0.8584855,0.9488164,-0.7759653,0.9137712,0.9490324,-0.8053853,0.8971593,0.9432858,-0.7807941,0.882087,0.9333006,-0.7728526,0.9304702,0.931509,-0.8084548,0.9206207,0.925445,-0.7886652,0.908438,0.9179388,-0.7823298,0.9138497,0.9469676,-0.8597541,0.06143696,
1528900345399,0.8916144,0.941399,-0.895192,0.8610368,0.94291,-0.8717991,0.8421905,0.9421785,-0.8552449,0.8835322,0.9731722,-0.8238717,0.8658316,0.9685487,-0.8027034,0.853507,0.9578179,-0.7964082,0.8993222,0.963755,-0.8135357,0.8789067,0.9602531,-0.789345,0.8630444,0.9500588,-0.7825469,0.9185859,0.9483818,-0.8113108,0.9017019,0.9433455,-0.7867984,0.8863794,0.9336802,-0.7790046,0.9349989,0.9304558,-0.8139962,0.9248621,0.9247979,-0.7942736,0.9124504,0.917528,-0.7881523,0.9192243,0.9455408,-0.8657027,0.06192268,
1528900345423,0.8969539,0.9480861,-0.8964065,0.86623,0.9506525,-0.8733013,0.8472851,0.9505109,-0.8568603,0.8889443,0.9809077,-0.8254433,0.8710162,0.9772329,-0.8043612,0.8583542,0.9668828,-0.7981837,0.9044492,0.9712442,-0.8148046,0.8839086,0.968924,-0.7906724,0.8677052,0.9592785,-0.7839631,0.9232453,0.9552423,-0.8122241,0.9061898,0.951129,-0.7877236,0.8905421,0.9419776,-0.7800115,0.9391399,0.9367735,-0.8145988,0.9287913,0.9317068,-0.7948768,0.9161119,0.9248387,-0.7888862,0.9241922,0.9517115,-0.8666974,0.06191526,
1528900345449,0.9015113,0.9468442,-0.9019416,0.8719969,0.9499419,-0.8773613,0.8537804,0.9503957,-0.8601087,0.8969762,0.9809178,-0.8314307,0.8801402,0.9772979,-0.8094374,0.867987,0.9668693,-0.8023895,0.913205,0.9718041,-0.8214911,0.8938856,0.9696473,-0.7963484,0.8781985,0.9598963,-0.7885914,0.9324495,0.9560927,-0.8195832,0.9167423,0.9521129,-0.7941918,0.9016676,0.9428219,-0.7855378,0.9484853,0.9378291,-0.8224392,0.9392272,0.9329427,-0.802152,0.9269683,0.9259842,-0.7954126,0.9304056,0.9513792,-0.8738771,0.06168238,
1528900345482,0.9082555,0.9491547,-0.9077106,0.87963,0.9533489,-0.8822373,0.8617775,0.9548835,-0.8646501,0.9067507,0.9836075,-0.8375235,0.8904731,0.9800308,-0.8151035,0.8786547,0.9695331,-0.8075473,0.9235576,0.9748335,-0.8283102,0.9049334,0.9728354,-0.8026122,0.8896008,0.9630535,-0.7941425,0.9432054,0.9592049,-0.8270615,0.9284317,0.955249,-0.8011028,0.9137961,0.9458669,-0.791778,0.959305,0.9410088,-0.8304636,0.9508061,0.9361126,-0.8098286,0.9388906,0.9290845,-0.8025336,0.9386684,0.953813,-0.8809891,0.06132031,
1528900345503,0.9128716,0.9502019,-0.9111797,0.8846825,0.9548758,-0.8852996,0.8669883,0.9569363,-0.8676,0.9126977,0.9846624,-0.8411852,0.8966657,0.9809033,-0.8186293,0.885088,0.9702368,-0.810908,0.9298184,0.9761832,-0.8323925,0.9114623,0.9740855,-0.8065148,0.8963553,0.9641485,-0.7977772,0.9498088,0.960718,-0.8314939,0.935498,0.9566267,-0.8053142,0.9211292,0.9470623,-0.7957419,0.9660527,0.9426621,-0.8352053,0.957947,0.9376839,-0.8144364,0.946231,0.9305311,-0.8069268,0.9440022,0.9550499,-0.8851922,0.06097943,
1528900345528,0.9155052,0.9520717,-0.9168675,0.8876827,0.9570889,-0.8906522,0.8701437,0.9595162,-0.8728416,0.9164875,0.9862547,-0.8469618,0.9006038,0.9821683,-0.8243757,0.8892523,0.9712675,-0.8166115,0.9338904,0.978017,-0.8385889,0.9156971,0.9756312,-0.812629,0.9008002,0.9654578,-0.8037581,0.9542267,0.9627368,-0.838063,0.9402865,0.9583557,-0.811749,0.9261594,0.9485451,-0.8020445,0.9706234,0.9448477,-0.8421237,0.9628462,0.9396784,-0.8212745,0.9513178,0.9323664,-0.813611,0.9474171,0.9569976,-0.8915017,0.06053968,
