time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529079162284,0.9831665,0.4997667,-0.8728225,0.970147,0.5299929,-0.8534601,0.9553774,0.5413511,-0.8344935,0.9880642,0.5165743,-0.791568,0.9754633,0.5298933,-0.7683861,0.9583566,0.5348127,-0.7629579,0.9820455,0.4958233,-0.7831458,0.9602145,0.5080259,-0.7618403,0.9396279,0.5131088,-0.7632509,0.9765363,0.4731339,-0.7861117,0.9513065,0.4833226,-0.7735834,0.9333127,0.4873296,-0.7829494,0.9715989,0.4525804,-0.7933052,0.9528302,0.4610511,-0.789454,0.9458315,0.4644055,-0.8034497,0.9895278,0.4725666,-0.8380241,0.07189552,
1529079162363,1.023851,0.5333618,-0.880302,1.014915,0.5627606,-0.8577761,1.002492,0.5729193,-0.836725,1.034102,0.543784,-0.7986866,1.022887,0.5557696,-0.7745962,1.0058,0.5604042,-0.7695495,1.027347,0.5232301,-0.7916558,1.006856,0.5352411,-0.7697428,0.9866422,0.5408369,-0.7718433,1.020705,0.5010327,-0.7957296,0.9969302,0.5116601,-0.7823653,0.9796174,0.5164901,-0.7922635,1.0146,0.4814803,-0.803707,0.9973238,0.4906272,-0.7987797,0.9912319,0.4938803,-0.8129202,1.030315,0.5032812,-0.8480529,0.06841136,
1529079162431,1.074054,0.5553063,-0.893755,1.065848,0.5884194,-0.8763151,1.052748,0.6033645,-0.8586723,1.076464,0.5768183,-0.8147646,1.061324,0.593176,-0.7969083,1.043777,0.59878,-0.7980152,1.067663,0.5586821,-0.8060337,1.045917,0.5765981,-0.7905581,1.027295,0.5833219,-0.7975373,1.059244,0.5365605,-0.8072199,1.035799,0.5519239,-0.7988065,1.020697,0.5569249,-0.8116189,1.051724,0.5165969,-0.8125249,1.035357,0.5284847,-0.8102455,1.030512,0.5308488,-0.8250761,1.074482,0.5295407,-0.8574743,0.06148793,
1529079162500,1.106124,0.5658779,-0.9073483,1.097684,0.6005609,-0.8926239,1.085108,0.6183726,-0.8771913,1.112196,0.5984416,-0.8334251,1.099299,0.617432,-0.8158234,1.082574,0.6250076,-0.8162122,1.1024,0.5825372,-0.8216226,1.083443,0.6035907,-0.8053968,1.065325,0.6122519,-0.8109354,1.092444,0.5616175,-0.8192557,1.071316,0.5798523,-0.809615,1.055623,0.586109,-0.8210502,1.082917,0.5419036,-0.821716,1.067588,0.5556008,-0.81805,1.060662,0.5588307,-0.8320206,1.105981,0.546982,-0.8699393,0.06139131,
1529079162579,1.12921,0.5805829,-0.9150874,1.122076,0.6143495,-0.8975661,1.111093,0.6313037,-0.8801144,1.144098,0.6150483,-0.8445684,1.133506,0.6331186,-0.8250099,1.116925,0.6402689,-0.8243283,1.135846,0.5998432,-0.8309706,1.120076,0.620428,-0.811642,1.101896,0.6292473,-0.8153129,1.126292,0.5796442,-0.8265415,1.108276,0.5982709,-0.8123043,1.09139,0.6057656,-0.8205501,1.115918,0.5601273,-0.8271073,1.102213,0.5743241,-0.8186893,1.092278,0.5797113,-0.8298466,1.132915,0.5639573,-0.8795071,0.05680215,
1529079162642,1.132863,0.594115,-0.9185711,1.127708,0.6250603,-0.8961945,1.121399,0.6373632,-0.8736222,1.168308,0.6203387,-0.8506488,1.161408,0.634442,-0.826638,1.144934,0.6378406,-0.8192494,1.166954,0.60213,-0.8389925,1.152959,0.6172765,-0.8144416,1.132597,0.6215166,-0.812029,1.16194,0.5793933,-0.8362637,1.143621,0.5917836,-0.8174399,1.123953,0.5945736,-0.822003,1.15554,0.5586715,-0.8376359,1.141136,0.5684822,-0.8274008,1.129754,0.5698957,-0.8381956,1.152861,0.5724095,-0.8887213,0.05924935,
1529079162710,1.142141,0.5810022,-0.9217029,1.135508,0.6106572,-0.8977961,1.132294,0.6228273,-0.8743623,1.187128,0.6136343,-0.8628502,1.181957,0.6262895,-0.8370904,1.167907,0.6261842,-0.8247835,1.19239,0.5949173,-0.8531482,1.179249,0.6057388,-0.8255284,1.159426,0.6044667,-0.8178027,1.193466,0.5712104,-0.8517262,1.175346,0.5778083,-0.8295735,1.154806,0.5749493,-0.8297431,1.192309,0.5496531,-0.8535545,1.177082,0.5550196,-0.8412234,1.163956,0.5529413,-0.8500515,1.175346,0.5630819,-0.8995052,0.0611359,
1529079162782,1.158795,0.5497434,-0.9087614,1.141958,0.5705028,-0.8802992,1.135189,0.5787872,-0.8558169,1.188116,0.5986271,-0.8526691,1.179801,0.6080527,-0.8255483,1.168908,0.6032809,-0.8109791,1.202924,0.5842124,-0.8447018,1.189662,0.5887016,-0.8142726,1.173869,0.5804609,-0.8022701,1.215326,0.5636529,-0.8449295,1.199292,0.5619047,-0.8191457,1.181879,0.551218,-0.8141205,1.224534,0.5436994,-0.8479484,1.210626,0.5419022,-0.8314223,1.196354,0.5349073,-0.8351463,1.197929,0.5496199,-0.8921708,0.06121574,
1529079162849,1.17668,0.5212241,-0.9022951,1.160347,0.5211521,-0.8665203,1.154091,0.519135,-0.84036,1.180182,0.571288,-0.8407506,1.172734,0.5749972,-0.8106273,1.167535,0.571523,-0.7923187,1.201792,0.5683355,-0.8360254,1.19503,0.5707228,-0.8010222,1.189051,0.566372,-0.7800898,1.223361,0.5590373,-0.839822,1.218381,0.557542,-0.8065299,1.212483,0.5502695,-0.786796,1.242908,0.5468838,-0.8464345,1.241448,0.5438564,-0.8213445,1.235642,0.5358198,-0.8073695,1.207869,0.5413536,-0.889384,0.07234087,
1529079162917,1.193925,0.5069849,-0.9039671,1.180643,0.4955247,-0.8686192,1.173289,0.4868736,-0.8440194,1.198074,0.540303,-0.8316175,1.193547,0.5388751,-0.8003905,1.190447,0.5358368,-0.781457,1.221667,0.539304,-0.8284895,1.221469,0.5396658,-0.7924151,1.220435,0.5373446,-0.7703648,1.243476,0.5336632,-0.8352468,1.245945,0.5336479,-0.8012722,1.246262,0.5308822,-0.7796746,1.263423,0.5223744,-0.8460501,1.270408,0.5194877,-0.8213389,1.273432,0.5153323,-0.8048515,1.223262,0.5247052,-0.8875803,0.08127645,
