time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529078971107,1.159166,0.5407344,-0.8478811,1.141089,0.5708259,-0.8240382,1.129007,0.5859067,-0.8023469,1.182344,0.5833509,-0.7779076,1.165121,0.5948957,-0.7537011,1.146833,0.5919491,-0.745823,1.188563,0.5644535,-0.7657017,1.164062,0.573583,-0.7416991,1.141678,0.5690756,-0.7396953,1.194551,0.5396594,-0.7620151,1.169,0.5447223,-0.7427113,1.147752,0.5395143,-0.7469597,1.196979,0.5161806,-0.7629968,1.177047,0.5200773,-0.7531,1.1642,0.5169475,-0.7645431,1.190126,0.5289055,-0.8160965,0.05957533,
1529078971191,1.147034,0.5553612,-0.8652225,1.128521,0.5850513,-0.8420243,1.115823,0.5966129,-0.818961,1.163857,0.5960529,-0.7921783,1.145037,0.6065938,-0.7690679,1.126101,0.6031108,-0.7633983,1.166921,0.5760897,-0.7803702,1.138969,0.5822334,-0.7612168,1.117617,0.5757091,-0.7655303,1.170572,0.551389,-0.7783831,1.141492,0.5534618,-0.7678323,1.124459,0.5460944,-0.779971,1.173778,0.5294108,-0.7794929,1.152315,0.5325071,-0.7755951,1.14432,0.527536,-0.790106,1.173981,0.5423741,-0.8304768,0.05687775,
1529078971260,1.141931,0.5679314,-0.8739096,1.123348,0.5981511,-0.8517889,1.110124,0.609206,-0.8289021,1.158134,0.6078157,-0.7994912,1.139377,0.6194043,-0.7768608,1.120193,0.616802,-0.7715232,1.159935,0.5877171,-0.7877244,1.131719,0.5950611,-0.7694612,1.110199,0.5892594,-0.7742545,1.162387,0.5627666,-0.7860287,1.132821,0.5658568,-0.7766498,1.115729,0.5588729,-0.7890844,1.165049,0.5406106,-0.7870406,1.143474,0.5443689,-0.7840152,1.135944,0.5394137,-0.7987084,1.167416,0.5536581,-0.8376914,0.0587489,
1529078971334,1.139408,0.5799917,-0.881864,1.12096,0.6116385,-0.8615633,1.107298,0.624469,-0.8398067,1.155413,0.6219997,-0.8084968,1.136399,0.6353771,-0.7869878,1.116963,0.6339626,-0.7817668,1.157421,0.60279,-0.795513,1.130084,0.6135243,-0.7764314,1.107773,0.6097171,-0.7792178,1.159131,0.5776854,-0.792249,1.130026,0.5835642,-0.7811262,1.111295,0.5778008,-0.7916433,1.160572,0.5547611,-0.7924535,1.139122,0.5599592,-0.7883189,1.130017,0.5557929,-0.802414,1.163792,0.5660986,-0.844478,0.05960009,
1529078971398,1.129277,0.5869273,-0.8882365,1.109426,0.6186745,-0.8696924,1.095086,0.6316335,-0.8484677,1.144439,0.6306459,-0.8143867,1.125967,0.6443909,-0.7925201,1.106813,0.6428995,-0.7863935,1.147914,0.6118902,-0.8007362,1.121558,0.6230251,-0.7800362,1.099074,0.6192907,-0.7808153,1.150578,0.5867078,-0.7969122,1.122056,0.5919909,-0.7844664,1.103323,0.5854442,-0.7942475,1.152763,0.5635324,-0.7969249,1.131891,0.5677263,-0.7923597,1.123949,0.5627942,-0.8066753,1.154559,0.5742291,-0.8497193,0.0641689,
1529078971462,1.121095,0.5908663,-0.8861845,1.102701,0.6225723,-0.8662738,1.089664,0.6351216,-0.8440195,1.140512,0.6312146,-0.8107049,1.123725,0.6437629,-0.787083,1.104952,0.6416601,-0.7802072,1.144468,0.6119649,-0.7980618,1.119439,0.6218419,-0.7756933,1.097007,0.6177311,-0.7759904,1.147274,0.5866551,-0.7953411,1.119737,0.591144,-0.7813231,1.100738,0.5848591,-0.7908248,1.149418,0.5635769,-0.7963647,1.129189,0.5674488,-0.7905869,1.121019,0.5630476,-0.8049288,1.148137,0.5764124,-0.8489693,0.06594319,
1529078971534,1.123606,0.578429,-0.8780091,1.107633,0.6061605,-0.8505028,1.097256,0.6173326,-0.8259131,1.154304,0.6097856,-0.802254,1.142596,0.6193312,-0.7744329,1.125438,0.6165562,-0.7642919,1.160869,0.5890741,-0.7926303,1.141855,0.5963871,-0.7634479,1.119817,0.5933501,-0.7575113,1.16438,0.5633794,-0.7933341,1.141079,0.5660772,-0.7711437,1.1191,0.5621072,-0.7737205,1.165801,0.540053,-0.7979633,1.146803,0.5427165,-0.7855577,1.132464,0.5417683,-0.7956495,1.155753,0.5606904,-0.8486226,0.06776404,
1529078971598,1.129077,0.5458251,-0.8732386,1.111699,0.5633053,-0.8387249,1.102545,0.568307,-0.8116578,1.163651,0.5766191,-0.7988526,1.158496,0.5825011,-0.7670469,1.146744,0.5777935,-0.7513635,1.176928,0.5575585,-0.7928211,1.166324,0.5593809,-0.7577624,1.148898,0.5529231,-0.7439374,1.185688,0.5333999,-0.797179,1.169892,0.5294421,-0.7675991,1.149688,0.5216642,-0.7602216,1.191235,0.5107466,-0.8052461,1.176491,0.5069858,-0.7858814,1.158701,0.5035817,-0.7863712,1.16772,0.5345503,-0.851818,0.07535929,
1529078971663,1.129217,0.5381726,-0.8665778,1.112765,0.5460808,-0.8282325,1.104325,0.5448266,-0.8004311,1.163482,0.5658919,-0.7914004,1.161956,0.5700596,-0.7580431,1.15444,0.5673563,-0.7390914,1.180546,0.5487629,-0.7872884,1.181882,0.5533543,-0.7490456,1.175498,0.5524801,-0.7260658,1.186229,0.5236418,-0.792577,1.175303,0.5190086,-0.7594132,1.15842,0.5121688,-0.7452919,1.190964,0.5009398,-0.8023577,1.178965,0.4953414,-0.7799909,1.16207,0.491465,-0.7743226,1.166697,0.5291391,-0.8477308,0.08235089,
1529078971738,1.132284,0.5491855,-0.8650951,1.120497,0.5461833,-0.8244581,1.114367,0.5376028,-0.7972521,1.179389,0.5636445,-0.7917657,1.188819,0.563713,-0.7591413,1.189386,0.5610321,-0.7385494,1.193879,0.5433474,-0.7921013,1.207011,0.5418234,-0.7557173,1.209093,0.5389047,-0.7321163,1.193693,0.5189164,-0.7997787,1.192198,0.5112471,-0.7645123,1.182659,0.5050482,-0.7441423,1.189164,0.4983253,-0.8128853,1.17604,0.4926362,-0.7915869,1.158417,0.4914841,-0.7878634,1.168425,0.535579,-0.851573,0.09809612,
