time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529079084777,0.9395156,0.7546979,-0.7649857,0.9234558,0.7864047,-0.7504616,0.9166281,0.8031141,-0.73089,0.9440473,0.8136628,-0.7242614,0.9239933,0.8165765,-0.7036499,0.9109911,0.8053055,-0.6961556,0.9538835,0.8022062,-0.7115937,0.9282141,0.7956558,-0.6964471,0.9173098,0.7777355,-0.6996874,0.966643,0.7851439,-0.7039543,0.9429911,0.7742432,-0.6964068,0.9370623,0.7572874,-0.706834,0.9784483,0.7722975,-0.696667,0.9594696,0.7675198,-0.6923236,0.9553432,0.755928,-0.7029777,0.9686328,0.7627441,-0.7411376,0.03525705,
1529079084848,0.9573178,0.7177294,-0.7772369,0.9399005,0.7492994,-0.7628722,0.9305357,0.7664137,-0.7446707,0.9622173,0.7707982,-0.7282905,0.9408762,0.7716508,-0.7088226,0.9271948,0.7598816,-0.7036327,0.970943,0.7572036,-0.7167856,0.9441013,0.7494023,-0.704309,0.9327703,0.7323631,-0.7103292,0.9829513,0.7395116,-0.710301,0.9577831,0.7291749,-0.7044423,0.9502492,0.7136577,-0.7160813,0.9936219,0.7247286,-0.7044472,0.9739207,0.7200936,-0.7019408,0.9695066,0.7103379,-0.7142318,0.9860696,0.7215127,-0.7499359,0.04168873,
1529079084926,0.9767061,0.6717852,-0.7805457,0.9593973,0.701135,-0.7611094,0.9495206,0.7174149,-0.7422318,0.981344,0.7198469,-0.7280804,0.9601603,0.7185645,-0.7082641,0.9466791,0.7062918,-0.7037783,0.9902688,0.7041807,-0.7187289,0.9643305,0.6933463,-0.7084401,0.9548814,0.676576,-0.7177342,1.0029,0.686578,-0.7143543,0.9784331,0.6748289,-0.7100369,0.9720136,0.6605335,-0.7237289,1.013999,0.6716547,-0.7102357,0.9943516,0.6663163,-0.7079467,0.9897108,0.6575961,-0.720982,1.00559,0.6735086,-0.7554567,0.04013071,
1529079084993,0.9971235,0.6383924,-0.7843565,0.9817373,0.6675905,-0.7630283,0.9727577,0.6837707,-0.7435778,1.003369,0.6838807,-0.7308983,0.9817504,0.6821248,-0.7118514,0.9679053,0.6698459,-0.7088516,1.011045,0.6674395,-0.722704,0.9848986,0.6568379,-0.7145225,0.9767199,0.6406177,-0.7256073,1.022849,0.6491897,-0.718698,0.9984159,0.6382187,-0.7160934,0.993232,0.6247178,-0.730979,1.033174,0.6337069,-0.7147893,1.013465,0.6292263,-0.7132401,1.009184,0.6210366,-0.7267409,1.025405,0.6380707,-0.7600358,0.03772743,
1529079085058,1.004468,0.6331779,-0.7917641,0.9906139,0.6625849,-0.7696189,0.9820512,0.6789874,-0.7501146,1.013817,0.6747381,-0.7352729,0.9917736,0.6736506,-0.7170053,0.9770545,0.6622732,-0.7158398,1.019675,0.6575947,-0.7277745,0.9920754,0.6495605,-0.7200851,0.9821228,0.6350473,-0.7317573,1.029597,0.6382768,-0.7243978,1.003934,0.6299574,-0.7222062,0.9973943,0.6177225,-0.7375004,1.038095,0.6213086,-0.7215817,1.017972,0.6186355,-0.7207291,1.013549,0.6115586,-0.7346768,1.032217,0.6285653,-0.7664194,0.03845895,
1529079085122,1.004468,0.6331779,-0.7917641,0.9906139,0.6625849,-0.7696189,0.9820512,0.6789874,-0.7501146,1.013817,0.6747381,-0.7352729,0.9917736,0.6736506,-0.7170053,0.9770545,0.6622732,-0.7158398,1.019675,0.6575947,-0.7277745,0.9920754,0.6495605,-0.7200851,0.9821228,0.6350473,-0.7317573,1.029597,0.6382768,-0.7243978,1.003934,0.6299574,-0.7222062,0.9973943,0.6177225,-0.7375004,1.038095,0.6213086,-0.7215817,1.017972,0.6186355,-0.7207291,1.013549,0.6115586,-0.7346768,1.032217,0.6285653,-0.7664194,0.03845895,
1529079085186,1.004468,0.6331779,-0.7917641,0.9906139,0.6625849,-0.7696189,0.9820512,0.6789874,-0.7501146,1.013817,0.6747381,-0.7352729,0.9917736,0.6736506,-0.7170053,0.9770545,0.6622732,-0.7158398,1.019675,0.6575947,-0.7277745,0.9920754,0.6495605,-0.7200851,0.9821228,0.6350473,-0.7317573,1.029597,0.6382768,-0.7243978,1.003934,0.6299574,-0.7222062,0.9973943,0.6177225,-0.7375004,1.038095,0.6213086,-0.7215817,1.017972,0.6186355,-0.7207291,1.013549,0.6115586,-0.7346768,1.032217,0.6285653,-0.7664194,0.03845895,
1529079085245,1.004468,0.6331779,-0.7917641,0.9906139,0.6625849,-0.7696189,0.9820512,0.6789874,-0.7501146,1.013817,0.6747381,-0.7352729,0.9917736,0.6736506,-0.7170053,0.9770545,0.6622732,-0.7158398,1.019675,0.6575947,-0.7277745,0.9920754,0.6495605,-0.7200851,0.9821228,0.6350473,-0.7317573,1.029597,0.6382768,-0.7243978,1.003934,0.6299574,-0.7222062,0.9973943,0.6177225,-0.7375004,1.038095,0.6213086,-0.7215817,1.017972,0.6186355,-0.7207291,1.013549,0.6115586,-0.7346768,1.032217,0.6285653,-0.7664194,0.03845895,
1529079085311,1.004468,0.6331779,-0.7917641,0.9906139,0.6625849,-0.7696189,0.9820512,0.6789874,-0.7501146,1.013817,0.6747381,-0.7352729,0.9917736,0.6736506,-0.7170053,0.9770545,0.6622732,-0.7158398,1.019675,0.6575947,-0.7277745,0.9920754,0.6495605,-0.7200851,0.9821228,0.6350473,-0.7317573,1.029597,0.6382768,-0.7243978,1.003934,0.6299574,-0.7222062,0.9973943,0.6177225,-0.7375004,1.038095,0.6213086,-0.7215817,1.017972,0.6186355,-0.7207291,1.013549,0.6115586,-0.7346768,1.032217,0.6285653,-0.7664194,0.03845895,
1529079085372,1.004468,0.6331779,-0.7917641,0.9906139,0.6625849,-0.7696189,0.9820512,0.6789874,-0.7501146,1.013817,0.6747381,-0.7352729,0.9917736,0.6736506,-0.7170053,0.9770545,0.6622732,-0.7158398,1.019675,0.6575947,-0.7277745,0.9920754,0.6495605,-0.7200851,0.9821228,0.6350473,-0.7317573,1.029597,0.6382768,-0.7243978,1.003934,0.6299574,-0.7222062,0.9973943,0.6177225,-0.7375004,1.038095,0.6213086,-0.7215817,1.017972,0.6186355,-0.7207291,1.013549,0.6115586,-0.7346768,1.032217,0.6285653,-0.7664194,0.03845895,
