time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529078880905,0.9008624,0.7348205,-0.8276904,0.9035325,0.75475,-0.790187,0.9119707,0.7643948,-0.7642851,0.9363623,0.7963558,-0.7934409,0.9368857,0.7933797,-0.762789,0.9331336,0.7774615,-0.7511514,0.9571455,0.7887075,-0.7959242,0.9555624,0.7860028,-0.7606271,0.9473403,0.7701654,-0.7457833,0.975951,0.7743093,-0.8044871,0.9757229,0.7728208,-0.7708584,0.966485,0.7594906,-0.7547157,0.9895593,0.7568738,-0.8125054,0.9894432,0.757625,-0.7870038,0.9794793,0.7491492,-0.7744786,0.9396333,0.749377,-0.8367103,0.02812653,
1529078880959,0.9172027,0.7157059,-0.8409574,0.9215046,0.7333926,-0.802495,0.9311578,0.7409168,-0.7764125,0.9530507,0.7748299,-0.8038452,0.9530621,0.7696597,-0.7739761,0.9482725,0.7526636,-0.7646458,0.9744121,0.7683816,-0.8067479,0.9738994,0.7667927,-0.7710109,0.9658286,0.7521257,-0.7549431,0.9928447,0.7534896,-0.8156036,0.9930896,0.7517889,-0.7823331,0.9833249,0.7382178,-0.7667991,1.006241,0.7358607,-0.8241887,1.007366,0.736897,-0.7986779,0.997775,0.7288867,-0.7856101,0.9554492,0.7298802,-0.8489546,0.02386115,
1529078880984,0.9279939,0.7004558,-0.8500714,0.9337987,0.7155275,-0.8106835,0.9440394,0.7214737,-0.7843349,0.9630419,0.758323,-0.8106712,0.9630955,0.7518252,-0.78096,0.9582881,0.7345296,-0.7721761,0.9843957,0.7518343,-0.8138219,0.9839791,0.7485502,-0.7780691,0.9759958,0.733427,-0.7622697,1.002671,0.7372355,-0.8232754,1.002981,0.7339773,-0.7898551,0.993443,0.7200668,-0.7744077,1.016128,0.7201619,-0.8326628,1.017457,0.7201416,-0.8069584,1.008286,0.711951,-0.7935747,0.9653565,0.7154743,-0.8577213,0.0228324,
1529078881025,0.9411664,0.6828965,-0.8615371,0.9489124,0.6951751,-0.8215172,0.9598339,0.6993067,-0.7949852,0.9759655,0.7386258,-0.8195659,0.9754988,0.7311584,-0.7897036,0.9702469,0.7140496,-0.7805874,0.9971237,0.7311788,-0.8225981,0.9960048,0.7258774,-0.7869654,0.987357,0.7104434,-0.771719,1.01525,0.7166525,-0.832405,1.015472,0.7121477,-0.7986767,1.005947,0.6986116,-0.7827748,1.028214,0.6995457,-0.8422115,1.029292,0.6982184,-0.8163175,1.020039,0.6900764,-0.8028867,0.977736,0.6976944,-0.868156,0.0230885,
1529078881064,0.9578744,0.6609629,-0.8728863,0.9667751,0.6706664,-0.8323569,0.9777176,0.6730958,-0.8055673,0.9929538,0.7144369,-0.8285178,0.9911287,0.7065363,-0.7985508,0.9848574,0.6898215,-0.7891371,1.013749,0.7053509,-0.831049,1.011099,0.6987004,-0.7955546,1.001178,0.6834742,-0.7808055,1.031551,0.6902755,-0.8407036,1.030889,0.6848886,-0.8067559,1.020705,0.6720197,-0.7906265,1.043682,0.6726284,-0.850494,1.043944,0.6702546,-0.8244193,1.034223,0.6625601,-0.8109927,0.9941514,0.6746956,-0.878112,0.02450867,
1529078881091,0.9660461,0.6500254,-0.8775487,0.9759588,0.6578183,-0.836815,0.9872422,0.6590489,-0.8100754,1.001807,0.7016816,-0.831779,0.9998219,0.6929734,-0.8018862,0.9933201,0.6762687,-0.7925333,1.022422,0.6918796,-0.8346558,1.019673,0.6838408,-0.7993188,1.009521,0.6684855,-0.7848085,1.039956,0.6768775,-0.8448337,1.039437,0.6703487,-0.8109418,1.029228,0.6573926,-0.7948801,1.051602,0.6592303,-0.8551739,1.052077,0.6558989,-0.8290261,1.042606,0.6482182,-0.8153977,1.002092,0.6634606,-0.8825042,0.02532168,
1529078881127,0.9796998,0.6294155,-0.8889059,0.9905108,0.6342782,-0.8479704,1.002533,0.6332105,-0.8215732,1.015629,0.6777725,-0.8399767,1.013402,0.6673657,-0.8105959,1.006625,0.6502904,-0.8021237,1.036042,0.6676991,-0.8433691,1.03299,0.6575041,-0.8085536,1.022537,0.6414953,-0.7950282,1.053407,0.6531498,-0.8543578,1.052682,0.6446444,-0.8208565,1.042269,0.6309755,-0.8055468,1.06481,0.6359531,-0.8656887,1.065252,0.6310997,-0.8396859,1.055839,0.6228765,-0.8263367,1.015541,0.6427677,-0.893002,0.0262059,
1529078881157,0.9847759,0.6209245,-0.8937073,0.9966158,0.6240672,-0.8529185,1.009559,0.6213974,-0.8271544,1.021988,0.6669904,-0.8435352,1.01997,0.655463,-0.8148082,1.012824,0.63805,-0.8074659,1.042158,0.656835,-0.8474997,1.039394,0.6455874,-0.8131069,1.02868,0.62919,-0.8003921,1.059227,0.6425197,-0.8591992,1.058956,0.6331779,-0.8259931,1.048451,0.619156,-0.8111528,1.070308,0.6255932,-0.8712736,1.071447,0.6202715,-0.845372,1.062348,0.6118615,-0.8319443,1.020532,0.6336716,-0.8975846,0.02599246,
1529078881184,0.9922487,0.6089307,-0.9012184,1.005475,0.6104879,-0.8607806,1.019462,0.6061609,-0.8359261,1.032229,0.6520667,-0.8504785,1.030379,0.6395162,-0.8227572,1.022408,0.6218726,-0.8173782,1.051687,0.6412342,-0.8552506,1.048871,0.6286975,-0.8216797,1.03732,0.6118925,-0.8104237,1.068131,0.6270325,-0.8678132,1.068015,0.6167587,-0.8352267,1.056731,0.6023325,-0.8215107,1.07865,0.6104147,-0.8807656,1.080693,0.6049085,-0.8550683,1.071646,0.5964128,-0.841735,1.028159,0.6204754,-0.9055372,0.02448591,
1529078881210,0.9941344,0.601943,-0.906913,1.008462,0.6017646,-0.8669488,1.023715,0.5951583,-0.843576,1.034793,0.6421033,-0.8547024,1.03256,0.6281986,-0.8283433,1.02369,0.610577,-0.8255195,1.053684,0.6311412,-0.8597442,1.049823,0.6170413,-0.827613,1.036938,0.5997458,-0.8193518,1.069987,0.6172951,-0.872718,1.068941,0.6057964,-0.8412001,1.056156,0.5908016,-0.8299665,1.080673,0.6012493,-0.8863139,1.083382,0.595563,-0.8607518,1.074376,0.5869431,-0.8476136,1.029904,0.6125584,-0.9106784,0.02374398,
