time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528883485934,1.200698,0.9348019,-0.8864839,1.207034,0.9637003,-0.8643094,1.208572,0.9779812,-0.8436706,1.236299,0.958202,-0.8286065,1.228033,0.9747671,-0.8071809,1.214141,0.9815944,-0.7986057,1.237496,0.9405113,-0.8164855,1.230078,0.9588937,-0.7909318,1.215613,0.9691549,-0.7810901,1.233564,0.9183397,-0.8114681,1.227704,0.933609,-0.7854862,1.214898,0.9442033,-0.7744374,1.224277,0.8968861,-0.8098139,1.21958,0.9052878,-0.7884938,1.209946,0.9140562,-0.7795217,1.216565,0.9125187,-0.8612098,0.04555134,
1528883485989,1.194104,0.9192221,-0.9086218,1.200156,0.9502791,-0.8893586,1.201142,0.9672793,-0.8707803,1.223393,0.946686,-0.8482071,1.213407,0.9640976,-0.8290581,1.197936,0.9703003,-0.8239055,1.223397,0.9301764,-0.8349577,1.21382,0.95011,-0.8124141,1.197296,0.959997,-0.8071212,1.219159,0.9079111,-0.8284452,1.211936,0.9244109,-0.8042094,1.197522,0.9353943,-0.7965087,1.208996,0.8863899,-0.8261894,1.202752,0.8954993,-0.8060081,1.191811,0.9048457,-0.7998651,1.205969,0.8989347,-0.8795505,0.04708136,
1528883486042,1.177491,0.9057544,-0.9300522,1.185112,0.9376206,-0.9127331,1.187408,0.9557531,-0.895342,1.211069,0.9332526,-0.8714193,1.20187,0.9509517,-0.8530129,1.186003,0.9565619,-0.8491662,1.210978,0.9175806,-0.8579496,1.202165,0.9383578,-0.8371959,1.184941,0.9475238,-0.8343487,1.20594,0.8955874,-0.8503503,1.19928,0.9130852,-0.8276904,1.184056,0.9241598,-0.8225433,1.194882,0.8746096,-0.8469071,1.189317,0.8848404,-0.8276258,1.178259,0.8949263,-0.8234414,1.189995,0.8856182,-0.9004336,0.04620431,
1528883486068,1.170358,0.8990906,-0.9372711,1.178533,0.9311739,-0.920777,1.181032,0.9491087,-0.9032989,1.2062,0.9272347,-0.8802953,1.19717,0.9450328,-0.8624004,1.181072,0.9501652,-0.8591207,1.206222,0.9120894,-0.8666164,1.19744,0.9331974,-0.8469275,1.179825,0.9416922,-0.8451636,1.200864,0.8904554,-0.8583348,1.193746,0.9085566,-0.8370283,1.177825,0.9192747,-0.8335325,1.189914,0.8697669,-0.8540459,1.184474,0.880883,-0.8356108,1.173199,0.8911297,-0.8328371,1.183795,0.8793653,-0.9076016,0.04419078,
1528883486109,1.154918,0.8876063,-0.9507388,1.165658,0.9193466,-0.9355099,1.169828,0.9362286,-0.9175014,1.196484,0.915444,-0.8975211,1.188937,0.9329433,-0.8794832,1.172757,0.9374186,-0.8760358,1.196863,0.9008775,-0.8838434,1.188915,0.92191,-0.8648026,1.170886,0.9293288,-0.8634594,1.191226,0.8799595,-0.8748463,1.184008,0.898528,-0.8551049,1.167231,0.9081538,-0.8533856,1.180818,0.8598602,-0.8692189,1.176051,0.8722181,-0.8520492,1.164457,0.882347,-0.8509746,1.170252,0.8680635,-0.9217468,0.04158602,
1528883486161,1.142787,0.878611,-0.9574364,1.156448,0.909103,-0.9428021,1.162495,0.9235808,-0.9236121,1.189166,0.9043033,-0.9076197,1.182226,0.9203712,-0.8892247,1.165729,0.9233251,-0.8862809,1.189578,0.8900368,-0.8945038,1.181123,0.9099594,-0.8757612,1.162526,0.9153461,-0.8753508,1.183926,0.8697184,-0.8856264,1.17526,0.8877233,-0.8676057,1.157473,0.8947159,-0.868645,1.174489,0.8505837,-0.8796519,1.169183,0.8640798,-0.8647081,1.156715,0.8727484,-0.8666172,1.160239,0.8583113,-0.9301729,0.0374719,
1528883486187,1.136234,0.8745873,-0.9607756,1.151365,0.903927,-0.9460529,1.158232,0.9162018,-0.9258759,1.185371,0.897419,-0.9123433,1.178733,0.9125267,-0.8935676,1.162125,0.9148585,-0.8907605,1.185627,0.8829513,-0.8998191,1.176898,0.9019663,-0.8809097,1.158068,0.9065031,-0.8808234,1.179676,0.8628905,-0.8915364,1.170197,0.8802879,-0.8741899,1.152165,0.8858721,-0.8764884,1.170423,0.844407,-0.8859487,1.164365,0.8582176,-0.8724704,1.151567,0.8652427,-0.8764504,1.154617,0.8529522,-0.9346638,0.03535604,
1528883486224,1.131354,0.8719486,-0.9631248,1.147012,0.9008251,-0.9486527,1.154477,0.9118959,-0.9281106,1.183104,0.8921359,-0.9157178,1.177023,0.906594,-0.896443,1.160425,0.9087084,-0.8931587,1.183016,0.8773778,-0.9037454,1.174079,0.8957168,-0.8844061,1.155064,0.8999171,-0.8839911,1.176475,0.8575112,-0.896158,1.165775,0.8742411,-0.8794824,1.147531,0.8785312,-0.8827761,1.16737,0.839645,-0.8912295,1.1599,0.8532717,-0.8798448,1.147095,0.8575557,-0.8863505,1.151015,0.8487555,-0.9380422,0.03559731,
1528883486254,1.128299,0.869976,-0.9625524,1.143827,0.8989072,-0.9485251,1.151602,0.9094731,-0.9278831,1.180627,0.8906494,-0.9164914,1.17382,0.9046358,-0.8972616,1.157073,0.9058402,-0.8941008,1.180844,0.8758872,-0.9047487,1.170697,0.8936214,-0.8856831,1.151397,0.8966317,-0.8856121,1.174217,0.8561038,-0.8974159,1.161525,0.8720327,-0.8819979,1.143128,0.8744227,-0.8866187,1.16606,0.8384858,-0.8926956,1.157117,0.8516651,-0.8830643,1.144573,0.8533101,-0.8910492,1.14932,0.8467027,-0.9380281,0.03441483,
1528883486280,1.127569,0.8696997,-0.9638911,1.142188,0.8991381,-0.9501413,1.149201,0.9100835,-0.929436,1.178463,0.8916849,-0.9171688,1.170379,0.9057829,-0.8986316,1.153452,0.906486,-0.8963605,1.178279,0.877224,-0.9051892,1.166519,0.8949517,-0.8872329,1.147133,0.8971757,-0.8883808,1.171362,0.8576466,-0.8978229,1.156953,0.873351,-0.8841009,1.13889,0.8744993,-0.8902851,1.163545,0.8403124,-0.8931057,1.153419,0.8533895,-0.8850276,1.141571,0.8534518,-0.8940291,1.148539,0.847097,-0.9384871,0.03354096,
