time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528883066684,1.156744,0.9374533,-0.9172543,1.137583,0.9347482,-0.8790271,1.133197,0.9289784,-0.8502057,1.155967,0.9784254,-0.8503636,1.144152,0.9588983,-0.8264439,1.138575,0.9388956,-0.8229257,1.175829,0.9739121,-0.8441281,1.159048,0.9528059,-0.817574,1.148328,0.9314487,-0.8134987,1.199344,0.9663906,-0.8456403,1.184116,0.948121,-0.8187128,1.17173,0.9286775,-0.8128644,1.219974,0.9554662,-0.850417,1.209131,0.9435691,-0.828173,1.196903,0.930443,-0.8223097,1.189915,0.9586543,-0.8986065,0.02952068,
1528883066712,1.149386,0.9335142,-0.9223371,1.130068,0.9317094,-0.8839833,1.124098,0.9269454,-0.855109,1.149432,0.9756804,-0.8558374,1.136911,0.9575589,-0.8308202,1.130534,0.9381427,-0.8254712,1.169597,0.9707911,-0.8495038,1.152596,0.9512669,-0.8215368,1.141209,0.9306822,-0.8156028,1.192817,0.9620817,-0.8513566,1.177435,0.9444886,-0.8237752,1.164648,0.9256545,-0.8166899,1.21296,0.9504039,-0.8562799,1.20183,0.9385825,-0.8339955,1.189378,0.9258209,-0.8276953,1.182957,0.9542115,-0.9041702,0.03232955,
1528883066737,1.143069,0.928743,-0.9274449,1.123112,0.9280912,-0.8892728,1.115513,0.9243829,-0.8605375,1.143817,0.97156,-0.8611078,1.130343,0.9546969,-0.8355132,1.123158,0.9358659,-0.8291084,1.164083,0.9662426,-0.8545272,1.146452,0.9482503,-0.8257793,1.134367,0.9283946,-0.8188726,1.187053,0.9563903,-0.8564085,1.171186,0.9396811,-0.8283967,1.157866,0.9214962,-0.8205692,1.20673,0.9438898,-0.8613217,1.195148,0.9324298,-0.8389876,1.182367,0.9201142,-0.8324329,1.177112,0.9484562,-0.9092815,0.0343232,
1528883066764,1.131204,0.9230508,-0.934289,1.110754,0.9233379,-0.8963029,1.102108,0.9204405,-0.8677316,1.132122,0.9664365,-0.8681175,1.117823,0.9506323,-0.8421987,1.110043,0.9322597,-0.8351467,1.152467,0.9607992,-0.8612604,1.134281,0.9440416,-0.8320565,1.121684,0.9247257,-0.8245979,1.175218,0.9500668,-0.8630714,1.15886,0.9340581,-0.8348545,1.145127,0.9163414,-0.8266357,1.194511,0.9369398,-0.867915,1.182403,0.9257582,-0.8456776,1.169323,0.9137443,-0.8391321,1.165367,0.9420361,-0.9160438,0.03555879,
1528883066801,1.121814,0.915784,-0.9408766,1.101174,0.917941,-0.902976,1.091623,0.9164565,-0.8745645,1.124077,0.9602301,-0.8754012,1.108614,0.9459784,-0.8492613,1.099944,0.928196,-0.8417652,1.144502,0.9536786,-0.8682995,1.125542,0.9385725,-0.8387076,1.112071,0.9200431,-0.8308324,1.16671,0.941532,-0.8700473,1.149598,0.926633,-0.8416188,1.135086,0.9097079,-0.833059,1.18516,0.9272009,-0.8748686,1.172178,0.9164387,-0.8529098,1.158455,0.9050092,-0.8466345,1.156675,0.9332919,-0.922888,0.03581697,
1528883066830,1.11277,0.9095987,-0.9467844,1.091506,0.9128851,-0.9092775,1.081182,0.9120632,-0.8811237,1.115508,0.9544448,-0.8812711,1.09864,0.9416124,-0.855354,1.089017,0.9243095,-0.848018,1.13572,0.9467596,-0.8737081,1.11555,0.9329696,-0.8443782,1.101103,0.915084,-0.8368214,1.157358,0.9334195,-0.8750851,1.139035,0.9195151,-0.8470008,1.123585,0.9032237,-0.8389021,1.175072,0.9180791,-0.8796765,1.160957,0.9078898,-0.8582602,1.146487,0.8969939,-0.852788,1.147914,0.9254488,-0.9281843,0.03615729,
1528883066856,1.105907,0.9062338,-0.9495348,1.084319,0.9105748,-0.9122995,1.073533,0.9106027,-0.884305,1.10849,0.9523834,-0.8847909,1.091179,0.9405103,-0.8587485,1.081341,0.9234748,-0.8511139,1.128744,0.9445698,-0.8769086,1.108294,0.9317665,-0.8473225,1.093634,0.9142359,-0.8393748,1.150267,0.930941,-0.8779403,1.131673,0.9178602,-0.8496442,1.116043,0.9018868,-0.8412853,1.167795,0.9152433,-0.882229,1.153367,0.9055301,-0.8608292,1.138743,0.8948195,-0.8554021,1.141084,0.9220155,-0.93099,0.03644592,
1528883066883,1.098114,0.9039891,-0.952012,1.076187,0.9090737,-0.9150583,1.065013,0.9096332,-0.887224,1.100753,0.9508218,-0.8875405,1.082968,0.9398205,-0.8614539,1.072793,0.9230913,-0.8536097,1.120942,0.9426675,-0.8794115,1.100117,0.930653,-0.8497523,1.085151,0.9134744,-0.8416207,1.142297,0.9286755,-0.8801839,1.123345,0.9162133,-0.8518757,1.107446,0.9005206,-0.8435251,1.159618,0.9126095,-0.8842639,1.144875,0.903259,-0.8629618,1.130046,0.8927483,-0.8577327,1.133372,0.9193583,-0.9332861,0.03703457,
1528883066910,1.086227,0.9017284,-0.9562469,1.063531,0.9071269,-0.919784,1.05166,0.9079356,-0.8922578,1.088053,0.9487113,-0.8914914,1.06968,0.9382478,-0.8657731,1.059359,0.9214647,-0.8583757,1.108118,0.9402683,-0.8830498,1.086692,0.9286655,-0.8537962,1.071515,0.9114882,-0.8461426,1.129526,0.9261674,-0.8834481,1.110122,0.9141464,-0.8553953,1.093997,0.8984879,-0.847504,1.146883,0.9099466,-0.8872792,1.131904,0.9009792,-0.8660841,1.116943,0.8905237,-0.861173,1.121311,0.9166816,-0.9368485,0.03728697,
1528883066937,1.07967,0.9017464,-0.9578907,1.056201,0.9072423,-0.9219408,1.043921,0.9079788,-0.8946254,1.079931,0.9489738,-0.8931537,1.060925,0.9386812,-0.8680097,1.050547,0.921731,-0.8612114,1.099712,0.9403538,-0.8842683,1.077468,0.9287167,-0.8558332,1.062158,0.9113213,-0.849039,1.121153,0.926321,-0.8840853,1.100973,0.9144349,-0.8566867,1.084638,0.8986443,-0.8496108,1.138619,0.9101365,-0.8874377,1.123085,0.9014357,-0.8666458,1.10798,0.8909442,-0.8623459,1.114248,0.9166276,-0.9376798,0.0367357,
