time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528883469775,0.8599664,0.8967615,-0.9697546,0.829633,0.9141945,-0.9585618,0.8132547,0.9225071,-0.9418737,0.844095,0.9543275,-0.9285162,0.8220229,0.9532801,-0.9135014,0.8123695,0.9397213,-0.9084814,0.8550104,0.9461734,-0.9136783,0.8297114,0.9370899,-0.9009271,0.8208775,0.9192556,-0.9022142,0.870346,0.9347523,-0.9036661,0.8471134,0.9233469,-0.894706,0.8402045,0.9058415,-0.9000526,0.8837858,0.922974,-0.8964901,0.8657008,0.9154025,-0.8924738,0.8623027,0.9028349,-0.9005536,0.8835183,0.9128854,-0.9419155,0.03757869,
1528883469824,0.8678806,0.8883553,-0.9804288,0.838642,0.9053605,-0.9651133,0.8228967,0.9138079,-0.9477804,0.8543988,0.9461741,-0.9416459,0.8330865,0.9434963,-0.9267017,0.8249741,0.9287158,-0.9224159,0.8659325,0.9367796,-0.9276187,0.8416638,0.9254417,-0.9154824,0.8342744,0.9069522,-0.917854,0.8817242,0.9258999,-0.918102,0.8589196,0.913735,-0.909039,0.8520305,0.8961969,-0.9146429,0.8953034,0.9146216,-0.9113116,0.8768805,0.9072775,-0.9064342,0.8719182,0.8945868,-0.9137716,0.8928165,0.9048131,-0.9564488,0.02949443,
1528883469855,0.874781,0.8782392,-0.9869649,0.8464797,0.8937724,-0.9683158,0.8313683,0.9013424,-0.9499986,0.8616321,0.9355444,-0.9485139,0.8408321,0.9317501,-0.9335002,0.8335813,0.9163888,-0.9298166,0.8738596,0.926379,-0.9347649,0.8496281,0.9151688,-0.9217516,0.8414497,0.8969507,-0.9237285,0.8900481,0.9158753,-0.9256672,0.8668762,0.9046465,-0.9149792,0.8581996,0.8875019,-0.9193561,0.9040034,0.9043865,-0.9192749,0.8851873,0.8980074,-0.91263,0.8778516,0.8857716,-0.9188344,0.8999733,0.8949666,-0.965157,0.02527061,
1528883469880,0.8794458,0.8717955,-0.9882887,0.8516404,0.886634,-0.9682723,0.8368064,0.8938073,-0.9495625,0.8665617,0.9286078,-0.9495878,0.8460706,0.9240923,-0.9345189,0.8392822,0.9084423,-0.9312516,0.8791129,0.9198356,-0.9360713,0.8549314,0.9088483,-0.9226056,0.8464549,0.8907668,-0.9243962,0.8955903,0.9093572,-0.9271197,0.8724381,0.8986241,-0.9156076,0.863061,0.8817523,-0.919556,0.9097524,0.8978184,-0.9209478,0.8909152,0.8920898,-0.9132162,0.8824857,0.8802337,-0.9187326,0.9047661,0.8885511,-0.967286,0.02357114,
1528883469921,0.8870562,0.8637028,-0.9940323,0.8599017,0.8772332,-0.9722353,0.8455303,0.8833197,-0.952775,0.8747649,0.9171956,-0.952165,0.8549235,0.9102026,-0.9373616,0.8490425,0.8939099,-0.9356248,0.8876992,0.9084747,-0.9396523,0.8640448,0.8961496,-0.9267949,0.8561099,0.8779939,-0.9299332,0.9044715,0.8978107,-0.9315368,0.8816823,0.8862855,-0.9202853,0.8723632,0.869597,-0.9251595,0.9188819,0.8860798,-0.9262,0.900187,0.8800689,-0.9180604,0.8912282,0.8686654,-0.9237481,0.9127139,0.8794432,-0.9730703,0.02046012,
1528883469961,0.8897352,0.8627258,-0.9987812,0.8629817,0.8758566,-0.9762887,0.8489164,0.881551,-0.9564505,0.8775241,0.9135524,-0.9560759,0.858134,0.9040002,-0.9421346,0.8532856,0.8872149,-0.941589,0.8906293,0.9051687,-0.9440926,0.8674251,0.8911386,-0.9324744,0.860346,0.872823,-0.9368379,0.907374,0.894712,-0.9363081,0.8847282,0.8820419,-0.926049,0.8758507,0.8652997,-0.9317336,0.921781,0.883229,-0.9312176,0.9029857,0.8766077,-0.9235969,0.8940157,0.8651981,-0.9294916,0.9155261,0.8778827,-0.9777016,0.01649339,
1528883469988,0.8918114,0.8616812,-1.003319,0.8650328,0.8742812,-0.980647,0.851175,0.8793688,-0.9604911,0.8789837,0.910197,-0.9596332,0.8599615,0.898826,-0.9464152,0.8557746,0.8818176,-0.9467575,0.8921322,0.9025072,-0.9477609,0.8690045,0.8876927,-0.9366289,0.8620372,0.8694168,-0.9413921,0.9089073,0.8921771,-0.9401319,0.8862679,0.8788798,-0.93029,0.8774463,0.8621813,-0.9362482,0.9233929,0.8808254,-0.9351796,0.9045532,0.8737541,-0.927817,0.8955621,0.8624004,-0.9338589,0.9174118,0.8764737,-0.9816939,0.01468896,
1528883470026,0.8947297,0.8611782,-1.008527,0.8677822,0.8738586,-0.9862536,0.8540667,0.8784492,-0.965922,0.881679,0.9078987,-0.9635922,0.8625545,0.8957836,-0.951261,0.8585047,0.8788033,-0.9526024,0.8943988,0.9005771,-0.9515446,0.8707858,0.8860781,-0.9409888,0.8635569,0.8680589,-0.9461901,0.9108882,0.889867,-0.943818,0.8878332,0.8768872,-0.9344977,0.8788232,0.8604672,-0.9408517,0.9251616,0.8781619,-0.9388375,0.9061164,0.871324,-0.9318553,0.8970869,0.860235,-0.9382737,0.9200646,0.8748038,-0.985676,0.01404397,
1528883470054,0.8957494,0.860679,-1.010894,0.8687994,0.8737057,-0.9889154,0.8552669,0.8783519,-0.9684974,0.8826939,0.9072226,-0.965912,0.8636647,0.8949682,-0.9535829,0.8597246,0.8780032,-0.9550838,0.8953272,0.9003041,-0.9537815,0.8716986,0.886023,-0.9430963,0.8645337,0.8680066,-0.9482532,0.9117982,0.8896164,-0.9459759,0.8887485,0.87681,-0.93656,0.8798251,0.8603611,-0.9428784,0.9260591,0.8779047,-0.9409319,0.9070535,0.8711649,-0.9339533,0.8981871,0.8600034,-0.9404228,0.921084,0.8741904,-0.987783,0.01413922,
1528883470080,0.8985547,0.8597566,-1.013632,0.8714309,0.8728426,-0.9919293,0.8578712,0.8775871,-0.9715618,0.8846717,0.9066304,-0.9690051,0.8657677,0.8944743,-0.9564193,0.8620303,0.8775034,-0.9577706,0.8973649,0.9003395,-0.9566689,0.8738023,0.8864051,-0.9454628,0.8667413,0.8682969,-0.9502078,0.9140461,0.8900161,-0.9486147,0.8910686,0.8776001,-0.9385135,0.8820866,0.8610282,-0.9442822,0.9285358,0.878451,-0.9434028,0.9096476,0.8719869,-0.9358585,0.9006761,0.8606963,-0.941884,0.9235541,0.8737525,-0.990541,0.01440492,
