time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529073394314,1.227397,0.3714899,-0.863408,1.199812,0.3787083,-0.8363732,1.189942,0.375823,-0.8134551,1.199857,0.4176449,-0.8277042,1.183905,0.3992307,-0.8255947,1.18923,0.3842902,-0.8347113,1.208613,0.4117056,-0.8124259,1.188165,0.3930511,-0.8136071,1.192676,0.377021,-0.8260745,1.223785,0.4055405,-0.7958409,1.199509,0.3941559,-0.7914212,1.194802,0.3781976,-0.8028815,1.238755,0.392955,-0.7848014,1.218035,0.3898863,-0.7755203,1.20633,0.3808255,-0.7816174,1.243602,0.3888206,-0.8388197,0.02289161,
1529073394343,1.226655,0.3703605,-0.8627779,1.199208,0.3781884,-0.8357505,1.189402,0.3761379,-0.8126426,1.19827,0.4175054,-0.8292743,1.182713,0.3988791,-0.8264424,1.188331,0.3836263,-0.8349186,1.207078,0.4123663,-0.8139442,1.18716,0.3932478,-0.8144675,1.192302,0.3767172,-0.8260599,1.222333,0.4070572,-0.7970647,1.198438,0.3952613,-0.7924678,1.19447,0.3787781,-0.8034415,1.237536,0.3952582,-0.7854246,1.216916,0.3920482,-0.7762716,1.20563,0.3824354,-0.7823248,1.24248,0.3889878,-0.8391148,0.02352542,
1529073394379,1.226498,0.3688449,-0.8613403,1.199249,0.3784509,-0.8346332,1.189179,0.3781615,-0.8114083,1.197357,0.4178614,-0.8316174,1.181233,0.3991496,-0.8272097,1.186066,0.3828293,-0.8339362,1.206109,0.4140664,-0.8158839,1.185903,0.3948846,-0.8149073,1.190643,0.3771919,-0.8248997,1.22143,0.4093558,-0.7986718,1.197485,0.3973241,-0.7934265,1.193445,0.3801832,-0.8033229,1.236511,0.3985178,-0.7863101,1.215925,0.3950912,-0.7776552,1.205345,0.3847779,-0.7838461,1.241823,0.3891118,-0.8393321,0.02321611,
1529073394407,1.226272,0.3684145,-0.860576,1.199098,0.3793628,-0.8343368,1.188882,0.3803462,-0.8110717,1.196604,0.4184017,-0.8334777,1.179896,0.3996335,-0.8277664,1.183788,0.3826462,-0.8331774,1.205308,0.4156948,-0.8174704,1.184589,0.3964681,-0.8152119,1.188301,0.3778041,-0.823985,1.220711,0.4116105,-0.8000255,1.196805,0.3994649,-0.7941487,1.192629,0.3818671,-0.8032383,1.235696,0.4015434,-0.7872753,1.215254,0.3978836,-0.7790084,1.205296,0.3869635,-0.78531,1.241276,0.3896975,-0.8395905,0.02280153,
1529073394434,1.225465,0.3678162,-0.8593872,1.198672,0.3797588,-0.8332745,1.188914,0.3818236,-0.8098044,1.195235,0.4182494,-0.8346887,1.178869,0.399224,-0.8276037,1.182859,0.3819863,-0.8318306,1.204227,0.4168411,-0.8185374,1.183504,0.3973057,-0.814661,1.186722,0.3780231,-0.8222188,1.219992,0.4137004,-0.8011945,1.196514,0.401067,-0.7943835,1.192508,0.3829291,-0.8025808,1.235225,0.4046843,-0.788287,1.215067,0.4005368,-0.7799739,1.205737,0.3889173,-0.7860392,1.240361,0.3904268,-0.8398558,0.02284396,
1529073394462,1.225058,0.3688249,-0.8588978,1.198768,0.3820535,-0.8329954,1.189438,0.3851762,-0.8093874,1.194993,0.4199646,-0.8360925,1.178574,0.4011318,-0.8277997,1.18231,0.3836613,-0.8310059,1.204183,0.4195558,-0.8198745,1.183101,0.4002835,-0.8145534,1.185631,0.3805448,-0.821018,1.220157,0.4169106,-0.8027928,1.196753,0.4043241,-0.7951775,1.192492,0.3857335,-0.802378,1.235535,0.4084105,-0.7896602,1.215553,0.4041178,-0.7812148,1.20648,0.3921256,-0.7870057,1.24009,0.3920808,-0.8404089,0.02281386,
1529073394487,1.224764,0.3708175,-0.8594788,1.198958,0.3842103,-0.833331,1.190271,0.3874989,-0.809442,1.194637,0.4217603,-0.8363976,1.178428,0.4029168,-0.8273386,1.181975,0.3853727,-0.8302799,1.204145,0.4218164,-0.8204054,1.183071,0.4025416,-0.8141131,1.185161,0.3825698,-0.820054,1.220582,0.4194836,-0.8036649,1.197319,0.40683,-0.7951653,1.192632,0.3880323,-0.8017086,1.236311,0.4111419,-0.7908082,1.216609,0.4064839,-0.7820044,1.207644,0.3942641,-0.7875823,1.24001,0.3944138,-0.8415351,0.02252911,
1529073394513,1.224047,0.3742991,-0.8622015,1.198661,0.3871168,-0.8355044,1.190219,0.3896695,-0.8113361,1.195004,0.4249663,-0.8364637,1.178277,0.4063576,-0.8276564,1.181142,0.3888667,-0.8312482,1.204696,0.4243584,-0.8205833,1.183059,0.4055438,-0.8144425,1.184252,0.3856671,-0.8209552,1.221368,0.4210799,-0.8041943,1.197823,0.4087888,-0.7955689,1.192269,0.3902929,-0.8023962,1.237177,0.411908,-0.7918174,1.217466,0.4074483,-0.7826041,1.20786,0.3957045,-0.7881516,1.239984,0.396889,-0.843278,0.02189778,
1529073394540,1.223168,0.3826589,-0.8675475,1.197892,0.3933038,-0.8399371,1.189577,0.3935705,-0.8155573,1.195182,0.4316434,-0.8365641,1.178117,0.413089,-0.8294643,1.180646,0.3959734,-0.834987,1.204862,0.4290065,-0.8210763,1.183051,0.4102234,-0.8168135,1.184152,0.3910353,-0.8252676,1.221543,0.4240649,-0.8049184,1.197664,0.4118378,-0.7971758,1.191374,0.3941469,-0.8054782,1.237337,0.413285,-0.7933248,1.217386,0.4088891,-0.7835047,1.20667,0.398322,-0.7891196,1.239656,0.4031452,-0.8465171,0.0215187,
1529073394567,1.221934,0.3907369,-0.8725924,1.196254,0.4008279,-0.845276,1.18754,0.3997936,-0.821121,1.195575,0.4383346,-0.8371001,1.177627,0.4205369,-0.8310828,1.179592,0.4037814,-0.8376863,1.205244,0.433939,-0.8218114,1.182705,0.4160097,-0.8187478,1.183177,0.3975449,-0.82863,1.2218,0.4272154,-0.8060483,1.197201,0.4156905,-0.798685,1.189748,0.3989488,-0.8078223,1.237218,0.4150786,-0.7953117,1.216993,0.4112157,-0.7850677,1.205206,0.4016913,-0.7903855,1.239353,0.4084482,-0.8491432,0.01880132,
