time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529073178123,1.245916,0.3929428,-0.857933,1.223359,0.3889754,-0.8263013,1.215509,0.3752081,-0.8067498,1.244438,0.416144,-0.791054,1.221214,0.405537,-0.7861576,1.213396,0.3952374,-0.7989324,1.252592,0.3984938,-0.7863687,1.224734,0.3887105,-0.7855765,1.215439,0.381141,-0.8027691,1.2649,0.3795326,-0.7856797,1.237772,0.3718931,-0.7825028,1.225507,0.3667999,-0.7981291,1.274301,0.3612376,-0.7892523,1.252706,0.3578659,-0.7833554,1.240106,0.3570086,-0.7935483,1.272742,0.3882993,-0.8326941,0.02160435,
1529073178163,1.24479,0.3932606,-0.8577257,1.221806,0.3902963,-0.8261807,1.213366,0.3774566,-0.8061909,1.243336,0.4177454,-0.7908036,1.220024,0.4075011,-0.7851197,1.211828,0.3968355,-0.7973143,1.251473,0.3999237,-0.7859259,1.22355,0.3901599,-0.7846296,1.21397,0.3822268,-0.8014999,1.263762,0.3810627,-0.785036,1.236612,0.3734881,-0.7815846,1.224275,0.3679554,-0.7970017,1.273132,0.3627147,-0.7884433,1.251526,0.3594825,-0.782712,1.239073,0.3583285,-0.7930768,1.271669,0.3889471,-0.8322635,0.02137055,
1529073178206,1.243859,0.3946324,-0.8571087,1.220583,0.3921224,-0.8256712,1.211729,0.3797574,-0.8055249,1.242439,0.4193993,-0.789837,1.219119,0.4094338,-0.7835988,1.210623,0.3986894,-0.7954907,1.250515,0.4014289,-0.7849814,1.222548,0.3917333,-0.7832891,1.212715,0.3837005,-0.7999596,1.262833,0.3825513,-0.7840724,1.235685,0.3750094,-0.7802735,1.223189,0.36938,-0.7955008,1.272121,0.3641855,-0.7876164,1.250515,0.3609778,-0.781906,1.23811,0.3597342,-0.792309,1.270728,0.3902826,-0.8315216,0.02145524,
1529073178228,1.243375,0.3956853,-0.8567917,1.219978,0.3935561,-0.8253837,1.21088,0.3815125,-0.8051248,1.242182,0.4206951,-0.7892618,1.218844,0.4110459,-0.7825524,1.210076,0.4002483,-0.7941778,1.250159,0.4025796,-0.7844487,1.222142,0.3930351,-0.7824205,1.212107,0.3849258,-0.7989244,1.262414,0.3836295,-0.7836028,1.235242,0.3761943,-0.7795895,1.22265,0.3705142,-0.7946954,1.271613,0.365213,-0.7872142,1.25002,0.3620909,-0.7815293,1.237681,0.3608267,-0.7920009,1.270259,0.3911935,-0.8311643,0.0217144,
1529073178269,1.242092,0.3994671,-0.8572699,1.218732,0.3973619,-0.825828,1.209649,0.3853869,-0.8055015,1.241196,0.4245157,-0.789452,1.217907,0.4149602,-0.7822356,1.208849,0.4040805,-0.7935539,1.249244,0.4063029,-0.7847204,1.221236,0.3966795,-0.7822727,1.210938,0.3885016,-0.7985754,1.261559,0.3873881,-0.7840392,1.234412,0.379839,-0.7797358,1.221697,0.3740758,-0.7946746,1.270763,0.3690177,-0.7878193,1.249199,0.3658108,-0.7821381,1.236915,0.3644667,-0.7926497,1.269136,0.3950014,-0.8317063,0.0221998,
1529073178309,1.241286,0.4037882,-0.8583251,1.217925,0.4017876,-0.8269277,1.20888,0.3896568,-0.8067052,1.240387,0.4288557,-0.790203,1.217058,0.4196654,-0.7825876,1.207682,0.4089102,-0.7937357,1.248224,0.4105726,-0.785423,1.220189,0.4012895,-0.7826456,1.209741,0.3931802,-0.798866,1.260433,0.3915246,-0.7847241,1.233301,0.3842549,-0.7800739,1.220428,0.378561,-0.7948862,1.269458,0.372918,-0.7886386,1.247926,0.3698022,-0.7828053,1.235705,0.3686357,-0.7933217,1.268138,0.3990715,-0.8326846,0.02324515,
1529073178337,1.238057,0.4116066,-0.8633193,1.214773,0.4111465,-0.8320233,1.206862,0.3995258,-0.8112236,1.235394,0.4426397,-0.7981427,1.212988,0.4331921,-0.7915506,1.206281,0.4211606,-0.8032897,1.243785,0.4251502,-0.7917027,1.21682,0.4152206,-0.789786,1.20886,0.4053406,-0.8064442,1.256661,0.4068831,-0.7888819,1.230165,0.3993971,-0.7847393,1.218788,0.3917417,-0.7999725,1.267095,0.3881662,-0.789965,1.246245,0.3851266,-0.7830955,1.234276,0.3825946,-0.7935759,1.264827,0.4094924,-0.8368964,0.02305101,
1529073178362,1.235099,0.4207922,-0.8701655,1.21246,0.4233745,-0.8386343,1.205952,0.4134541,-0.8167716,1.232714,0.4585442,-0.8093002,1.211339,0.4488353,-0.8025873,1.206997,0.4354639,-0.8137784,1.241828,0.4421603,-0.8011841,1.215876,0.431452,-0.7989078,1.209997,0.4195985,-0.8149911,1.255263,0.4248135,-0.796474,1.229671,0.4169012,-0.7924331,1.220254,0.4071845,-0.8077412,1.267543,0.4067625,-0.7940858,1.247583,0.4044275,-0.7843369,1.234304,0.4004515,-0.7926013,1.262545,0.4222186,-0.8441675,0.02223691,
1529073178407,1.216603,0.4610927,-0.8969082,1.198663,0.472505,-0.8641115,1.195352,0.4703519,-0.8393106,1.223432,0.5093711,-0.8454674,1.205679,0.4992714,-0.8334909,1.202536,0.4834957,-0.8414834,1.235947,0.4956267,-0.8367472,1.213083,0.4830928,-0.8281269,1.207448,0.4677393,-0.8409763,1.251792,0.4807523,-0.831908,1.228847,0.4712608,-0.8223733,1.219439,0.4576787,-0.8342887,1.266336,0.4652306,-0.8285109,1.248771,0.4633441,-0.8157532,1.235784,0.4561552,-0.8218024,1.249608,0.4689393,-0.8778418,0.01513583,
1529073178429,1.206099,0.4853123,-0.9145089,1.188393,0.4995866,-0.882592,1.184402,0.4993299,-0.8577997,1.214596,0.5345211,-0.8646843,1.196446,0.5254737,-0.8526759,1.19318,0.509506,-0.8601612,1.226217,0.519738,-0.8560234,1.203294,0.5075094,-0.8485755,1.198928,0.4922154,-0.8618987,1.241036,0.5041999,-0.8509555,1.218036,0.49466,-0.8435749,1.210683,0.4811329,-0.856848,1.254062,0.4885037,-0.8472596,1.235495,0.4861684,-0.8381357,1.225407,0.4783169,-0.847749,1.239275,0.4919315,-0.8953817,0.01364473,
