time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529073376914,1.185868,0.5284624,-0.973929,1.174869,0.5524069,-0.9449664,1.173195,0.5592729,-0.920352,1.213179,0.5838926,-0.9298977,1.199088,0.5866872,-0.909225,1.186744,0.5738983,-0.9076087,1.225926,0.5724319,-0.9194695,1.207131,0.5762508,-0.8984865,1.191138,0.5633064,-0.8990967,1.238468,0.5529181,-0.9138715,1.220423,0.5563043,-0.8940428,1.20329,0.5456682,-0.8957223,1.248144,0.533366,-0.9107901,1.236248,0.5390992,-0.8950078,1.22147,0.5335661,-0.897187,1.221803,0.5304102,-0.9582253,0.02366139,
1529073376941,1.179226,0.5329865,-0.9831948,1.169448,0.5586083,-0.9554955,1.168663,0.5662779,-0.9310535,1.209,0.5873805,-0.9400408,1.195113,0.5900904,-0.9194639,1.182749,0.5772257,-0.9180179,1.221262,0.575388,-0.929744,1.202301,0.5787141,-0.9090192,1.18639,0.5656122,-0.9100882,1.233122,0.5556095,-0.9242248,1.214572,0.5581493,-0.9053985,1.197957,0.5470452,-0.9085728,1.242242,0.536287,-0.9210399,1.229512,0.5413777,-0.9064388,1.215534,0.5351037,-0.9104773,1.215947,0.5336041,-0.9675925,0.02209507,
1529073376968,1.16586,0.5372195,-0.993722,1.157048,0.5639864,-0.9668837,1.156706,0.5724592,-0.9426333,1.197014,0.5909309,-0.9517155,1.182696,0.593658,-0.9315569,1.170419,0.5806032,-0.9302399,1.20867,0.57824,-0.9413484,1.188938,0.5810828,-0.9212357,1.173147,0.5677758,-0.9227988,1.220179,0.5584102,-0.935678,1.200933,0.5606645,-0.9176179,1.184509,0.5494275,-0.9215167,1.228664,0.5392269,-0.932295,1.215068,0.5440987,-0.9186212,1.201425,0.5374779,-0.9235044,1.20291,0.536815,-0.9782018,0.02019797,
1529073377005,1.150763,0.5360094,-1.001657,1.141794,0.562925,-0.9749477,1.141405,0.5718359,-0.9508277,1.181046,0.5899205,-0.9607929,1.166031,0.5916119,-0.9413475,1.154625,0.577661,-0.9406995,1.19233,0.5765892,-0.9504972,1.171435,0.5774385,-0.9314905,1.156674,0.5631149,-0.9343011,1.204186,0.5571627,-0.944844,1.18389,0.5578192,-0.9280697,1.168431,0.5457224,-0.9333623,1.212777,0.5385192,-0.9414243,1.197905,0.5423718,-0.9288356,1.184989,0.5349245,-0.9346858,1.188188,0.5360558,-0.9866498,0.01764368,
1529073377035,1.136206,0.533266,-1.009241,1.127727,0.5592252,-0.9812689,1.127182,0.567504,-0.9569075,1.167267,0.5856203,-0.9680442,1.151497,0.5870168,-0.9490613,1.140014,0.5731047,-0.948902,1.17709,0.5703619,-0.9580152,1.154921,0.569279,-0.9409158,1.141027,0.5547844,-0.946237,1.188154,0.5507339,-0.952803,1.166628,0.5498897,-0.9382747,1.152317,0.5378087,-0.946216,1.195918,0.5321529,-0.949723,1.179725,0.5348801,-0.9389867,1.168088,0.5272735,-0.9469674,1.173499,0.5322805,-0.9946602,0.01612805,
1529073377061,1.125316,0.5303767,-1.013393,1.116479,0.5555726,-0.9847149,1.115477,0.5635276,-0.9602453,1.156022,0.5818129,-0.9712089,1.139776,0.5827659,-0.9523501,1.128246,0.5688796,-0.9524009,1.165109,0.5654898,-0.9616165,1.142274,0.5628895,-0.9458655,1.129246,0.548317,-0.9528545,1.175904,0.5458591,-0.9568725,1.153697,0.5437452,-0.9439055,1.140487,0.5316741,-0.9535247,1.183443,0.5273964,-0.9541685,1.166462,0.5291327,-0.9447387,1.155969,0.5214272,-0.9540477,1.162549,0.5291308,-0.9987871,0.01591287,
1529073377087,1.115009,0.5266436,-1.01739,1.105169,0.5513461,-0.9885068,1.103415,0.5592732,-0.9640635,1.144679,0.5776037,-0.9738222,1.128092,0.5781051,-0.9549686,1.116599,0.5641779,-0.9550458,1.153528,0.5606939,-0.9646102,1.130286,0.5569071,-0.9496465,1.117833,0.5422603,-0.9574906,1.164364,0.5411159,-0.9603035,1.141739,0.5378516,-0.9483966,1.129391,0.5257221,-0.9590149,1.172008,0.5227998,-0.9579753,1.154506,0.5235925,-0.949502,1.144978,0.515762,-0.9596602,1.152246,0.525569,-1.002366,0.01670885,
1529073377114,1.099695,0.5206192,-1.023007,1.087847,0.5448503,-0.9943686,1.084558,0.5529146,-0.9701,1.126913,0.5715512,-0.9773497,1.109698,0.5717222,-0.9588242,1.098264,0.557739,-0.9590671,1.135568,0.5543173,-0.9681865,1.111751,0.5496178,-0.9541475,1.099857,0.5348822,-0.9626446,1.146567,0.5348357,-0.963965,1.123411,0.5306252,-0.9531413,1.111811,0.51843,-0.9644856,1.154421,0.5166181,-0.9617947,1.136377,0.5165861,-0.9543391,1.12774,0.5087376,-0.9652123,1.136566,0.5200627,-1.006585,0.0182441,
1529073377142,1.090934,0.5166029,-1.02625,1.07782,0.5403867,-0.9977181,1.073409,0.54831,-0.9735779,1.116583,0.5671982,-0.9787946,1.098894,0.5674727,-0.9607084,1.087349,0.5536025,-0.9612951,1.124956,0.5498351,-0.9694655,1.100696,0.5452878,-0.9558617,1.088751,0.5307368,-0.9645449,1.135876,0.5302503,-0.9651316,1.112365,0.5261618,-0.9546241,1.100698,0.5141621,-0.9660752,1.143638,0.5118407,-0.9630232,1.125371,0.5118359,-0.9558611,1.116813,0.5042776,-0.9669584,1.127189,0.515919,-1.008543,0.01931827,
1529073377178,1.075306,0.5102877,-1.0312,1.060654,0.5324609,-1.001955,1.054841,0.5394601,-0.9778737,1.098199,0.560894,-0.9817622,1.079788,0.5615225,-0.9645374,1.068226,0.5477512,-0.965707,1.106005,0.5429452,-0.9721823,1.081111,0.5384919,-0.9596022,1.069305,0.5241873,-0.9688767,1.116962,0.52335,-0.9675701,1.092903,0.519657,-0.9573348,1.080806,0.5080326,-0.9687381,1.124692,0.5046464,-0.9654874,1.106047,0.5050192,-0.958143,1.096734,0.4980935,-0.9690358,1.110356,0.5098405,-1.01234,0.01989755,
