time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529073460784,1.149841,0.3102684,-0.8276929,1.144149,0.2895246,-0.7955481,1.152842,0.2729282,-0.7779658,1.143801,0.3245764,-0.7528569,1.138452,0.3034094,-0.734565,1.134138,0.2858549,-0.7368013,1.161818,0.3215197,-0.7472861,1.150978,0.3001707,-0.7253628,1.142481,0.2810057,-0.7262719,1.182938,0.31643,-0.7518717,1.171792,0.2968422,-0.731352,1.162154,0.2787462,-0.7326176,1.200842,0.3054243,-0.7630689,1.190573,0.2886769,-0.7530373,1.181185,0.278316,-0.761242,1.17366,0.324007,-0.8050847,0.04702631,
1529073460822,1.150106,0.3107053,-0.8285524,1.144602,0.2901312,-0.7962775,1.153463,0.2737632,-0.7785478,1.143848,0.3253861,-0.753822,1.138753,0.3042673,-0.7353474,1.134665,0.286607,-0.7373282,1.161842,0.3226279,-0.7482203,1.151189,0.3013203,-0.7260681,1.142893,0.2819808,-0.7265027,1.183075,0.3179237,-0.7526808,1.17214,0.2985069,-0.7318245,1.162712,0.2802492,-0.7326603,1.201126,0.3070652,-0.7637602,1.191051,0.2903306,-0.7534192,1.181802,0.2796042,-0.7613443,1.173782,0.3248209,-0.806005,0.04708914,
1529073460839,1.150055,0.3107782,-0.8288519,1.144728,0.2904565,-0.7963916,1.153724,0.2742586,-0.7785854,1.143798,0.3259826,-0.7542738,1.138697,0.3049441,-0.7358243,1.134659,0.2872959,-0.7379512,1.161859,0.3232977,-0.748686,1.151265,0.302059,-0.7265489,1.143035,0.2827033,-0.7271202,1.183151,0.3186277,-0.7531275,1.172334,0.2993059,-0.7321774,1.162958,0.2810252,-0.7329869,1.20126,0.3077663,-0.7641131,1.191321,0.2911064,-0.7535689,1.182089,0.2803688,-0.7614337,1.173696,0.325157,-0.8064862,0.04673976,
1529073460862,1.151179,0.3102305,-0.829543,1.145658,0.2899193,-0.797083,1.15449,0.2737624,-0.7791535,1.145071,0.3255236,-0.7549512,1.140047,0.3044297,-0.7366443,1.136082,0.2868046,-0.7390073,1.163183,0.3229942,-0.7493218,1.152711,0.3017712,-0.7272007,1.144557,0.2823814,-0.7278579,1.184579,0.3184758,-0.7537153,1.173974,0.2992609,-0.7326612,1.164664,0.2809387,-0.7334501,1.202742,0.3077139,-0.7645996,1.193017,0.2911579,-0.7536324,1.183776,0.2802306,-0.7611819,1.174935,0.3247728,-0.8071592,0.04605056,
1529073460889,1.152806,0.3104771,-0.8306755,1.147371,0.2902361,-0.7981479,1.156216,0.2741911,-0.7800964,1.146737,0.3258355,-0.7561637,1.141857,0.3046454,-0.7379784,1.13804,0.2870104,-0.7404926,1.164942,0.3236222,-0.7504671,1.154689,0.3024277,-0.7282927,1.146699,0.2829779,-0.72899,1.186468,0.3194374,-0.7547923,1.176175,0.3004485,-0.7334555,1.167007,0.2820514,-0.7340537,1.20461,0.308675,-0.7657124,1.195073,0.2921699,-0.7545106,1.185941,0.2811223,-0.761955,1.176566,0.3252578,-0.8083605,0.04542211,
1529073460904,1.152869,0.3115337,-0.8316997,1.147364,0.2911802,-0.7992533,1.156146,0.2750722,-0.7812136,1.146851,0.326547,-0.7571594,1.142017,0.3052165,-0.7390913,1.138218,0.2875869,-0.7416701,1.16512,0.3245216,-0.7513514,1.154976,0.3033628,-0.7291313,1.147009,0.2839127,-0.7298481,1.186697,0.3205168,-0.755628,1.176562,0.3017401,-0.7340409,1.167415,0.2833554,-0.7344747,1.204667,0.3095604,-0.766736,1.195094,0.2930229,-0.7556547,1.186019,0.2820332,-0.7632355,1.176658,0.3262627,-0.8093163,0.0451856,
1529073460930,1.1535,0.3137182,-0.8329453,1.147927,0.2936898,-0.8003383,1.156757,0.2777496,-0.782182,1.147599,0.3292315,-0.7585005,1.142785,0.3080406,-0.7403755,1.139031,0.290406,-0.7430037,1.166107,0.3275154,-0.7525405,1.156244,0.306784,-0.7298186,1.148328,0.2873352,-0.7301807,1.18775,0.3238589,-0.7566864,1.177974,0.3059504,-0.7341081,1.168867,0.2876092,-0.7336041,1.205334,0.3122607,-0.7680624,1.19567,0.2957904,-0.757009,1.186704,0.2847962,-0.7646883,1.177399,0.3285881,-0.8106873,0.04482539,
1529073460958,1.152824,0.3186769,-0.8354689,1.146739,0.2984644,-0.8030256,1.15512,0.2823972,-0.7847396,1.14786,0.3347939,-0.759786,1.143607,0.3151965,-0.7396716,1.139938,0.2973948,-0.740532,1.167059,0.3327324,-0.7541918,1.158556,0.3130919,-0.7299059,1.15082,0.2936305,-0.7288266,1.188653,0.3294482,-0.758568,1.18024,0.312996,-0.7340475,1.171402,0.2948295,-0.7315717,1.205406,0.3167799,-0.7707711,1.195927,0.3001378,-0.7599661,1.187065,0.2892686,-0.7679183,1.177141,0.333352,-0.8130805,0.04908905,
1529073460993,1.15244,0.3245294,-0.8384043,1.145431,0.3050325,-0.8055087,1.152865,0.2897403,-0.7861775,1.147745,0.3448732,-0.7619367,1.144534,0.3287418,-0.7384266,1.141531,0.3110366,-0.7355739,1.167747,0.3430836,-0.7565798,1.161214,0.3260123,-0.7297443,1.15436,0.306555,-0.7258221,1.189931,0.3406821,-0.7609925,1.184268,0.3275665,-0.7332275,1.176658,0.3099665,-0.7259699,1.207723,0.328833,-0.7716212,1.201524,0.3143505,-0.7541434,1.19293,0.3009815,-0.7549551,1.176844,0.3407179,-0.8161634,0.05605991,
1529073461010,1.150816,0.3329153,-0.8426167,1.142782,0.3141041,-0.8094065,1.149562,0.2994443,-0.7895318,1.146894,0.3557618,-0.7660064,1.144219,0.3413903,-0.7413061,1.141665,0.3238918,-0.7371112,1.167398,0.3546084,-0.7607744,1.162008,0.3393254,-0.7325799,1.155779,0.320065,-0.7271327,1.18973,0.3526363,-0.7654215,1.185406,0.3415419,-0.7363985,1.178602,0.3244948,-0.7273318,1.208324,0.3415813,-0.7753946,1.204487,0.3295899,-0.7548701,1.1969,0.3161884,-0.7519927,1.175719,0.3500419,-0.8206241,0.05837771,
1529073461035,1.147313,0.3449945,-0.848605,1.136961,0.3274508,-0.8150997,1.141833,0.3135419,-0.7943244,1.145355,0.371821,-0.7720499,1.143006,0.3600352,-0.7460501,1.140601,0.3430031,-0.7401543,1.166473,0.3710799,-0.7670776,1.162178,0.3586184,-0.737381,1.156307,0.3399393,-0.730002,1.188686,0.3688197,-0.7721155,1.185451,0.360458,-0.741971,1.179187,0.3444402,-0.7307322,1.207998,0.358493,-0.7815766,1.206405,0.3501934,-0.7588568,1.199831,0.3375055,-0.7521603,1.173572,0.3631243,-0.8270503,0.0616756,
1529073461050,1.145424,0.351115,-0.8528022,1.133668,0.3349293,-0.818956,1.13726,0.3218944,-0.7974338,1.143881,0.3814032,-0.7770132,1.141517,0.3712694,-0.7504705,1.139187,0.3545307,-0.7438071,1.165283,0.3810257,-0.7720473,1.161341,0.3704596,-0.7416759,1.155643,0.3521874,-0.7333529,1.187363,0.3784648,-0.7770637,1.184255,0.3716925,-0.7465949,1.178097,0.3561926,-0.7345532,1.207009,0.3683052,-0.7860929,1.206015,0.3619893,-0.7627323,1.199831,0.3499162,-0.7545019,1.172204,0.3702227,-0.8317056,0.06280656,
1529073461078,1.137834,0.3703507,-0.8639181,1.122304,0.3602629,-0.8290009,1.122603,0.3509276,-0.8053291,1.137454,0.4129829,-0.7933334,1.134547,0.4075094,-0.7656712,1.131703,0.3919774,-0.7565837,1.158497,0.4124947,-0.7879974,1.153545,0.4066607,-0.7566835,1.147157,0.3897339,-0.7463075,1.180491,0.408686,-0.7921776,1.176229,0.4064092,-0.761453,1.169174,0.3924967,-0.7480146,1.20052,0.3977438,-0.7992659,1.199335,0.3965468,-0.7751659,1.19295,0.3867063,-0.7639751,1.166101,0.3918458,-0.8449538,0.064374,
1529073461103,1.134255,0.3811612,-0.8743399,1.115275,0.3748611,-0.8402231,1.112442,0.3682119,-0.8157094,1.132014,0.4304621,-0.8081377,1.128567,0.4273895,-0.7799911,1.125393,0.4130358,-0.7691042,1.151772,0.4297525,-0.8016716,1.144806,0.4251835,-0.7706128,1.137772,0.4086793,-0.7597582,1.173944,0.4262061,-0.804378,1.167709,0.4261919,-0.7738781,1.159817,0.4135123,-0.7595371,1.19449,0.4155585,-0.8095106,1.191956,0.4173151,-0.7855983,1.18503,0.409223,-0.7730979,1.162466,0.4047507,-0.8559649,0.06594659,
1529073461118,1.131818,0.3862224,-0.8794689,1.111898,0.3810414,-0.8456873,1.108005,0.3752699,-0.8209788,1.128781,0.4373219,-0.814753,1.125298,0.434875,-0.7864339,1.122083,0.4209603,-0.7749316,1.148031,0.4369668,-0.8079791,1.140447,0.4329427,-0.7770731,1.133258,0.4165386,-0.7661089,1.170139,0.4334143,-0.8101676,1.163135,0.4340962,-0.7797967,1.15497,0.4218573,-0.765157,1.190718,0.4229474,-0.8146527,1.187386,0.4255495,-0.7909118,1.180177,0.4180515,-0.778075,1.159827,0.4104309,-0.8612434,0.06637891,
1529073461141,1.124677,0.3947003,-0.8900731,1.102581,0.3924634,-0.8573717,1.096265,0.3886063,-0.8325341,1.121217,0.4495347,-0.8285659,1.117119,0.4487712,-0.8001305,1.113067,0.4358636,-0.7876952,1.139615,0.4491021,-0.8208808,1.130605,0.44712,-0.7901221,1.122371,0.4316512,-0.7786036,1.161394,0.4443683,-0.8216168,1.152862,0.4466173,-0.7916136,1.143588,0.4355891,-0.7765876,1.181964,0.4333547,-0.8245022,1.177646,0.4373417,-0.8011656,1.169609,0.430951,-0.7881154,1.152851,0.4190736,-0.8718268,0.06727606,
1529073461169,1.115866,0.4061354,-0.9010465,1.092834,0.4094353,-0.8689755,1.083515,0.409651,-0.8443059,1.115446,0.4658689,-0.8451438,1.11119,0.4670967,-0.81655,1.10636,0.4558433,-0.802592,1.133385,0.4651029,-0.8372646,1.123729,0.4655344,-0.806402,1.114492,0.4516841,-0.7934272,1.154792,0.4591095,-0.8371552,1.145836,0.4637729,-0.8072844,1.135878,0.4551058,-0.7909392,1.17475,0.4471476,-0.8387595,1.170104,0.4530168,-0.8158216,1.161667,0.4485906,-0.8020285,1.145374,0.4300135,-0.8847859,0.06630003,
1529073461194,1.105713,0.414574,-0.9099252,1.081853,0.4214508,-0.8791331,1.071451,0.4241324,-0.8549665,1.104938,0.4763379,-0.8577152,1.098939,0.4778638,-0.8294284,1.093043,0.4670581,-0.8154135,1.121953,0.4754263,-0.8493145,1.10978,0.4762488,-0.8194023,1.099479,0.4625409,-0.8070888,1.143523,0.4688578,-0.8478113,1.132682,0.4741433,-0.8185964,1.121616,0.4661908,-0.8025461,1.163213,0.4565529,-0.8479031,1.157088,0.4630182,-0.8254577,1.147737,0.4592927,-0.8119969,1.135638,0.4382102,-0.8941973,0.06223551,
1529073461211,1.093706,0.4225116,-0.9218625,1.069013,0.4304639,-0.8921284,1.058176,0.4334179,-0.8681846,1.091881,0.4833971,-0.8692095,1.083756,0.4843552,-0.8416443,1.07656,0.4728438,-0.8289418,1.108224,0.4816985,-0.8599888,1.093729,0.482266,-0.8312247,1.082292,0.4683297,-0.8204015,1.129662,0.4741338,-0.8571773,1.116915,0.4788364,-0.8287249,1.104524,0.4703689,-0.8140379,1.149017,0.4611491,-0.8562472,1.141569,0.4670601,-0.8341343,1.13107,0.4628187,-0.8217754,1.12358,0.4445749,-0.9043115,0.0585864,
1529073461235,1.083879,0.4277285,-0.9321902,1.058974,0.4355639,-0.9027965,1.048589,0.4376921,-0.8786054,1.080259,0.4866332,-0.8780098,1.070059,0.4862001,-0.8515994,1.062008,0.4731477,-0.8414714,1.096145,0.4840627,-0.8680734,1.079705,0.483468,-0.8407415,1.067639,0.4686795,-0.8322575,1.117382,0.4754969,-0.8642377,1.102911,0.4786116,-0.8366066,1.089505,0.4688166,-0.8239667,1.136416,0.4621242,-0.8627917,1.127636,0.4668752,-0.8410742,1.116048,0.4614025,-0.8304737,1.113137,0.4480892,-0.9126635,0.05306697,
