time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529073254939,1.121426,0.5341933,-0.9634094,1.104665,0.5627476,-0.9429632,1.103337,0.5787465,-0.9227211,1.14916,0.604679,-0.938647,1.142973,0.6113219,-0.9142324,1.137468,0.5982462,-0.903183,1.167999,0.5990312,-0.9331541,1.157633,0.604503,-0.906262,1.148087,0.5891846,-0.8962327,1.187311,0.5845385,-0.9307815,1.177206,0.5874587,-0.9060346,1.165944,0.5720621,-0.8998088,1.201807,0.568525,-0.9293291,1.193111,0.5722427,-0.9117563,1.182711,0.560603,-0.9101108,1.164353,0.5485649,-0.9601058,0.04389657,
1529073254994,1.090036,0.522148,-0.9998919,1.077629,0.5522107,-0.9797561,1.080773,0.5669228,-0.9589412,1.122074,0.5845202,-0.9731869,1.114454,0.5824441,-0.9501919,1.108534,0.5656353,-0.947374,1.138473,0.5759861,-0.967698,1.125231,0.5715736,-0.9440864,1.116488,0.5528893,-0.9443049,1.155097,0.5605757,-0.9658664,1.140919,0.5551804,-0.9457182,1.131473,0.537994,-0.9495891,1.167905,0.5457484,-0.9649029,1.155559,0.5442561,-0.9504414,1.148353,0.5311483,-0.9549251,1.133994,0.5324058,-0.9962684,0.03010223,
1529073255063,1.048217,0.5049117,-1.03305,1.037493,0.5327362,-1.009201,1.040896,0.5445771,-0.986455,1.079864,0.5527915,-0.9972338,1.069482,0.5396029,-0.981162,1.064394,0.5250875,-0.9902693,1.09453,0.5440617,-0.9936786,1.078929,0.5299307,-0.9777495,1.073691,0.5131835,-0.9884202,1.110757,0.529745,-0.9937203,1.094172,0.5176928,-0.9798235,1.087027,0.5027041,-0.9911817,1.123666,0.5159285,-0.9940131,1.109477,0.5101699,-0.9828165,1.103416,0.4987383,-0.9919009,1.092231,0.5117888,-1.026931,0.03076602,
1529073255112,1.003335,0.486954,-1.067246,0.9913877,0.5130057,-1.041934,0.9928213,0.5230954,-1.018039,1.032232,0.5288323,-1.02451,1.020183,0.5135829,-1.011931,1.01606,0.5005322,-1.023613,1.046593,0.5200129,-1.020445,1.02942,0.5043894,-1.007632,1.025006,0.4888044,-1.020337,1.062655,0.5055596,-1.02049,1.044704,0.4925542,-1.009374,1.038077,0.4788763,-1.022712,1.07535,0.4916037,-1.021101,1.06022,0.485175,-1.01174,1.054397,0.474713,-1.022316,1.046743,0.4919001,-1.057053,0.03286645,
1529073255167,0.9623043,0.4726158,-1.102755,0.947222,0.4976761,-1.07767,0.9441118,0.5068232,-1.053454,0.9843787,0.5096146,-1.052129,0.9696766,0.4941547,-1.042443,0.9673538,0.4812124,-1.05479,0.9977112,0.4994673,-1.046293,0.9776621,0.4841641,-1.037506,0.9742569,0.4696943,-1.051753,1.012897,0.4840713,-1.044909,0.9926003,0.4714605,-1.037773,0.9873618,0.4591005,-1.052905,1.024882,0.469431,-1.044648,1.008031,0.4633209,-1.038305,1.00321,0.4539229,-1.050363,1.003068,0.4739739,-1.084874,0.03461055,
1529073255235,0.9193994,0.4547217,-1.129704,0.9036961,0.4816446,-1.106376,0.8989223,0.4933482,-1.083505,0.9374065,0.4964931,-1.081835,0.9218792,0.4821096,-1.070363,0.9202734,0.4665947,-1.07955,0.9506652,0.4858416,-1.074603,0.9299559,0.4711182,-1.065648,0.9269312,0.4552207,-1.078548,0.9657437,0.4705122,-1.071265,0.9447936,0.4583304,-1.064215,0.9398394,0.4446731,-1.078387,0.9776804,0.4559711,-1.069268,0.9602536,0.4502906,-1.063291,0.9555257,0.4399158,-1.074629,0.9580526,0.4574958,-1.110698,0.03445664,
1529073255257,0.9034302,0.4466841,-1.139282,0.8882705,0.473799,-1.115537,0.8836013,0.486122,-1.092933,0.9215875,0.490039,-1.092523,0.9061944,0.4764183,-1.079825,0.90434,0.4603077,-1.087868,0.9349735,0.4785175,-1.085683,0.9145283,0.4636544,-1.076437,0.9115227,0.4476612,-1.089238,0.9501356,0.4632715,-1.082476,0.9294145,0.4509039,-1.07526,0.9245807,0.4371762,-1.089397,0.962185,0.4488631,-1.080477,0.9448781,0.4430354,-1.07435,0.940235,0.4325844,-1.085629,0.9419556,0.4499879,-1.121503,0.03349815,
1529073255297,0.884134,0.4386525,-1.151964,0.8705364,0.4666881,-1.127901,0.8658755,0.4802755,-1.105956,0.9032798,0.4838453,-1.106741,0.8868968,0.4726058,-1.092546,0.8838314,0.4556322,-1.098229,0.916089,0.4701259,-1.099802,0.8950183,0.4562624,-1.090689,0.8915961,0.4402989,-1.103434,0.9304394,0.4541627,-1.096343,0.9092043,0.4426805,-1.089454,0.9042125,0.4290824,-1.103652,0.9417629,0.4392419,-1.094037,0.9240869,0.4340958,-1.088215,0.9192892,0.4237692,-1.099504,0.922047,0.4409013,-1.135113,0.0314549,
1529073255339,0.8640729,0.4324747,-1.16601,0.8526724,0.4612122,-1.141446,0.8486555,0.4753769,-1.119696,0.8868211,0.4739518,-1.120108,0.8699389,0.4628301,-1.107227,0.8665941,0.4465217,-1.114529,0.8986254,0.4596362,-1.113455,0.8766273,0.4471831,-1.10499,0.8723415,0.4320788,-1.11845,0.911508,0.442394,-1.110549,0.8893826,0.4323398,-1.104236,0.8836413,0.4197201,-1.118963,0.9214997,0.4265266,-1.108664,0.9032832,0.4225321,-1.103145,0.8977728,0.413019,-1.11475,0.9020801,0.4311583,-1.149397,0.03436739,
1529073255377,0.8568105,0.4295419,-1.173236,0.8459398,0.458827,-1.149027,0.8417269,0.4735612,-1.127636,0.880289,0.4687534,-1.126426,0.862857,0.4575971,-1.114711,0.8596877,0.4417295,-1.122958,0.8914657,0.454359,-1.119571,0.8688302,0.4426821,-1.111886,0.8644372,0.4280275,-1.125747,0.9035084,0.4365612,-1.116621,0.8808339,0.4273287,-1.11102,0.8750508,0.4151996,-1.126083,0.9127777,0.4202957,-1.114681,0.8942654,0.4169967,-1.109646,0.88869,0.4078891,-1.121505,0.8944808,0.4262476,-1.155668,0.03684737,
1529073255444,0.8568105,0.4295419,-1.173236,0.8459398,0.458827,-1.149027,0.8417269,0.4735612,-1.127636,0.880289,0.4687534,-1.126426,0.862857,0.4575971,-1.114711,0.8596877,0.4417295,-1.122958,0.8914657,0.454359,-1.119571,0.8688302,0.4426821,-1.111886,0.8644372,0.4280275,-1.125747,0.9035084,0.4365612,-1.116621,0.8808339,0.4273287,-1.11102,0.8750508,0.4151996,-1.126083,0.9127777,0.4202957,-1.114681,0.8942654,0.4169967,-1.109646,0.88869,0.4078891,-1.121505,0.8944808,0.4262476,-1.155668,0.03684737,
1529073255470,0.8568105,0.4295419,-1.173236,0.8459398,0.458827,-1.149027,0.8417269,0.4735612,-1.127636,0.880289,0.4687534,-1.126426,0.862857,0.4575971,-1.114711,0.8596877,0.4417295,-1.122958,0.8914657,0.454359,-1.119571,0.8688302,0.4426821,-1.111886,0.8644372,0.4280275,-1.125747,0.9035084,0.4365612,-1.116621,0.8808339,0.4273287,-1.11102,0.8750508,0.4151996,-1.126083,0.9127777,0.4202957,-1.114681,0.8942654,0.4169967,-1.109646,0.88869,0.4078891,-1.121505,0.8944808,0.4262476,-1.155668,0.03684737,
1529073255509,0.8568105,0.4295419,-1.173236,0.8459398,0.458827,-1.149027,0.8417269,0.4735612,-1.127636,0.880289,0.4687534,-1.126426,0.862857,0.4575971,-1.114711,0.8596877,0.4417295,-1.122958,0.8914657,0.454359,-1.119571,0.8688302,0.4426821,-1.111886,0.8644372,0.4280275,-1.125747,0.9035084,0.4365612,-1.116621,0.8808339,0.4273287,-1.11102,0.8750508,0.4151996,-1.126083,0.9127777,0.4202957,-1.114681,0.8942654,0.4169967,-1.109646,0.88869,0.4078891,-1.121505,0.8944808,0.4262476,-1.155668,0.03684737,
1529073255549,0.8568105,0.4295419,-1.173236,0.8459398,0.458827,-1.149027,0.8417269,0.4735612,-1.127636,0.880289,0.4687534,-1.126426,0.862857,0.4575971,-1.114711,0.8596877,0.4417295,-1.122958,0.8914657,0.454359,-1.119571,0.8688302,0.4426821,-1.111886,0.8644372,0.4280275,-1.125747,0.9035084,0.4365612,-1.116621,0.8808339,0.4273287,-1.11102,0.8750508,0.4151996,-1.126083,0.9127777,0.4202957,-1.114681,0.8942654,0.4169967,-1.109646,0.88869,0.4078891,-1.121505,0.8944808,0.4262476,-1.155668,0.03684737,
1529073255633,0.8568105,0.4295419,-1.173236,0.8459398,0.458827,-1.149027,0.8417269,0.4735612,-1.127636,0.880289,0.4687534,-1.126426,0.862857,0.4575971,-1.114711,0.8596877,0.4417295,-1.122958,0.8914657,0.454359,-1.119571,0.8688302,0.4426821,-1.111886,0.8644372,0.4280275,-1.125747,0.9035084,0.4365612,-1.116621,0.8808339,0.4273287,-1.11102,0.8750508,0.4151996,-1.126083,0.9127777,0.4202957,-1.114681,0.8942654,0.4169967,-1.109646,0.88869,0.4078891,-1.121505,0.8944808,0.4262476,-1.155668,0.03684737,
1529073255669,0.8568105,0.4295419,-1.173236,0.8459398,0.458827,-1.149027,0.8417269,0.4735612,-1.127636,0.880289,0.4687534,-1.126426,0.862857,0.4575971,-1.114711,0.8596877,0.4417295,-1.122958,0.8914657,0.454359,-1.119571,0.8688302,0.4426821,-1.111886,0.8644372,0.4280275,-1.125747,0.9035084,0.4365612,-1.116621,0.8808339,0.4273287,-1.11102,0.8750508,0.4151996,-1.126083,0.9127777,0.4202957,-1.114681,0.8942654,0.4169967,-1.109646,0.88869,0.4078891,-1.121505,0.8944808,0.4262476,-1.155668,0.03684737,
1529073255710,0.8568105,0.4295419,-1.173236,0.8459398,0.458827,-1.149027,0.8417269,0.4735612,-1.127636,0.880289,0.4687534,-1.126426,0.862857,0.4575971,-1.114711,0.8596877,0.4417295,-1.122958,0.8914657,0.454359,-1.119571,0.8688302,0.4426821,-1.111886,0.8644372,0.4280275,-1.125747,0.9035084,0.4365612,-1.116621,0.8808339,0.4273287,-1.11102,0.8750508,0.4151996,-1.126083,0.9127777,0.4202957,-1.114681,0.8942654,0.4169967,-1.109646,0.88869,0.4078891,-1.121505,0.8944808,0.4262476,-1.155668,0.03684737,
1529073255749,0.8568105,0.4295419,-1.173236,0.8459398,0.458827,-1.149027,0.8417269,0.4735612,-1.127636,0.880289,0.4687534,-1.126426,0.862857,0.4575971,-1.114711,0.8596877,0.4417295,-1.122958,0.8914657,0.454359,-1.119571,0.8688302,0.4426821,-1.111886,0.8644372,0.4280275,-1.125747,0.9035084,0.4365612,-1.116621,0.8808339,0.4273287,-1.11102,0.8750508,0.4151996,-1.126083,0.9127777,0.4202957,-1.114681,0.8942654,0.4169967,-1.109646,0.88869,0.4078891,-1.121505,0.8944808,0.4262476,-1.155668,0.03684737,
1529073255817,0.8568105,0.4295419,-1.173236,0.8459398,0.458827,-1.149027,0.8417269,0.4735612,-1.127636,0.880289,0.4687534,-1.126426,0.862857,0.4575971,-1.114711,0.8596877,0.4417295,-1.122958,0.8914657,0.454359,-1.119571,0.8688302,0.4426821,-1.111886,0.8644372,0.4280275,-1.125747,0.9035084,0.4365612,-1.116621,0.8808339,0.4273287,-1.11102,0.8750508,0.4151996,-1.126083,0.9127777,0.4202957,-1.114681,0.8942654,0.4169967,-1.109646,0.88869,0.4078891,-1.121505,0.8944808,0.4262476,-1.155668,0.03684737,
