time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529073578066,1.136244,0.3370747,-0.8583795,1.13735,0.3200105,-0.823098,1.145897,0.3031413,-0.8055949,1.166405,0.3409954,-0.7975335,1.156355,0.3169066,-0.7912393,1.147001,0.3062783,-0.8028409,1.185141,0.3344443,-0.8002709,1.172968,0.3095767,-0.7852885,1.159003,0.2955257,-0.7920233,1.202101,0.3267661,-0.8135114,1.191684,0.3046278,-0.7975117,1.176478,0.2916973,-0.8023335,1.213986,0.3171054,-0.8297237,1.207096,0.301172,-0.8151232,1.193198,0.2926003,-0.8156784,1.173618,0.3430375,-0.8525143,0.004317993,
1529073578093,1.135121,0.3407605,-0.8603264,1.135996,0.3238093,-0.8249578,1.144369,0.306998,-0.8073525,1.16563,0.3447783,-0.799391,1.155609,0.3207397,-0.7927485,1.146265,0.3099278,-0.8041731,1.185144,0.3387007,-0.8016243,1.174069,0.3141877,-0.784705,1.160212,0.2993425,-0.7897038,1.202012,0.3308668,-0.8151625,1.19275,0.3089892,-0.7976105,1.177761,0.2951668,-0.8006468,1.213718,0.3208603,-0.8316979,1.207856,0.3049858,-0.8163388,1.194285,0.295872,-0.8157885,1.172664,0.3466217,-0.8545706,0.004720767,
1529073578119,1.133008,0.3498855,-0.8655922,1.133401,0.3333074,-0.8300104,1.140915,0.3162821,-0.8121916,1.165574,0.3530166,-0.8046481,1.154783,0.3297109,-0.7962227,1.144494,0.3186094,-0.8064792,1.186015,0.346439,-0.8068811,1.176573,0.3234328,-0.7860048,1.162466,0.308354,-0.7872111,1.200795,0.3366237,-0.8215917,1.191808,0.3153545,-0.8020338,1.176575,0.3014298,-0.8021911,1.2112,0.3257036,-0.8383632,1.205291,0.3102579,-0.8221463,1.191678,0.301341,-0.8201139,1.171023,0.3535943,-0.8606616,0.007131724,
1529073578146,1.131598,0.3554467,-0.8699465,1.13112,0.3397248,-0.8338879,1.137649,0.323063,-0.8153713,1.164409,0.3595667,-0.8085418,1.153062,0.3370555,-0.7987775,1.142331,0.3257743,-0.8083196,1.184683,0.352332,-0.8106259,1.175516,0.3307025,-0.7873141,1.161623,0.3151267,-0.7848094,1.198704,0.3410967,-0.825335,1.189464,0.3205674,-0.8042294,1.17434,0.3065146,-0.8019719,1.208777,0.3293428,-0.8417544,1.20272,0.3144309,-0.8246776,1.189262,0.3055725,-0.8213203,1.169707,0.358042,-0.8649575,0.00888835,
1529073578200,1.124812,0.3705269,-0.8836014,1.123242,0.3570815,-0.8464456,1.128379,0.3422176,-0.8260133,1.160153,0.3798515,-0.8197178,1.151351,0.359742,-0.8043628,1.140617,0.3466353,-0.8107828,1.178051,0.3704132,-0.8238679,1.16805,0.3503268,-0.8009346,1.153386,0.335356,-0.8005553,1.192028,0.3580249,-0.8383342,1.182663,0.3384668,-0.8164293,1.167429,0.3247697,-0.8140849,1.201695,0.3456981,-0.8541269,1.19541,0.3316676,-0.8360342,1.182238,0.3227926,-0.8318943,1.163114,0.3732319,-0.8786721,0.02003117,
1529073578239,1.118546,0.3808112,-0.8981107,1.115115,0.3725435,-0.8593917,1.118244,0.3614993,-0.8362336,1.154785,0.3986632,-0.8344067,1.146892,0.3820041,-0.8156233,1.13657,0.3679802,-0.8201653,1.170913,0.3868217,-0.8386245,1.159145,0.3688895,-0.8159608,1.144194,0.3544367,-0.8176121,1.1851,0.3730603,-0.8516306,1.174076,0.3556316,-0.8292171,1.158329,0.3426477,-0.8280492,1.195101,0.3595668,-0.8657721,1.187265,0.3477338,-0.8472407,1.173427,0.3393118,-0.843334,1.157318,0.38392,-0.8932519,0.02522026,
1529073578266,1.11489,0.3853961,-0.9050201,1.110579,0.3807475,-0.865726,1.112387,0.3726402,-0.841171,1.151961,0.4077011,-0.8426758,1.144187,0.3929305,-0.8230423,1.134044,0.378759,-0.8273626,1.167441,0.3948168,-0.8465552,1.154892,0.378235,-0.8245316,1.140016,0.3641599,-0.8280354,1.181785,0.380372,-0.8586406,1.170117,0.3644399,-0.836215,1.154115,0.3518969,-0.8362039,1.191883,0.3661505,-0.8718476,1.183686,0.3557719,-0.8530779,1.169436,0.3478383,-0.8500003,1.154066,0.3886434,-0.9006755,0.02640337,
1529073578292,1.112108,0.3874597,-0.9102561,1.107681,0.3836965,-0.8708522,1.108864,0.376838,-0.8457886,1.149882,0.4109184,-0.8484422,1.142662,0.3964962,-0.8286617,1.132841,0.38215,-0.8330395,1.165328,0.3977717,-0.852655,1.153115,0.3809835,-0.8309443,1.138494,0.3667989,-0.8349693,1.179802,0.3835647,-0.8648488,1.16835,0.3674882,-0.8428848,1.152449,0.3549078,-0.8437439,1.190028,0.3695292,-0.8780887,1.182017,0.3591337,-0.8595047,1.167736,0.3512101,-0.8572747,1.151499,0.3912475,-0.9064875,0.02767078,
1529073578319,1.109084,0.3903944,-0.918147,1.103346,0.3885054,-0.8787585,1.103361,0.3833588,-0.8531902,1.145218,0.4162194,-0.8565091,1.137699,0.4020891,-0.8370531,1.128584,0.3875536,-0.842133,1.160828,0.4030044,-0.8603208,1.148025,0.3861058,-0.8395485,1.134055,0.3717451,-0.8449355,1.175966,0.3890684,-0.8717824,1.163807,0.3731151,-0.8506929,1.148208,0.3603868,-0.8531029,1.186961,0.3751768,-0.884325,1.178316,0.3651487,-0.8662766,1.163992,0.357164,-0.8656303,1.14867,0.3949775,-0.9138942,0.02785772,
1529073578345,1.109237,0.3897233,-0.9229045,1.102103,0.388819,-0.883706,1.101107,0.3844915,-0.8579901,1.143236,0.4171833,-0.8609144,1.135154,0.4032356,-0.8417737,1.126503,0.3887582,-0.8474696,1.158766,0.4037579,-0.8641552,1.145064,0.3867461,-0.8439589,1.131459,0.3722281,-0.8498693,1.174535,0.3899963,-0.8746918,1.161556,0.3742144,-0.8540933,1.146106,0.3612915,-0.8570577,1.186231,0.3760911,-0.886465,1.17695,0.3663681,-0.8687902,1.162637,0.3583854,-0.8690267,1.148705,0.3948269,-0.9175746,0.0278178,
