time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529586889389,1.103389,0.5689074,-0.8479787,1.097558,0.5775424,-0.8106476,1.096023,0.5764896,-0.7847072,1.130785,0.6039513,-0.7943445,1.112622,0.6005805,-0.7758099,1.098974,0.5888768,-0.7784722,1.139971,0.5866162,-0.789097,1.116394,0.5841013,-0.7686125,1.097311,0.5753098,-0.7706624,1.152077,0.567199,-0.7891985,1.133774,0.5676368,-0.7643113,1.114032,0.5633553,-0.7587969,1.158036,0.5468358,-0.7928063,1.146948,0.5487124,-0.7717092,1.131683,0.5486439,-0.765221,1.135486,0.5643257,-0.8370265,0.0141784,
1529586889427,1.079359,0.5654111,-0.8534081,1.071937,0.5750792,-0.8166094,1.068821,0.5747771,-0.7907796,1.105188,0.6006848,-0.7989201,1.085941,0.5989815,-0.781473,1.071969,0.5879464,-0.7848582,1.112892,0.5828235,-0.7927417,1.088023,0.5820647,-0.7739102,1.06882,0.5741703,-0.7773943,1.123965,0.56248,-0.7915576,1.104396,0.5642935,-0.767594,1.084222,0.5613313,-0.7630814,1.129051,0.5418527,-0.7943501,1.117141,0.5446833,-0.7736837,1.101748,0.5456762,-0.7676111,1.1102,0.5595923,-0.8404052,0.01477826,
1529586889446,1.063267,0.5619841,-0.8575022,1.05523,0.5718251,-0.8208729,1.051442,0.5716726,-0.7951211,1.08864,0.5966479,-0.8022723,1.069002,0.5956355,-0.785284,1.054844,0.5849854,-0.7890209,1.095682,0.5784845,-0.7958734,1.070425,0.5784913,-0.7776146,1.051141,0.571141,-0.7816404,1.106057,0.5577104,-0.7944759,1.085956,0.5600013,-0.7709892,1.065614,0.5575978,-0.7670838,1.110685,0.5369895,-0.7971648,1.098467,0.5401297,-0.7766792,1.083039,0.5415715,-0.7707943,1.093524,0.555347,-0.8437338,0.01503385,
1529586889469,1.039771,0.5584803,-0.8512719,1.031301,0.567969,-0.8146516,1.027135,0.5675716,-0.7889437,1.064473,0.5926514,-0.7953733,1.044594,0.591732,-0.7786176,1.030347,0.5812918,-0.782582,1.071273,0.5743452,-0.7889442,1.045801,0.5744038,-0.77107,1.026569,0.5672759,-0.7755851,1.081281,0.5534075,-0.7876019,1.06069,0.5555537,-0.7645573,1.040249,0.5532516,-0.7612349,1.085833,0.5327338,-0.7903362,1.07324,0.5357724,-0.7700724,1.057703,0.5372916,-0.7645115,1.069651,0.5515643,-0.837055,0.01546055,
1529586889495,1.018264,0.5544659,-0.8496799,1.009202,0.5631503,-0.8130003,1.004738,0.562402,-0.787311,1.042048,0.5881035,-0.7929748,1.022042,0.5865799,-0.7760158,1.007726,0.5761258,-0.7797529,1.049368,0.5698348,-0.7866803,1.023955,0.5692226,-0.7682657,1.004535,0.5621417,-0.7721437,1.059634,0.5490445,-0.7857575,1.039032,0.5503269,-0.7624795,1.018677,0.547695,-0.7587681,1.064454,0.528525,-0.7888827,1.051604,0.5308355,-0.7686281,1.036044,0.5319501,-0.7629899,1.048279,0.5479172,-0.8353518,0.01594991,
1529586889530,0.9916584,0.5496107,-0.8534443,0.9805157,0.5567355,-0.8170129,0.9747233,0.5550048,-0.7915992,1.011815,0.581871,-0.7947198,0.9908031,0.5793962,-0.778725,0.9766502,0.568934,-0.7831404,1.019325,0.5636389,-0.7884892,0.9930217,0.5620378,-0.7711074,0.9737233,0.5549278,-0.7756696,1.029745,0.543019,-0.7877502,1.007807,0.5431226,-0.7656738,0.9873275,0.5400119,-0.7632087,1.034987,0.5227005,-0.791249,1.020741,0.5240692,-0.7718785,1.004801,0.5247245,-0.767369,1.021091,0.5432778,-0.8378065,0.01640993,
1529586889563,0.9749115,0.5439258,-0.8582214,0.9623147,0.549026,-0.8219504,0.9559211,0.5457044,-0.7968602,0.9917091,0.5749353,-0.7979079,0.9702318,0.5708339,-0.7827078,0.9566114,0.5600487,-0.7879313,1.00003,0.5571405,-0.7918134,0.9734157,0.5539973,-0.7749269,0.9544054,0.5463859,-0.7798886,1.011344,0.5369639,-0.7913632,0.9889613,0.5354532,-0.76991,0.9685738,0.5314157,-0.7682899,1.017495,0.5169379,-0.7953554,1.002793,0.5170291,-0.7762987,0.9867333,0.5168749,-0.7722288,1.004079,0.5384377,-0.8417982,0.01691035,
1529586889590,0.9546775,0.5404282,-0.8671654,0.9404675,0.5444759,-0.8313757,0.9331642,0.5401536,-0.8067385,0.9682372,0.5707453,-0.8057572,0.9461138,0.5660682,-0.7917771,0.932956,0.5552688,-0.7980185,0.9763351,0.553043,-0.7996092,0.9489243,0.5493147,-0.7844035,0.9304196,0.5415332,-0.790785,0.987775,0.5329952,-0.7988877,0.9642256,0.5309178,-0.7789518,0.9438478,0.5266007,-0.7789584,0.9943342,0.5131251,-0.8028183,0.9785861,0.5128549,-0.7846934,0.9622952,0.5125053,-0.7818116,0.9830675,0.5351445,-0.8495185,0.01745138,
1529586889615,0.9406589,0.5385151,-0.8730187,0.9259964,0.5421945,-0.8373918,0.9185191,0.5374048,-0.8129259,0.9528804,0.5689391,-0.8115215,0.9305384,0.5639931,-0.7981334,0.9176888,0.5531114,-0.8048531,0.9608005,0.5513161,-0.8053745,0.9330065,0.5472957,-0.7911425,0.9148751,0.5393231,-0.7982966,0.9722072,0.5314094,-0.8044541,0.9479508,0.5291675,-0.7855269,0.9276668,0.5246502,-0.7865726,0.9789914,0.5116208,-0.8081678,0.9626161,0.5113442,-0.7906137,0.9462487,0.510918,-0.7884306,0.9686499,0.5334858,-0.854929,0.01767935,
1529586889642,0.9287044,0.5353895,-0.8793299,0.9138517,0.5387061,-0.8437796,0.9062959,0.5332862,-0.8195107,0.940257,0.5655779,-0.8178062,0.9176499,0.560653,-0.8050774,0.9049771,0.5499682,-0.8124086,0.9476947,0.5479583,-0.8117043,0.9195322,0.5441083,-0.7985315,0.9017572,0.5362844,-0.806632,0.9587683,0.5279679,-0.8105797,0.9339274,0.5259727,-0.792545,0.9137017,0.5216635,-0.7945594,0.9654059,0.5081631,-0.8141097,0.9485646,0.5081636,-0.7970416,0.9321431,0.5079732,-0.7954756,0.9562188,0.5301403,-0.8609199,0.01817882,
