time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529587358174,1.107512,0.5493831,-0.8489783,1.103735,0.5370657,-0.8122867,1.102045,0.5254291,-0.7890279,1.150208,0.5407892,-0.7904997,1.136546,0.529348,-0.7710723,1.121234,0.5204841,-0.7747277,1.169178,0.5265425,-0.7983003,1.175248,0.5181897,-0.7645588,1.175125,0.5116689,-0.7437354,1.177273,0.5109517,-0.8162196,1.190414,0.5013377,-0.7870183,1.195834,0.4941847,-0.7675841,1.176572,0.4944263,-0.8356112,1.189178,0.4826103,-0.8170072,1.195486,0.4742501,-0.8036291,1.141595,0.5359324,-0.8506712,0.02443745,
1529587358216,1.083905,0.5453907,-0.853293,1.076571,0.5330011,-0.8171756,1.072621,0.5214139,-0.7942017,1.12166,0.5373672,-0.7916629,1.105912,0.5259827,-0.7738333,1.091122,0.517007,-0.7790985,1.141607,0.523494,-0.7975885,1.144688,0.515889,-0.7632542,1.142333,0.5096768,-0.7425206,1.151216,0.5079411,-0.8146937,1.161245,0.4990116,-0.7841256,1.163114,0.49191,-0.7641375,1.152422,0.4912362,-0.8341428,1.163678,0.4799806,-0.8143722,1.168428,0.4719031,-0.8002473,1.118563,0.5321461,-0.8522041,0.02428606,
1529587358241,1.073605,0.5437225,-0.8594475,1.065037,0.5320324,-0.8233538,1.060485,0.5203942,-0.8005184,1.10777,0.5371922,-0.7963307,1.09068,0.5259169,-0.7794144,1.076115,0.5167664,-0.7851968,1.128228,0.5231675,-0.8005865,1.129189,0.5159272,-0.7660596,1.1254,0.5099087,-0.7454967,1.138439,0.5072562,-0.8166001,1.145934,0.4987388,-0.7852406,1.146201,0.4919488,-0.7650159,1.140782,0.4901258,-0.8354548,1.150629,0.479305,-0.8147203,1.154255,0.4715525,-0.8000947,1.107986,0.530526,-0.8563869,0.02218571,
1529587358296,1.052205,0.5414791,-0.873327,1.042798,0.5313563,-0.8369981,1.038117,0.5192003,-0.8145293,1.081251,0.5356908,-0.809137,1.062257,0.5248175,-0.7938264,1.047808,0.5158083,-0.8004631,1.100932,0.5201574,-0.8112432,1.097496,0.5118861,-0.7771167,1.090782,0.5053989,-0.7575017,1.111089,0.5036494,-0.825569,1.11503,0.494725,-0.7935311,1.114502,0.4882664,-0.7732317,1.114426,0.4864257,-0.8431908,1.120952,0.4756323,-0.8211234,1.123012,0.4681798,-0.8060559,1.085356,0.5271246,-0.8680508,0.01741479,
1529587358346,1.04161,0.53947,-0.8846006,1.032044,0.5311637,-0.8478732,1.026865,0.5198123,-0.8250715,1.070326,0.5333982,-0.8201304,1.050945,0.5243015,-0.8042263,1.035821,0.5164324,-0.8106,1.086582,0.5157679,-0.822129,1.078556,0.5074303,-0.7890414,1.06829,0.501224,-0.7708412,1.095236,0.4981745,-0.8355724,1.093546,0.4886881,-0.8036533,1.088946,0.4821275,-0.7837381,1.097209,0.4810979,-0.852021,1.098071,0.4710476,-0.8288556,1.095294,0.4644444,-0.8133916,1.07329,0.5227619,-0.8788602,0.01735146,
1529587358376,1.033309,0.5357509,-0.8886847,1.024142,0.5281053,-0.8517417,1.01917,0.5167837,-0.8288856,1.061988,0.5304428,-0.8241137,1.042664,0.5219275,-0.8077985,1.027301,0.5143347,-0.8138638,1.075731,0.5120056,-0.8262587,1.063567,0.5035261,-0.7948352,1.049655,0.497337,-0.779283,1.084026,0.4941233,-0.8390035,1.076713,0.4846409,-0.808426,1.065342,0.4782349,-0.7914567,1.085886,0.477357,-0.8546621,1.081954,0.4686574,-0.8318285,1.072328,0.4640179,-0.8187442,1.064404,0.5185785,-0.882656,0.01725577,
1529587358401,1.025597,0.5322957,-0.8917635,1.015829,0.5252115,-0.8548657,1.010402,0.5142823,-0.8318923,1.053217,0.5281705,-0.8265658,1.033622,0.5201926,-0.8101781,1.018163,0.5126615,-0.816079,1.065248,0.5093496,-0.828581,1.04927,0.501285,-0.7993874,1.032014,0.4954244,-0.7877213,1.073766,0.4912488,-0.840544,1.062523,0.482489,-0.8116046,1.046854,0.4769456,-0.7984853,1.075945,0.474455,-0.8556005,1.069414,0.4668939,-0.8333063,1.057062,0.4636684,-0.8225255,1.056348,0.5150926,-0.8848522,0.0176894,
1529587358429,1.015205,0.5281872,-0.8960615,1.004055,0.5227408,-0.8592709,0.9975183,0.5129495,-0.836041,1.04066,0.5263165,-0.8297766,1.020359,0.5198277,-0.8134401,1.004695,0.5125578,-0.8191689,1.050341,0.5068268,-0.8312935,1.029907,0.5004181,-0.8055495,1.009781,0.4957346,-0.7997231,1.058903,0.488052,-0.8418104,1.043538,0.4811552,-0.8149799,1.024827,0.4772802,-0.8062586,1.061357,0.4708223,-0.855796,1.05216,0.4650859,-0.8341443,1.037992,0.4635324,-0.8256203,1.045091,0.5104621,-0.8873876,0.01833899,
1529587358454,1.00665,0.5296929,-0.8989341,0.9956469,0.5239511,-0.8621509,0.989061,0.5139496,-0.8390152,1.032508,0.527076,-0.8328586,1.012135,0.5210623,-0.8164504,0.9963593,0.5142098,-0.8222356,1.041087,0.5072727,-0.8348315,1.019544,0.5012359,-0.8104936,0.9989006,0.4971729,-0.8071773,1.049591,0.4882857,-0.8452736,1.033791,0.4815806,-0.8189097,1.014613,0.4783204,-0.8113919,1.051566,0.471086,-0.8593481,1.042323,0.465351,-0.8376929,1.02814,0.4641452,-0.8292824,1.036119,0.5114197,-0.8905464,0.01829994,
1529587358482,0.9925458,0.5307471,-0.9042532,0.9802709,0.5246139,-0.8678977,0.972585,0.5149577,-0.8449281,1.017336,0.5261465,-0.8374774,0.9966724,0.5208939,-0.8211311,0.9807242,0.5145932,-0.8269864,1.026866,0.5062147,-0.8391019,1.007757,0.5008799,-0.8115945,0.9881282,0.4972228,-0.8040417,1.034917,0.4868474,-0.8503292,1.02318,0.4797126,-0.8205264,1.007521,0.4757801,-0.8067805,1.035902,0.4692851,-0.8653087,1.029099,0.461931,-0.8424696,1.0181,0.4588801,-0.8299338,1.02141,0.5115392,-0.8957086,0.01970499,
1529587358508,0.9840317,0.5301498,-0.9068528,0.970757,0.5237066,-0.8708822,0.9622872,0.5141786,-0.8481628,1.007948,0.5245422,-0.8394369,0.9871712,0.5198213,-0.8231012,0.9710615,0.5139534,-0.8289769,1.01937,0.5047612,-0.8403805,1.006744,0.5003791,-0.807467,0.9936172,0.497166,-0.7894864,1.026552,0.4850828,-0.8523399,1.020465,0.4779814,-0.820179,1.012642,0.4734494,-0.800514,1.026808,0.4672351,-0.8678707,1.023387,0.4588645,-0.8441838,1.017869,0.4538717,-0.8286713,1.012443,0.5104598,-0.8980181,0.02109834,
1529587358547,0.9717251,0.527861,-0.9085738,0.9559369,0.5196059,-0.873997,0.9459983,0.5097502,-0.8519605,0.9927583,0.5225071,-0.8391023,0.971954,0.5170504,-0.8228391,0.9562643,0.5105108,-0.8288206,1.008224,0.5039678,-0.8393875,1.001452,0.5002859,-0.8048262,0.994056,0.4974823,-0.7845315,1.016477,0.4844223,-0.8520273,1.015107,0.4772543,-0.8193554,1.01146,0.4724429,-0.7988327,1.018038,0.4661648,-0.8684679,1.019274,0.4563742,-0.8450416,1.018852,0.4498957,-0.8293121,1.000731,0.5096195,-0.8982487,0.02532632,
1529587358574,0.9595374,0.5297515,-0.9115261,0.9411215,0.5208159,-0.8784695,0.9295123,0.5103946,-0.8573672,0.9760423,0.5255356,-0.839018,0.955799,0.5203517,-0.8216845,0.9395248,0.5139638,-0.8264571,0.9924111,0.5063946,-0.8385732,0.9871119,0.5020103,-0.8038654,0.98027,0.4987055,-0.7834598,1.000428,0.4864235,-0.8507063,0.99783,0.4780458,-0.8184929,0.9920074,0.4723618,-0.7987297,1.002267,0.4683271,-0.8668022,1.001619,0.4580101,-0.8436076,0.998807,0.4512793,-0.8282236,0.9872426,0.5119067,-0.8984046,0.03268667,
1529587358600,0.9490912,0.5290835,-0.9113431,0.9296831,0.5190063,-0.8793036,0.9177471,0.5071543,-0.8590076,0.9654304,0.526006,-0.8359039,0.9508599,0.5213934,-0.8105885,0.9352346,0.515288,-0.8062395,0.9799546,0.5068796,-0.8362182,0.9765286,0.5020041,-0.8013254,0.9712225,0.498312,-0.7805117,0.9879875,0.4865563,-0.8479519,0.9846032,0.4768343,-0.8162845,0.9776765,0.4700974,-0.7972494,0.9903652,0.4686075,-0.8637795,0.9874972,0.457528,-0.8412409,0.9813188,0.450539,-0.8271441,0.9760568,0.5120553,-0.8965018,0.05618221,
1529587358629,0.9349247,0.5287759,-0.9088092,0.9140965,0.517571,-0.8782218,0.9016551,0.5043374,-0.8590156,0.9495728,0.5280686,-0.8311387,0.9435695,0.5262053,-0.8007357,0.9350306,0.5228096,-0.7842097,0.9624025,0.5084115,-0.831101,0.9604592,0.5035471,-0.7960804,0.956342,0.4997721,-0.7749956,0.9704125,0.4874969,-0.842113,0.9663425,0.4766606,-0.8109072,0.9592292,0.4690387,-0.7922323,0.9733007,0.4694649,-0.857589,0.9675971,0.4575657,-0.8362525,0.9580597,0.4504037,-0.8243353,0.9608074,0.5127473,-0.891733,0.08397061,
1529587358654,0.9268341,0.5285696,-0.9069889,0.905176,0.5166636,-0.8773674,0.892542,0.5026381,-0.8588297,0.9388847,0.5300695,-0.8284605,0.9360378,0.5298135,-0.7975277,0.9318902,0.5284575,-0.7790304,0.9510566,0.510242,-0.8275712,0.9494562,0.5058797,-0.7924629,0.9457463,0.5023466,-0.7712535,0.9594218,0.4889991,-0.8378192,0.954713,0.4779237,-0.8067862,0.9474481,0.470003,-0.7882726,0.9626708,0.4707928,-0.8529872,0.9548755,0.4586312,-0.8326464,0.9432549,0.451681,-0.8229043,0.9516041,0.5135882,-0.8883018,0.09264375,
1529587358681,0.9146744,0.5286847,-0.9022336,0.8919172,0.5163562,-0.8737295,0.8789113,0.5016409,-0.8560104,0.9234496,0.5322205,-0.8231649,0.9214325,0.5330613,-0.7921916,0.9180028,0.5324548,-0.7734784,0.9349636,0.5122464,-0.8212694,0.9330144,0.5087333,-0.7860861,0.9291664,0.505697,-0.7648154,0.9435339,0.4905041,-0.830679,0.9380122,0.479577,-0.7997222,0.9303413,0.4716743,-0.7813621,0.9465908,0.47186,-0.8457108,0.9364259,0.4595556,-0.8266945,0.9231697,0.452995,-0.8192062,0.9382179,0.5143426,-0.8819454,0.09638044,
