time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529587252772,1.171034,0.5463512,-0.9015211,1.151194,0.5413334,-0.8685259,1.139313,0.5317169,-0.847491,1.177058,0.5547854,-0.8310809,1.154301,0.5495734,-0.8223506,1.143364,0.5420769,-0.8346921,1.182798,0.5349596,-0.8307294,1.154156,0.5304338,-0.8220341,1.138353,0.5263504,-0.8351309,1.194048,0.514562,-0.8346885,1.168975,0.5096779,-0.8174971,1.148253,0.5071609,-0.8196429,1.199682,0.4967085,-0.8447974,1.182002,0.4938417,-0.8295144,1.165604,0.4944161,-0.830368,1.196046,0.5324335,-0.8831547,0.01695736,
1529587252799,1.152522,0.5451676,-0.9036569,1.132951,0.5385215,-0.8707548,1.12172,0.5284429,-0.8495568,1.159535,0.5536184,-0.832417,1.137592,0.546425,-0.8219423,1.126341,0.5376048,-0.83298,1.167901,0.5344788,-0.8318676,1.140316,0.5271372,-0.8199837,1.123025,0.5209851,-0.8302836,1.180527,0.5153119,-0.8372146,1.156538,0.5078194,-0.8194469,1.136208,0.5029923,-0.8212069,1.18791,0.4981191,-0.8477883,1.170902,0.493266,-0.8323416,1.154512,0.4919991,-0.8330615,1.179663,0.533588,-0.885617,0.01949569,
1529587252826,1.13996,0.5451672,-0.9027136,1.120372,0.5377015,-0.8699757,1.109262,0.5273902,-0.8488665,1.14838,0.5514796,-0.8307445,1.127076,0.5433309,-0.8191234,1.115472,0.5341061,-0.8293853,1.158607,0.5328439,-0.8301146,1.132423,0.5242062,-0.8145747,1.113631,0.5170665,-0.8211753,1.17204,0.5145794,-0.836663,1.150169,0.5058088,-0.8164458,1.130087,0.4996979,-0.8154968,1.180316,0.4976727,-0.8481259,1.165779,0.4911838,-0.8301636,1.149803,0.4883141,-0.8274659,1.168364,0.5338294,-0.8853004,0.02152177,
1529587252843,1.121768,0.5466508,-0.8947231,1.102268,0.5379612,-0.8622253,1.091234,0.5271743,-0.8412772,1.131443,0.5503342,-0.8223579,1.110559,0.5411202,-0.8099905,1.098536,0.5316818,-0.8195717,1.143448,0.5324184,-0.8216948,1.119004,0.5226921,-0.8027381,1.099595,0.5148063,-0.8057406,1.157049,0.5148317,-0.8296407,1.137182,0.5048101,-0.8071823,1.117805,0.497622,-0.8030896,1.165854,0.498419,-0.8420358,1.153408,0.4905697,-0.8225945,1.138449,0.4861949,-0.8165573,1.151132,0.5354917,-0.8779826,0.02334017,
1529587252865,1.101195,0.5479875,-0.8901165,1.080908,0.5390506,-0.8581719,1.069301,0.5280918,-0.837631,1.110174,0.5496036,-0.8174313,1.088964,0.5404792,-0.8050485,1.076652,0.5311859,-0.8143939,1.122665,0.5317838,-0.8166699,1.098744,0.5222654,-0.7959433,1.079143,0.5144681,-0.7966074,1.136345,0.5142871,-0.8250117,1.117648,0.5042567,-0.8008379,1.099079,0.4969575,-0.794085,1.145092,0.49784,-0.8379909,1.133521,0.4894879,-0.8179497,1.119462,0.4845822,-0.8102183,1.13057,0.5359613,-0.8732862,0.02456783,
1529587252893,1.086508,0.5495625,-0.8823361,1.065291,0.5403436,-0.8510783,1.053005,0.5292387,-0.8310561,1.094641,0.5488286,-0.8093899,1.073056,0.539834,-0.7972107,1.06058,0.5307436,-0.8065307,1.108325,0.5313441,-0.8080972,1.086474,0.5226163,-0.7831209,1.067389,0.51513,-0.775588,1.122079,0.5138673,-0.8170523,1.106352,0.5041453,-0.7897961,1.090995,0.4968826,-0.7767184,1.130776,0.4972846,-0.8308109,1.121247,0.4883101,-0.8096201,1.109577,0.4825054,-0.7987359,1.115775,0.5363927,-0.865456,0.02571253,
1529587252919,1.077892,0.5507078,-0.8842186,1.055855,0.5418869,-0.8534131,1.042882,0.5310477,-0.8337264,1.085291,0.5485495,-0.8111691,1.063266,0.5401865,-0.7992811,1.050636,0.5314924,-0.8087586,1.099764,0.5311821,-0.8092523,1.080698,0.5242075,-0.7806859,1.06462,0.5183955,-0.7672707,1.113258,0.5133516,-0.8185717,1.099993,0.5045763,-0.7894363,1.087165,0.4980953,-0.7735975,1.12157,0.4963545,-0.8328476,1.113955,0.4873208,-0.810722,1.104429,0.481329,-0.7980022,1.106716,0.5362427,-0.8672603,0.02614786,
1529587252954,1.046828,0.5508507,-0.8746074,1.024261,0.5419877,-0.8441958,1.010788,0.5312682,-0.8247874,1.053923,0.5471677,-0.8015524,1.031596,0.5390629,-0.789866,1.018802,0.5307004,-0.7994158,1.069733,0.5301523,-0.7990339,1.053593,0.5243157,-0.7682137,1.040072,0.5195537,-0.7517865,1.082704,0.5120879,-0.8090113,1.071852,0.503864,-0.7785827,1.061225,0.4978603,-0.7609861,1.090691,0.4948731,-0.8238692,1.085114,0.4856431,-0.8010787,1.077668,0.479417,-0.7871082,1.075489,0.5355958,-0.8577535,0.02661308,
1529587252985,1.033453,0.549813,-0.8709638,1.010601,0.5409884,-0.840754,0.9968064,0.5303925,-0.8214734,1.040377,0.545477,-0.7978774,1.017835,0.5376815,-0.7861707,1.00473,0.5296161,-0.7955979,1.056751,0.5284522,-0.7950715,1.041928,0.5231272,-0.7634915,1.029071,0.5187242,-0.7464861,1.069209,0.5100817,-0.8053672,1.059595,0.5020639,-0.7744256,1.050223,0.4963196,-0.7560304,1.07684,0.492669,-0.8205015,1.072249,0.4832547,-0.797527,1.065644,0.4769218,-0.783198,1.061806,0.5339423,-0.8541427,0.02707268,
1529587253012,1.010133,0.54848,-0.864996,0.9870302,0.5398012,-0.834935,0.9729744,0.5293546,-0.8157313,1.016702,0.5440274,-0.7919052,0.9939367,0.5365583,-0.7802864,0.9806609,0.5286855,-0.7896745,1.033143,0.526836,-0.7889029,1.018148,0.5216954,-0.757463,1.004534,0.5172874,-0.7411097,1.045317,0.5082183,-0.7992408,1.035673,0.5002784,-0.7683191,1.026076,0.494599,-0.7500175,1.052757,0.4906643,-0.8144228,1.048347,0.4812171,-0.7914318,1.041578,0.4749231,-0.7771871,1.038198,0.5322394,-0.84807,0.02717507,
1529587253029,1.004636,0.5481578,-0.863848,0.9814789,0.5395013,-0.8338232,0.9673744,0.5290549,-0.8146327,1.01102,0.5439317,-0.7907234,0.9881832,0.5365466,-0.7790549,0.974779,0.528704,-0.7883183,1.027402,0.5266805,-0.7876206,1.012139,0.5215545,-0.7563655,0.9980752,0.517094,-0.7404338,1.03952,0.5079467,-0.7978848,1.029657,0.4999877,-0.7670662,1.019843,0.4942983,-0.7488719,1.046952,0.4903157,-0.8130034,1.042526,0.4808458,-0.7900348,1.035621,0.4745613,-0.775859,1.032563,0.5319235,-0.8468005,0.02733855,
1529587253051,0.9937332,0.5476971,-0.8640968,0.9704847,0.539137,-0.8341166,0.9562762,0.5286971,-0.8149909,0.9998583,0.543386,-0.7909777,0.9768857,0.5363002,-0.7793545,0.9633456,0.5286798,-0.7886234,1.016035,0.5258785,-0.787826,1.000466,0.5208175,-0.7567872,0.9859311,0.5164108,-0.7412735,1.027942,0.5069276,-0.7980872,1.017678,0.498901,-0.7674961,1.007091,0.4931674,-0.7497638,1.035123,0.4891918,-0.8132352,1.030652,0.4796373,-0.7903191,1.023516,0.4733796,-0.776266,1.021321,0.5311303,-0.8470122,0.02729875,
1529587253080,0.9909738,0.5470772,-0.8712696,0.9675647,0.5391293,-0.8412458,0.9531773,0.5290237,-0.8220862,0.9966477,0.5432823,-0.7981274,0.9735143,0.5367973,-0.7865746,0.9599228,0.5293774,-0.7959145,1.012466,0.525434,-0.7947846,0.9963872,0.5208601,-0.7640281,0.9813088,0.5167733,-0.7489254,1.024172,0.5062047,-0.8048158,1.013597,0.4986521,-0.7742681,1.002392,0.493244,-0.7568302,1.031042,0.4881735,-0.8198328,1.026477,0.4788865,-0.7968339,1.019139,0.4728872,-0.7827845,1.018096,0.5301046,-0.8539983,0.02702931,
1529587253105,0.9892596,0.5460495,-0.8748316,0.9659173,0.5387424,-0.8445917,0.9515018,0.5290809,-0.8252595,0.995163,0.5426428,-0.8016927,0.9720699,0.5365225,-0.790072,0.958505,0.5292085,-0.7994852,1.011164,0.5246706,-0.7981808,0.9957426,0.5205725,-0.7670272,0.9808971,0.5167816,-0.7516406,1.022697,0.5052639,-0.8081676,1.013063,0.4981577,-0.7771738,1.002437,0.4930486,-0.7593029,1.029192,0.4869539,-0.8231995,1.025442,0.4777891,-0.7999563,1.019035,0.4718214,-0.7854278,1.016195,0.5288527,-0.8575949,0.02670909,
