time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529587240952,1.096212,0.5907444,-0.7970945,1.079133,0.6051661,-0.7653335,1.067973,0.6087037,-0.7420837,1.111756,0.6209248,-0.7355814,1.088404,0.6230876,-0.7244188,1.074764,0.6134201,-0.7312471,1.115605,0.601975,-0.7275727,1.087122,0.6060567,-0.7153758,1.068347,0.6007512,-0.7232181,1.123107,0.5806774,-0.7245851,1.098787,0.5867985,-0.7075421,1.078237,0.5860176,-0.7103807,1.126797,0.5593904,-0.7263834,1.111898,0.5656883,-0.7091619,1.095872,0.5687226,-0.7083473,1.122241,0.5780995,-0.7752442,0.01363018,
1529587240986,1.091803,0.5786993,-0.8267262,1.07382,0.5947863,-0.7962607,1.062124,0.6002586,-0.7736294,1.105818,0.6129922,-0.7665992,1.082378,0.6155322,-0.7551693,1.06858,0.6053598,-0.7608786,1.10992,0.594318,-0.7577668,1.081014,0.5981489,-0.7457547,1.062054,0.5920289,-0.7527266,1.11775,0.573361,-0.7538413,1.092519,0.5792059,-0.7379226,1.071962,0.5774354,-0.740951,1.12233,0.5523492,-0.7543584,1.106442,0.5589429,-0.7382376,1.090167,0.5613273,-0.7380084,1.118042,0.5682939,-0.8040037,0.01517506,
1529587241012,1.087711,0.5705318,-0.8479291,1.06905,0.5866508,-0.817894,1.057022,0.5921858,-0.7954486,1.099967,0.6063725,-0.7883357,1.076358,0.6084334,-0.7771302,1.062906,0.5978079,-0.7828037,1.10443,0.5880179,-0.7791858,1.075278,0.5911492,-0.7676839,1.056674,0.5842688,-0.7748768,1.112672,0.5672613,-0.7748237,1.086911,0.5725002,-0.7594339,1.066455,0.5700685,-0.7626908,1.117821,0.5464773,-0.774876,1.10128,0.5528023,-0.7593278,1.084878,0.5547009,-0.7593871,1.11383,0.5614728,-0.8248154,0.01503735,
1529587241038,1.082566,0.5619431,-0.8728793,1.063986,0.5771783,-0.842382,1.051901,0.5814409,-0.8197069,1.09407,0.5958803,-0.8123014,1.070206,0.5979505,-0.8015885,1.056627,0.5879965,-0.8081167,1.09784,0.5776955,-0.8035926,1.068596,0.5813627,-0.7929116,1.05024,0.5750323,-0.8010623,1.105326,0.5562809,-0.7993597,1.079354,0.5616644,-0.7842799,1.058935,0.5600309,-0.7880458,1.109893,0.5353448,-0.7997062,1.09326,0.5414898,-0.7840445,1.076898,0.5440646,-0.7838186,1.10754,0.5519192,-0.849595,0.01412962,
1529587241065,1.079823,0.5547415,-0.8882728,1.062018,0.5696423,-0.8571593,1.05018,0.5734983,-0.8342983,1.092614,0.5863572,-0.8265347,1.068986,0.5892758,-0.8155553,1.054894,0.5803111,-0.8223919,1.095635,0.5679882,-0.8183149,1.066783,0.5730433,-0.8070196,1.047895,0.5680382,-0.8149155,1.102104,0.5458743,-0.8147287,1.076661,0.55207,-0.7988984,1.056086,0.5517261,-0.802139,1.10554,0.5246601,-0.8158658,1.089301,0.5309317,-0.7998012,1.073068,0.5343165,-0.7991351,1.104028,0.5429859,-0.8653451,0.01450497,
1529587241091,1.077247,0.5470746,-0.9016522,1.060105,0.5616963,-0.8700503,1.048532,0.5651147,-0.8470086,1.091076,0.5775487,-0.8394752,1.067698,0.5811514,-0.8283287,1.053328,0.5728016,-0.8353289,1.093559,0.559057,-0.8314545,1.065099,0.5650762,-0.819804,1.046018,0.5608717,-0.8276646,1.099344,0.5365686,-0.828155,1.074421,0.5434291,-0.8118455,1.05379,0.5439299,-0.8147895,1.101926,0.5151484,-0.8297167,1.086072,0.5215968,-0.8133622,1.069966,0.5255428,-0.8124454,1.100916,0.5343406,-0.8790385,0.01478208,
1529587241128,1.058284,0.5312427,-0.9142387,1.041485,0.546672,-0.8828169,1.02994,0.5508779,-0.8598779,1.073136,0.5626733,-0.8522935,1.050098,0.5677066,-0.8406234,1.034998,0.5601319,-0.8469619,1.075205,0.5442477,-0.8437189,1.047363,0.5520159,-0.8309448,1.027525,0.5490447,-0.8375186,1.080391,0.5215375,-0.8400882,1.05644,0.5297667,-0.8228253,1.035714,0.5312577,-0.8247179,1.081706,0.4998494,-0.8417289,1.06615,0.5069934,-0.8253572,1.050182,0.5114945,-0.8243011,1.081439,0.5183223,-0.8914233,0.01667465,
1529587241158,1.049631,0.5234386,-0.9223953,1.032923,0.5399067,-0.8914232,1.021286,0.5454193,-0.8687627,1.065055,0.5555652,-0.8605642,1.042282,0.5616513,-0.8486395,1.026746,0.5545788,-0.8544989,1.066818,0.5370519,-0.8515428,1.039412,0.5459471,-0.838058,1.019147,0.5438772,-0.8437258,1.071509,0.5142742,-0.8477622,1.048068,0.5233845,-0.8301119,1.027352,0.5254782,-0.8314828,1.07203,0.4925678,-0.8494207,1.056498,0.5003166,-0.8333246,1.040597,0.505128,-0.832477,1.072399,0.5103905,-0.8992894,0.0178091,
1529587241186,1.034791,0.51282,-0.9312098,1.019013,0.5291023,-0.8996297,1.008027,0.5350153,-0.8767104,1.052505,0.5439618,-0.8689461,1.030512,0.5503427,-0.8556737,1.014506,0.5437405,-0.8607416,1.054625,0.5252117,-0.8601477,1.028243,0.5344824,-0.8444948,1.007469,0.5332284,-0.8483787,1.059364,0.5022846,-0.8570781,1.037224,0.5114284,-0.8375707,1.016509,0.5139573,-0.837157,1.059472,0.4805778,-0.8593981,1.044803,0.4881669,-0.8423307,1.029016,0.4930926,-0.8402888,1.058135,0.4994417,-0.9090577,0.019316,
1529587241212,1.036608,0.5047153,-0.942583,1.020244,0.5213531,-0.9114889,1.009013,0.5275007,-0.8887839,1.053361,0.5383024,-0.8811779,1.031358,0.544454,-0.8683389,1.015916,0.5369747,-0.8736465,1.055747,0.5196041,-0.8718704,1.029026,0.5281252,-0.8572035,1.008816,0.5254856,-0.8623986,1.06117,0.4970139,-0.8681498,1.038584,0.5058799,-0.8495796,1.017925,0.5073322,-0.850658,1.061884,0.4753164,-0.8698848,1.046901,0.4830191,-0.8532565,1.030955,0.4874561,-0.8519024,1.060278,0.4925319,-0.9199692,0.01914549,
1529587241239,1.036302,0.4953457,-0.959947,1.019271,0.5112334,-0.9288223,1.008192,0.5165906,-0.9059157,1.051718,0.5334319,-0.9008024,1.029654,0.5381974,-0.887885,1.015143,0.5288606,-0.8927074,1.05564,0.5151851,-0.8909734,1.028389,0.5214311,-0.8769556,1.008942,0.516019,-0.8827072,1.063321,0.4934955,-0.8863281,1.040221,0.500961,-0.8683789,1.019682,0.4999372,-0.8703461,1.06608,0.4719085,-0.8870689,1.050817,0.479081,-0.8706573,1.034555,0.4819447,-0.8698486,1.061647,0.4865043,-0.9376716,0.01932175,
1529587241265,1.037073,0.4933423,-0.9726993,1.020078,0.5092806,-0.941586,1.00935,0.5144699,-0.9185385,1.052613,0.5339983,-0.9152615,1.030744,0.5384611,-0.9022505,1.016726,0.528249,-0.9066147,1.057199,0.5159887,-0.9050406,1.029951,0.5214833,-0.8911166,1.010851,0.5148774,-0.896759,1.065767,0.4947951,-0.8998873,1.042645,0.5019076,-0.8821346,1.022192,0.4998424,-0.8841766,1.06933,0.4733613,-0.9000198,1.054067,0.4805803,-0.8837846,1.037728,0.4827315,-0.8832487,1.063277,0.4862128,-0.9508473,0.01965835,
1529587241291,1.037547,0.4946736,-0.9854528,1.020993,0.5105093,-0.9540647,1.010772,0.5151879,-0.9307581,1.053963,0.5360768,-0.9288003,1.032357,0.5403886,-0.9156483,1.018602,0.5298298,-0.9199345,1.058751,0.5180491,-0.9185004,1.031676,0.5231662,-0.9045312,1.012795,0.5160895,-0.9103075,1.067563,0.4970946,-0.9133079,1.044609,0.5041689,-0.8954332,1.024201,0.5018077,-0.8973925,1.071365,0.4757158,-0.913231,1.056361,0.483031,-0.8968437,1.040031,0.4850326,-0.8961957,1.064262,0.4880076,-0.9640645,0.01982055,
1529587241307,1.037879,0.4972117,-0.9982488,1.021531,0.5126426,-0.9665563,1.011516,0.5169116,-0.9430991,1.054651,0.5381668,-0.9413768,1.033149,0.5422632,-0.9280647,1.019452,0.5316565,-0.9324031,1.059559,0.5200408,-0.9312757,1.032579,0.5248998,-0.9171156,1.013721,0.517772,-0.9229036,1.068489,0.499093,-0.9263341,1.045665,0.5059545,-0.9082114,1.02525,0.5035548,-0.9100282,1.072371,0.4777206,-0.9264643,1.057514,0.4848574,-0.9098641,1.04119,0.4868135,-0.9090537,1.064669,0.4903207,-0.9770465,0.01986963,
1529587241339,1.033854,0.503028,-1.015074,1.017849,0.5185782,-0.9832662,1.008409,0.5228332,-0.9596283,1.051671,0.5454786,-0.9594712,1.030587,0.5493124,-0.9457163,1.017287,0.5380035,-0.949429,1.057582,0.5273927,-0.9490703,1.031027,0.5318075,-0.9338034,1.011962,0.5242209,-0.9384332,1.06756,0.5070629,-0.9441816,1.045618,0.514164,-0.9246806,1.02507,0.5116474,-0.9245356,1.072136,0.485704,-0.944144,1.058242,0.4930338,-0.9266042,1.042022,0.4948318,-0.9243068,1.061936,0.4971372,-0.9946496,0.02032206,
1529587241358,1.032242,0.5068887,-1.017938,1.016358,0.5226424,-0.9861531,1.006971,0.5274956,-0.9625444,1.050918,0.5492141,-0.962315,1.030086,0.5530325,-0.9480058,1.016625,0.5417197,-0.9512013,1.057399,0.5312305,-0.9520041,1.03125,0.5359159,-0.9354835,1.01164,0.5287365,-0.9386144,1.067771,0.5109081,-0.94742,1.04664,0.5182492,-0.9266161,1.02605,0.516229,-0.9245926,1.072484,0.4894872,-0.9476295,1.059274,0.4967772,-0.9293339,1.043252,0.4987414,-0.9257218,1.060952,0.501125,-0.9979805,0.02059615,
1529587241385,1.023961,0.516644,-1.03407,1.00782,0.5317963,-1.002106,0.9983373,0.5370869,-0.9784925,1.043215,0.5580138,-0.9774934,1.022821,0.5609505,-0.9618336,1.00926,0.5494008,-0.9639478,1.052023,0.5407847,-0.9675799,1.027449,0.5458931,-0.9474055,1.007082,0.539828,-0.9460909,1.063458,0.5203782,-0.9642384,1.044511,0.5274315,-0.9403072,1.024641,0.5261457,-0.9336524,1.068963,0.4988874,-0.9654272,1.05726,0.5052707,-0.9454242,1.041991,0.5069693,-0.939011,1.054181,0.5113213,-1.01502,0.02196541,
1529587241412,1.017879,0.5247532,-1.038543,1.000436,0.5392771,-1.00697,0.9900612,0.5445263,-0.9836534,1.035614,0.5653014,-0.9803867,1.015112,0.5678281,-0.9643258,1.001424,0.5563077,-0.9660133,1.045856,0.5487411,-0.970423,1.022423,0.5546632,-0.9481256,1.002034,0.5499434,-0.9437631,1.05757,0.5282853,-0.9677618,1.039581,0.5352896,-0.94259,1.020441,0.534418,-0.9338502,1.063604,0.5066165,-0.9694492,1.052417,0.5123366,-0.9487472,1.037635,0.5137582,-0.9411463,1.048349,0.519659,-1.018991,0.02406424,
1529587241430,1.012345,0.5291227,-1.044175,0.9929459,0.5434592,-1.013668,0.9812433,0.5488615,-0.9909542,1.027095,0.5702161,-0.9848837,1.006265,0.5727544,-0.9686381,0.9923505,0.5613866,-0.9697274,1.038221,0.5544947,-0.9744505,1.015143,0.5609366,-0.9515788,0.9949301,0.5565491,-0.9462219,1.050374,0.5341775,-0.9716133,1.03243,0.541219,-0.9462388,1.013532,0.5402279,-0.9370339,1.057098,0.5123858,-0.97315,1.045744,0.5176941,-0.9523352,1.031053,0.5187103,-0.9444934,1.042574,0.5248725,-1.023309,0.02703379,
1529587241451,1.006919,0.5310644,-1.049892,0.9855725,0.5454068,-1.020718,0.9724388,0.551128,-0.9987625,1.018981,0.5722497,-0.9890057,0.9981394,0.5751053,-0.9720575,0.9836223,0.5643681,-0.9722131,1.030662,0.557351,-0.9782349,1.008184,0.5644456,-0.9546866,0.9881753,0.5605015,-0.9484745,1.043129,0.5370122,-0.9751529,1.025476,0.5439944,-0.9494362,1.006814,0.5428804,-0.9398806,1.050323,0.5150251,-0.9765583,1.038948,0.5197073,-0.9555336,1.024357,0.5202977,-0.9474906,1.036815,0.5272949,-1.027473,0.03170549,
1529587241467,0.9998543,0.5330245,-1.042909,0.97702,0.5472306,-1.014832,0.9626432,0.5533264,-0.993633,1.01011,0.5736222,-0.9802537,0.9895729,0.5768024,-0.962195,0.9743633,0.5669923,-0.9611732,1.022228,0.5592506,-0.9692991,1.00076,0.5667633,-0.9447044,0.9810353,0.5633798,-0.9374901,1.034609,0.538772,-0.9662681,1.017468,0.5454291,-0.9399627,0.9991517,0.54429,-0.9298239,1.041908,0.516629,-0.9677923,1.030488,0.5204672,-0.9465503,1.015998,0.5206327,-0.9383147,1.02904,0.5293729,-1.019236,0.03711813,
1529587241486,0.9837399,0.5366527,-1.029084,0.9591923,0.5500613,-1.002079,0.9433972,0.5562561,-0.9817865,0.9920717,0.5762674,-0.9640429,0.9724978,0.579903,-0.9439511,0.9565169,0.5715873,-0.9403766,1.004678,0.5623927,-0.9531777,0.9847521,0.5700312,-0.9269601,0.9656723,0.5671519,-0.9181548,1.01712,0.5419671,-0.9505038,1.000772,0.547954,-0.923295,0.9831055,0.5466244,-0.9121054,1.024937,0.5197582,-0.9523704,1.013782,0.5223743,-0.9306782,0.9996111,0.5218263,-0.9219477,1.012573,0.5333357,-1.004207,0.04606473,
